|       | Sonic Adventure                                           | Sega                      | Sega Dreamcast | 1999 | Europe
|       | Sonic Adventure 2                                         | Sega                      | Sega Dreamcast | 2001 | Europe
|       | Sonic Shuffle                                             | Sega                      | Sega Dreamcast | 2001 | Europe
|       | Soul Fighter                                              | Red Orb Entertainment     | Sega Dreamcast | 1999 | Europe
|       | SoulCalibur                                               | Namco                     | Sega Dreamcast | 1999 | Europe
|       | South Park Rally                                          | Acclaim                   | Sega Dreamcast | 2000 | Europe
|       | Space Channel 5                                           | Sega                      | Sega Dreamcast | 2000 | Europe
|       | Spawn: In the Demon's Hand                                | Eidos Interactive         | Sega Dreamcast | 2001 | Europe
|       | Spec Ops II: Omega Squad                                  | Ripcord Games             | Sega Dreamcast | 2000 | Europe
|       | Speed Devils                                              | Ubisoft                   | Sega Dreamcast | 1999 | Europe
|       | Speed Devils Online Racing                                | Ubisoft                   | Sega Dreamcast | 2001 | Europe
|       | Spider-Man                                                | Activision                | Sega Dreamcast | 2001 | Europe
|       | Spirit of Speed 1937                                      | Acclaim                   | Sega Dreamcast | 2000 | Europe
|       | Star Wars Episode I: Racer                                | LucasArts                 | Sega Dreamcast | 2000 | Europe
|       | Star Wars: Demolition                                     | Activision                | Sega Dreamcast | 2000 | Europe
|       | StarLancer                                                | Crave                     | Sega Dreamcast | 2001 | Europe
|       | Street Fighter Alpha 3                                    | Virgin Interactive        | Sega Dreamcast | 2000 | Europe
|       | Street Fighter III: 3rd Strike                            | Capcom                    | Sega Dreamcast | 2000 | Europe
|       | Street Fighter III: Double Impact                         | Virgin Interactive        | Sega Dreamcast | 2000 | Europe
|       | Stunt GP                                                  | EON Digital Entertainment | Sega Dreamcast | 2001 | Europe
|       | Stupid Invaders                                           | Ubisoft                   | Sega Dreamcast | 2001 | Europe
|       | Sturmwind                                                 | redspotgames              | Sega Dreamcast | 2013 | Europe
|       | Super Magnetic Neo                                        | Crave                     | Sega Dreamcast | 2000 | Europe
|       | Super Runabout: The Golden State                          | Interplay                 | Sega Dreamcast | 2000 | Europe
|       | Surf Rocket Racers                                        | Crave                     | Sega Dreamcast | 2000 | Europe
|       | Suzuki Alstare Extreme Racing                             | Ubisoft                   | Sega Dreamcast | 1999 | Europe
|       | Sword of the Berserk: Guts' Rage                          | Eidos Interactive         | Sega Dreamcast | 2000 | Europe
|       | Sydney 2000                                               | Eidos Interactive         | Sega Dreamcast | 2000 | Europe
|       | Taxi 2                                                    | Ubisoft                   | Sega Dreamcast | 2000 | Europe
|       | Tech Romancer                                             | Virgin Interactive        | Sega Dreamcast | 2000 | Europe
|       | Tee Off                                                   | Acclaim                   | Sega Dreamcast | 2000 | Europe
|       | Time Stalkers                                             | Sega                      | Sega Dreamcast | 2000 | Europe
|       | Tokyo Highway Challenge                                   | Crave                     | Sega Dreamcast | 1999 | Europe
|       | Tokyo Highway Challenge 2                                 | Ubisoft                   | Sega Dreamcast | 2000 | Europe
|       | Tom Clancy's Rainbow Six                                  | Swing! Deutschland        | Sega Dreamcast | 2001 | Europe
|       | Tom Clancy's Rainbow Six: Rogue Spear                     | Swing! Deutschland        | Sega Dreamcast | 2000 | Europe
|       | Tomb Raider Chronicles                                    | Eidos Interactive         | Sega Dreamcast | 2000 | Europe
|       | Tomb Raider: The Last Revelation                          | Eidos Interactive         | Sega Dreamcast | 2000 | Europe
|       | Tony Hawk's Pro Skater 2                                  | Activision                | Sega Dreamcast | 2000 | Europe
|       | Tony Hawk's Skateboarding                                 | Crave                     | Sega Dreamcast | 2000 | Europe
|       | Toy Commander                                             | Sega                      | Sega Dreamcast | 1999 | Europe
|       | Toy Racer                                                 | Sega                      | Sega Dreamcast | 2000 | Europe
|       | TrickStyle                                                | Acclaim                   | Sega Dreamcast | 1999 | Europe
|       | UEFA Dream Soccer                                         | Sega                      | Sega Dreamcast | 2000 | Europe
|       | UEFA Striker                                              | Infogrames                | Sega Dreamcast | 1999 | Europe
|       | Ultimate Fighting Championship                            | Ubisoft                   | Sega Dreamcast | 2000 | Europe
|       | Unreal Tournament                                         | Infogrames                | Sega Dreamcast | 2001 | Europe
|       | Urban Chaos                                               | Eidos Interactive         | Sega Dreamcast | 2000 | Europe
|       | V-Rally 2: Expert Edition                                 | Infogrames                | Sega Dreamcast | 2000 | Europe
|       | Vanishing Point                                           | Acclaim                   | Sega Dreamcast | 2001 | Europe
|       | Vigilante 8: 2nd Offense                                  | Activision                | Sega Dreamcast | 2000 | Europe
|       | Virtua Athlete 2k                                         | Sega                      | Sega Dreamcast | 2000 | Europe
|       | Virtua Fighter 3tb                                        | Sega                      | Sega Dreamcast | 1999 | Europe
|       | Virtua Striker 2 Ver. 2000.1                              | Sega                      | Sega Dreamcast | 2000 | Europe
|       | Virtua Tennis                                             | Sega                      | Sega Dreamcast | 2000 | Europe
|       | Virtua Tennis 2                                           | Sega                      | Sega Dreamcast | 2001 | Europe
|       | Wacky Races                                               | Infogrames                | Sega Dreamcast | 2000 | Europe
|       | Walt Disney World Quest: Magical Racing Tour              | Eidos Interactive         | Sega Dreamcast | 2000 | Europe
|       | Wetrix+                                                   | Take-Two Interactive      | Sega Dreamcast | 2000 | Europe
|       | Who Wants to be a Millionaire?                            | Eidos Interactive         | Sega Dreamcast | 2000 | Europe
|       | Wild Metal                                                | Rockstar Games            | Sega Dreamcast | 2000 | Europe
|       | Wind and Water: Puzzle Battles                            | redspotgames              | Sega Dreamcast | 2008 | Europe
|       | Worms Armageddon                                          | MicroProse                | Sega Dreamcast | 1999 | Europe
|       | Worms World Party                                         | Virgin Interactive        | Sega Dreamcast | 2001 | Europe
|       | WWF Attitude                                              | Acclaim                   | Sega Dreamcast | 1999 | Europe
|       | WWF Royal Rumble                                          | THQ                       | Sega Dreamcast | 2000 | Europe
|       | Xenocider                                                 | Retro Sumus               | Sega Dreamcast | 2017 | Europe
|       | Zia & the Goddesses of Magic                              | Orion Soft                | Sega Dreamcast | 2016 | Europe
|       | Zombie Revenge                                            | Sega                      | Sega Dreamcast | 2000 | Europe
