|       | Disney Violetta: Rhythm & Music                                                      | Little Orbit                           | Nintendo 3DS | 2014 | Europe
|       | Disney/Pixar Cars 2                                                                  | Disney Interactive Studios             | Nintendo 3DS | 2011 | Europe
|       | Doctor Lautrec and the Forgotten Knights                                             | Konami                                 | Nintendo 3DS | 2011 | Europe
|       | Donkey Kong Country Returns 3D                                                       | Nintendo                               | Nintendo 3DS | 2013 | Europe
|       | Doodle Jump Adventures                                                               | Avanquest Software                     | Nintendo 3DS | 2013 | Europe
|       | Dr. Kawashima's Devilish Brain Training: Can You Stay Focused?                       | Nintendo                               | Nintendo 3DS | 2013 | Europe
|       | Dragon Ball Z: Extreme Butoden                                                       | Bandai Namco Games                     | Nintendo 3DS | 2015 | Europe
|       | Dragon Ball: Fusions                                                                 | Bandai Namco Games                     | Nintendo 3DS | 2016 | Europe
|       | Dragon Quest VII: Fragments of the Forgotten Past                                    | Nintendo                               | Nintendo 3DS | 2016 | Europe
|       | Dragon Quest VIII: Journey of the Cursed King                                        | Nintendo                               | Nintendo 3DS | 2017 | Europe
|       | Dream Trigger 3D                                                                     | D3Publisher                            | Nintendo 3DS | 2011 | Europe
|       | DreamWorks Madagascar 3 & The Croods: Combo Pack                                     | D3Publisher                            | Nintendo 3DS | 2014 | Europe
|       | DreamWorks Madagascar 3: Europe's Most Wanted                                        | D3Publisher                            | Nintendo 3DS | 2012 | Europe
|       | DreamWorks Super Star Kartz                                                          | Activision                             | Nintendo 3DS | 2011 | Europe
|       | Driver: Renegade 3D                                                                  | Ubisoft                                | Nintendo 3DS | 2011 | Europe
|       | DualPenSports                                                                        | Namco Bandai Games                     | Nintendo 3DS | 2011 | Europe
|       | Etrian Mystery Dungeon                                                               | NIS America                            | Nintendo 3DS | 2015 | Europe
|       | Etrian Odyssey 2 Untold: The Fafnir Knight                                           | NIS America                            | Nintendo 3DS | 2015 | Europe
|       | Etrian Odyssey IV: Legends of the Titan                                              | NIS America                            | Nintendo 3DS | 2013 | Europe
|       | Etrian Odyssey Untold: The Millennium Girl                                           | NIS America                            | Nintendo 3DS | 2013 | Europe
|       | Etrian Odyssey V: Beyond the Myth                                                    | Deep Silver                            | Nintendo 3DS | 2018 | Europe
|       | Etrian Odyssey V: Beyond the Myth                                                    | Deep Silver                            | Nintendo 3DS | 2018 | Europe
|       | Ever Oasis                                                                           | Nintendo                               | Nintendo 3DS | 2017 | Europe
|       | F1 2011                                                                              | Codemasters                            | Nintendo 3DS | 2011 | Europe
|       | Fantasy Life                                                                         | Nintendo                               | Nintendo 3DS | 2014 | Europe
|       | Farming Simulator 14                                                                 | Focus Home Interactive                 | Nintendo 3DS | 2014 | Europe
|       | Farming Simulator 18                                                                 | Focus Home Interactive                 | Nintendo 3DS | 2017 | Europe
|       | Farming Simulator 2012                                                               | Excalibur Publishing                   | Nintendo 3DS | 2012 | Europe
|       | Fast & Furious: Showdown                                                             | Activision                             | Nintendo 3DS | 2013 | Europe
|       | FIFA 12                                                                              | Electronic Arts                        | Nintendo 3DS | 2011 | Europe
|       | FIFA 13                                                                              | EA Sports                              | Nintendo 3DS | 2012 | Europe
|       | FIFA 14: Legacy Edition                                                              | EA Sports                              | Nintendo 3DS | 2013 | Europe
|       | FIFA 15: Legacy Edition                                                              | Electronic Arts                        | Nintendo 3DS | 2014 | Europe
|       | Final Fantasy Explorers                                                              | Square Enix                            | Nintendo 3DS | 2016 | Europe
|       | Finding Nemo: Escape to the Big Blue Special Edition                                 | Disney Interactive Studios             | Nintendo 3DS | 2012 | Europe
|       | Fire Emblem Echoes: Shadows of Valentia                                              | Nintendo                               | Nintendo 3DS | 2017 | Europe
|       | Fire Emblem Fates: Birthright                                                        | Nintendo                               | Nintendo 3DS | 2016 | Europe
|       | Fire Emblem Fates: Conquest                                                          | Nintendo                               | Nintendo 3DS | 2016 | Europe
|       | Fire Emblem Fates: Limited Edition                                                   | Nintendo                               | Nintendo 3DS | 2016 | Europe
|       | Fire Emblem: Awakening                                                               | Nintendo                               | Nintendo 3DS | 2013 | Europe
|       | Fireman Sam: To The Rescue                                                           | Avanquest Software                     | Nintendo 3DS | 2015 | Europe
|       | Flap Flap                                                                            | BigBen Interactive                     | Nintendo 3DS | 2015 | Europe
|       | Fossil Fighters: Frontier                                                            | Nintendo                               | Nintendo 3DS | 2015 | Europe
|       | Freakyforms Deluxe: Your Creations, Alive!                                           | Nintendo                               | Nintendo 3DS | 2012 | Europe
|       | Frogger 3D                                                                           | Konami                                 | Nintendo 3DS | 2011 | Europe
|       | Funfair Party Games                                                                  | Avanquest Software                     | Nintendo 3DS | 2013 | Europe
|       | Funky Barn 3D                                                                        | Ubisoft                                | Nintendo 3DS | 2012 | Europe
|       | Gabrielle's Ghostly Groove 3D                                                        | Funbox Media                           | Nintendo 3DS | 2011 | Europe
|       | Games Festival 1                                                                     | BigBen Interactive                     | Nintendo 3DS | 2013 | Europe
|       | Games Festival 2                                                                     | BigBen Interactive                     | Nintendo 3DS | 2013 | Europe
|       | Gardening Mama: Forest Friends                                                       | Nintendo                               | Nintendo 3DS | 2014 | Europe
|       | Gardenscapes                                                                         | Easy Interactive                       | Nintendo 3DS | 2012 | Europe
|       | Garfield Kart                                                                        | Ravenscourt                            | Nintendo 3DS | 2015 | Europe
|       | Generator Rex: Agent of Providence                                                   | Activision                             | Nintendo 3DS | 2011 | Europe
|       | Girls' Fashion Shoot                                                                 | Rising Star Games                      | Nintendo 3DS | 2013 | Europe
|       | Goosebumps: The Game                                                                 | Avanquest Software                     | Nintendo 3DS | 2015 | Europe
|       | Gravity Falls: Legend of the Gnome Gemulets                                          | Ubisoft                                | Nintendo 3DS | 2015 | Europe
|       | Green Lantern: Rise of the Manhunters                                                | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2011 | Europe
|       | Gummy Bears Magical Medallion                                                        | Mastertronic                           | Nintendo 3DS | 2012 | Europe
|       | Hakuoki: Memories of the Shinsengumi                                                 | Rising Star Games                      | Nintendo 3DS | 2013 | Europe
|       | Happy Feet Two: The Videogame                                                        | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2011 | Europe
|       | Harvest Moon 3D: A New Beginning                                                     | Zen United                             | Nintendo 3DS | 2012 | Europe
|       | Harvest Moon: Skytree Village                                                        | Rising Star Games                      | Nintendo 3DS | 2016 | Europe
|       | Harvest Moon: The Lost Valley                                                        | Rising Star Games                      | Nintendo 3DS | 2014 | Europe
|       | Harvest Moon: The Tale of Two Towns                                                  | Rising Star Games                      | Nintendo 3DS | 2011 | Europe
|       | Hatsune Miku: Project Mirai DX                                                       | Sega                                   | Nintendo 3DS | 2015 | Europe
|       | Heavy Fire: The Chosen Few 3D                                                        | Avanquest Software                     | Nintendo 3DS | 2011 | Europe
|       | Hello Kitty & Friends: Rock n' World Tour                                            | Rising Star Games                      | Nintendo 3DS | 2015 | Europe
|       | Hello Kitty and Sanrio Friends 3D Racing                                             | PQube                                  | Nintendo 3DS | 2014 | Europe
|       | Hello Kitty and the Apron of Magic: Rhythm Cooking                                   | Rising Star Games                      | Nintendo 3DS | 2015 | Europe
|       | Hello Kitty Happy Happy Family                                                       | BigBen Interactive                     | Nintendo 3DS | 2014 | Europe
|       | Hello Kitty Picnic with Sanrio Characters                                            | 505 Games                              | Nintendo 3DS | 2012 | Europe
|       | Heroes of Ruin                                                                       | Square Enix                            | Nintendo 3DS | 2012 | Europe
|       | Hey! Pikmin                                                                          | Nintendo                               | Nintendo 3DS | 2017 | Europe
|       | Hidden Expedition: Titanic                                                           | MSL                                    | Nintendo 3DS | 2013 | Europe
|       | Hollywood Fame: Hidden Object Adventure                                              | BigBen Interactive                     | Nintendo 3DS | 2014 | Europe
|       | HomeTown Story                                                                       | Rising Star Games                      | Nintendo 3DS | 2013 | Europe
|       | Horrid Henry: The Good, The Bad and The Bugly                                        | Asylum Entertainment                   | Nintendo 3DS | 2011 | Europe
|       | Horse Life 4                                                                         | Koch Media                             | Nintendo 3DS | 2015 | Europe
|       | Hot Wheels: World's Best Driver                                                      | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2013 | Europe
|       | Hotel Transylvania                                                                   | Avanquest Software                     | Nintendo 3DS | 2012 | Europe
|       | How to Train Your Dragon 2                                                           | Little Orbit                           | Nintendo 3DS | 2014 | Europe
|       | Hyrule Warriors Legends                                                              | Nintendo                               | Nintendo 3DS | 2016 | Europe
|       | I Love My Horse                                                                      | BigBen Interactive                     | Nintendo 3DS | 2014 | Europe
|       | I Love My Little Boy                                                                 | BigBen Interactive                     | Nintendo 3DS | 2014 | Europe
|       | I Love My Little Girl                                                                | BigBen Interactive                     | Nintendo 3DS | 2014 | Europe
|       | I Love My Pets                                                                       | BigBen Interactive                     | Nintendo 3DS | 2013 | Europe
|       | Ice Age 4: Continental Drift - Arctic Games                                          | Activision                             | Nintendo 3DS | 2012 | Europe
|       | Imagine Babies 3D                                                                    | Ubisoft                                | Nintendo 3DS | 2012 | Europe
|       | Imagine Fashion Designer 3D                                                          | Ubisoft                                | Nintendo 3DS | 2011 | Europe
|       | Imagine Fashion World 3D                                                             | Ubisoft                                | Nintendo 3DS | 2012 | Europe
|       | Inazuma Eleven 3: Bomb Blast                                                         | Nintendo                               | Nintendo 3DS | 2013 | Europe
|       | Inazuma Eleven 3: Lightning Bolt                                                     | Nintendo                               | Nintendo 3DS | 2013 | Europe
|       | Inazuma Eleven 3: Team Ogre Attacks!                                                 | Nintendo                               | Nintendo 3DS | 2014 | Europe
|       | Inazuma Eleven Go: Chrono Stones - Thunderflash                                      | Nintendo                               | Nintendo 3DS | 2015 | Europe
|       | Inazuma Eleven Go: Chrono Stones - Wildfire                                          | Nintendo                               | Nintendo 3DS | 2015 | Europe
|       | Inazuma Eleven Go: Light                                                             | Nintendo                               | Nintendo 3DS | 2014 | Europe
|       | Inazuma Eleven Go: Shadow                                                            | Nintendo                               | Nintendo 3DS | 2014 | Europe
|       | James Noir's Hollywood Crimes 3D                                                     | Ubisoft                                | Nintendo 3DS | 2011 | Europe
|       | Jet Dog                                                                              | BigBen Interactive                     | Nintendo 3DS | 2015 | Europe
|       | Jewel Link Double Pack: Safari Quest & Atlantic Quest                                | Avanquest Software                     | Nintendo 3DS | 2015 | Europe
|       | Jewel Link: Legends of Atlantis 3D                                                   | Avanquest Software                     | Nintendo 3DS | 2012 | Europe
|       | Jewel Master: Cradle of Egypt 2 3D                                                   | Rising Star Games                      | Nintendo 3DS | 2013 | Europe
|       | Jewel Master: Cradle of Rome 2                                                       | Rising Star Games                      | Nintendo 3DS | 2012 | Europe
|       | Jewel Match 3                                                                        | Joindots                               | Nintendo 3DS | 2012 | Europe
|       | Jewel Quest IV: Heritage                                                             | Licensed 4U                            | Nintendo 3DS | 2012 | Europe
|       | Jewel Quest Mysteries 3: The Seventh Gate                                            | Licensed 4U                            | Nintendo 3DS | 2012 | Europe
|       | Jewel Quest: The Sapphire Dragon                                                     | MSL                                    | Nintendo 3DS | 2014 | Europe
|       | Jewel Time Deluxe                                                                    | O-Games                                | Nintendo 3DS | 2012 | Europe
|       | Junior Games 3D                                                                      | rondomedia                             | Nintendo 3DS | 2012 | Europe
|       | Kid Icarus: Uprising                                                                 | Nintendo                               | Nintendo 3DS | 2012 | Europe
|       | Kingdom Hearts 3D: Dream Drop Distance                                               | Square Enix                            | Nintendo 3DS | 2012 | Europe
|       | Kirby: Planet Robobot                                                                | Nintendo                               | Nintendo 3DS | 2016 | Europe
|       | Kirby: Triple Deluxe                                                                 | Nintendo                               | Nintendo 3DS | 2014 | Europe
|       | Kung Fu Panda: Showdown of Legendary Legends                                         | Little Orbit                           | Nintendo 3DS | 2015 | Europe
|       | Layton's Mystery Journey: Katrielle and The Millionaire's Conspiracy                 | Nintendo                               | Nintendo 3DS | 2017 | Europe
|       | Layton's Mystery Journey: Katrielle and The Millionaire's Conspiracy                 | Nintendo                               | Nintendo 3DS | 2017 | Europe
|       | LBX: Little Battlers eXperience                                                      | Nintendo                               | Nintendo 3DS | 2015 | Europe
|       | Legend of Legacy, The                                                                | NIS America                            | Nintendo 3DS | 2015 | Europe
|       | Legend of Zelda: A Link Between Worlds, The                                          | Nintendo                               | Nintendo 3DS | 2013 | Europe
|       | Legend of Zelda: Majora's Mask 3D, The                                               | Nintendo                               | Nintendo 3DS | 2015 | Europe
|       | Legend of Zelda: Ocarina of Time 3D, The                                             | Nintendo                               | Nintendo 3DS | 2011 | Europe
|       | Legend of Zelda: Tri Force Heroes, The                                               | Nintendo                               | Nintendo 3DS | 2015 | Europe
|       | Legends of Oz: Dorothy's Return                                                      | Avanquest Software                     | Nintendo 3DS | 2014 | Europe
|       | LEGO Batman 2: DC Super Heroes                                                       | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2012 | Europe
|       | LEGO Batman 3: Beyond Gotham                                                         | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2014 | Europe
|       | LEGO City Undercover: The Chase Begins                                               | Nintendo                               | Nintendo 3DS | 2013 | Europe
|       | LEGO Friends                                                                         | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2013 | Europe
|       | LEGO Harry Potter: Years 5-7                                                         | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2011 | Europe
|       | LEGO Jurassic World                                                                  | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2015 | Europe
|       | LEGO Legends of Chima: Laval's Journey                                               | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2013 | Europe
|       | LEGO Marvel Super Heroes: Universe in Peril                                          | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2013 | Europe
|       | LEGO Marvel's Avengers                                                               | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2016 | Europe
|       | LEGO Movie Videogame, The                                                            | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2014 | Europe
|       | LEGO Ninjago: Nindroids                                                              | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2014 | Europe
|       | LEGO Ninjago: Shadow of Ronin                                                        | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2015 | Europe
|       | LEGO Pirates of the Caribbean: The Video Game                                        | Disney Interactive Studios             | Nintendo 3DS | 2011 | Europe
|       | LEGO Star Wars III: The Clone Wars                                                   | LucasArts                              | Nintendo 3DS | 2011 | Europe
|       | LEGO Star Wars: The Force Awakens                                                    | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2016 | Europe
|       | LEGO The Hobbit                                                                      | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2014 | Europe
|       | LEGO The Lord of the Rings                                                           | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2012 | Europe
|       | Les Mysterieuses Cites d'Or: Mondes Secrets                                          | Ynnis Interactive                      | Nintendo 3DS | 2014 | Europe
|       | Lucky Luke & The Daltons                                                             | Ravenscourt                            | Nintendo 3DS | 2015 | Europe
|       | Luigi's Mansion 2                                                                    | Nintendo                               | Nintendo 3DS | 2013 | Europe
|       | Luv Me Buddies Wonderland                                                            | Oxygene                                | Nintendo 3DS | 2015 | Europe
|       | Luxor                                                                                | MSL                                    | Nintendo 3DS | 2013 | Europe
|       | Luxor: Quest for the Afterlife                                                       | Licensed 4U                            | Nintendo 3DS | 2012 | Europe
|       | Madden NFL Football                                                                  | EA Games                               | Nintendo 3DS | 2011 | Europe
|       | Mahjong 3D: Warriors of the Emperor                                                  | DTP Entertainment                      | Nintendo 3DS | 2012 | Europe
|       | Mahjong Mysteries: Ancient Athena 3D                                                 | Avanquest Software                     | Nintendo 3DS | 2012 | Europe
|       | Mario & Luigi: Dream Team Bros.                                                      | Nintendo                               | Nintendo 3DS | 2013 | Europe
|       | Mario & Luigi: Paper Jam Bros.                                                       | Nintendo                               | Nintendo 3DS | 2016 | Europe
|       | Mario & Luigi: Superstar Saga + Bowser's Minions                                     | Nintendo                               | Nintendo 3DS | 2017 | Europe
|       | Mario & Sonic at the London 2012 Olympic Games                                       | Sega                                   | Nintendo 3DS | 2012 | Europe
|       | Mario & Sonic at the Rio 2016 Olympic Games                                          | Nintendo                               | Nintendo 3DS | 2016 | Europe
|       | Mario and Donkey Kong: Minis on the Move + Mario vs. Donkey Kong: Minis March Again! | Nintendo                               | Nintendo 3DS | 2015 | Europe
|       | Mario Golf: World Tour                                                               | Nintendo                               | Nintendo 3DS | 2014 | Europe
|       | Mario Kart 7                                                                         | Nintendo                               | Nintendo 3DS | 2011 | Europe
|       | Mario Party: Island Tour                                                             | Nintendo                               | Nintendo 3DS | 2013 | Europe
|       | Mario Party: Star Rush                                                               | Nintendo                               | Nintendo 3DS | 2016 | Europe
|       | Mario Sports Superstars                                                              | Nintendo                               | Nintendo 3DS | 2017 | Europe
|       | Mario Tennis Open                                                                    | Nintendo                               | Nintendo 3DS | 2012 | Europe
|       | Mario vs. Donkey Kong: Tipping Stars                                                 | Nintendo                               | Nintendo 3DS | 2015 | Europe
|       | Marvel Super Hero Squad: The Infinity Gauntlet                                       | THQ                                    | Nintendo 3DS | 2011 | Europe
|       | Mein Westernpferd 3D                                                                 | TREVA Entertainment                    | Nintendo 3DS | 2013 | Europe
|       | Mensa Academy                                                                        | Square Enix                            | Nintendo 3DS | 2012 | Europe
|       | Metal Gear Solid: Snake Eater 3D                                                     | Konami                                 | Nintendo 3DS | 2012 | Europe
|       | Metroid Prime: Federation Force                                                      | Nintendo                               | Nintendo 3DS | 2016 | Europe
|       | Metroid: Samus Returns                                                               | Nintendo                               | Nintendo 3DS | 2017 | Europe
|       | Michael Jackson The Experience                                                       | Ubisoft                                | Nintendo 3DS | 2011 | Europe
|       | Mii Maker                                                                            | Nintendo                               | Nintendo 3DS | 2011 | Europe
|       | Miitopia                                                                             | Nintendo                               | Nintendo 3DS | 2017 | Europe
|       | Mike The Knight and The Great Gallop                                                 | Avanquest Software                     | Nintendo 3DS | 2016 | Europe
|       | Mon Haras 3D: Au galop vers l'aventure                                               | TREVA Entertainment                    | Nintendo 3DS | 2013 | Europe
|       | Monster 4x4 3D                                                                       | Ubisoft                                | Nintendo 3DS | 2012 | Europe
|       | Monster High: 13 Wishes                                                              | Little Orbit                           | Nintendo 3DS | 2013 | Europe
|       | Monster High: New Ghoul in School                                                    | Little Orbit                           | Nintendo 3DS | 2015 | Europe
|       | Monster High: Skultimate Roller Maze                                                 | Little Orbit                           | Nintendo 3DS | 2013 | Europe
|       | Monster Hunter 3 Ultimate                                                            | Nintendo                               | Nintendo 3DS | 2013 | Europe
|       | Monster Hunter 4 Ultimate                                                            | Capcom                                 | Nintendo 3DS | 2015 | Europe
|       | Monster Hunter Generations                                                           | Capcom                                 | Nintendo 3DS | 2016 | Europe
|       | Monster Hunter Stories                                                               | Capcom                                 | Nintendo 3DS | 2017 | Europe
