|       | Bishoujo Senshi Sailor Moon Super S: Fuwa Fuwa Panic                      | Bandai                       | Super Nintendo | 1995 | Japan
|       | Bishoujo Senshi Sailor Moon Super S: Shuyaku!! Soudatsusen                | Angel (Bandai)               | Super Nintendo | 1996 | Japan
|       | Bishoujo Senshi Sailor Moon: Another Story                                | Angel (Bandai)               | Super Nintendo | 1995 | Japan
|       | Bishoujo Senshi Sailor Moon: Sailor Stars Fuwa Fuwa Panic 2               | Bandai                       | Super Nintendo | 1996 | Japan
|       | Bishoujo Wrestler Retsuden: Blizzard Yuki Rannyuu                         | KSS                          | Super Nintendo | 1996 | Japan
|       | Blackthorne: Fukushuu no Kuroki Toge                                      | Kemco                        | Super Nintendo | 1995 | Japan
|       | Blazeon                                                                   | ATLUS                        | Super Nintendo | 1992 | Japan
|       | Block Kuzushi                                                             | Pow                          | Super Nintendo | 1995 | Japan
|       | Blue Crystal Rod, The                                                     | Namco                        | Super Nintendo | 1994 | Japan
|       | Blues Brothers, The                                                       | Kemco                        | Super Nintendo | 1993 | Japan
|       | Bokujou Monogatari                                                        | Pack-In-Video                | Super Nintendo | 1996 | Japan
|       | Bomberman B-Daman                                                         | Hudson                       | Super Nintendo | 1996 | Japan
|       | Bombuzal                                                                  | Kemco                        | Super Nintendo | 1990 | Japan
|       | Bounty Sword                                                              | Pioneer LDC                  | Super Nintendo | 1995 | Japan
|       | Brain Lord                                                                | Enix Corporation             | Super Nintendo | 1994 | Japan
|       | Brandish                                                                  | Koei                         | Super Nintendo | 1994 | Japan
|       | Brandish 2                                                                | Koei                         | Super Nintendo | 1995 | Japan
|       | Brandish 2 Expert                                                         | Koei                         | Super Nintendo | 1996 | Japan
|       | Breath of Fire II: Shimei no Ko                                           | Capcom                       | Super Nintendo | 1994 | Japan
|       | Breath of Fire: Ryuu no Senshi                                            | Capcom                       | Super Nintendo | 1993 | Japan
|       | Bugs Bunny: Hachamecha Daibouken                                          | SunSoft                      | Super Nintendo | 1994 | Japan
|       | Burai: Hachigyoku no Yuushi Densetsu                                      | IGS (Japan)                  | Super Nintendo | 1993 | Japan
|       | Bushi Seiryuuden: Futari no Yuusha                                        | T&E Soft                     | Super Nintendo | 1997 | Japan
|       | Cacoma Knight                                                             | Datam Polystar               | Super Nintendo | 1992 | Japan
|       | California Games II                                                       | Hect                         | Super Nintendo | 1993 | Japan
|       | Cameltry                                                                  | Taito Corporation            | Super Nintendo | 1992 | Japan
|       | Captain Commando                                                          | Capcom                       | Super Nintendo | 1995 | Japan
|       | Captain Tsubasa III: Koutei no Chousen                                    | Tecmo                        | Super Nintendo | 1992 | Japan
|       | Captain Tsubasa IV: Pro no Rival Tachi                                    | Tecmo                        | Super Nintendo | 1993 | Japan
|       | Captain Tsubasa J: The Way to World Youth                                 | Bandai                       | Super Nintendo | 1995 | Japan
|       | Captain Tsubasa V: Hasha no Shougou Campione                              | Tecmo                        | Super Nintendo | 1994 | Japan
|       | Caravan Shooting Collection                                               | Hudson                       | Super Nintendo | 1995 | Japan
|       | Card Master: Rimusaria no Fuuin                                           | HAL Labs                     | Super Nintendo | 1992 | Japan
|       | Carrier Aces                                                              | Yumedia                      | Super Nintendo | 1995 | Japan
|       | Casper                                                                    | KSS                          | Super Nintendo | 1997 | Japan
|       | Casper                                                                    | KSS                          | Super Nintendo | 1997 | Japan
|       | CB Chara Wars: Ushinawareta Gag                                           | Banpresto                    | Super Nintendo | 1992 | Japan
|       | Champions World Class Soccer                                              | Acclaim Japan                | Super Nintendo | 1994 | Japan
|       | Chaos Seed: Fuusui Kairouki                                               | Taito Corporation            | Super Nintendo | 1996 | Japan
|       | Chessmaster, The                                                          | Altron                       | Super Nintendo | 1995 | Japan
|       | Chibi Maruko-Chan: Harikiri 365-Nichi no Maki                             | Epoch                        | Super Nintendo | 1991 | Japan
|       | Chibi Maruko-Chan: Mezase! Minami no Island!!                             | Konami                       | Super Nintendo | 1995 | Japan
|       | Chinhai                                                                   | Banpresto                    | Super Nintendo | 1995 | Japan
|       | Cho Aniki: Bakuretsu Ranto Hen                                            | NCS                          | Super Nintendo | 1995 | Japan
