|       | GoldenEye: Dark Agent                                      | EA Games                     | Nintendo GameCube | 2005 | Japan
|       | Gotcha Force                                               | Capcom                       | Nintendo GameCube | 2003 | Japan
|       | Groove Adventure Rave: Fighting Live                       | Konami                       | Nintendo GameCube | 2002 | Japan
|       | GT Cube                                                    | MTO                          | Nintendo GameCube | 2003 | Japan
|       | Harry Potter to Azkaban no Shuujin                         | EA Games                     | Nintendo GameCube | 2004 | Japan
|       | Harry Potter to Himitsu no Heya                            | Electronic Arts              | Nintendo GameCube | 2002 | Japan
|       | Harry Potter to Honoo no Goblet                            | Electronic Arts              | Nintendo GameCube | 2005 | Japan
|       | Harry Potter to Kenja no Ishi                              | Electronic Arts              | Nintendo GameCube | 2003 | Japan
|       | Harry Potter: Quidditch World Cup                          | Electronic Arts              | Nintendo GameCube | 2003 | Japan
|       | Hikaru no Go 3                                             | Konami                       | Nintendo GameCube | 2003 | Japan
|       | Homeland                                                   | ChunSoft                     | Nintendo GameCube | 2004 | Japan
|       | Hudson Selection Vol. 1: Cubic Lode Runner                 | Hudson                       | Nintendo GameCube | 2003 | Japan
|       | Hudson Selection Vol. 2: Star Soldier                      | Hudson                       | Nintendo GameCube | 2003 | Japan
|       | Hudson Selection Vol. 3: PC Genjin                         | Hudson                       | Nintendo GameCube | 2003 | Japan
|       | Hudson Selection Vol. 4: Takahashi Meijin no Bouken Jima   | Hudson                       | Nintendo GameCube | 2003 | Japan
|       | Hyper Sports 2002 Winter                                   | Konami                       | Nintendo GameCube | 2002 | Japan
|       | Ikaruga                                                    | Atari                        | Nintendo GameCube | 2003 | Japan
|       | Jikkyou Powerful Major League                              | Konami                       | Nintendo GameCube | 2005 | Japan
|       | Jikkyou Powerful Pro Yakyuu 10                             | Konami                       | Nintendo GameCube | 2003 | Japan
|       | Jikkyou Powerful Pro Yakyuu 10 Chou Ketteiban              | Konami                       | Nintendo GameCube | 2003 | Japan
|       | Jikkyou Powerful Pro Yakyuu 11                             | Konami                       | Nintendo GameCube | 2004 | Japan
|       | Jikkyou Powerful Pro Yakyuu 11 Chou Ketteiban              | Konami                       | Nintendo GameCube | 2004 | Japan
|       | Jikkyou Powerful Pro Yakyuu 12                             | Konami                       | Nintendo GameCube | 2005 | Japan
|       | Jikkyou Powerful Pro Yakyuu 12 Ketteiban                   | Konami                       | Nintendo GameCube | 2005 | Japan
|       | Jikkyou Powerful Pro Yakyuu 9                              | Konami                       | Nintendo GameCube | 2002 | Japan
|       | Jikkyou Powerful Pro Yakyuu 9 Ketteiban                    | Konami                       | Nintendo GameCube | 2002 | Japan
|       | Jikkyou World Soccer 2002                                  | Konami                       | Nintendo GameCube | 2002 | Japan
|       | Kaijuu no Shima: Amazing Island                            | Sega                         | Nintendo GameCube | 2004 | Japan
|       | Kero Kero King DX                                          | Bandai                       | Nintendo GameCube | 2003 | Japan
|       | Kidou Senshi Gundam: Gundam vs. Z Gundam                   | Bandai                       | Nintendo GameCube | 2004 | Japan
|       | Kidou Senshi Gundam: Senshitachi no Kiseki                 | Bandai                       | Nintendo GameCube | 2003 | Japan
|       | Killer7                                                    | Capcom                       | Nintendo GameCube | 2005 | Japan
|       | Kinnikuman Nisei: Shinsedai Choujin vs Densetsu Choujin    | Bandai                       | Nintendo GameCube | 2002 | Japan
|       | Kirby no Air Ride                                          | Nintendo                     | Nintendo GameCube | 2003 | Japan
|       | Kiwame Mahjong DX II                                       | Athena                       | Nintendo GameCube | 2002 | Japan
|       | Konjiki no Gashbell!! Go! Go! Mamono Fight!!               | Bandai                       | Nintendo GameCube | 2005 | Japan
|       | Konjiki no Gashbell!! Yuujou no Tag Battle 2               | Bandai                       | Nintendo GameCube | 2005 | Japan
|       | Konjiki no Gashbell!! Yuujou no Tag Battle Full Power      | Bandai                       | Nintendo GameCube | 2004 | Japan
|       | Korokke! Ban-Ou no Kiki o Sukue                            | Konami                       | Nintendo GameCube | 2004 | Japan
|       | Kururin Squash!                                            | Nintendo                     | Nintendo GameCube | 2004 | Japan
|       | Kyojin no Doshin                                           | Nintendo                     | Nintendo GameCube | 2002 | Japan
|       | Legend of Golfer                                           | Nintendo                     | Nintendo GameCube | 2004 | Japan
|       | Legend of Zelda Collection, The                            | Nintendo                     | Nintendo GameCube | 2004 | Japan
|       | Lord of the Rings: Futatsu no Tou                          | Electronic Arts              | Nintendo GameCube | 2003 | Japan
|       | Lord of the Rings: Nakatsu Kuni Daisanki                   | EA Games                     | Nintendo GameCube | 2004 | Japan
|       | Lord of the Rings: Ou no Kikan                             | Electronic Arts              | Nintendo GameCube | 2004 | Japan
|       | Luigi's Mansion                                            | Nintendo                     | Nintendo GameCube | 2001 | Japan
|       | Lupin III: Umi ni Kieta Hihou                              | Asmik Ace Entertainment, Inc | Nintendo GameCube | 2003 | Japan
|       | Madagascar                                                 | Bandai                       | Nintendo GameCube | 2005 | Japan
|       | Mahou no Pumpkin                                           | MTO                          | Nintendo GameCube | 2003 | Japan
|       | Mario Golf: Family Tour                                    | Nintendo                     | Nintendo GameCube | 2003 | Japan
|       | Mario Kart: Double Dash!!                                  | Nintendo                     | Nintendo GameCube | 2003 | Japan
|       | Mario Party 4                                              | Nintendo                     | Nintendo GameCube | 2002 | Japan
|       | Mario Party 5                                              | Nintendo                     | Nintendo GameCube | 2003 | Japan
|       | Mario Party 6                                              | Nintendo                     | Nintendo GameCube | 2004 | Japan
|       | Mario Party 7                                              | Nintendo                     | Nintendo GameCube | 2005 | Japan
|       | Mario Tennis GC                                            | Nintendo                     | Nintendo GameCube | 2004 | Japan
|       | Medal of Honor: Europa Kyoushuu                            | Electronic Arts              | Nintendo GameCube | 2005 | Japan
|       | Medal of Honor: Rising Sun                                 | Electronic Arts              | Nintendo GameCube | 2003 | Japan
|       | Medarot Brave                                              | Natsume                      | Nintendo GameCube | 2003 | Japan
|       | Metal Gear Solid: The Twin Snakes                          | Konami                       | Nintendo GameCube | 2004 | Japan
|       | Metroid Prime                                              | Nintendo                     | Nintendo GameCube | 2003 | Japan
|       | Metroid Prime 2: Dark Echoes                               | Nintendo                     | Nintendo GameCube | 2005 | Japan
|       | Mickey Mouse no Fushigi na Kagami                          | Nintendo                     | Nintendo GameCube | 2002 | Japan
|       | Mission: Impossible: Operation Surma                       | Atari                        | Nintendo GameCube | 2004 | Japan
|       | Momotarou Dentetsu 11                                      | Hudson                       | Nintendo GameCube | 2002 | Japan
|       | Momotarou Dentetsu 11                                      | Hudson                       | Nintendo GameCube | 2002 | Japan
|       | Momotarou Dentetsu 12                                      | Hudson                       | Nintendo GameCube | 2003 | Japan
|       | Monopoly: Mezase!! Daifugou Jinsei!!                       | Tomy Corporation             | Nintendo GameCube | 2003 | Japan
|       | Mr. Driller: Drill Land                                    | Namco                        | Nintendo GameCube | 2002 | Japan
|       | Mr. Incredible                                             | D3Publisher                  | Nintendo GameCube | 2004 | Japan
|       | Mr. Incredible: Kyouteki Underminder Toujou                | Sega                         | Nintendo GameCube | 2006 | Japan
|       | Muscle Champion                                            | Konami                       | Nintendo GameCube | 2002 | Japan
|       | Mutsu to Nohohon                                           | Tomy Corporation             | Nintendo GameCube | 2002 | Japan
|       | Naruto: Gekitou Ninja Taisen                               | Tomy Corporation             | Nintendo GameCube | 2003 | Japan
|       | Naruto: Gekitou Ninja Taisen! 2                            | Tomy Corporation             | Nintendo GameCube | 2003 | Japan
|       | Naruto: Gekitou Ninja Taisen! 3                            | Tomy Corporation             | Nintendo GameCube | 2004 | Japan
|       | Naruto: Gekitou Ninja Taisen! 4                            | Tomy Corporation             | Nintendo GameCube | 2005 | Japan
|       | NBA Courtside 2002                                         | Nintendo                     | Nintendo GameCube | 2002 | Japan
|       | NBA Street                                                 | Electronic Arts Victor       | Nintendo GameCube | 2002 | Japan
|       | NBA Street V3: Mario de Dunk                               | EA Sports Big                | Nintendo GameCube | 2005 | Japan
|       | Need for Speed Most Wanted                                 | Electronic Arts              | Nintendo GameCube | 2005 | Japan
|       | Need for Speed Underground                                 | Electronic Arts              | Nintendo GameCube | 2003 | Japan
|       | Need for Speed Underground 2                               | Electronic Arts              | Nintendo GameCube | 2004 | Japan
|       | Nintendo Puzzle Collection                                 | Nintendo                     | Nintendo GameCube | 2002 | Japan
|       | Odama                                                      | Nintendo                     | Nintendo GameCube | 2006 | Japan
|       | Ohenro-San: Hosshin no Dojo                                | Pin Change                   | Nintendo GameCube | 2003 | Japan
|       | One Piece Grand Battle! Rush                               | Bandai                       | Nintendo GameCube | 2005 | Japan
|       | One Piece: Grand Battle 3                                  | Bandai                       | Nintendo GameCube | 2003 | Japan
|       | One Piece: Pirates' Carnival                               | Bandai                       | Nintendo GameCube | 2005 | Japan
|       | One Piece: Treasure Battle!                                | Bandai                       | Nintendo GameCube | 2001 | Japan
|       | P.N. 03                                                    | Capcom                       | Nintendo GameCube | 2003 | Japan
|       | Pac-Man Vs.                                                | Namco                        | Nintendo GameCube | 2003 | Japan
|       | Paper Mario RPG                                            | Nintendo                     | Nintendo GameCube | 2004 | Japan
|       | Phantasy Star Online Episode I & II                        | Sega                         | Nintendo GameCube | 2002 | Japan
|       | Phantasy Star Online Episode I & II Plus                   | Sega                         | Nintendo GameCube | 2003 | Japan
|       | Phantasy Star Online Episode III: C.A.R.D. Revolution      | Sega                         | Nintendo GameCube | 2003 | Japan
|       | Pikmin                                                     | Nintendo                     | Nintendo GameCube | 2001 | Japan
|       | Pikmin 2                                                   | Nintendo                     | Nintendo GameCube | 2004 | Japan
|       | Pokemon Box: Ruby and Sapphire                             | Nintendo                     | Nintendo GameCube | 2003 | Japan
|       | Pokemon Channel: Pikachu to Issho!                         | Nintendo                     | Nintendo GameCube | 2003 | Japan
|       | Pokemon Colosseum                                          | Nintendo                     | Nintendo GameCube | 2003 | Japan
|       | Pokemon XD: Yami no Kaze Dark Lugia                        | Nintendo                     | Nintendo GameCube | 2005 | Japan
|       | Pool Edge                                                  | Media Kite                   | Nintendo GameCube | 2002 | Japan
|       | Puyo Puyo Fever                                            | Sega                         | Nintendo GameCube | 2004 | Japan
|       | R: Racing Evolution                                        | Namco                        | Nintendo GameCube | 2003 | Japan
|       | R: Racing Evolution with Pac-Man Vs.                       | Namco                        | Nintendo GameCube | 2003 | Japan
|       | Radirgy Generic                                            | MileStone Inc.               | Nintendo GameCube | 2005 | Japan
|       | Rei Fighter Gekitsui Senki                                 | Global A                     | Nintendo GameCube | 2003 | Japan
|       | RoboCop                                                    | Titus Software               | Nintendo GameCube | 2003 | Japan
|       | Robots                                                     | VU Games                     | Nintendo GameCube | 2005 | Japan
|       | RockMan EXE Transmission                                   | Capcom                       | Nintendo GameCube | 2003 | Japan
|       | RockMan X Command Mission                                  | Capcom                       | Nintendo GameCube | 2004 | Japan
|       | Rogue Ops                                                  | Kotobuki Systems             | Nintendo GameCube | 2004 | Japan
|       | Rune                                                       | From Software                | Nintendo GameCube | 2002 | Japan
|       | Rune II: Koruten no Kagi no Himitsu                        | From Software                | Nintendo GameCube | 2003 | Japan
|       | SD Gundam Gashapon Wars                                    | Bandai                       | Nintendo GameCube | 2001 | Japan
|       | Sega Soccer Slam                                           | Sega                         | Nintendo GameCube | 2002 | Japan
|       | Shadow the Hedgehog                                        | Sega                         | Nintendo GameCube | 2005 | Japan
|       | Shaman King: Soul Fight                                    | Bandai                       | Nintendo GameCube | 2003 | Japan
|       | Shark Tale                                                 | Taito Corporation            | Nintendo GameCube | 2005 | Japan
|       | Shikigami no Shiro II                                      | Alfa System                  | Nintendo GameCube | 2003 | Japan
|       | Shinkisekai Evolutia                                       | ESP Software                 | Nintendo GameCube | 2002 | Japan
|       | Shinseiki GPX Cyber Formula: Road to the Evolution         | Sunrise Interactive          | Nintendo GameCube | 2004 | Japan
|       | Sims, The                                                  | EA Games                     | Nintendo GameCube | 2004 | Japan
|       | Sonic Adventure 2 Battle                                   | Sega                         | Nintendo GameCube | 2001 | Japan
|       | Sonic Adventure DX                                         | Sega                         | Nintendo GameCube | 2003 | Japan
|       | Sonic Gems Collection                                      | Sega                         | Nintendo GameCube | 2005 | Japan
|       | Sonic Heroes                                               | Sega                         | Nintendo GameCube | 2003 | Japan
|       | Sonic Mega Collection                                      | Sega                         | Nintendo GameCube | 2002 | Japan
|       | Sonic Riders                                               | Sega                         | Nintendo GameCube | 2006 | Japan
|       | SoulCalibur II                                             | Namco                        | Nintendo GameCube | 2003 | Japan
|       | Space Raiders                                              | Taito Corporation            | Nintendo GameCube | 2003 | Japan
|       | Special Jinsei Game                                        | Takara                       | Nintendo GameCube | 2001 | Japan
|       | Spider-Man                                                 | Capcom                       | Nintendo GameCube | 2003 | Japan
|       | SSX 3                                                      | Electronic Arts              | Nintendo GameCube | 2003 | Japan
|       | SSX On Tour with Mario                                     | EA Sports Big                | Nintendo GameCube | 2005 | Japan
|       | SSX Tricky                                                 | Electronic Arts Victor       | Nintendo GameCube | 2001 | Japan
|       | Star Fox Adventures                                        | Nintendo                     | Nintendo GameCube | 2002 | Japan
|       | Star Fox: Assault                                          | Nintendo                     | Nintendo GameCube | 2005 | Japan
|       | Star Wars Rogue Leader: Rogue Squadron II                  | LucasArts                    | Nintendo GameCube | 2002 | Japan
|       | Star Wars Rogue Squadron III: Rebel Strike                 | LucasArts                    | Nintendo GameCube | 2003 | Japan
|       | Star Wars: Clone Sensou                                    | Electronic Arts              | Nintendo GameCube | 2003 | Japan
|       | Super Mario Stadium Miracle Baseball                       | Nintendo                     | Nintendo GameCube | 2005 | Japan
|       | Super Mario Strikers                                       | Nintendo                     | Nintendo GameCube | 2006 | Japan
|       | Super Mario Sunshine                                       | Nintendo                     | Nintendo GameCube | 2002 | Japan
|       | Super Monkey Ball                                          | Sega                         | Nintendo GameCube | 2001 | Japan
|       | Super Monkey Ball 2                                        | Sega                         | Nintendo GameCube | 2002 | Japan
|       | Super Puzzle Bobble All-Stars                              | Taito Corporation            | Nintendo GameCube | 2003 | Japan
|       | Super Robot Taisen GC                                      | Banpresto                    | Nintendo GameCube | 2004 | Japan
|       | Tales of Symphonia                                         | Namco                        | Nintendo GameCube | 2004 | Japan
|       | Tengai Makyou II: Manji Maru                               | Hudson                       | Nintendo GameCube | 2003 | Japan
|       | Tensai Bit-Kun: Gramon Battle                              | Taito Corporation            | Nintendo GameCube | 2003 | Japan
