|       | Duck Hunt                                                   | Nintendo               | Nintendo Entertainment System | 1987 | Europe
|       | Dynablaster                                                 | Hudson                 | Nintendo Entertainment System | 1991 | Europe
|       | Eliminator Boat Duel                                        | Storm                  | Nintendo Entertainment System | 1993 | Europe
|       | Elite                                                       | Imagineer              | Nintendo Entertainment System | 1991 | Europe
|       | Eric Cantona Football Challenge: Goal! 2                    | Jaleco Entertainment   | Nintendo Entertainment System | 1992 | Europe
|       | Excite Bike                                                 | Nintendo               | Nintendo Entertainment System | 1986 | Europe
|       | F-15 Strike Eagle                                           | MicroProse             | Nintendo Entertainment System | 1993 | Europe
|       | Fantastic Adventures of Dizzy, The                          | Codemasters            | Nintendo Entertainment System | 1993 | Europe
|       | Faxanadu                                                    | Nintendo               | Nintendo Entertainment System | 1990 | Europe
|       | Felix The Cat                                               | Hudson                 | Nintendo Entertainment System | 1992 | Europe
|       | Ferrari Grand Prix Challenge                                | Acclaim                | Nintendo Entertainment System | 1992 | Europe
|       | Fester's Quest                                              | SunSoft                | Nintendo Entertainment System | 1990 | Europe
|       | Firehawk                                                    | Codemasters            | Nintendo Entertainment System | 1993 | Europe
|       | Flintstones: The Rescue of Dino & Hoppy, The                | Taito Corporation      | Nintendo Entertainment System | 1992 | Europe
|       | Flintstones: The Surprise at Dinosaur Peak!, The            | Taito Corporation      | Nintendo Entertainment System | 1994 | Europe
|       | Formula 1 Sensation                                         | Palcom                 | Nintendo Entertainment System | 1993 | Europe
|       | Four Players' Tennis                                        | Nintendo               | Nintendo Entertainment System | 1992 | Europe
|       | Galaga                                                      | Bandai                 | Nintendo Entertainment System | 1988 | Europe
|       | Galaxy 5000: Racing in the 51st Century                     | Activision             | Nintendo Entertainment System | 1991 | Europe
|       | Gargoyle's Quest II                                         | Capcom                 | Nintendo Entertainment System | 1993 | Europe
|       | Gauntlet II                                                 | Mindscape              | Nintendo Entertainment System | 1991 | Europe
|       | George Foreman's KO Boxing                                  | Acclaim                | Nintendo Entertainment System | 1992 | Europe
|       | Ghost 'n Goblins                                            | Capcom                 | Nintendo Entertainment System | 1989 | Europe
|       | Ghostbusters II                                             | Activision             | Nintendo Entertainment System | 1990 | Europe
|       | Gluk the Thunder Warrior                                    | Gluk                   | Nintendo Entertainment System | 1992 | Europe
|       | Goal!                                                       | Jaleco Entertainment   | Nintendo Entertainment System | 1989 | Europe
|       | Godzilla: Monster of Monsters!                              | Toho                   | Nintendo Entertainment System | 1991 | Europe
|       | Golf                                                        | Nintendo               | Nintendo Entertainment System | 1986 | Europe
|       | Goonies II, The                                             | Konami                 | Nintendo Entertainment System | 1988 | Europe
|       | Gradius                                                     | Konami                 | Nintendo Entertainment System | 1988 | Europe
|       | Gremlins 2: The New Batch                                   | SunSoft                | Nintendo Entertainment System | 1991 | Europe
|       | Guardian Legend, The                                        | Nintendo               | Nintendo Entertainment System | 1990 | Europe
|       | Guerrilla War                                               | SNK                    | Nintendo Entertainment System | 1989 | Europe
|       | Gumshoe                                                     | Nintendo               | Nintendo Entertainment System | 1988 | Europe
|       | Gun.Smoke                                                   | Capcom                 | Nintendo Entertainment System | 1989 | Europe
|       | Gyromite                                                    | Nintendo               | Nintendo Entertainment System | 1985 | Europe
|       | Hammerin' Harry                                             | Irem                   | Nintendo Entertainment System | 1992 | Europe
|       | High Speed                                                  | Tradewest              | Nintendo Entertainment System | 1994 | Europe
|       | Hogan's Alley                                               | Nintendo               | Nintendo Entertainment System | 1987 | Europe
|       | Home Alone 2: Lost in New York                              | THQ                    | Nintendo Entertainment System | 1992 | Europe
|       | Hook                                                        | Ocean                  | Nintendo Entertainment System | 1992 | Europe
|       | Hoops                                                       | Jaleco Entertainment   | Nintendo Entertainment System | 1989 | Europe
|       | Hudson Hawk                                                 | Ocean                  | Nintendo Entertainment System | 1991 | Europe
|       | Hunt for Red October, The                                   | Hi Tech Expressions    | Nintendo Entertainment System | 1991 | Europe
|       | Ice Climber                                                 | Nintendo               | Nintendo Entertainment System | 1986 | Europe
|       | Ice Hockey                                                  | Nintendo               | Nintendo Entertainment System | 1988 | Europe
|       | Ikari Warriors                                              | SNK                    | Nintendo Entertainment System | 1989 | Europe
|       | Incredible Crash Dummies, The                               | LJN Ltd.               | Nintendo Entertainment System | 1993 | Europe
|       | Indiana Jones and the Last Crusade                          | Ubisoft                | Nintendo Entertainment System | 1993 | Europe
|       | Iron Tank                                                   | SNK                    | Nintendo Entertainment System | 1988 | Europe
|       | IronSword: Wizards & Warriors II                            | Acclaim                | Nintendo Entertainment System | 1991 | Europe
|       | Isolated Warrior                                            | Nintendo               | Nintendo Entertainment System | 1991 | Europe
|       | Ivan "Ironman" Stewart's Super Off Road                     | Tradewest              | Nintendo Entertainment System | 1991 | Europe
|       | Jack Nicklaus' Greatest 18 Holes of Major Championship Golf | Konami                 | Nintendo Entertainment System | 1991 | Europe
|       | Jackie Chan's Action Kung Fu                                | Hudson                 | Nintendo Entertainment System | 1991 | Europe
|       | James Bond Jr.                                              | THQ                    | Nintendo Entertainment System | 1992 | Europe
|       | Jetsons: Cogswell's Caper!, The                             | Taito Corporation      | Nintendo Entertainment System | 1993 | Europe
|       | Jimmy Connors Tennis                                        | Ubisoft                | Nintendo Entertainment System | 1993 | Europe
|       | Joe & Mac: Caveman Ninja                                    | Elite                  | Nintendo Entertainment System | 1992 | Europe
|       | Journey to Silius                                           | SunSoft                | Nintendo Entertainment System | 1990 | Europe
|       | Jungle Book, The                                            | Virgin Interactive     | Nintendo Entertainment System | 1994 | Europe
|       | Jurassic Park                                               | Ocean                  | Nintendo Entertainment System | 1993 | Europe
|       | Kabuki Quantum Fighter                                      | Nintendo               | Nintendo Entertainment System | 1992 | Europe
|       | Kick Off                                                    | Imagineer              | Nintendo Entertainment System | 1992 | Europe
|       | Kickle Cubicle                                              | Irem                   | Nintendo Entertainment System | 1990 | Europe
|       | Kid Icarus                                                  | Nintendo               | Nintendo Entertainment System | 1987 | Europe
|       | Kirby's Adventure                                           | Nintendo               | Nintendo Entertainment System | 1993 | Europe
|       | Knight Rider                                                | Acclaim                | Nintendo Entertainment System | 1990 | Europe
|       | Konami Hyper Soccer                                         | Konami                 | Nintendo Entertainment System | 1992 | Europe
|       | Krusty's Fun House                                          | Acclaim                | Nintendo Entertainment System | 1992 | Europe
|       | Kung Fu                                                     | Nintendo               | Nintendo Entertainment System | 1987 | Europe
|       | La Gran Aventura Sumbarina                                  | Gluk                   | Nintendo Entertainment System | 1992 | Europe
|       | La Guerra del Golfo                                         | Gluk                   | Nintendo Entertainment System | 1991 | Europe
|       | Lee Trevino's Fighting Golf                                 | SNK                    | Nintendo Entertainment System | 1990 | Europe
|       | Legend of Prince Valiant, The                               | Ocean                  | Nintendo Entertainment System | 1992 | Europe
|       | Legend of Zelda, The                                        | Nintendo               | Nintendo Entertainment System | 1987 | Europe
|       | Lemmings                                                    | SunSoft                | Nintendo Entertainment System | 1993 | Europe
|       | Les Chevaliers du Zodiaque: La Legende d'Or                 | Bandai                 | Nintendo Entertainment System | 1987 | Europe
|       | Lethal Weapon                                               | Ocean                  | Nintendo Entertainment System | 1993 | Europe
|       | Life Force Salamander                                       | Konami                 | Nintendo Entertainment System | 1989 | Europe
|       | Lion King, The                                              | Virgin Interactive     | Nintendo Entertainment System | 1995 | Europe
|       | Little Nemo: The Dream Master                               | Capcom                 | Nintendo Entertainment System | 1991 | Europe
|       | Little Ninja Brothers                                       | Culture Brain          | Nintendo Entertainment System | 1991 | Europe
|       | Little Samson                                               | Taito Corporation      | Nintendo Entertainment System | 1993 | Europe
|       | Low G Man: The Low Gravity Man                              | Nintendo               | Nintendo Entertainment System | 1991 | Europe
|       | Lunar Pool                                                  | FCI, Inc.              | Nintendo Entertainment System | 1987 | Europe
|       | Mach Rider                                                  | Nintendo               | Nintendo Entertainment System | 1987 | Europe
|       | Magic Carpet 1001                                           | Gluk                   | Nintendo Entertainment System | 1991 | Europe
|       | Maniac Mansion                                              | Jaleco Entertainment   | Nintendo Entertainment System | 1992 | Europe
|       | Marble Madness                                              | Milton Bradley         | Nintendo Entertainment System | 1989 | Europe
|       | Mario & Yoshi                                               | Nintendo               | Nintendo Entertainment System | 1992 | Europe
|       | Mario Bros.                                                 | Nintendo               | Nintendo Entertainment System | 1986 | Europe
|       | Mario Is Missing!                                           | Mindscape              | Nintendo Entertainment System | 1993 | Europe
|       | McDonaldland                                                | Ocean                  | Nintendo Entertainment System | 1993 | Europe
|       | Mega Man                                                    | Capcom                 | Nintendo Entertainment System | 1989 | Europe
|       | Mega Man 2                                                  | Capcom                 | Nintendo Entertainment System | 1990 | Europe
