|       | Elevator Action                                      | Atari                        | Atari 2600 | 2013 | North America
|       | Eli's Ladder                                         | Simage                       | Atari 2600 | 1982 | North America
|       | Encounter At L-5                                     | Data Age                     | Atari 2600 | 1982 | North America
|       | Enduro                                               | Activision                   | Atari 2600 | 1983 | North America
|       | Entity                                               | CGE Services                 | Atari 2600 | 2003 | North America
|       | Entombed                                             | US Games                     | Atari 2600 | 1982 | North America
|       | Escape From The Mindmaster                           | Starpath Corp.               | Atari 2600 | 1982 | North America
|       | Espial                                               | Tigervision                  | Atari 2600 | 1984 | North America
|       | Exocet                                               | Panda Entertainment          | Atari 2600 | 1983 | North America
|       | Exocet                                               | Sancho                       | Atari 2600 | 1982 | North America
|       | Fantastic Voyage                                     | 20th Century Fox Video Games | Atari 2600 | 1982 | North America
|       | Fast Eddie                                           | 20th Century Fox Video Games | Atari 2600 | 1982 | North America
|       | Fast Food                                            | Telesys                      | Atari 2600 | 1982 | North America
|       | Fatal Run                                            | Atari                        | Atari 2600 | 1990 | North America
|       | Fathom                                               | Imagic                       | Atari 2600 | 1983 | North America
|       | Final Approach                                       | Apollo                       | Atari 2600 | 1982 | North America
|       | Fire Fighter                                         | Imagic                       | Atari 2600 | 1982 | North America
|       | Fire Fly                                             | Mythicon                     | Atari 2600 | 1983 | North America
|       | Fireball                                             | Starpath Corp.               | Atari 2600 | 1982 | North America
|       | Fishing Derby                                        | Activision                   | Atari 2600 | 1980 | North America
|       | Flag Capture                                         | Atari                        | Atari 2600 | 1978 | North America
|       | Flash Gordon                                         | 20th Century Fox Video Games | Atari 2600 | 1983 | North America
|       | Football                                             | Atari                        | Atari 2600 | 1978 | North America
|       | Forest                                               | Sancho                       | Atari 2600 | 1983 | North America
|       | Frankenstein's Monster                               | Data Age                     | Atari 2600 | 1983 | North America
|       | Freeway                                              | Activision                   | Atari 2600 | 1981 | North America
|       | Frogger                                              | Parker Bros.                 | Atari 2600 | 1982 | North America
|       | Frogger II: Threeedeep!                              | Parker Bros                  | Atari 2600 | 1984 | North America
|       | Frogs And Flies                                      | Mattel                       | Atari 2600 | 1982 | North America
|       | Front Line                                           | Coleco                       | Atari 2600 | 1984 | North America
|       | Frontline                                            | Zellers                      | Atari 2600 | 1977 | North America
|       | Frostbite                                            | Activision                   | Atari 2600 | 1983 | North America
|       | Fun With Numbers                                     | Atari                        | Atari 2600 | 1977 | North America
|       | G.I. Joe: Cobra Strike                               | Parker Bros.                 | Atari 2600 | 1983 | North America
|       | Galactic                                             | Rainbow Vision               | Atari 2600 | 1984 | North America
|       | Galaxian                                             | Atari                        | Atari 2600 | 1983 | North America
|       | Gangster Alley                                       | Spectravision                | Atari 2600 | 1983 | North America
|       | Gas Hog                                              | Spectravision                | Atari 2600 | 1983 | North America
|       | Gauntlet                                             | Answer Software              | Atari 2600 | 1983 | North America
|       | Ghost Manor                                          | Xonox                        | Atari 2600 | 1983 | North America
|       | Ghostbusters                                         | Activision                   | Atari 2600 | 1985 | North America
|       | Glacier Patrol                                       | Telegames, Inc.              | Atari 2600 | 1983 | North America
|       | Glib                                                 | Selchow & Righter            | Atari 2600 | 1983 | North America
|       | Golf                                                 | Atari                        | Atari 2600 | 1978 | North America
|       | Gopher                                               | US Games                     | Atari 2600 | 1982 | North America
|       | Gorf                                                 | CBS Electronics              | Atari 2600 | 1982 | North America
|       | Grand Prix                                           | Activision                   | Atari 2600 | 1982 | North America
|       | Gravitar                                             | Atari                        | Atari 2600 | 1983 | North America
|       | Great Escape                                         | Bomb                         | Atari 2600 | 1983 | North America
|       | Gremlins                                             | Atari                        | Atari 2600 | 1984 | North America
|       | Guardian                                             | Apollo                       | Atari 2600 | 1982 | North America
|       | Gyruss                                               | Parker Bros                  | Atari 2600 | 1984 | North America
|       | H.E.R.O.                                             | Activision                   | Atari 2600 | 1984 | North America
|       | Halloween                                            | Wizard Video Games           | Atari 2600 | 1983 | North America
|       | Hangman                                              | Atari                        | Atari 2600 | 1978 | North America
|       | Harbor Escape                                        | Panda Entertainment          | Atari 2600 | 1983 | North America
|       | Haunted House                                        | Atari                        | Atari 2600 | 1981 | North America
|       | Home Run                                             | Atari                        | Atari 2600 | 1978 | North America
|       | Hot Action Pack                                      | HES Interactive              | Atari 2600 | 1990 | North America
|       | Human Cannonball                                     | Atari                        | Atari 2600 | 1978 | North America
|       | Hunt & Score                                         | Atari                        | Atari 2600 | 1980 | North America
|       | I Want My Mommy                                      | Zimag                        | Atari 2600 | 1983 | North America
|       | Ice Hockey                                           | Activision                   | Atari 2600 | 1981 | North America
|       | Ikari Warriors                                       | Data East                    | Atari 2600 | 1989 | North America
|       | Indy 500                                             | Atari                        | Atari 2600 | 1977 | North America
|       | Infiltrate                                           | Apollo                       | Atari 2600 | 1982 | North America
|       | International Soccer                                 | Mattel                       | Atari 2600 | 1982 | North America
|       | James Bond 007                                       | Parker Bros                  | Atari 2600 | 1983 | North America
|       | Jawbreaker                                           | Tigervision                  | Atari 2600 | 1982 | North America
|       | Journey Escape                                       | Data Age                     | Atari 2600 | 1982 | North America
|       | Joust                                                | Atari                        | Atari 2600 | 1983 | North America
|       | Jr. Pac-Man                                          | Atari                        | Atari 2600 | 1984 | North America
|       | Jungle Fever/Knight on the Town                      | Playaround                   | Atari 2600 | 1982 | North America
|       | Jungle Hunt                                          | Atari                        | Atari 2600 | 1983 | North America
|       | Kaboom!                                              | Activision                   | Atari 2600 | 1981 | North America
|       | Kangaroo                                             | Atari                        | Atari 2600 | 1983 | North America
|       | Karate                                               | Ultravision                  | Atari 2600 | 1980 | North America
|       | Keystone Kapers                                      | Activision                   | Atari 2600 | 1983 | North America
|       | Kid Vid                                              | Coleco                       | Atari 2600 | 1983 | North America
|       | Killer Satellites                                    | Starpath Corp.               | Atari 2600 | 1983 | North America
|       | King Kong                                            | Tigervision                  | Atari 2600 | 1982 | North America
|       | Kool-Aid Man                                         | Mattel                       | Atari 2600 | 1983 | North America
|       | Krull                                                | Atari                        | Atari 2600 | 1983 | North America
|       | Kung Fu Master                                       | Activision                   | Atari 2600 | 1987 | North America
|       | Kung Fu Superkicks: Pursuit of The Ninja             | Telegames, Inc.              | Atari 2600 | 1987 | North America
|       | Laser Blast                                          | Activision                   | Atari 2600 | 1981 | North America
|       | Laser Gates                                          | Imagic                       | Atari 2600 | 1983 | North America
|       | Laser Volley                                         | Zellers                      | Atari 2600 | 1983 | North America
|       | Lilly Adventure                                      | Homevision                   | Atari 2600 | 1983 | North America
|       | Lochjaw                                              | Apollo                       | Atari 2600 | 1981 | North America
|       | Lock 'n' Chase                                       | Mattel                       | Atari 2600 | 1982 | North America
|       | London Blitz                                         | Avalon Hill                  | Atari 2600 | 1983 | North America
|       | Lost Luggage                                         | Apollo                       | Atari 2600 | 1982 | North America
|       | M.A.D.                                               | US Games                     | Atari 2600 | 1982 | North America
|       | M*A*S*H                                              | 20th Century Fox Video Games | Atari 2600 | 1983 | North America
|       | Magic Carpet                                         | Homevision                   | Atari 2600 | 1983 | North America
|       | MagiCard                                             | CommaVid, Inc.               | Atari 2600 | 1982 | North America
|       | Malagai                                              | Answer Software              | Atari 2600 | 1983 | North America
|       | Mangia'                                              | Spectravision                | Atari 2600 | 1983 | North America
|       | Marauder                                             | Tigervision                  | Atari 2600 | 1982 | North America
|       | Marine Wars                                          | Konami                       | Atari 2600 | 1983 | North America
|       | Mario Bros.                                          | Atari                        | Atari 2600 | 1983 | North America
|       | Master Builder                                       | Spectravision                | Atari 2600 | 1983 | North America
|       | Masters of the Universe: Power of He-Man             | Mattel                       | Atari 2600 | 1983 | North America
|       | Math Gran Prix                                       | Atari                        | Atari 2600 | 1982 | North America
|       | Maze Craze: A Game of Cops 'n Robbers                | Atari                        | Atari 2600 | 1978 | North America
|       | Mega Force                                           | 20th Century Fox Video Games | Atari 2600 | 1982 | North America
|       | Megamania                                            | Activision                   | Atari 2600 | 1982 | North America
|       | Meteor Defense                                       | ITT Family Games             | Atari 2600 | 1983 | North America
|       | Midnight Magic                                       | Atari                        | Atari 2600 | 1984 | North America
|       | Millipede                                            | Atari                        | Atari 2600 | 1984 | North America
|       | Miner 2049er                                         | Tigervision                  | Atari 2600 | 1983 | North America
|       | Miner 2049er Volume II                               | Tigervision                  | Atari 2600 | 1983 | North America
|       | Mines of Minos                                       | CommaVid, Inc.               | Atari 2600 | 1982 | North America
|       | Miniature Golf                                       | Atari                        | Atari 2600 | 1979 | North America
|       | Missile Command                                      | Atari                        | Atari 2600 | 1981 | North America
|       | Mission Survive                                      | Video Gems                   | Atari 2600 | 1983 | North America
|       | Mogul Maniac                                         | Amiga                        | Atari 2600 | 1982 | North America
|       | Montezuma's Revenge: Featuring Panama Joe            | Parker Bros                  | Atari 2600 | 1984 | North America
|       | Moon Patrol                                          | Atari                        | Atari 2600 | 1983 | North America
|       | Moonsweeper                                          | Imagic                       | Atari 2600 | 1983 | North America
|       | Moto Rodeo                                           | Atari                        | Atari 2600 | 1990 | North America
|       | Motocross Racer                                      | Xonox                        | Atari 2600 | 1984 | North America
|       | Mountain King                                        | CBS Electronics              | Atari 2600 | 1983 | North America
|       | Mouse Trap                                           | Coleco                       | Atari 2600 | 1982 | North America
|       | Mr. Do!                                              | Coleco                       | Atari 2600 | 1983 | North America
|       | Mr. Do!'s Castle                                     | Parker Bros                  | Atari 2600 | 1984 | North America
|       | Ms. Pac-Man                                          | Atari                        | Atari 2600 | 1982 | North America
|       | Music Machine, The                                   | Sparrow                      | Atari 2600 | 1983 | North America
|       | Name This Game                                       | US Games                     | Atari 2600 | 1982 | North America
|       | Night Driver                                         | Atari, Inc.                  | Atari 2600 | 1978 | North America
|       | Nightmare                                            | Sancho                       | Atari 2600 | 1983 | North America
|       | No Escape!                                           | Imagic                       | Atari 2600 | 1983 | North America
|       | Nuts                                                 | Technovision                 | Atari 2600 | 1983 | North America
|       | Obelix                                               | Atari                        | Atari 2600 | 1986 | North America
|       | Ocean City Defender                                  | Zellers                      | Atari 2600 | 1983 | North America
|       | Off the Wall                                         | Atari                        | Atari 2600 | 1989 | North America
|       | Official Frogger, The                                | Starpath Corp.               | Atari 2600 | 1982 | North America
|       | Oink!                                                | Activision                   | Atari 2600 | 1982 | North America
|       | Omega Race                                           | CBS Electronics              | Atari 2600 | 1983 | North America
|       | Open! Sesame                                         | Bit Corp.                    | Atari 2600 | 1982 | North America
|       | Oscar's Trash Race                                   | Atari                        | Atari 2600 | 1983 | North America
|       | Othello                                              | Atari                        | Atari 2600 | 1978 | North America
|       | Out Of Control                                       | Avalon Hill                  | Atari 2600 | 1983 | North America
|       | Outlaw                                               | Atari                        | Atari 2600 | 1978 | North America
|       | Pac-Man                                              | Atari                        | Atari 2600 | 1981 | North America
|       | Panda Chase                                          | Homevision                   | Atari 2600 | 1983 | North America
|       | Parachute                                            | Homevision                   | Atari 2600 | 1983 | North America
|       | Party Mix                                            | Starpath Corp.               | Atari 2600 | 1983 | North America
|       | Pele's Soccer                                        | Atari                        | Atari 2600 | 1980 | North America
|       | Pengo                                                | Atari                        | Atari 2600 | 1984 | North America
|       | Pepsi Invaders                                       | Atari                        | Atari 2600 | 1983 | North America
|       | Personal Game Programmer                             | Answer Software              | Atari 2600 | 1983 | North America
|       | Pete Rose Baseball                                   | Absolute Entertainment       | Atari 2600 | 1988 | North America
|       | Phantom Tank                                         | Bit Corp.                    | Atari 2600 | 1983 | North America
|       | Pharaoh's Curse                                      | Technovision                 | Atari 2600 | 1983 | North America
|       | Phaser Patrol                                        | Arcadia                      | Atari 2600 | 1982 | North America
|       | Phoenix                                              | Atari                        | Atari 2600 | 1982 | North America
|       | Picnic                                               | US Games                     | Atari 2600 | 1982 | North America
|       | Piece O'Cake                                         | US Games                     | Atari 2600 | 1982 | North America
|       | Pigs in Space                                        | Atari                        | Atari 2600 | 1983 | North America
|       | Pitfall II: Lost Caverns                             | Activision                   | Atari 2600 | 1983 | North America
|       | Pitfall!                                             | Activision                   | Atari 2600 | 1982 | North America
