|       | Dragon Ball Z: Budokai                                                     | Atari                      | Nintendo GameCube | 2003 | Europe
|       | Dragon Ball Z: Budokai 2                                                   | Atari                      | Nintendo GameCube | 2005 | Europe
|       | Dragon's Lair 3D: Special Edition                                          | THQ                        | Nintendo GameCube | 2004 | Europe
|       | Driven                                                                     | Bam Entertainment          | Nintendo GameCube | 2002 | Europe
|       | Drome Racers                                                               | Electronic Arts            | Nintendo GameCube | 2003 | Europe
|       | Eggo Mania                                                                 | Kemco                      | Nintendo GameCube | 2002 | Europe
|       | Enter the Matrix                                                           | Atari                      | Nintendo GameCube | 2003 | Europe
|       | ESPN International Winter Sports                                           | Konami                     | Nintendo GameCube | 2002 | Europe
|       | Eternal Darkness: Sanity's Requiem                                         | Nintendo                   | Nintendo GameCube | 2002 | Europe
|       | Evolution Skateboarding                                                    | Konami                     | Nintendo GameCube | 2003 | Europe
|       | Evolution Snowboarding                                                     | Konami                     | Nintendo GameCube | 2003 | Europe
|       | Evolution Worlds                                                           | Ubisoft                    | Nintendo GameCube | 2003 | Europe
|       | F-Zero GX                                                                  | Nintendo                   | Nintendo GameCube | 2003 | Europe
|       | F1 2002                                                                    | Electronic Arts            | Nintendo GameCube | 2002 | Europe
|       | F1 Career Challenge                                                        | Electronic Arts            | Nintendo GameCube | 2003 | Europe
|       | Fairly OddParents! Shadow Showdown, The                                    | THQ                        | Nintendo GameCube | 2005 | Europe
|       | Fantastic 4                                                                | Activision                 | Nintendo GameCube | 2005 | Europe
|       | FIFA 06                                                                    | EA Sports                  | Nintendo GameCube | 2005 | Europe
|       | FIFA 07                                                                    | EA Sports                  | Nintendo GameCube | 2006 | Europe
|       | FIFA Football 2003                                                         | Electronic Arts            | Nintendo GameCube | 2002 | Europe
|       | FIFA Football 2004                                                         | Electronic Arts            | Nintendo GameCube | 2003 | Europe
|       | FIFA Football 2005                                                         | Electronic Arts            | Nintendo GameCube | 2004 | Europe
|       | FIFA Street                                                                | EA Sports Big              | Nintendo GameCube | 2005 | Europe
|       | FIFA Street 2                                                              | EA Sports Big              | Nintendo GameCube | 2006 | Europe
|       | Fight Night Round 2                                                        | EA Sports                  | Nintendo GameCube | 2005 | Europe
|       | Final Fantasy Crystal Chronicles                                           | Nintendo                   | Nintendo GameCube | 2004 | Europe
|       | Fire Emblem: Path of Radiance                                              | Nintendo                   | Nintendo GameCube | 2005 | Europe
|       | Flushed Away                                                               | D3Publisher                | Nintendo GameCube | 2006 | Europe
|       | Franklin: A Birthday Surprise                                              | The Game Factory           | Nintendo GameCube | 2006 | Europe
|       | Freedom Fighters                                                           | Electronic Arts            | Nintendo GameCube | 2003 | Europe
|       | Freekstyle                                                                 | Electronic Arts            | Nintendo GameCube | 2002 | Europe
|       | Freestyle Metal X                                                          | Midway                     | Nintendo GameCube | 2003 | Europe
|       | Frogger Beyond                                                             | Konami                     | Nintendo GameCube | 2003 | Europe
|       | From Russia With Love                                                      | Electronic Arts            | Nintendo GameCube | 2005 | Europe
|       | Future Tactics: The Uprising                                               | JoWooD Entertainment AG    | Nintendo GameCube | 2004 | Europe
|       | Gadget Racers                                                              | Zoo Digital Publishing     | Nintendo GameCube | 2003 | Europe
|       | Gauntlet: Dark Legacy                                                      | Midway                     | Nintendo GameCube | 2002 | Europe
|       | Geist                                                                      | Nintendo                   | Nintendo GameCube | 2005 | Europe
|       | Gladius                                                                    | Activision                 | Nintendo GameCube | 2003 | Europe
|       | Goblin Commander: Unleash the Horde                                        | Jaleco Entertainment       | Nintendo GameCube | 2004 | Europe
|       | Godzilla: Destroy All Monsters Melee                                       | Atari                      | Nintendo GameCube | 2002 | Europe
|       | GoldenEye: Rogue Agent                                                     | EA Games                   | Nintendo GameCube | 2004 | Europe
|       | Gotcha Force                                                               | Capcom                     | Nintendo GameCube | 2004 | Europe
|       | Gun                                                                        | Activision                 | Nintendo GameCube | 2005 | Europe
|       | Harry Potter and the Chamber of Secrets                                    | Electronic Arts            | Nintendo GameCube | 2002 | Europe
|       | Harry Potter and the Goblet of Fire                                        | Electronic Arts            | Nintendo GameCube | 2005 | Europe
|       | Harry Potter and the Philosopher's Stone                                   | Electronic Arts            | Nintendo GameCube | 2003 | Europe
|       | Harry Potter and the Prisoner of Azkaban                                   | EA Games                   | Nintendo GameCube | 2004 | Europe
|       | Harry Potter: Quidditch World Cup                                          | Electronic Arts            | Nintendo GameCube | 2003 | Europe
|       | Harvest Moon: A Wonderful Life                                             | Ubisoft                    | Nintendo GameCube | 2004 | Europe
|       | Haunted Mansion, The                                                       | Take-Two Interactive       | Nintendo GameCube | 2004 | Europe
|       | Hello Kitty: Roller Rescue                                                 | Empire Interactive         | Nintendo GameCube | 2005 | Europe
|       | Hitman 2: Silent Assassin                                                  | Eidos Interactive          | Nintendo GameCube | 2003 | Europe
|       | Hobbit, The                                                                | Sierra Entertainment       | Nintendo GameCube | 2003 | Europe
|       | Hot Wheels: Velocity X                                                     | THQ                        | Nintendo GameCube | 2002 | Europe
|       | Hot Wheels: World Race                                                     | THQ                        | Nintendo GameCube | 2003 | Europe
|       | Hulk                                                                       | Universal Interactive      | Nintendo GameCube | 2003 | Europe
|       | Hunter: The Reckoning                                                      | Virgin Interactive         | Nintendo GameCube | 2003 | Europe
