|       | Bokujou Monogatari: Colobocle Station for Girls                                                                                                     | Marvelous Entertainment      | Nintendo DS | 2005 | Japan
|       | Bokujou Monogatari: Futago no Mura                                                                                                                  | Marvelous Entertainment      | Nintendo DS | 2010 | Japan
|       | Bokujou Monogatari: Kimi to Sodatsu Shima                                                                                                           | Marvelous Entertainment      | Nintendo DS | 2007 | Japan
|       | Bokujou Monogatari: Kira Kira Taiyou to Nakama Tachi                                                                                                | Marvelous Entertainment      | Nintendo DS | 2008 | Japan
|       | Bokujou Monogatari: Youkoso Kaze no Bazaar e                                                                                                        | Marvelous Entertainment      | Nintendo DS | 2008 | Japan
|       | Bokura no Taiyou: Django & Sabata                                                                                                                   | Konami                       | Nintendo DS | 2006 | Japan
|       | Bokura no Telebi Game Kentei                                                                                                                        | Bandai Namco Games           | Nintendo DS | 2008 | Japan
|       | Bokura wa Kasekihorida                                                                                                                              | Nintendo                     | Nintendo DS | 2008 | Japan
|       | Bolt                                                                                                                                                | Disney Interactive Studios   | Nintendo DS | 2009 | Japan
|       | Bomberman                                                                                                                                           | Hudson                       | Nintendo DS | 2005 | Japan
|       | Bomberman Story DS                                                                                                                                  | Hudson                       | Nintendo DS | 2007 | Japan
|       | Bouken-Ou Beet: Vandel vs. Busters                                                                                                                  | Bandai                       | Nintendo DS | 2005 | Japan
|       | Brave Story: Boku no Kioku to Negai                                                                                                                 | Bandai                       | Nintendo DS | 2006 | Japan
|       | Breath: Toiki wa Akaneiro                                                                                                                           | Success                      | Nintendo DS | 2008 | Japan
|       | Brickdown                                                                                                                                           | Success                      | Nintendo DS | 2008 | Japan
|       | Bubble Bobble DS                                                                                                                                    | Taito Corporation            | Nintendo DS | 2005 | Japan
|       | Business Ryoku Kentei DS                                                                                                                            | Electronic Arts              | Nintendo DS | 2008 | Japan
|       | Call of Duty 4: Modern Warfare                                                                                                                      | Activision                   | Nintendo DS | 2008 | Japan
|       | Camping Mama + Papa                                                                                                                                 | Office Create                | Nintendo DS | 2011 | Japan
|       | Captain Tsubasa: Gekitou no Kiseki                                                                                                                  | Konami                       | Nintendo DS | 2010 | Japan
|       | Card de Asobu! Hajimete no DS                                                                                                                       | Sega                         | Nintendo DS | 2009 | Japan
|       | Card Game 9                                                                                                                                         | Taito Corporation            | Nintendo DS | 2006 | Japan
|       | Carl Jii-San no Soratobu Ie                                                                                                                         | E-Frontier                   | Nintendo DS | 2009 | Japan
|       | Cars                                                                                                                                                | THQ                          | Nintendo DS | 2006 | Japan
|       | Casual Series 2980: Petz Dogz                                                                                                                       | MTO                          | Nintendo DS | 2009 | Japan
|       | Casual Series 2980: Petz Horsez                                                                                                                     | MTO                          | Nintendo DS | 2009 | Japan
|       | Casual Series 2980: Petz Monkeyz                                                                                                                    | MTO                          | Nintendo DS | 2009 | Japan
|       | Catch! Touch! Yoshi!                                                                                                                                | Nintendo                     | Nintendo DS | 2005 | Japan
|       | Catz                                                                                                                                                | Ubisoft                      | Nintendo DS | 2007 | Japan
|       | Catz 2: Daisuki Nyan Nyan Park                                                                                                                      | Ubisoft                      | Nintendo DS | 2007 | Japan
|       | Center Shiken: Eigo Listening Sokushuu DS                                                                                                           | Educational Network          | Nintendo DS | 2009 | Japan
|       | Chara-Chinko                                                                                                                                        | Interchannel                 | Nintendo DS | 2009 | Japan
|       | Charm Girls Club: Watashi no Fashion Mall                                                                                                           | Electronic Arts              | Nintendo DS | 2009 | Japan
|       | Charm Girls Club: Watashi no Fashion Show                                                                                                           | Electronic Arts              | Nintendo DS | 2009 | Japan
|       | Chi's Sweet Home: Chi ga Ouchi ni Yatte Kita!                                                                                                       | Interchannel                 | Nintendo DS | 2008 | Japan
|       | Chibi Maruko-Chan DS: Maru-Chan no Machi                                                                                                            | Bandai Namco Games           | Nintendo DS | 2009 | Japan
|       | Chicken Little: Uchuu Saikyou no Team                                                                                                               | Disney Interactive Studios   | Nintendo DS | 2007 | Japan
|       | Chishiki-Ou Series: Train Master                                                                                                                    | Global A                     | Nintendo DS | 2008 | Japan
|       | Choco Ken no Dekitate Sweets Wagon                                                                                                                  | Creative Core                | Nintendo DS | 2009 | Japan
|       | Choco Ken no Omise: Patisserie & Sweets Shop Game                                                                                                   | TDK Core                     | Nintendo DS | 2006 | Japan
|       | Choco Ken no Sweets Depart                                                                                                                          | TDK Core                     | Nintendo DS | 2007 | Japan
|       | Chocobo to Mahou no Ehon                                                                                                                            | Square Enix                  | Nintendo DS | 2006 | Japan
|       | Chocobo to Mahou no Ehon: Majo to Shoujo to Go-nin no Yuusha                                                                                        | Square Enix                  | Nintendo DS | 2008 | Japan
|       | Chocobo to Mahou no Ehon: Special Package                                                                                                           | Square Enix                  | Nintendo DS | 2008 | Japan
|       | Chokkan Hitofude                                                                                                                                    | Nintendo                     | Nintendo DS | 2004 | Japan
|       | Chokkan! Asonde Relaxuma                                                                                                                            | Rocket Company               | Nintendo DS | 2008 | Japan
|       | Chotto-Aima no Colpile DS                                                                                                                           | Success                      | Nintendo DS | 2008 | Japan
|       | Chou Gekijouban Keroro Gunsou 3: Tenkuu Daibouken de Arimasu!                                                                                       | Bandai Namco Games           | Nintendo DS | 2008 | Japan
|       | Chou Gekijouban Keroro Gunsou: Enshuu Dayo! Zenin Shuugou                                                                                           | Bandai                       | Nintendo DS | 2006 | Japan
|       | Chou Gekijouban Keroro Gunsou: Gekishin Dragon Warriors de Arimasu!                                                                                 | Bandai Namco Games           | Nintendo DS | 2009 | Japan
|       | Chou Kantan Boki Nyuumon DS                                                                                                                         | IE Institute                 | Nintendo DS | 2007 | Japan
|       | Chou Kaseki Monster Battle: Gekitotsu Galaxy                                                                                                        | Disney Interactive Studios   | Nintendo DS | 2008 | Japan
|       | Chou Kowai Hanashi DS: Ao no Shou                                                                                                                   | Alchemist                    | Nintendo DS | 2010 | Japan
|       | Chou Meisaku Suiri Adventure DS: Raymond Chandler Gensaku - Saraba Ai Shiki Onna Yo                                                                 | FuRyu                        | Nintendo DS | 2009 | Japan
|       | Chou Nekketsu Koukou Kunio-Kun Dodge Ball Bu                                                                                                        | Arc System Works             | Nintendo DS | 2008 | Japan
|       | Chou Shittou Caduceus                                                                                                                               | ATLUS                        | Nintendo DS | 2005 | Japan
|       | Chou Soujuu Mecha MG                                                                                                                                | Nintendo                     | Nintendo DS | 2006 | Japan
|       | Chou!! Nep League DS                                                                                                                                | Jaleco Entertainment         | Nintendo DS | 2008 | Japan
|       | Chrono Trigger                                                                                                                                      | Square Enix                  | Nintendo DS | 2008 | Japan
|       | Chubaw Desuyo! Kyoushou Recipe Shuu                                                                                                                 | Alpha Unit                   | Nintendo DS | 2007 | Japan
|       | Chuugaku Eitango Target 1800 DS                                                                                                                     | IE Institute                 | Nintendo DS | 2006 | Japan
|       | Chuukana Janshi Tenhoo Painyan Remix                                                                                                                | Jaleco Entertainment         | Nintendo DS | 2007 | Japan
|       | Ciao Dream Touch! Happy Anniversary                                                                                                                 | Marvelous Entertainment      | Nintendo DS | 2006 | Japan
|       | Cid to Chocobo no Fushigi na Dungeon: Toki Wasure no Meikyuu +                                                                                      | Square Enix                  | Nintendo DS | 2008 | Japan
|       | Cinnamon Ball: Kurukuru Sweets Paradise                                                                                                             | Rocket Company               | Nintendo DS | 2007 | Japan
|       | Cinnamoroll: Ohanashi shiyo! - Kira Kira DE Kore Cafe                                                                                               | Bandai Namco Games           | Nintendo DS | 2006 | Japan
|       | Clash King V201                                                                                                                                     | Genterprise                  | Nintendo DS | 2009 | Japan
|       | Claymore: Gingan no Majo                                                                                                                            | Digital Works Entertainment  | Nintendo DS | 2009 | Japan
|       | Cocoro no Cocoron                                                                                                                                   | Bandai Namco Games           | Nintendo DS | 2011 | Japan
