|       | Crayon Shin-Chan: Uchuu de Achoo!? Yuujou no Oba-Karate!!                                                                    | Bandai Namco Games                     | Nintendo 3DS | 2011 | Japan
|       | Cube Creator DX                                                                                                              | Arc System Works                       | Nintendo 3DS | 2017 | Japan
|       | Cubic Ninja                                                                                                                  | AQ Interactive                         | Nintendo 3DS | 2011 | Japan
|       | Culdcept                                                                                                                     | Nintendo                               | Nintendo 3DS | 2012 | Japan
|       | Culdcept Revolt                                                                                                              | Nintendo                               | Nintendo 3DS | 2017 | Japan
|       | Dai Gyakuten Saiban 1 & 2 Special Edition                                                                                    | Capcom                                 | Nintendo 3DS | 2017 | Japan
|       | Dai Gyakuten Saiban 2: Naruhodou Ryuunosuke no Kakugo                                                                        | Capcom                                 | Nintendo 3DS | 2017 | Japan
|       | Dai Gyakuten Saiban 2: Naruhodou Ryuunosuke no Kakugo                                                                        | Capcom                                 | Nintendo 3DS | 2017 | Japan
|       | Dai Gyakuten Saiban: Naruhodou Ryuunosuke no Bouken                                                                          | Capcom                                 | Nintendo 3DS | 2015 | Japan
|       | Daigassou! Band Brothers P                                                                                                   | Nintendo                               | Nintendo 3DS | 2013 | Japan
|       | Dairantou Smash Bros. for Nintendo 3DS                                                                                       | Nintendo                               | Nintendo 3DS | 2014 | Japan
|       | Danball Senki Baku Boost                                                                                                     | Level 5                                | Nintendo 3DS | 2015 | Japan
|       | Danball Senki W Chou Custom                                                                                                  | Level 5                                | Nintendo 3DS | 2013 | Japan
|       | Danball Senki Wars                                                                                                           | Level 5                                | Nintendo 3DS | 2013 | Japan
|       | Dangerous Jiisan to 1000-nin no Otomodachi Ja                                                                                | Bandai Namco Games                     | Nintendo 3DS | 2012 | Japan
|       | Dasshutsu Adventure: Zetsubou Yousai                                                                                         | Rocket Company                         | Nintendo 3DS | 2015 | Japan
|       | Dead or Alive: Dimensions                                                                                                    | Koei Tecmo Games                       | Nintendo 3DS | 2011 | Japan
|       | Deca Sporta: 3D Sports                                                                                                       | Hudson                                 | Nintendo 3DS | 2011 | Japan
|       | Derby Stallion Gold                                                                                                          | Kadokawa                               | Nintendo 3DS | 2014 | Japan
|       | Devil Summoner: Soul Hackers                                                                                                 | ATLUS                                  | Nintendo 3DS | 2013 | Japan
|       | Devil Survivor 2: Break Record                                                                                               | ATLUS                                  | Nintendo 3DS | 2015 | Japan
|       | Devil Survivor: Over Clock                                                                                                   | ATLUS                                  | Nintendo 3DS | 2011 | Japan
|       | Digimon Universe: Appli Monsters                                                                                             | Bandai Namco Games                     | Nintendo 3DS | 2016 | Japan
|       | Digimon World Re:Digitize Decode                                                                                             | Bandai Namco Games                     | Nintendo 3DS | 2013 | Japan
|       | Disney Anna to Yuki no Joou: Olaf no Okurimono                                                                               | Bergsala-Lightweight                   | Nintendo 3DS | 2013 | Japan
|       | Disney Art Academy                                                                                                           | Nintendo                               | Nintendo 3DS | 2016 | Japan
|       | Disney Baymax: Heroes Battle                                                                                                 | Bergsala-Lightweight                   | Nintendo 3DS | 2014 | Japan
|       | Disney Epic Mickey: Mickey no Fushigi na Bouken                                                                              | Spike Chunsoft                         | Nintendo 3DS | 2012 | Japan
|       | Disney Infinity: Toy Box Challenge                                                                                           | Bandai Namco Games                     | Nintendo 3DS | 2013 | Japan
|       | Disney Magic Castle: My Happy Life                                                                                           | Bandai Namco Games                     | Nintendo 3DS | 2014 | Japan
|       | Disney Magic Castle: My Happy Life 2                                                                                         | Bandai Namco Games                     | Nintendo 3DS | 2016 | Japan
|       | Dobutsu no Mori Double Pack                                                                                                  | Nintendo                               | Nintendo 3DS | 2015 | Japan
|       | Doctor Lautrec to Boukyaku no Kishidan                                                                                       | Konami                                 | Nintendo 3DS | 2011 | Japan
|       | Dog School: Lovely Puppy                                                                                                     | Starfish SD                            | Nintendo 3DS | 2011 | Japan
|       | DokiDoki! PreCure Narikiri Life!                                                                                             | Bandai Namco Games                     | Nintendo 3DS | 2013 | Japan
