|       | FIFA International Soccer                                                                         | EA Sports               | Sega Genesis | 1994 | Europe
|       | FIFA Soccer '95                                                                                   | Electronic Arts         | Sega Genesis | 1994 | Europe
|       | FIFA Soccer 96                                                                                    | Electronic Arts         | Sega Genesis | 1995 | Europe
|       | FIFA: En Route Pour La Coupe Du Monde 98                                                          | EA Sports               | Sega Genesis | 1997 | Europe
|       | Fire Shark                                                                                        | Sega                    | Sega Genesis | 1991 | Europe
|       | Flashback                                                                                         | U.S. Gold               | Sega Genesis | 1993 | Europe
|       | Flicky                                                                                            | Sega                    | Sega Genesis | 1991 | Europe
|       | Flink                                                                                             | Sony Imagesoft          | Sega Genesis | 1994 | Europe
|       | Flintstones, The                                                                                  | Taito Corporation       | Sega Genesis | 1993 | Europe
|       | Foreman For Real                                                                                  | Acclaim                 | Sega Genesis | 1995 | Europe
|       | Forgotten Worlds                                                                                  | Sega                    | Sega Genesis | 1990 | Europe
|       | Frank Thomas Big Hurt Baseball                                                                    | Acclaim                 | Sega Genesis | 1995 | Europe
|       | Fun 'n Games                                                                                      | Sony Imagesoft          | Sega Genesis | 1993 | Europe
|       | G-LOC Air Battle                                                                                  | Sega                    | Sega Genesis | 1993 | Europe
|       | Gain Ground                                                                                       | Sega                    | Sega Genesis | 1991 | Europe
|       | Galaxy Force II                                                                                   | Sega                    | Sega Genesis | 1992 | Europe
|       | Garfield: Caught in the Act                                                                       | Sega                    | Sega Genesis | 1995 | Europe
|       | Gauntlet IV                                                                                       | Tengen                  | Sega Genesis | 1993 | Europe
|       | General Chaos                                                                                     | Electronic Arts         | Sega Genesis | 1994 | Europe
|       | Generations Lost                                                                                  | Time Warner Interactive | Sega Genesis | 1994 | Europe
|       | George Foreman's KO Boxing                                                                        | Flying Edge             | Sega Genesis | 1992 | Europe
|       | Ghostbusters                                                                                      | Sega                    | Sega Genesis | 1990 | Europe
|       | Ghouls 'n Ghosts                                                                                  | Sega                    | Sega Genesis | 1990 | Europe
|       | Global Gladiators                                                                                 | Virgin Interactive      | Sega Genesis | 1993 | Europe
|       | Gods                                                                                              | Accolade                | Sega Genesis | 1993 | Europe
|       | Golden Axe                                                                                        | Sega                    | Sega Genesis | 1990 | Europe
|       | Golden Axe II                                                                                     | Sega                    | Sega Genesis | 1991 | Europe
|       | Grandslam: The Tennis Tournament                                                                  | Sega                    | Sega Genesis | 1992 | Europe
|       | Greatest Heavyweights                                                                             | Sega                    | Sega Genesis | 1994 | Europe
|       | Greendog: The Beached Surfer Dude!                                                                | Sega                    | Sega Genesis | 1992 | Europe
|       | Gunship                                                                                           | U.S. Gold               | Sega Genesis | 1993 | Europe
|       | Gunstar Heroes                                                                                    | Sega                    | Sega Genesis | 1993 | Europe
|       | Gynoug                                                                                            | Sega                    | Sega Genesis | 1991 | Europe
|       | Hard Drivin'                                                                                      | Tengen                  | Sega Genesis | 1991 | Europe
|       | Hardball '94                                                                                      | Accolade                | Sega Genesis | 1994 | Europe
|       | Hardball!                                                                                         | Ballistic               | Sega Genesis | 1991 | Europe
|       | Haunting Starring Polterguy                                                                       | Electronic Arts         | Sega Genesis | 1993 | Europe
|       | Havoc                                                                                             | Codemasters             | Sega Genesis | 1994 | Europe
|       | Hellfire                                                                                          | Sega                    | Sega Genesis | 1991 | Europe
|       | Herzog Zwei                                                                                       | Sega                    | Sega Genesis | 1990 | Europe
|       | Home Alone                                                                                        | Sega                    | Sega Genesis | 1992 | Europe
|       | Hook                                                                                              | Sony Imagesoft          | Sega Genesis | 1992 | Europe
|       | Hurricanes                                                                                        | U.S. Gold               | Sega Genesis | 1994 | Europe
|       | HyperDunk                                                                                         | Konami                  | Sega Genesis | 1994 | Europe
|       | HyperDunk                                                                                         | Konami                  | Sega Genesis | 1994 | Europe
|       | IMG International Tour Tennis                                                                     | Electronic Arts         | Sega Genesis | 1994 | Europe
|       | Immortal, The                                                                                     | Electronic Arts         | Sega Genesis | 1993 | Europe
|       | Incredible Crash Dummies, The                                                                     | Flying Edge             | Sega Genesis | 1994 | Europe
|       | Incredible Hulk, The                                                                              | U.S. Gold               | Sega Genesis | 1994 | Europe
|       | Indiana Jones and the Last Crusade                                                                | U.S. Gold               | Sega Genesis | 1992 | Europe
|       | International Rugby                                                                               | Domark                  | Sega Genesis | 1993 | Europe
|       | International Sensible Soccer - Limited Edition: World Champions                                  | Sony Imagesoft          | Sega Genesis | 1993 | Europe
|       | International Superstar Soccer Deluxe                                                             | Konami                  | Sega Genesis | 1996 | Europe
|       | Izzy's Quest for the Olympic Rings                                                                | U.S. Gold               | Sega Genesis | 1995 | Europe
|       | Jack Nicklaus' Power Challenge Golf                                                               | Accolade                | Sega Genesis | 1993 | Europe
|       | James 'Buster' Douglas Knockout Boxing                                                            | Taito Corporation       | Sega Genesis | 1991 | Europe
|       | James Bond 007: The Duel                                                                          | Domark                  | Sega Genesis | 1993 | Europe
|       | James Pond 3                                                                                      | Electronic Arts         | Sega Genesis | 1993 | Europe
|       | James Pond II: Codename: Robocod                                                                  | Electronic Arts         | Sega Genesis | 1991 | Europe
|       | James Pond: Underwater Agent                                                                      | Electronic Arts         | Sega Genesis | 1991 | Europe
|       | Jewel Master                                                                                      | Sega                    | Sega Genesis | 1991 | Europe
