|       | Gauntlet Legends                                 | Midway                  | Nintendo 64 | 1999 | North America
|       | Gex 3: Deep Cover Gecko                          | Crave                   | Nintendo 64 | 1999 | North America
|       | Gex 64: Enter the Gecko                          | Midway                  | Nintendo 64 | 1998 | North America
|       | Glover                                           | Hasbro Interactive      | Nintendo 64 | 1998 | North America
|       | Goemon's Great Adventure                         | Konami                  | Nintendo 64 | 1999 | North America
|       | Golden Nugget 64                                 | Electronic Arts         | Nintendo 64 | 1998 | North America
|       | GoldenEye 007                                    | Nintendo                | Nintendo 64 | 1997 | North America
|       | GT 64: Championship Edition                      | Ocean                   | Nintendo 64 | 1998 | North America
|       | Harvest Moon 64                                  | Natsume                 | Nintendo 64 | 1999 | North America
|       | Hercules: The Legendary Journeys                 | Titus Software          | Nintendo 64 | 2000 | North America
|       | Hexen                                            | GT Interactive          | Nintendo 64 | 1997 | North America
|       | Hey You, Pikachu!                                | Nintendo                | Nintendo 64 | 2000 | North America
|       | Hot Wheels Turbo Racing                          | Electronic Arts         | Nintendo 64 | 1999 | North America
|       | Hybrid Heaven                                    | Konami                  | Nintendo 64 | 1999 | North America
|       | Hydro Thunder                                    | Midway                  | Nintendo 64 | 2000 | North America
|       | Iggy's Reckin' Balls                             | Acclaim                 | Nintendo 64 | 1998 | North America
|       | In-Fisherman Bass Hunter 64                      | Take-Two Interactive    | Nintendo 64 | 1999 | North America
|       | Indiana Jones and the Infernal Machine           | LucasArts               | Nintendo 64 | 2000 | North America
|       | Indy Racing 2000                                 | Infogrames              | Nintendo 64 | 2000 | North America
|       | International Superstar Soccer '98               | Konami                  | Nintendo 64 | 1998 | North America
|       | International Superstar Soccer 2000              | Konami                  | Nintendo 64 | 2000 | North America
|       | International Superstar Soccer 64                | Konami                  | Nintendo 64 | 1997 | North America
|       | International Track & Field 2000                 | Konami                  | Nintendo 64 | 2000 | North America
|       | Jeopardy!                                        | GameTek                 | Nintendo 64 | 1998 | North America
|       | Jeremy McGrath Supercross 2000                   | Acclaim                 | Nintendo 64 | 2000 | North America
|       | Jet Force Gemini                                 | Rare Ltd.               | Nintendo 64 | 1999 | North America
|       | John Romero's Daikatana                          | Kemco                   | Nintendo 64 | 2000 | North America
|       | Ken Griffey Jr.'s Slugfest                       | Nintendo                | Nintendo 64 | 1999 | North America
|       | Killer Instinct Gold                             | Nintendo                | Nintendo 64 | 1996 | North America
|       | Kirby 64: The Crystal Shards                     | Nintendo                | Nintendo 64 | 2000 | North America
|       | Knife Edge: Nose Gunner                          | Kemco                   | Nintendo 64 | 1998 | North America
|       | Knockout Kings 2000                              | EA Sports               | Nintendo 64 | 1999 | North America
|       | Kobe Bryant in NBA Courtside                     | Nintendo                | Nintendo 64 | 1998 | North America
|       | Legend of Zelda: Majora's Mask, The              | Nintendo                | Nintendo 64 | 2000 | North America
|       | Legend of Zelda: Ocarina of Time, The            | Nintendo                | Nintendo 64 | 1998 | North America
|       | LEGO Racers                                      | Lego Media              | Nintendo 64 | 1999 | North America
|       | Lode Runner 3-D                                  | Infogrames              | Nintendo 64 | 1999 | North America
|       | Mace: The Dark Age                               | Midway                  | Nintendo 64 | 1997 | North America
|       | Madden Football 64                               | EA Sports               | Nintendo 64 | 1997 | North America
|       | Madden NFL 2000                                  | EA Sports               | Nintendo 64 | 1999 | North America
|       | Madden NFL 2001                                  | EA Sports               | Nintendo 64 | 2000 | North America
|       | Madden NFL 2002                                  | EA Sports               | Nintendo 64 | 2001 | North America
|       | Madden NFL 99                                    | EA Sports               | Nintendo 64 | 1998 | North America
|       | Magical Tetris Challenge                         | Capcom                  | Nintendo 64 | 1999 | North America
|       | Major League Baseball Featuring Ken Griffey, Jr. | Nintendo                | Nintendo 64 | 1998 | North America
|       | Mario Golf                                       | Nintendo                | Nintendo 64 | 1999 | North America
|       | Mario Kart 64                                    | Nintendo                | Nintendo 64 | 1997 | North America
|       | Mario Party                                      | Nintendo                | Nintendo 64 | 1999 | North America
|       | Mario Party 2                                    | Nintendo                | Nintendo 64 | 2000 | North America
|       | Mario Party 3                                    | Nintendo                | Nintendo 64 | 2001 | North America
|       | Mario Tennis                                     | Nintendo                | Nintendo 64 | 2000 | North America
|       | Mega Man 64                                      | Capcom                  | Nintendo 64 | 2001 | North America
|       | Mia Hamm Soccer 64                               | SouthPeak Games         | Nintendo 64 | 2000 | North America
|       | Mickey's Speedway USA                            | Nintendo                | Nintendo 64 | 2000 | North America
|       | Micro Machines 64 Turbo                          | Midway                  | Nintendo 64 | 1999 | North America
|       | Midway's Greatest Arcade Hits Volume 1           | Midway                  | Nintendo 64 | 2000 | North America
|       | Mike Piazza's Strike Zone                        | GT Interactive          | Nintendo 64 | 1998 | North America
|       | Milo's Astro Lanes                               | Crave                   | Nintendo 64 | 1998 | North America
|       | Mischief Makers                                  | Nintendo                | Nintendo 64 | 1997 | North America
|       | Mission: Impossible                              | Ocean                   | Nintendo 64 | 1998 | North America
|       | Monaco Grand Prix                                | Ubisoft                 | Nintendo 64 | 1999 | North America
|       | Monopoly                                         | Hasbro Interactive      | Nintendo 64 | 1999 | North America
|       | Monster Truck Madness 64                         | Rockstar Games          | Nintendo 64 | 1999 | North America
|       | Mortal Kombat 4                                  | Midway                  | Nintendo 64 | 1998 | North America
|       | Mortal Kombat Mythologies: Sub-Zero              | Midway                  | Nintendo 64 | 1997 | North America
|       | Mortal Kombat Trilogy                            | Midway                  | Nintendo 64 | 1996 | North America
|       | MRC: Multi-Racing Championship                   | Ocean                   | Nintendo 64 | 1997 | North America
|       | Ms. Pac-Man Maze Madness                         | Namco                   | Nintendo 64 | 2000 | North America
|       | Mystical Ninja Starring Goemon                   | Konami                  | Nintendo 64 | 1998 | North America
|       | Nagano Winter Olympics '98                       | Konami                  | Nintendo 64 | 1998 | North America
|       | Namco Museum 64                                  | Namco                   | Nintendo 64 | 1999 | North America
|       | NASCAR 2000                                      | EA Sports               | Nintendo 64 | 1999 | North America
|       | NASCAR 99                                        | EA Sports               | Nintendo 64 | 1998 | North America
|       | NBA Courtside 2 Featuring Kobe Bryant            | Nintendo                | Nintendo 64 | 1999 | North America
|       | NBA Hang Time                                    | Midway                  | Nintendo 64 | 1997 | North America
|       | NBA In The Zone '98                              | Konami                  | Nintendo 64 | 1998 | North America
|       | NBA In The Zone '99                              | Konami                  | Nintendo 64 | 1999 | North America
|       | NBA In The Zone 2000                             | Konami                  | Nintendo 64 | 2000 | North America
|       | NBA Jam 2000                                     | Acclaim                 | Nintendo 64 | 1999 | North America
|       | NBA Jam 99                                       | Acclaim                 | Nintendo 64 | 1998 | North America
|       | NBA Live 2000                                    | EA Sports               | Nintendo 64 | 1999 | North America
|       | NBA Live 99                                      | EA Sports               | Nintendo 64 | 1998 | North America
|       | NBA Showtime: NBA on NBC                         | Midway                  | Nintendo 64 | 1999 | North America
|       | New Tetris, The                                  | Nintendo                | Nintendo 64 | 1999 | North America
|       | NFL Blitz                                        | Midway                  | Nintendo 64 | 1998 | North America
|       | NFL Blitz 2000                                   | Midway                  | Nintendo 64 | 1999 | North America
