|       | Grand Theft Auto 2                                       | Rockstar Games           | Game Boy Color | 2000 | North America
|       | Grinch, The                                              | Konami                   | Game Boy Color | 2000 | North America
|       | Hamtaro: Ham-Hams Unite!                                 | Nintendo                 | Game Boy Color | 2002 | North America
|       | Hands of Time                                            | Titus Software           | Game Boy Color | 2001 | North America
|       | Harley Davidson: Race Across America                     | WizardWorks              | Game Boy Color | 2000 | North America
|       | Harry Potter and the Chamber of Secrets                  | EA Games                 | Game Boy Color | 2002 | North America
|       | Harry Potter and the Sorcerer's Stone                    | Electronic Arts          | Game Boy Color | 2001 | North America
|       | Harvest Moon 2 GBC                                       | Natsume                  | Game Boy Color | 2000 | North America
|       | Harvest Moon 3 GBC                                       | Natsume                  | Game Boy Color | 2001 | North America
|       | Harvest Moon GBC                                         | Natsume                  | Game Boy Color | 1998 | North America
|       | Hello Kitty's Cube Frenzy                                | NewKidCo                 | Game Boy Color | 1999 | North America
|       | Heroes of Might and Magic                                | 3DO                      | Game Boy Color | 2000 | North America
|       | Heroes of Might and Magic II                             | 3DO                      | Game Boy Color | 2000 | North America
|       | Hexcite: The Shapes of Victory                           | Ubisoft                  | Game Boy Color | 1999 | North America
|       | Hole in One Golf                                         | Natsume                  | Game Boy Color | 1999 | North America
|       | Hot Wheels: Stunt Track Driver                           | Mattel                   | Game Boy Color | 2000 | North America
|       | Hoyle Card Games                                         | Sierra Entertainment     | Game Boy Color | 2000 | North America
|       | Hoyle Casino                                             | Sierra Entertainment     | Game Boy Color | 2000 | North America
|       | Indiana Jones and the Infernal Machine                   | THQ                      | Game Boy Color | 2001 | North America
|       | Inspector Gadget: Operation Madkactus                    | Ubisoft                  | Game Boy Color | 2001 | North America
|       | International Rally                                      | Konami                   | Game Boy Color | 2000 | North America
|       | International Superstar Soccer 2000                      | Konami                   | Game Boy Color | 2000 | North America
|       | International Superstar Soccer 99                        | Konami                   | Game Boy Color | 1999 | North America
|       | International Track & Field                              | Konami                   | Game Boy Color | 2000 | North America
|       | Jeff Gordon XS Racing                                    | ASC Games                | Game Boy Color | 1999 | North America
|       | Jeremy McGrath Supercross 2000                           | Acclaim                  | Game Boy Color | 2000 | North America
|       | Jim Henson's Bear in the Big Blue House                  | Ubisoft                  | Game Boy Color | 2002 | North America
|       | Jim Henson's The Muppets                                 | Take-Two Interactive     | Game Boy Color | 2000 | North America
|       | JumpStart: Dino Adventure Field Trip                     | Knowledge Adventure Inc. | Game Boy Color | 2001 | North America
|       | Kelly Club: Clubhouse Fun                                | Knowledge Adventure Inc. | Game Boy Color | 2001 | North America
|       | Ken Griffey Jr.'s Slugfest                               | Nintendo                 | Game Boy Color | 1999 | North America
|       | Kirby Tilt 'n' Tumble                                    | Nintendo                 | Game Boy Color | 2001 | North America
|       | Klax                                                     | Midway                   | Game Boy Color | 1999 | North America
|       | Klustar                                                  | Infogrames               | Game Boy Color | 1999 | North America
|       | Knockout Kings                                           | Electronic Arts          | Game Boy Color | 1999 | North America
|       | Land Before Time, The                                    | Conspiracy Entertainment | Game Boy Color | 2001 | North America
|       | Lara Croft - Tomb Raider: Curse of the Sword             | Activision               | Game Boy Color | 2001 | North America
|       | Las Vegas Cool Hand                                      | Take-Two Interactive     | Game Boy Color | 1998 | North America
|       | Legend of the River King                                 | Natsume                  | Game Boy Color | 1999 | North America
|       | Legend of the River King 2                               | Crave                    | Game Boy Color | 2001 | North America
|       | Legend of Zelda: Link's Awakening DX, The                | Nintendo                 | Game Boy Color | 1998 | North America
|       | Legend of Zelda: Oracle of Ages, The                     | Nintendo                 | Game Boy Color | 2001 | North America
|       | Legend of Zelda: Oracle of Seasons, The                  | Nintendo                 | Game Boy Color | 2001 | North America
|       | LEGO Alpha Team                                          | Lego Media               | Game Boy Color | 2000 | North America
|       | LEGO Island 2: The Brickster's Revenge                   | Lego Media               | Game Boy Color | 2001 | North America
|       | LEGO Racers                                              | Lego Media               | Game Boy Color | 2000 | North America
|       | LEGO Stunt Rally                                         | Lego Media               | Game Boy Color | 2000 | North America
|       | Lemmings                                                 | Take-Two Interactive     | Game Boy Color | 2000 | North America
|       | Lil' Monster                                             | Agetec Inc.              | Game Boy Color | 2000 | North America
|       | Little Nicky                                             | Ubisoft                  | Game Boy Color | 2000 | North America
|       | Logical                                                  | SunSoft                  | Game Boy Color | 1999 | North America
|       | Looney Tunes                                             | SunSoft                  | Game Boy Color | 1998 | North America
|       | Looney Tunes Collector: Alert!                           | Infogrames               | Game Boy Color | 2000 | North America
|       | Looney Tunes Racing                                      | Infogrames               | Game Boy Color | 2000 | North America
|       | Looney Tunes: Carrot Crazy                               | Infogrames               | Game Boy Color | 1999 | North America
|       | Looney Tunes: Twouble!                                   | Infogrames               | Game Boy Color | 1998 | North America
|       | Lucky Luke                                               | Infogrames               | Game Boy Color | 1999 | North America
|       | Lufia: The Legend Returns                                | Natsume                  | Game Boy Color | 2001 | North America
|       | M&M's Mini Madness                                       | Majesco Games            | Game Boy Color | 2000 | North America
|       | Madden NFL 2000                                          | THQ                      | Game Boy Color | 1999 | North America
|       | Madden NFL 2001                                          | EA Sports                | Game Boy Color | 2000 | North America
|       | Madden NFL 2002                                          | EA Sports                | Game Boy Color | 2001 | North America
|       | Magi Nation                                              | Interactive Imagination  | Game Boy Color | 2001 | North America
|       | Magical Drop                                             | Classified Games         | Game Boy Color | 2000 | North America
|       | Magical Tetris Challenge                                 | Capcom                   | Game Boy Color | 2000 | North America
|       | Marble Madness                                           | Midway                   | Game Boy Color | 1999 | North America
|       | Mario Golf                                               | Nintendo                 | Game Boy Color | 1999 | North America
|       | Mario Tennis                                             | Nintendo                 | Game Boy Color | 2001 | North America
|       | Marvin Strikes Back!                                     | Infogrames               | Game Boy Color | 2000 | North America
|       | Mary-Kate & Ashley: Get a Clue!                          | Acclaim                  | Game Boy Color | 2000 | North America
|       | Mary-Kate and Ashley: Crush Course                       | Acclaim                  | Game Boy Color | 2001 | North America
|       | Mary-Kate and Ashley: Pocket Planner                     | Acclaim                  | Game Boy Color | 2000 | North America
|       | Mary-Kate and Ashley: Winners Circle                     | Acclaim                  | Game Boy Color | 2001 | North America
|       | Mask of Zorro, The                                       | SunSoft                  | Game Boy Color | 2000 | North America
|       | Mat Hoffman's Pro BMX                                    | Activision               | Game Boy Color | 2001 | North America
|       | Matchbox Caterpillar Construction Zone                   | Mattel                   | Game Boy Color | 2000 | North America
|       | Matchbox Emergency Patrol                                | Mattel                   | Game Boy Color | 2001 | North America
|       | Mega Man Xtreme                                          | Capcom                   | Game Boy Color | 2001 | North America
|       | Mega Man Xtreme 2                                        | Capcom                   | Game Boy Color | 2001 | North America
|       | Men in Black 2: The Series                               | Crave                    | Game Boy Color | 2000 | North America
|       | Men in Black: The Series                                 | Crave                    | Game Boy Color | 1998 | North America
|       | Metal Gear Solid                                         | Konami                   | Game Boy Color | 2000 | North America
|       | Metal Walker                                             | Capcom                   | Game Boy Color | 2001 | North America
|       | Mia Hamm Soccer Shootout                                 | SouthPeak Games          | Game Boy Color | 2000 | North America
|       | Mickey's Racing Adventure                                | Nintendo                 | Game Boy Color | 1999 | North America
|       | Mickey's Speedway USA                                    | Nintendo                 | Game Boy Color | 2001 | North America
|       | Micro Machines 1 and 2: Twin Turbo                       | THQ                      | Game Boy Color | 2000 | North America
|       | Micro Machines V3                                        | THQ                      | Game Boy Color | 2000 | North America
|       | Microsoft Pinball Arcade                                 | Classified Games         | Game Boy Color | 2001 | North America
|       | Microsoft: The 6in1 Puzzle Collection Entertainment Pack | Classified Games         | Game Boy Color | 2000 | North America
|       | Microsoft: The Best of Entertainment Pack                | Classified Games         | Game Boy Color | 2001 | North America
|       | Midway Presents Arcade Hits: Joust / Defender            | Midway                   | Game Boy Color | 1999 | North America
|       | Midway Presents Arcade Hits: Moon Patrol / Spy Hunter    | Midway                   | Game Boy Color | 1999 | North America
|       | Millennium Winter Sports                                 | Konami                   | Game Boy Color | 2000 | North America
|       | Missile Command                                          | Hasbro Interactive       | Game Boy Color | 1999 | North America
|       | Mission: Impossible                                      | Infogrames               | Game Boy Color | 2000 | North America
|       | Monopoly                                                 | Majesco Games            | Game Boy Color | 1999 | North America
|       | Monster Rancher Battle Card GB                           | Tecmo                    | Game Boy Color | 2000 | North America
|       | Monster Rancher Explorer                                 | Tecmo                    | Game Boy Color | 2000 | North America
|       | Monsters, Inc.                                           | THQ                      | Game Boy Color | 2001 | North America
|       | Montezuma's Return                                       | Take-Two Interactive     | Game Boy Color | 1998 | North America
|       | Mortal Kombat 4                                          | Midway                   | Game Boy Color | 1998 | North America
|       | Motocross Maniacs 2                                      | Konami                   | Game Boy Color | 1999 | North America
|       | Mr. Driller                                              | Namco                    | Game Boy Color | 2000 | North America
|       | Mr. Nutz                                                 | Infogrames               | Game Boy Color | 1999 | North America
|       | Ms. Pac-Man: Special Color Edition                       | Namco                    | Game Boy Color | 1999 | North America
|       | MTV Sports: Pure Ride                                    | THQ                      | Game Boy Color | 2000 | North America
|       | MTV Sports: Skateboarding Featuring Andy Macdonald       | THQ                      | Game Boy Color | 2000 | North America
|       | MTV Sports: T.J. Lavin's Ultimate BMX                    | THQ                      | Game Boy Color | 2000 | North America
|       | Mummy Returns, The                                       | Universal Interactive    | Game Boy Color | 2001 | North America
|       | Mummy, The                                               | Konami                   | Game Boy Color | 2000 | North America
|       | NASCAR 2000                                              | EA Sports                | Game Boy Color | 2000 | North America
|       | NASCAR Challenge                                         | Majesco Games            | Game Boy Color | 1999 | North America
|       | NASCAR Heat                                              | Majesco Games            | Game Boy Color | 2000 | North America
|       | NASCAR Racers                                            | Majesco Games            | Game Boy Color | 2000 | North America
|       | NBA 3 on 3 Featuring Kobe Bryant                         | Nintendo                 | Game Boy Color | 1999 | North America
|       | NBA Hoopz                                                | Midway                   | Game Boy Color | 2001 | North America
|       | NBA In The Zone                                          | Konami                   | Game Boy Color | 1999 | North America
|       | NBA In the Zone 2000                                     | Konami                   | Game Boy Color | 2000 | North America
|       | NBA Jam 2001                                             | Acclaim                  | Game Boy Color | 2000 | North America
|       | NBA Jam 99                                               | Acclaim                  | Game Boy Color | 1999 | North America
|       | NBA Showtime: NBA on NBC                                 | Midway                   | Game Boy Color | 2000 | North America
|       | New Adventures of Mary-Kate & Ashley, The                | Acclaim                  | Game Boy Color | 1999 | North America
|       | NFL Blitz                                                | Midway                   | Game Boy Color | 1998 | North America
|       | NFL Blitz 2000                                           | Midway                   | Game Boy Color | 1999 | North America
|       | NFL Blitz 2001                                           | Midway                   | Game Boy Color | 2000 | North America
|       | NHL 2000                                                 | THQ                      | Game Boy Color | 2000 | North America
|       | NHL Blades of Steel                                      | Konami                   | Game Boy Color | 1999 | North America
|       | NHL Blades of Steel 2000                                 | Konami                   | Game Boy Color | 2000 | North America
|       | NickToons Racing                                         | Majesco Games            | Game Boy Color | 2000 | North America
|       | Oddworld Adventures 2                                    | GT Interactive           | Game Boy Color | 2000 | North America
|       | Pac-Man: Special Color Edition                           | Namco                    | Game Boy Color | 1999 | North America
|       | Paperboy                                                 | Midway                   | Game Boy Color | 1999 | North America
|       | Perfect Dark                                             | Nintendo                 | Game Boy Color | 2000 | North America
|       | Pitfall: Beyond the Jungle                               | Crave                    | Game Boy Color | 1998 | North America
|       | Planet of the Apes                                       | Ubisoft                  | Game Boy Color | 2001 | North America
|       | Playmobil Interactive: Laura                             | Ubisoft                  | Game Boy Color | 2000 | North America
|       | Pocket Bomberman                                         | Nintendo                 | Game Boy Color | 1998 | North America
|       | Pocket Bowling                                           | Jaleco Entertainment     | Game Boy Color | 1999 | North America
|       | Pokemon Crystal Version                                  | Nintendo                 | Game Boy Color | 2001 | North America
|       | Pokemon Gold Version                                     | Nintendo                 | Game Boy Color | 2000 | North America
|       | Pokemon Pinball                                          | Nintendo                 | Game Boy Color | 1999 | North America
|       | Pokemon Puzzle Challenge                                 | Nintendo                 | Game Boy Color | 2000 | North America
|       | Pokemon Silver Version                                   | Nintendo                 | Game Boy Color | 2000 | North America
|       | Pokemon Trading Card Game                                | Nintendo                 | Game Boy Color | 2000 | North America
|       | Polaris SnoCross                                         | Vatical Entertainment    | Game Boy Color | 2000 | North America
|       | Pong: The Next Level                                     | Hasbro Interactive       | Game Boy Color | 1999 | North America
|       | Portal Runner                                            | 3DO                      | Game Boy Color | 2001 | North America
|       | Power Quest                                              | SunSoft                  | Game Boy Color | 1998 | North America
|       | Power Rangers: Lightspeed Rescue                         | THQ                      | Game Boy Color | 2000 | North America
|       | Power Rangers: Time Force                                | THQ                      | Game Boy Color | 2001 | North America
|       | Power Spike Pro Beach Volleyball                         | Infogrames               | Game Boy Color | 2000 | North America
|       | Powerpuff Girls: Bad Mojo Jojo, The                      | Bam Entertainment        | Game Boy Color | 2000 | North America
|       | Powerpuff Girls: Battle Him, The                         | Bam Entertainment        | Game Boy Color | 2001 | North America
|       | Powerpuff Girls: Paint the Townsville Green, The         | Bam Entertainment        | Game Boy Color | 2000 | North America
|       | Prince of Persia                                         | Red Orb Entertainment    | Game Boy Color | 1999 | North America
|       | Pro Darts                                                | Vatical Entertainment    | Game Boy Color | 2002 | North America
|       | Pro Pool                                                 | Codemasters              | Game Boy Color | 2000 | North America
|       | Project S-11                                             | SunSoft                  | Game Boy Color | 2000 | North America
|       | Puzzle Master                                            | Metro3D                  | Game Boy Color | 1999 | North America
|       | Puzzled                                                  | Conspiracy Entertainment | Game Boy Color | 2001 | North America
|       | Q*bert                                                   | Hasbro Interactive       | Game Boy Color | 2000 | North America
|       | Quest for Camelot                                        | Titus Software           | Game Boy Color | 1998 | North America
|       | Quest: Brian's Journey                                   | SunSoft                  | Game Boy Color | 2000 | North America
|       | Quest: Fantasy Challenge                                 | SunSoft                  | Game Boy Color | 1999 | North America
|       | R-Type DX                                                | Nintendo                 | Game Boy Color | 1999 | North America
|       | Racin' Ratz                                              | Mattel                   | Game Boy Color | 2013 | North America
|       | Rampage 2: Universal Tour                                | Midway                   | Game Boy Color | 1999 | North America
|       | Rampage: World Tour                                      | Midway                   | Game Boy Color | 1998 | North America
|       | Rampart                                                  | Midway                   | Game Boy Color | 1999 | North America
|       | Rats!                                                    | Take-Two Interactive     | Game Boy Color | 1998 | North America
|       | Rayman                                                   | Ubisoft                  | Game Boy Color | 2000 | North America
|       | Rayman 2                                                 | Ubisoft                  | Game Boy Color | 2001 | North America
|       | Razor: Freestyle Scooter                                 | Crave                    | Game Boy Color | 2001 | North America
|       | Ready 2 Rumble Boxing                                    | Midway                   | Game Boy Color | 1999 | North America
|       | Rescue Heroes: Fire Frenzy                               | Mattel                   | Game Boy Color | 2001 | North America
|       | Resident Evil Gaiden                                     | Capcom                   | Game Boy Color | 2002 | North America
|       | Return of the Ninja                                      | Natsume                  | Game Boy Color | 2001 | North America
|       | Revelations: The Demon Slayer                            | ATLUS                    | Game Boy Color | 1999 | North America
|       | Rhino Rumble                                             | Telegames, Inc.          | Game Boy Color | 2002 | North America
|       | Road Champs: BXS Stunt Biking                            | Activision               | Game Boy Color | 2000 | North America
|       | Road Rash                                                | Electronic Arts          | Game Boy Color | 2000 | North America
|       | Roadsters                                                | Titus Software           | Game Boy Color | 2000 | North America
|       | Robopon: Sun Version                                     | ATLUS                    | Game Boy Color | 2000 | North America
|       | Rocket Power: Gettin' Air                                | THQ                      | Game Boy Color | 2001 | North America
|       | Rocky Mountain: Trophy Hunter                            | Infogrames               | Game Boy Color | 2000 | North America
|       | Ronaldo V-Soccer                                         | GT Interactive           | Game Boy Color | 2001 | North America
|       | Roswell Conspiracies: Aliens, Myths & Legends            | Red Storm Entertainment  | Game Boy Color | 2001 | North America
|       | Rox                                                      | Titus Software           | Game Boy Color | 2001 | North America
|       | Rugrats in Paris: The Movie                              | THQ                      | Game Boy Color | 2000 | North America
|       | Rugrats Movie, The                                       | THQ                      | Game Boy Color | 1999 | North America
|       | Rugrats: Time Travelers                                  | THQ                      | Game Boy Color | 1999 | North America
