|       | Free Running                                                              | Ubisoft                                | PlayStation Portable | 2007 | Europe
|       | Frogger Helmet Chaos                                                      | Konami                                 | PlayStation Portable | 2006 | Europe
|       | From Russia With Love                                                     | Electronic Arts                        | PlayStation Portable | 2006 | Europe
|       | Full Auto 2: Battlelines                                                  | Sega                                   | PlayStation Portable | 2007 | Europe
|       | Fullmetal Alchemist: Brotherhood                                          | Namco Bandai Games                     | PlayStation Portable | 2010 | Europe
|       | G-Force                                                                   | Disney Interactive Studios             | PlayStation Portable | 2009 | Europe
|       | G.I. Joe: The Rise of Cobra                                               | Electronic Arts                        | PlayStation Portable | 2009 | Europe
|       | Gangs of London                                                           | SCEE                                   | PlayStation Portable | 2006 | Europe
|       | Generation of Chaos                                                       | Midas Interactive Entertainment        | PlayStation Portable | 2007 | Europe
|       | GenSan                                                                    | DHM Interactive                        | PlayStation Portable | 2010 | Europe
|       | Geronimo Stilton in the Kingdom of Fantasy                                | SCEE                                   | PlayStation Portable | 2011 | Europe
|       | Geronimo Stilton: Return to the Kingdom of Fantasy                        | SCEE                                   | PlayStation Portable | 2012 | Europe
|       | Ghost in the Shell: Stand Alone Complex                                   | Atari SA                               | PlayStation Portable | 2005 | Europe
|       | Ghost Rider                                                               | 2K Games                               | PlayStation Portable | 2007 | Europe
|       | Ghostbusters: The Video Game                                              | Atari SA                               | PlayStation Portable | 2009 | Europe
|       | Gitaroo-Man Lives!                                                        | Koei                                   | PlayStation Portable | 2006 | Europe
|       | Gladiator Begins                                                          | PQube                                  | PlayStation Portable | 2011 | Europe
|       | Go! Sudoku                                                                | SCEE                                   | PlayStation Portable | 2005 | Europe
|       | Go!Cam                                                                    | SCEE                                   | PlayStation Portable | 2007 | Europe
|       | Go!Explore                                                                | SCEE                                   | PlayStation Portable | 2008 | Europe
|       | Go!Messenger                                                              | SCEE                                   | PlayStation Portable | 2008 | Europe
|       | God of War: Chains of Olympus                                             | SCEE                                   | PlayStation Portable | 2008 | Europe
|       | God of War: Ghost of Sparta                                               | SCEE                                   | PlayStation Portable | 2010 | Europe
|       | Godfather: Mob Wars, The                                                  | Electronic Arts                        | PlayStation Portable | 2006 | Europe
|       | Gods Eater Burst                                                          | Namco Bandai Games                     | PlayStation Portable | 2011 | Europe
|       | Golden Compass, The                                                       | Sega Europe                            | PlayStation Portable | 2007 | Europe
|       | Gottlieb Pinball Classics                                                 | Play It!                               | PlayStation Portable | 2006 | Europe
|       | Gradius Collection                                                        | Konami                                 | PlayStation Portable | 2006 | Europe
|       | Gran Turismo                                                              | SCEE                                   | PlayStation Portable | 2009 | Europe
|       | Grand Theft Auto: Chinatown Wars                                          | Rockstar Games                         | PlayStation Portable | 2009 | Europe
|       | Grand Theft Auto: Liberty City Stories                                    | Rockstar Games                         | PlayStation Portable | 2005 | Europe
|       | Grand Theft Auto: Vice City Stories                                       | Rockstar Games                         | PlayStation Portable | 2006 | Europe
|       | GripShift                                                                 | Ubisoft                                | PlayStation Portable | 2005 | Europe
|       | Guilty Gear Judgment                                                      | Majesco                                | PlayStation Portable | 2007 | Europe
|       | Guilty Gear XX Accent Core Plus                                           | PQube                                  | PlayStation Portable | 2011 | Europe
|       | GUN Showdown                                                              | Activision                             | PlayStation Portable | 2006 | Europe
|       | Gunpey                                                                    | Atari SA                               | PlayStation Portable | 2007 | Europe
|       | Gurumin: A Monstrous Adventure                                            | 505 Game Street                        | PlayStation Portable | 2007 | Europe
|       | Half-Minute Hero                                                          | Rising Star Games                      | PlayStation Portable | 2010 | Europe
|       | Hard Rock Casino                                                          | Oxygen Interactive                     | PlayStation Portable | 2008 | Europe
|       | Harry Potter and the Goblet of Fire                                       | Electronic Arts                        | PlayStation Portable | 2005 | Europe
|       | Harry Potter and the Half-Blood Prince                                    | EA Games                               | PlayStation Portable | 2009 | Europe
|       | Harry Potter and the Order of the Phoenix                                 | EA Games                               | PlayStation Portable | 2007 | Europe
|       | Harvest Moon: Hero of Leaf Valley                                         | Rising Star Games                      | PlayStation Portable | 2010 | Europe
|       | Heatseeker                                                                | Codemasters                            | PlayStation Portable | 2007 | Europe
|       | Hellboy: The Science of Evil                                              | Konami                                 | PlayStation Portable | 2008 | Europe
|       | Hello Kitty: Puzzle Party                                                 | Ubisoft                                | PlayStation Portable | 2010 | Europe
|       | History Channel: Great Battles of Rome, The                               | Black Bean Games                       | PlayStation Portable | 2007 | Europe
|       | History Egypt: Engineering an Empire                                      | Koch Media                             | PlayStation Portable | 2010 | Europe
|       | Holy Invasion of Privacy, Badman! What Did I Do To Deserve This?          | NIS America                            | PlayStation Portable | 2009 | Europe
|       | Hot Brain                                                                 | Midway                                 | PlayStation Portable | 2007 | Europe
|       | Hot Pixel                                                                 | Atari SA                               | PlayStation Portable | 2007 | Europe
|       | Hot Wheels: Ultimate Racing                                               | DSI Games                              | PlayStation Portable | 2007 | Europe
|       | Hustle: Detroit Streets, The                                              | Deep Silver                            | PlayStation Portable | 2007 | Europe
|       | IL-2 Sturmovik: Birds of Prey                                             | 505 Games                              | PlayStation Portable | 2009 | Europe
|       | Imagine Champion Rider                                                    | Ubisoft                                | PlayStation Portable | 2009 | Europe
|       | Impossible Mission                                                        | System 3                               | PlayStation Portable | 2007 | Europe
|       | Indiana Jones and the Staff of Kings                                      | Activision                             | PlayStation Portable | 2009 | Europe
|       | Infected                                                                  | THQ                                    | PlayStation Portable | 2006 | Europe
|       | Innocent Life: A Futuristic Harvest Moon                                  | Rising Star Games                      | PlayStation Portable | 2007 | Europe
|       | International Athletics                                                   | Ghostlight                             | PlayStation Portable | 2008 | Europe
|       | International Cricket Captain III                                         | Empire Interactive                     | PlayStation Portable | 2007 | Europe
|       | Invizimals                                                                | SCEE                                   | PlayStation Portable | 2009 | Europe
|       | Invizimals: Shadow Zone                                                   | SCEE                                   | PlayStation Portable | 2010 | Europe
|       | Invizimals: The Lost Tribes                                               | SCEE                                   | PlayStation Portable | 2011 | Europe
|       | Iron Man 2                                                                | Sega                                   | PlayStation Portable | 2010 | Europe
|       | Iron Man: The Official Videogame                                          | Sega                                   | PlayStation Portable | 2008 | Europe
|       | Jackass the Game                                                          | Red Mile Entertainment                 | PlayStation Portable | 2007 | Europe
|       | Jak and Daxter: The Lost Frontier                                         | SCEE                                   | PlayStation Portable | 2009 | Europe
|       | James Cameron's Avatar: The Game                                          | Ubisoft                                | PlayStation Portable | 2009 | Europe
|       | Juiced 2: Hot Import Nights                                               | THQ                                    | PlayStation Portable | 2007 | Europe
|       | Juiced: Eliminator                                                        | THQ                                    | PlayStation Portable | 2006 | Europe
|       | Jungle Party                                                              | SCEE                                   | PlayStation Portable | 2010 | Europe
|       | Justice League Heroes                                                     | Eidos Interactive                      | PlayStation Portable | 2006 | Europe
|       | Kameleon                                                                  | 505 Game Street                        | PlayStation Portable | 2006 | Europe
|       | Kao Challengers                                                           | Atari SA                               | PlayStation Portable | 2005 | Europe
|       | KAZooK                                                                    | Xplosiv                                | PlayStation Portable | 2006 | Europe
|       | Key of Heaven                                                             | SCEE                                   | PlayStation Portable | 2006 | Europe
|       | Kids Pack: Open Season and Surfs Up                                       | Ubisoft                                | PlayStation Portable | 2009 | Europe
|       | Killzone: Liberation                                                      | SCEE                                   | PlayStation Portable | 2006 | Europe
|       | King of Clubs                                                             | Oxygen Interactive                     | PlayStation Portable | 2008 | Europe
|       | King of Fighters Collection: The Orochi Saga, The                         | Ignition Entertainment                 | PlayStation Portable | 2009 | Europe
|       | Kingdom Hearts: Birth by Sleep                                            | Square Enix                            | PlayStation Portable | 2010 | Europe
|       | Koloomn                                                                   | 505 Game Street                        | PlayStation Portable | 2006 | Europe
|       | L.A. Rush                                                                 | Midway                                 | PlayStation Portable | 2006 | Europe
|       | Lanfeust of Troy                                                          | Atari SA                               | PlayStation Portable | 2008 | Europe
|       | Legend of Heroes: Trails in the Sky, The                                  | Ghostlight                             | PlayStation Portable | 2011 | Europe
|       | Legend of the Dragon                                                      | The Game Factory                       | PlayStation Portable | 2007 | Europe
|       | LEGO Batman: The Videogame                                                | Warner Bros. Interactive Entertainment | PlayStation Portable | 2008 | Europe
|       | LEGO Harry Potter: Years 1-4                                              | Warner Bros. Interactive Entertainment | PlayStation Portable | 2010 | Europe
|       | LEGO Harry Potter: Years 5-7                                              | Warner Bros. Interactive Entertainment | PlayStation Portable | 2011 | Europe
|       | LEGO Indiana Jones 2: The Adventure Continues                             | LucasArts                              | PlayStation Portable | 2009 | Europe
|       | LEGO Indiana Jones: The Original Adventures                               | LucasArts                              | PlayStation Portable | 2008 | Europe
|       | LEGO Pirates of the Caribbean: The Video Game                             | Disney Interactive Studios             | PlayStation Portable | 2011 | Europe
|       | LEGO Star Wars II: The Original Trilogy                                   | LucasArts                              | PlayStation Portable | 2006 | Europe
|       | LEGO Star Wars III: The Clone Wars                                        | LucasArts                              | PlayStation Portable | 2011 | Europe
|       | Lemmings                                                                  | SCEE                                   | PlayStation Portable | 2006 | Europe
|       | Lemmings / LocoRoco                                                       | SCEE                                   | PlayStation Portable | 2008 | Europe
|       | Little Britain: The Video Game                                            | Blast! Entertainment Ltd               | PlayStation Portable | 2007 | Europe
|       | LittleBigPlanet                                                           | SCEE                                   | PlayStation Portable | 2009 | Europe
|       | LocoRoco                                                                  | SCEE                                   | PlayStation Portable | 2006 | Europe
|       | LocoRoco 2                                                                | SCEE                                   | PlayStation Portable | 2008 | Europe
|       | Lord of Arcana                                                            | Square Enix                            | PlayStation Portable | 2011 | Europe
|       | Lord of the Rings: Aragorn's Quest, The                                   | Warner Bros. Interactive Entertainment | PlayStation Portable | 2010 | Europe
|       | Lord of the Rings: Tactics, The                                           | EA Games                               | PlayStation Portable | 2005 | Europe
|       | Lumines                                                                   | Ubisoft                                | PlayStation Portable | 2005 | Europe
|       | Lumines II                                                                | Buena Vista Games                      | PlayStation Portable | 2006 | Europe
|       | Luxor: Pharaoh's Challenge                                                | MumboJumbo                             | PlayStation Portable | 2007 | Europe
|       | M.A.C.H. Modified Air Combat Heroes                                       | VU Games                               | PlayStation Portable | 2007 | Europe
|       | Madden NFL 06                                                             | EA Sports                              | PlayStation Portable | 2005 | Europe
|       | Madden NFL 08                                                             | EA Sports                              | PlayStation Portable | 2007 | Europe
|       | Madden NFL 09                                                             | Electronic Arts                        | PlayStation Portable | 2008 | Europe
|       | Madden NFL 10                                                             | Electronic Arts                        | PlayStation Portable | 2009 | Europe
|       | Magic Sudoku                                                              | 505 Games                              | PlayStation Portable | 2008 | Europe
|       | Mana Khemia: Student Alliance                                             | NIS Europe                             | PlayStation Portable | 2009 | Europe
|       | Manhunt 2                                                                 | Rockstar Games                         | PlayStation Portable | 2008 | Europe
|       | Marvel Nemesis: Rise of the Imperfects                                    | EA Games                               | PlayStation Portable | 2005 | Europe
|       | Marvel Super Hero Squad                                                   | THQ                                    | PlayStation Portable | 2009 | Europe
|       | Marvel Trading Card Game                                                  | Konami                                 | PlayStation Portable | 2007 | Europe
