|       | Chester Cheetah: Wild Wild Quest                                                        | Kaneko                       | Super Nintendo | 1994 | North America
|       | Choplifter III                                                                          | Victor Interactive Software  | Super Nintendo | 1994 | North America
|       | Chrono Trigger                                                                          | SquareSoft                   | Super Nintendo | 1995 | North America
|       | Chuck Rock                                                                              | Sony Imagesoft               | Super Nintendo | 1992 | North America
|       | ClayFighter                                                                             | Interplay                    | Super Nintendo | 1993 | North America
|       | ClayFighter: Tournament Edition                                                         | Interplay                    | Super Nintendo | 1994 | North America
|       | Claymates                                                                               | Interplay                    | Super Nintendo | 1994 | North America
|       | Cliffhanger                                                                             | Sony Imagesoft               | Super Nintendo | 1993 | North America
|       | Clue                                                                                    | Parker Bros.                 | Super Nintendo | 1992 | North America
|       | College Football USA 97                                                                 | Black Pearl                  | Super Nintendo | 1996 | North America
|       | College Slam                                                                            | Acclaim                      | Super Nintendo | 1996 | North America
|       | Combatribes, The                                                                        | Technos                      | Super Nintendo | 1993 | North America
|       | Congo's Caper                                                                           | Data East USA                | Super Nintendo | 1993 | North America
|       | Contra III: The Alien Wars                                                              | Konami                       | Super Nintendo | 1992 | North America
|       | Cool Spot                                                                               | Virgin Interactive           | Super Nintendo | 1993 | North America
|       | Cool World                                                                              | Ocean                        | Super Nintendo | 1993 | North America
|       | Cutthroat Island                                                                        | Acclaim                      | Super Nintendo | 1996 | North America
|       | Cyber Spin                                                                              | Takara                       | Super Nintendo | 1992 | North America
|       | Cybernator                                                                              | Konami                       | Super Nintendo | 1993 | North America
|       | D-Force                                                                                 | Asmik Corporation of America | Super Nintendo | 1991 | North America
|       | Daffy Duck: The Marvin Missions                                                         | SunSoft                      | Super Nintendo | 1993 | North America
|       | Darius Twin                                                                             | Taito Corporation            | Super Nintendo | 1991 | North America
|       | David Crane's Amazing Tennis                                                            | Absolute Entertainment       | Super Nintendo | 1992 | North America
|       | Death and Return of Superman, The                                                       | SunSoft                      | Super Nintendo | 1994 | North America
|       | Demolition Man                                                                          | Acclaim                      | Super Nintendo | 1995 | North America
|       | Demon's Crest                                                                           | Capcom                       | Super Nintendo | 1994 | North America
|       | Dennis the Menace                                                                       | Ocean                        | Super Nintendo | 1993 | North America
|       | Desert Strike: Return to the Gulf                                                       | Electronic Arts              | Super Nintendo | 1992 | North America
|       | Dig & Spike Volleyball                                                                  | Hudson Soft                  | Super Nintendo | 1993 | North America
|       | Dinocity                                                                                | Irem                         | Super Nintendo | 1992 | North America
|       | Dirt Trax FX                                                                            | Acclaim                      | Super Nintendo | 1995 | North America
|       | Disney's Aladdin                                                                        | Capcom                       | Super Nintendo | 1993 | North America
|       | Disney's Beauty and the Beast                                                           | Hudson                       | Super Nintendo | 1994 | North America
|       | Disney's Goof Troop                                                                     | Capcom                       | Super Nintendo | 1993 | North America
|       | Disney's Pinocchio                                                                      | Disney Interactive Studios   | Super Nintendo | 1996 | North America
|       | Disney's The Jungle Book                                                                | Virgin Interactive           | Super Nintendo | 1994 | North America
|       | Disney's Timon & Pumbaa's Jungle Games                                                  | THQ                          | Super Nintendo | 1997 | North America
|       | Donkey Kong Country                                                                     | Nintendo                     | Super Nintendo | 1994 | North America
|       | Donkey Kong Country 2: Diddy's Kong Quest                                               | Nintendo                     | Super Nintendo | 1995 | North America
|       | Donkey Kong Country 3: Dixie Kong's Double Trouble                                      | Nintendo                     | Super Nintendo | 1996 | North America
|       | Doom                                                                                    | Williams                     | Super Nintendo | 1995 | North America
|       | Doom Troopers                                                                           | Playmates                    | Super Nintendo | 1995 | North America
|       | Doomsday Warrior                                                                        | Renovation                   | Super Nintendo | 1993 | North America
|       | Double Dragon V: The Shadow Falls                                                       | Tradewest                    | Super Nintendo | 1994 | North America
|       | Dragon View                                                                             | Kemco                        | Super Nintendo | 1994 | North America
|       | Dragon: The Bruce Lee Story                                                             | Acclaim                      | Super Nintendo | 1995 | North America
|       | Dragon's Lair                                                                           | Data East                    | Super Nintendo | 1993 | North America
