|       | LEGO Star Wars III: The Clone Wars                                        | LucasArts                              | Nintendo 3DS | 2011 | North America
|       | LEGO Star Wars: The Force Awakens                                         | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2016 | North America
|       | LEGO The Hobbit                                                           | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2014 | North America
|       | LEGO The Lord of the Rings                                                | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2012 | North America
|       | Let's Ride! Best in Breed 3D                                              | THQ                                    | Nintendo 3DS | 2012 | North America
|       | Lord of Magna: Maiden Heaven                                              | Xseed Games                            | Nintendo 3DS | 2015 | North America
|       | Luigi's Mansion: Dark Moon                                                | Nintendo                               | Nintendo 3DS | 2013 | North America
|       | Madagascar 3 & The Croods: Combo Pack                                     | D3Publisher                            | Nintendo 3DS | 2014 | North America
|       | Madagascar 3: The Video Game                                              | D3Publisher                            | Nintendo 3DS | 2012 | North America
|       | Madden NFL Football                                                       | Electronic Arts                        | Nintendo 3DS | 2011 | North America
|       | Mahjong 3D: Warriors of the Emperor                                       | Giant Media Group                      | Nintendo 3DS | 2012 | North America
|       | Mahjong Cub3d                                                             | ATLUS                                  | Nintendo 3DS | 2011 | North America
|       | Mario & Luigi: Dream Team                                                 | Nintendo                               | Nintendo 3DS | 2013 | North America
|       | Mario & Luigi: Paper Jam                                                  | Nintendo                               | Nintendo 3DS | 2016 | North America
|       | Mario & Luigi: Superstar Saga + Bowser's Minions                          | Nintendo                               | Nintendo 3DS | 2017 | North America
|       | Mario & Sonic at the London 2012 Olympic Games                            | Sega                                   | Nintendo 3DS | 2012 | North America
|       | Mario & Sonic at the Rio 2016 Olympic Games                               | Nintendo                               | Nintendo 3DS | 2016 | North America
|       | Mario Golf: World Tour                                                    | Nintendo                               | Nintendo 3DS | 2014 | North America
|       | Mario Kart 7                                                              | Nintendo                               | Nintendo 3DS | 2011 | North America
|       | Mario Party: Island Tour                                                  | Nintendo                               | Nintendo 3DS | 2013 | North America
|       | Mario Party: Star Rush                                                    | Nintendo                               | Nintendo 3DS | 2016 | North America
|       | Mario Sports Superstars                                                   | Nintendo                               | Nintendo 3DS | 2017 | North America
|       | Mario Tennis Open                                                         | Nintendo                               | Nintendo 3DS | 2012 | North America
|       | Marvel Super Hero Squad: The Infinity Gauntlet                            | THQ                                    | Nintendo 3DS | 2011 | North America
|       | Mega Man Legacy Collection                                                | Capcom                                 | Nintendo 3DS | 2016 | North America
|       | Metal Gear Solid: Snake Eater 3D                                          | Konami                                 | Nintendo 3DS | 2012 | North America
|       | Metroid Prime: Federation Force                                           | Nintendo                               | Nintendo 3DS | 2016 | North America
|       | Metroid: Samus Returns                                                    | Nintendo                               | Nintendo 3DS | 2017 | North America
|       | Michael Jackson The Experience                                            | Ubisoft                                | Nintendo 3DS | 2011 | North America
|       | Mii Maker                                                                 | Nintendo                               | Nintendo 3DS | 2011 | North America
|       | Miitopia                                                                  | Nintendo                               | Nintendo 3DS | 2017 | North America
|       | Mini-Mario & Friends: amiibo Challenge                                    | Nintendo                               | Nintendo 3DS | 2016 | North America
|       | Moco Moco Friends                                                         | Aksys Games                            | Nintendo 3DS | 2015 | North America
|       | Monster 4x4 3D                                                            | Ubisoft                                | Nintendo 3DS | 2012 | North America
|       | Monster High 13 Wishes                                                    | Little Orbit                           | Nintendo 3DS | 2013 | North America
|       | Monster High Skultimate Roller Maze                                       | Little Orbit                           | Nintendo 3DS | 2013 | North America
|       | Monster High: 13 Wishes                                                   | Little Orbit                           | Nintendo 3DS | 2013 | North America
|       | Monster High: New Ghoul in School                                         | Little Orbit                           | Nintendo 3DS | 2015 | North America
|       | Monster Hunter 3 Ultimate                                                 | Capcom                                 | Nintendo 3DS | 2013 | North America
|       | Monster Hunter 4 Ultimate                                                 | Capcom                                 | Nintendo 3DS | 2015 | North America
|       | Monster Hunter Generations                                                | Capcom                                 | Nintendo 3DS | 2016 | North America
|       | Monster Hunter Stories                                                    | Capcom                                 | Nintendo 3DS | 2017 | North America
|       | Moshi Monsters: Katsuma Unleashed                                         | Activision                             | Nintendo 3DS | 2013 | North America
|       | Moshi Monsters: Moshlings Theme Park                                      | Activision                             | Nintendo 3DS | 2012 | North America
|       | My Pet Puppy 3D                                                           | 505 Games                              | Nintendo 3DS | 2012 | North America
|       | Myst                                                                      | Maximum Family Games                   | Nintendo 3DS | 2012 | North America
|       | Nano Assault                                                              | Majesco Games                          | Nintendo 3DS | 2011 | North America
|       | Naruto Powerful Shippuden                                                 | Namco Bandai Games America             | Nintendo 3DS | 2013 | North America
|       | NASCAR Unleashed                                                          | Activision                             | Nintendo 3DS | 2011 | North America
|       | NCIS 3D                                                                   | Ubisoft                                | Nintendo 3DS | 2012 | North America
|       | Need for Speed: The Run                                                   | Electronic Arts                        | Nintendo 3DS | 2011 | North America
|       | New Super Mario Bros. 2                                                   | Nintendo                               | Nintendo 3DS | 2012 | North America
