|       | Bunmei Kaika: Aoiza Ibunroku                                                                                                     | FuRyu                      | PlayStation Portable | 2011 | Japan
|       | Bunmei Kaika: Aoiza Ibunroku Saien                                                                                               | FuRyu                      | PlayStation Portable | 2012 | Japan
|       | Burnout Dominator                                                                                                                | Electronic Arts            | PlayStation Portable | 2007 | Japan
|       | Burnout Legends                                                                                                                  | EA Games                   | PlayStation Portable | 2005 | Japan
|       | Burst Error: Eve the First                                                                                                       | Kadokawa                   | PlayStation Portable | 2010 | Japan
|       | Busou Shinki: Battle Masters                                                                                                     | Konami                     | PlayStation Portable | 2010 | Japan
|       | Busou Shinki: Battle Masters Mk. 2                                                                                               | Konami                     | PlayStation Portable | 2011 | Japan
|       | Canvas 3: Nanairo no Kiseki                                                                                                      | GN Software                | PlayStation Portable | 2010 | Japan
|       | Capcom Classics Collection                                                                                                       | Capcom                     | PlayStation Portable | 2006 | Japan
|       | Cardinal Arc Portable                                                                                                            | Idea Factory               | PlayStation Portable | 2008 | Japan
|       | Carnage Heart EXA                                                                                                                | Artdink                    | PlayStation Portable | 2010 | Japan
|       | Carnage Heart Portable                                                                                                           | Genki                      | PlayStation Portable | 2006 | Japan
|       | Cars                                                                                                                             | THQ                        | PlayStation Portable | 2006 | Japan
|       | Chaos;Head Love Chu*Chu!                                                                                                         | 5pb                        | PlayStation Portable | 2011 | Japan
|       | Chaos;Head Noah                                                                                                                  | 5pb                        | PlayStation Portable | 2010 | Japan
|       | Cherry Blossom Portable                                                                                                          | Takuyo                     | PlayStation Portable | 2008 | Japan
|       | Chikyuu Boueigun 2 Portable                                                                                                      | D3Publisher                | PlayStation Portable | 2011 | Japan
|       | Chotto Shot                                                                                                                      | SCEI                       | PlayStation Portable | 2006 | Japan
|       | Chou no Doku: Hana no Kusari - Taishou Tsuyakoi Ibun                                                                             | Prototype                  | PlayStation Portable | 2014 | Japan
|       | Chronicle of Dungeon Maker                                                                                                       | Taito Corporation          | PlayStation Portable | 2006 | Japan
|       | Chronicle of Dungeon Maker 2                                                                                                     | Global A                   | PlayStation Portable | 2007 | Japan
|       | ChronoBelt Schwarz Oath: Limited Triple Pack                                                                                     | Boost On                   | PlayStation Portable | 2012 | Japan
|       | ChronoBelt SchwarzOath: Ayakashibito & Bullet Butlers Crossover Disk                                                             | Boost On                   | PlayStation Portable | 2012 | Japan
|       | Chronostacia                                                                                                                     | Idea Factory               | PlayStation Portable | 2014 | Japan
|       | Chuugen no Hasha: Sangoku Shouseiden                                                                                             | Namco                      | PlayStation Portable | 2006 | Japan
|       | Chuukana Janshi Tenhoo Painyan Remix                                                                                             | Jaleco Entertainment       | PlayStation Portable | 2007 | Japan
|       | Chuumon Shiyouze! Oretachi no Sekai                                                                                              | Global A                   | PlayStation Portable | 2008 | Japan
|       | Cinderella Series: Zenkan Set                                                                                                    | Quinrose                   | PlayStation Portable | 2013 | Japan
|       | Clank & Ratchet: Maru Hi Mission * Ignition                                                                                      | SCEI                       | PlayStation Portable | 2008 | Japan
|       | Clannad                                                                                                                          | Prototype                  | PlayStation Portable | 2008 | Japan
|       | Clannad: Mitsumi Mamoru Sakamichi de - Gekan                                                                                     | Prototype                  | PlayStation Portable | 2010 | Japan
|       | Clannad: Mitsumi Mamoru Sakamichi de - Joukan                                                                                    | Prototype                  | PlayStation Portable | 2010 | Japan
|       | Classic Dungeon X2                                                                                                               | Nippon Ichi Software       | PlayStation Portable | 2011 | Japan
|       | Classic Dungeon: Fuyoku no Masoujin                                                                                              | Nippon Ichi Software       | PlayStation Portable | 2010 | Japan
|       | Clock Zero: Shuuen no Ichibyou Portable                                                                                          | Idea Factory               | PlayStation Portable | 2011 | Japan
|       | Clover no Kuni no Alice                                                                                                          | Quinrose                   | PlayStation Portable | 2011 | Japan
|       | Code Geass: Hangyaku no Lelouch - Lost Colors                                                                                    | Bandai Namco Games         | PlayStation Portable | 2008 | Japan
|       | code_18                                                                                                                          | CyberFront                 | PlayStation Portable | 2011 | Japan
|       | Coded Arms                                                                                                                       | Konami                     | PlayStation Portable | 2005 | Japan
|       | Coded Arms: Contagion                                                                                                            | Konami                     | PlayStation Portable | 2007 | Japan
|       | Coded Soul: Uketsugareshi Idea                                                                                                   | SCEI                       | PlayStation Portable | 2008 | Japan
|       | Colin McRae Rally                                                                                                                | Interchannel-Holon         | PlayStation Portable | 2007 | Japan
|       | Colin McRae: DiRT 2                                                                                                              | Codemasters                | PlayStation Portable | 2009 | Japan
|       | Comic Party Portable                                                                                                             | Aqua Plus                  | PlayStation Portable | 2005 | Japan
|       | Conception: Ore no Kodomo o Unde Kure!!                                                                                          | Spike Chunsoft             | PlayStation Portable | 2012 | Japan
|       | Confidential Money: 300-Hi de 3000-Man Dol Kasegu Houhou                                                                         | Idea Factory               | PlayStation Portable | 2012 | Japan
|       | Conveni Portable, The                                                                                                            | Hamster                    | PlayStation Portable | 2010 | Japan
|       | Corpse Party: Blood Covered - Repeated Fear                                                                                      | 5pb                        | PlayStation Portable | 2010 | Japan
|       | Corpse Party: Book of Shadows                                                                                                    | 5pb                        | PlayStation Portable | 2011 | Japan
|       | Corpse Party: The Anthology - Sachiko no Renai Yuugi - Hysteric Birthday 2U                                                      | 5pb                        | PlayStation Portable | 2012 | Japan
|       | Crash Bandicoot: Gacchanko World                                                                                                 | VU Games                   | PlayStation Portable | 2005 | Japan
|       | Crazy Taxi: Double Punch                                                                                                         | Sega                       | PlayStation Portable | 2008 | Japan
|       | Cream Stew mo Minagara Iroiro Gochagocha Ittemasu Kedomo... Warai no Tamago L Size: Ohitori sama Nankai demo                     | Hudson                     | PlayStation Portable | 2006 | Japan
|       | Criminal Girls                                                                                                                   | Nippon Ichi Software       | PlayStation Portable | 2010 | Japan
|       | Crimson Empire: Circumstances to Serve a Noble                                                                                   | Quinrose                   | PlayStation Portable | 2011 | Japan
|       | Crimson Room Reverse                                                                                                             | Success                    | PlayStation Portable | 2008 | Japan
|       | Crisis Core: Final Fantasy VII                                                                                                   | Square Enix                | PlayStation Portable | 2007 | Japan
|       | Cross Channel: To All People                                                                                                     | CyberFront                 | PlayStation Portable | 2010 | Japan
|       | Custom Drive                                                                                                                     | D3Publisher                | PlayStation Portable | 2012 | Japan
|       | D.C. Girl's Symphony Pocket                                                                                                      | Idea Factory               | PlayStation Portable | 2010 | Japan
|       | D.C. III: Da Capo III Plus                                                                                                       | Kadokawa                   | PlayStation Portable | 2013 | Japan
|       | Da Capo I & II Plus Situation Portable                                                                                           | Kadokawa                   | PlayStation Portable | 2010 | Japan
|       | Dai-2-Ji Super Robot Taisen Z Hakai-hen                                                                                          | Bandai Namco Games         | PlayStation Portable | 2011 | Japan
|       | Dai-2-Ji Super Robot Taisen Z Saisei-hen                                                                                         | Bandai Namco Games         | PlayStation Portable | 2012 | Japan
|       | Daikoukai Jidai IV: Rota Nova                                                                                                    | Koei                       | PlayStation Portable | 2006 | Japan
|       | Daikuugun                                                                                                                        | Global A                   | PlayStation Portable | 2009 | Japan
|       | Daisenryaku Perfect: Senjou no Hasha                                                                                             | SystemSoft                 | PlayStation Portable | 2010 | Japan
|       | Daisenryaku Portable                                                                                                             | Genki                      | PlayStation Portable | 2005 | Japan
|       | Daisenryaku Portable 2                                                                                                           | Genki                      | PlayStation Portable | 2006 | Japan
|       | Daisenryaku VII: Exceed                                                                                                          | SystemSoft                 | PlayStation Portable | 2008 | Japan
|       | Daisenryaku: Dai Toua Kouboushi - Dainijisekaitaisen Boppatsu - Suujiku Sentai Rengougun Zensekaisen                             | SystemSoft                 | PlayStation Portable | 2014 | Japan
|       | Daisenryaku: Dai Toua Kouboushi - Tora Tora Tora Ware Kishuu Ni Seikou Seri                                                      | SystemSoft                 | PlayStation Portable | 2008 | Japan
