|       | Shinobi II: The Silent Fury                                | Sega                        | Game Gear | 1992 | North America
|       | Side Pocket                                                | Data East USA               | Game Gear | 1994 | North America
|       | Simpsons: Bart vs. the Space Mutants, The                  | Flying Edge                 | Game Gear | 1992 | North America
|       | Simpsons: Bart vs. the World, The                          | Flying Edge                 | Game Gear | 1993 | North America
|       | Simpsons: Bartman Meets Radioactive Man, The               | Acclaim                     | Game Gear | 1992 | North America
|       | Slider                                                     | Sega                        | Game Gear | 1991 | North America
|       | Solitaire FunPak                                           | Interplay                   | Game Gear | 1994 | North America
|       | Solitaire Poker                                            | Sega                        | Game Gear | 1991 | North America
|       | Sonic Blast                                                | Sega                        | Game Gear | 1996 | North America
|       | Sonic Drift 2                                              | Sega                        | Game Gear | 1995 | North America
|       | Sonic Labyrinth                                            | Sega                        | Game Gear | 1995 | North America
|       | Sonic the Hedgehog                                         | Sega                        | Game Gear | 1991 | North America
|       | Sonic the Hedgehog 2                                       | Sega                        | Game Gear | 1992 | North America
|       | Sonic the Hedgehog Chaos                                   | Sega                        | Game Gear | 1993 | North America
|       | Sonic the Hedgehog Spinball                                | Sega                        | Game Gear | 1995 | North America
|       | Sonic the Hedgehog: Triple Trouble                         | Sega                        | Game Gear | 1994 | North America
|       | Space Harrier                                              | Sega                        | Game Gear | 1991 | North America
|       | Spider-Man                                                 | Flying Edge                 | Game Gear | 1992 | North America
|       | Spider-Man / X-Men: Arcade's Revenge                       | Flying Edge                 | Game Gear | 1994 | North America
|       | Spider-Man: Return of the Sinister Six                     | Flying Edge                 | Game Gear | 1993 | North America
|       | Sports Illustrated: Championship Football & Baseball       | Black Pearl                 | Game Gear | 1993 | North America
|       | Sports Trivia                                              | Sega                        | Game Gear | 1995 | North America
|       | Sports Trivia: Championship Edition                        | Sega                        | Game Gear | 1995 | North America
|       | Star Trek: Generations: Beyond the Nexus                   | Absolute Entertainment      | Game Gear | 1995 | North America
|       | Star Trek: The Next Generation: Advanced Holodeck Tutorial | Absolute Entertainment      | Game Gear | 1994 | North America
|       | Star Wars                                                  | U.S. Gold                   | Game Gear | 1993 | North America
|       | Stargate                                                   | Acclaim                     | Game Gear | 1994 | North America
|       | Streets of Rage                                            | Sega                        | Game Gear | 1992 | North America
|       | Streets of Rage 2                                          | Sega                        | Game Gear | 1993 | North America
