|       | Magic Carpet                                                   | Electronic Arts          | Sega Saturn | 1996 | North America
|       | Magic Knight Rayearth                                          | Working Designs          | Sega Saturn | 1998 | North America
|       | Mansion of Hidden Souls, The                                   | Sega                     | Sega Saturn | 1994 | North America
|       | Manx TT Super Bike                                             | Sega                     | Sega Saturn | 1997 | North America
|       | Marvel Super Heroes                                            | Capcom                   | Sega Saturn | 1997 | North America
|       | Mass Destruction                                               | ASC Games                | Sega Saturn | 1997 | North America
|       | Maximum Force                                                  | Midway                   | Sega Saturn | 1997 | North America
|       | MechWarrior 2                                                  | Activision               | Sega Saturn | 1997 | North America
|       | Mega Man 8                                                     | Capcom                   | Sega Saturn | 1997 | North America
|       | Mega Man 8: Anniversary Collector's Edition                    | Capcom                   | Sega Saturn | 1997 | North America
|       | Mega Man X4                                                    | Capcom                   | Sega Saturn | 1997 | North America
|       | Midway Presents Arcade's Greatest Hits                         | Midway                   | Sega Saturn | 1996 | North America
|       | Midway Presents Arcade's Greatest Hits: The Atari Collection 1 | Midway                   | Sega Saturn | 1997 | North America
|       | Minnesota Fats: Pool Legend                                    | Data East USA            | Sega Saturn | 1995 | North America
|       | Mortal Kombat II                                               | Acclaim                  | Sega Saturn | 1996 | North America
|       | Mortal Kombat Trilogy                                          | Midway                   | Sega Saturn | 1997 | North America
|       | Mr. Bones                                                      | Sega                     | Sega Saturn | 1996 | North America
|       | Myst                                                           | Acclaim                  | Sega Saturn | 1995 | North America
|       | Mystaria                                                       | Sega                     | Sega Saturn | 1996 | North America
|       | NASCAR 98                                                      | Electronic Arts          | Sega Saturn | 1997 | North America
|       | NBA Action                                                     | Sega                     | Sega Saturn | 1996 | North America
|       | NBA Action 98                                                  | Sega                     | Sega Saturn | 1997 | North America
|       | NBA Jam Extreme                                                | Acclaim                  | Sega Saturn | 1996 | North America
|       | NBA Jam Tournament Edition                                     | Acclaim                  | Sega Saturn | 1995 | North America
|       | NBA Live 97                                                    | EA Sports                | Sega Saturn | 1997 | North America
|       | NBA Live 98                                                    | Electronic Arts          | Sega Saturn | 1997 | North America
|       | Net Link Custom Web Browser                                    | Sega                     | Sega Saturn | 1996 | North America
|       | Net Link Custom Web Browser Version 3.0                        | Sega                     | Sega Saturn | 1996 | North America
|       | Net Link Game Pack                                             | Sega                     | Sega Saturn | 1996 | North America
|       | NFL '97                                                        | Sega                     | Sega Saturn | 1996 | North America
|       | NFL Quarterback Club 96                                        | Acclaim                  | Sega Saturn | 1995 | North America
|       | NFL Quarterback Club 97                                        | Acclaim                  | Sega Saturn | 1996 | North America
|       | NHL 97                                                         | Electronic Arts          | Sega Saturn | 1996 | North America
|       | NHL 98                                                         | EA Sports                | Sega Saturn | 1997 | North America
|       | NHL All-Star Hockey                                            | Sega                     | Sega Saturn | 1995 | North America
|       | NHL All-Star Hockey 98                                         | Sega                     | Sega Saturn | 1997 | North America
|       | NHL PowerPlay '96                                              | Virgin Interactive       | Sega Saturn | 1996 | North America
|       | Night Warriors: Darkstalkers' Revenge                          | Capcom                   | Sega Saturn | 1996 | North America
|       | NiGHTS into Dreams...                                          | Sega                     | Sega Saturn | 1996 | North America
|       | NiGHTS Into Dreams... Sampler                                  | Sega                     | Sega Saturn | 1996 | North America
|       | Norse by Norsewest: The Return of The Lost Vikings             | Interplay                | Sega Saturn | 1997 | North America
|       | Off-World Interceptor Extreme                                  | Crystal Dynamics         | Sega Saturn | 1995 | North America
