|       | Crisis Force                                                             | Konami                       | Nintendo Entertainment System | 1991 | Japan
|       | CrossFire                                                                | Kyugo Boueki                 | Nintendo Entertainment System | 1990 | Japan
|       | Cycle Race: Road Man                                                     | Tonkin House                 | Nintendo Entertainment System | 1988 | Japan
|       | Dai Meiro: Meikyu no Tatsujin                                            | Epoch                        | Nintendo Entertainment System | 1990 | Japan
|       | Dai-2-Ji Super Robot Taisen                                              | Banpresto                    | Nintendo Entertainment System | 1991 | Japan
|       | Daikaijyu Deburasu                                                       | Data East                    | Nintendo Entertainment System | 1990 | Japan
|       | Daikoukai Jidai                                                          | Koei                         | Nintendo Entertainment System | 1991 | Japan
|       | Daiku no Gen-San                                                         | Irem                         | Nintendo Entertainment System | 1991 | Japan
|       | Daiku no Gen-San 2: Akage no Dan no Gyakushuu                            | Irem                         | Nintendo Entertainment System | 1993 | Japan
|       | Daisenryaku                                                              | Bothtec                      | Nintendo Entertainment System | 1988 | Japan
|       | Daiva Story 6: Imperial of Nirsartia                                     | Toshiba EMI                  | Nintendo Entertainment System | 1986 | Japan
|       | Dark Lord                                                                | Data East                    | Nintendo Entertainment System | 1991 | Japan
|       | Dash Yarou                                                               | Visco                        | Nintendo Entertainment System | 1990 | Japan
|       | Datsugoku: Prisoners of War                                              | K Amusement Leasing          | Nintendo Entertainment System | 1989 | Japan
|       | De-Block                                                                 | Athena                       | Nintendo Entertainment System | 1991 | Japan
|       | Dead Fox                                                                 | Capcom                       | Nintendo Entertainment System | 1990 | Japan
|       | Deep Dungeon III: Yuushi e no Tabi                                       | SquareSoft                   | Nintendo Entertainment System | 1988 | Japan
|       | Deep Dungeon IV: Kuro no Youjutsushi                                     | Asmik Ace Entertainment, Inc | Nintendo Entertainment System | 1990 | Japan
|       | Deja Vu: Akumu wa Hotouni Yatte Raita                                    | Kemco                        | Nintendo Entertainment System | 1988 | Japan
|       | Dengeki Big Bang!                                                        | Vic Tokai                    | Nintendo Entertainment System | 1989 | Japan
|       | Densetsu no Kishi Elrond                                                 | Jaleco Entertainment         | Nintendo Entertainment System | 1988 | Japan
|       | Derby Stallion Zengokuban                                                | ASCII Entertainment          | Nintendo Entertainment System | 1992 | Japan
|       | Devil Man                                                                | Namco                        | Nintendo Entertainment System | 1989 | Japan
|       | Devil World                                                              | Nintendo                     | Nintendo Entertainment System | 1984 | Japan
|       | Dezaemon                                                                 | Athena                       | Nintendo Entertainment System | 1991 | Japan
|       | Die Hard                                                                 | Pack-In-Video                | Nintendo Entertainment System | 1991 | Japan
|       | Dig Dug                                                                  | Namco                        | Nintendo Entertainment System | 1985 | Japan
|       | Dig Dug II                                                               | Namco                        | Nintendo Entertainment System | 1986 | Japan
|       | Digital Devil Monogatari: Megami Tensei                                  | Namco                        | Nintendo Entertainment System | 1987 | Japan
|       | Digital Devil Monogatari: Megami Tensei II                               | Namco                        | Nintendo Entertainment System | 1990 | Japan
|       | Disney's Chip to Dale no Daisakusen 2                                    | Capcom                       | Nintendo Entertainment System | 1993 | Japan
