|       | Disney's 102 Dalmatians: Puppies to the Rescue                           | Activision                          | Game Boy Color | 2000 | Europe
|       | Disney's Aladdin                                                         | Ubisoft                             | Game Boy Color | 2000 | Europe
|       | Disney's Atlantis: The Lost Empire                                       | THQ                                 | Game Boy Color | 2001 | Europe
|       | Disney's Beauty and the Beast: A Board Game Adventure                    | Nintendo                            | Game Boy Color | 1999 | Europe
|       | Disney's Dinosaur                                                        | Ubisoft                             | Game Boy Color | 2000 | Europe
|       | Disney's Donald Duck: Quack Attack                                       | Ubisoft                             | Game Boy Color | 2000 | Europe
|       | Disney's Doug: Doug's Big Game                                           | Ubisoft                             | Game Boy Color | 2001 | Europe
|       | Disney's Tarzan                                                          | Activision                          | Game Boy Color | 1999 | Europe
|       | Disney's The Emperor's New Groove                                        | Ubisoft                             | Game Boy Color | 2001 | Europe
|       | Disney's The Lion King: Simba's Mighty Adventure                         | Activision                          | Game Boy Color | 2001 | Europe
|       | Disney's The Little Mermaid II: Pinball Frenzy                           | Nintendo                            | Game Boy Color | 2001 | Europe
|       | Disney/Pixar A Bug's Life                                                | Activision                          | Game Boy Color | 1999 | Europe
|       | Disney/Pixar Buzz Lightyear of Star Command                              | Activision                          | Game Boy Color | 2001 | Europe
|       | Disney/Pixar Monsters, Inc.                                              | THQ                                 | Game Boy Color | 2002 | Europe
|       | Disney/Pixar Toy Story 2                                                 | Activision                          | Game Boy Color | 2000 | Europe
|       | Disney/Pixar Toy Story Racer                                             | Activision                          | Game Boy Color | 2001 | Europe
|       | Diva Starz: Mall Mania                                                   | VU Games                            | Game Boy Color | 2001 | Europe
|       | Dogz                                                                     | Mindscape                           | Game Boy Color | 2000 | Europe
|       | Donkey Kong Country                                                      | Nintendo                            | Game Boy Color | 2000 | Europe
|       | Dracula: Crazy Vampire                                                   | Cryo Interactive                    | Game Boy Color | 2001 | Europe
|       | Dragon Ball Z: Legendary Super Warriors                                  | Infogrames                          | Game Boy Color | 2002 | Europe
|       | Dragon Dance                                                             | Crave                               | Game Boy Color | 2000 | Europe
|       | Dragon Riders                                                            | Ubisoft                             | Game Boy Color | 2001 | Europe
|       | Dragon Tales: Dragon Wings                                               | Ubisoft                             | Game Boy Color | 2000 | Europe
|       | Dragon Warrior Monsters                                                  | Eidos Interactive                   | Game Boy Color | 1999 | Europe
|       | Dragon's Lair                                                            | Capcom                              | Game Boy Color | 2001 | Europe
|       | Driver                                                                   | Infogrames                          | Game Boy Color | 2001 | Europe
|       | Dropzone                                                                 | Acclaim                             | Game Boy Color | 1999 | Europe
|       | Duke Nukem                                                               | GT Interactive                      | Game Boy Color | 1999 | Europe
|       | Dukes of Hazzard, The                                                    | Ubisoft                             | Game Boy Color | 2000 | Europe
|       | E.T. The Extra-Terrestrial and the Cosmic Garden                         | Ubisoft                             | Game Boy Color | 2002 | Europe
|       | E.T. The Extra-Terrestrial: Digital Companion                            | NewKidCo                            | Game Boy Color | 2002 | Europe
|       | E.T. The Extra-Terrestrial: The 20th Anniversary                         | Ubisoft                             | Game Boy Color | 2002 | Europe
|       | Earthworm Jim: Menace 2 the Galaxy                                       | Crave                               | Game Boy Color | 1999 | Europe
|       | ECW Hardcore Revolution                                                  | Acclaim                             | Game Boy Color | 2000 | Europe
|       | European Super League                                                    | Virgin Interactive                  | Game Boy Color | 2001 | Europe
|       | Evel Knievel                                                             | Take-Two Interactive                | Game Boy Color | 1999 | Europe
|       | Extreme Ghostbusters                                                     | LSP                                 | Game Boy Color | 2001 | Europe
|       | Extreme Sports with the Berenstain Bears                                 | Sound Source                        | Game Boy Color | 2000 | Europe
|       | F-1 World Grand Prix                                                     | Video System                        | Game Boy Color | 2000 | Europe
|       | F-18 Thunder Strike                                                      | Take-Two Interactive                | Game Boy Color | 2000 | Europe
|       | F1 Championship Season 2000                                              | Electronic Arts                     | Game Boy Color | 2000 | Europe
|       | F1 Racing Championship                                                   | Video System                        | Game Boy Color | 2000 | Europe
|       | F1 World Grand Prix II for Game Boy Color                                | Konami                              | Game Boy Color | 2000 | Europe
|       | FIFA 2000                                                                | Electronic Arts                     | Game Boy Color | 1999 | Europe
|       | Fish Files, The                                                          | 7th Sense                           | Game Boy Color | 2001 | Europe
|       | Flintstones: BurgerTime in Bedrock, The                                  | Swing! Deutschland                  | Game Boy Color | 2000 | Europe
|       | Flipper & Lopaka                                                         | Ubisoft                             | Game Boy Color | 2001 | Europe
|       | Fort Boyard                                                              | Microids                            | Game Boy Color | 2001 | Europe
|       | Freestyle Scooter                                                        | Ubisoft                             | Game Boy Color | 2001 | Europe
|       | Frogger                                                                  | Majesco                             | Game Boy Color | 1997 | Europe
|       | Full Time Soccer                                                         | Datel                               | Game Boy Color | 2000 | Europe
|       | Game & Watch Gallery 2                                                   | Nintendo                            | Game Boy Color | 1998 | Europe
|       | Game & Watch Gallery 3                                                   | Nintendo                            | Game Boy Color | 2000 | Europe
|       | Games Frenzy                                                             | 3DO                                 | Game Boy Color | 2000 | Europe
|       | Gex: Enter the Gecko                                                     | Interplay                           | Game Boy Color | 1998 | Europe
|       | Ghosts 'n Goblins                                                        | Capcom                              | Game Boy Color | 2001 | Europe
|       | Gift                                                                     | Cryo Interactive                    | Game Boy Color | 2001 | Europe
|       | Godzilla the Series                                                      | Crave                               | Game Boy Color | 2000 | Europe
|       | Godzilla the Series: Monster Wars                                        | Ubisoft                             | Game Boy Color | 2000 | Europe
|       | Gold and Glory: The Road to El Dorado                                    | Ubisoft                             | Game Boy Color | 2000 | Europe
|       | Golden Goal                                                              | Take-Two Interactive                | Game Boy Color | 1999 | Europe
|       | Grand Theft Auto                                                         | Rockstar Games                      | Game Boy Color | 1999 | Europe
|       | Grand Theft Auto 2                                                       | Rockstar Games                      | Game Boy Color | 2000 | Europe
|       | Gremlins: Unleashed                                                      | LSP                                 | Game Boy Color | 2001 | Europe
|       | Grinch, The                                                              | Konami                              | Game Boy Color | 2000 | Europe
|       | Gute Zeiten Schlechte Zeiten Quiz                                        | Software 2000                       | Game Boy Color | 2000 | Europe
|       | Guy Roux Manager 2000                                                    | Ubisoft                             | Game Boy Color | 2000 | Europe
|       | Halloween Racer                                                          | Microids                            | Game Boy Color | 1999 | Europe
|       | Hamtaro: Ham-Hams Unite!                                                 | Nintendo                            | Game Boy Color | 2003 | Europe
|       | Hands of Time                                                            | Titus Software                      | Game Boy Color | 2001 | Europe
|       | Harry Potter and the Chamber of Secrets                                  | Electronic Arts                     | Game Boy Color | 2002 | Europe
|       | Harry Potter and the Philosopher's Stone                                 | Electronic Arts                     | Game Boy Color | 2001 | Europe
|       | Harvest Moon 2 GBC                                                       | Ubisoft                             | Game Boy Color | 2001 | Europe
|       | Harvest Moon GB                                                          | Nintendo                            | Game Boy Color | 1998 | Europe
|       | Hello Kitty's Cube Frenzy                                                | NewKidCo                            | Game Boy Color | 2001 | Europe
|       | Hercules: The Legendary Journeys                                         | Titus Software                      | Game Boy Color | 2001 | Europe
|       | Heroes of Might and Magic                                                | 3DO                                 | Game Boy Color | 2000 | Europe
|       | Heroes of Might and Magic II                                             | 3DO                                 | Game Boy Color | 2001 | Europe
|       | Hexcite: Duels de Strateges                                              | Ubisoft                             | Game Boy Color | 1999 | Europe
|       | Hollywood Pinball                                                        | Take-Two Interactive                | Game Boy Color | 1999 | Europe
|       | Holy Magic Century                                                       | Virgin Interactive                  | Game Boy Color | 1999 | Europe
|       | Hot Wheels: Stunt Track Driver                                           | Mattel                              | Game Boy Color | 2000 | Europe
|       | Hugo 2 1/2                                                               | Infogrames                          | Game Boy Color | 1999 | Europe
|       | Hugo: Black Diamond Fever                                                | ITE Media                           | Game Boy Color | 2001 | Europe
|       | Hype: The Time Quest                                                     | Ubisoft                             | Game Boy Color | 2000 | Europe
|       | Indiana Jones and the Infernal Machine                                   | THQ                                 | Game Boy Color | 2001 | Europe
|       | Inspector Gadget: Operation Madkactus                                    | Ubisoft                             | Game Boy Color | 2000 | Europe
|       | International Karate 2000                                                | Virgin Interactive                  | Game Boy Color | 2000 | Europe
|       | International Superstar Soccer 2000                                      | Konami                              | Game Boy Color | 2000 | Europe
|       | International Superstar Soccer 99                                        | Konami                              | Game Boy Color | 1999 | Europe
|       | International Track & Field                                              | Konami                              | Game Boy Color | 1999 | Europe
|       | International Track & Field: Summer Games                                | Konami                              | Game Boy Color | 2000 | Europe
|       | Janosch: Das grosse Panama-Spiel                                         | Infogrames                          | Game Boy Color | 1999 | Europe
|       | Jeremy McGrath Supercross 2000                                           | Acclaim                             | Game Boy Color | 2000 | Europe
|       | Jim Henson's Bear in the Big Blue House                                  | Ubisoft                             | Game Boy Color | 2001 | Europe
|       | Jim Henson's The Muppets                                                 | Take-Two Interactive                | Game Boy Color | 2000 | Europe
|       | Jimmy White's Cue Ball                                                   | Vatical Entertainment               | Game Boy Color | 2000 | Europe
|       | John Romero's Daikatana                                                  | Kemco                               | Game Boy Color | 2000 | Europe
|       | Kapt'n Blaubar: Die verruckte Schatzsuche                                | Ravensburger Interactive Media GmbH | Game Boy Color | 2001 | Europe
|       | Karate Joe                                                               | Datel                               | Game Boy Color | 2001 | Europe
|       | Keep the Balance                                                         | JoWooD Entertainment AG             | Game Boy Color | 2001 | Europe
|       | Kirikou                                                                  | Wanadoo                             | Game Boy Color | 2001 | Europe
|       | Klustar                                                                  | Infogrames                          | Game Boy Color | 1999 | Europe
|       | Knockout Kings                                                           | Electronic Arts                     | Game Boy Color | 1999 | Europe
|       | Konami GB Collection Vol. 1                                              | Konami                              | Game Boy Color | 2000 | Europe
|       | Konami GB Collection Vol. 2                                              | Konami                              | Game Boy Color | 2000 | Europe
|       | Konami GB Collection Vol. 3                                              | Konami                              | Game Boy Color | 2000 | Europe
|       | Konami GB Collection Vol. 4                                              | Konami                              | Game Boy Color | 2000 | Europe
|       | Konami Winter Games                                                      | Konami                              | Game Boy Color | 2000 | Europe
|       | KRTL: Jay und die Spielzeugdiebe                                         | THQ                                 | Game Boy Color | 2000 | Europe
|       | Land Before Time, The                                                    | Conspiracy Entertainment            | Game Boy Color | 2001 | Europe
