|       | Godzilla                                                       | Toho                         | Game Boy | 1990 | North America
|       | Golf                                                           | Nintendo                     | Game Boy | 1990 | North America
|       | Gradius: The Interstellar Assault                              | Konami                       | Game Boy | 1992 | North America
|       | Great Greed                                                    | Namco                        | Game Boy | 1993 | North America
|       | Gremlins 2: The New Batch                                      | SunSoft                      | Game Boy | 1991 | North America
|       | Hal Wrestling                                                  | Hal                          | Game Boy | 1990 | North America
|       | Harvest Moon GB                                                | Natsume                      | Game Boy | 1998 | North America
|       | Hatris                                                         | Bullet Proof Software        | Game Boy | 1991 | North America
|       | Heavyweight Championship Boxing                                | Activision                   | Game Boy | 1990 | North America
|       | Heiankyo Alien                                                 | Meldac                       | Game Boy | 1990 | North America
|       | High Stakes Gambling                                           | Electro Brain                | Game Boy | 1992 | North America
|       | Hit the Ice                                                    | Taito Corporation            | Game Boy | 1992 | North America
|       | Home Alone                                                     | THQ                          | Game Boy | 1991 | North America
|       | Home Alone 2: Lost in New York                                 | THQ                          | Game Boy | 1992 | North America
|       | Hook                                                           | Sony Imagesoft               | Game Boy | 1992 | North America
|       | Hudson Hawk                                                    | Sony Imagesoft               | Game Boy | 1991 | North America
|       | Humans, The                                                    | GameTek                      | Game Boy | 1992 | North America
|       | Hunt For Red October, The                                      | Hi-Tech                      | Game Boy | 1991 | North America
|       | Hyper Lode Runner                                              | Bandai                       | Game Boy | 1990 | North America
|       | In Your Face                                                   | Jaleco Entertainment         | Game Boy | 1990 | North America
|       | Incredible Crash Dummies, The                                  | LJN Ltd.                     | Game Boy | 1992 | North America
|       | Indiana Jones and the Last Crusade                             | Ubisoft                      | Game Boy | 1994 | North America
|       | InfoGenius Productivity Pak: Berlitz French Translator         | GameTek                      | Game Boy | 1991 | North America
|       | InfoGenius Productivity Pak: Berlitz Spanish Translator        | GameTek                      | Game Boy | 1991 | North America
|       | InfoGenius Productivity Pak: Frommer's Travel Guide            | GameTek                      | Game Boy | 1991 | North America
|       | InfoGenius Productivity Pak: Personal Organizer and Phone Book | GameTek                      | Game Boy | 1991 | North America
|       | InfoGenius Productivity Pak: Spell Checker and Calculator      | GameTek                      | Game Boy | 1991 | North America
|       | International Superstar Soccer                                 | Konami                       | Game Boy | 1998 | North America
|       | Iron Man / X-O Manowar in Heavy Metal                          | Acclaim                      | Game Boy | 1996 | North America
|       | Ishido: The Way of Stones                                      | Publishing International     | Game Boy | 1990 | North America
|       | Itchy & Scratchy in Miniature Golf Madness                     | Acclaim                      | Game Boy | 1994 | North America
|       | Jack Nicklaus Golf                                             | Tradewest                    | Game Boy | 1992 | North America
|       | James Bond 007                                                 | Nintendo                     | Game Boy | 1998 | North America
|       | Jeep Jamboree: Off Road Adventure                              | Virgin Interactive           | Game Boy | 1992 | North America
|       | Jeopardy!                                                      | GameTek                      | Game Boy | 1991 | North America
|       | Jeopardy! Platinum Edition                                     | GameTek                      | Game Boy | 1996 | North America
|       | Jeopardy! Sports Edition                                       | GameTek                      | Game Boy | 1994 | North America
|       | Jeopardy! Teen Tournament                                      | GameTek                      | Game Boy | 1996 | North America
|       | Jetsons: Robot Panic, The                                      | Taito Corporation            | Game Boy | 1992 | North America
|       | Jimmy Connors Tennis                                           | Ubisoft                      | Game Boy | 1998 | North America
|       | Joe & Mac                                                      | Data East                    | Game Boy | 1993 | North America
|       | Jordan vs Bird: One on One                                     | Electronic Arts              | Game Boy | 1992 | North America
|       | Joshua & the Battle of Jericho                                 | Wisdom Tree                  | Game Boy | 1992 | North America
|       | Judge Dredd                                                    | Acclaim                      | Game Boy | 1995 | North America
|       | Jungle Strike                                                  | Ocean                        | Game Boy | 1995 | North America
|       | Jurassic Park                                                  | Ocean                        | Game Boy | 1993 | North America
|       | Jurassic Park Part 2: The Chaos Continues                      | Ocean                        | Game Boy | 1994 | North America
|       | Ken Griffey Jr. Presents Major League Baseball                 | Nintendo                     | Game Boy | 1997 | North America
|       | Kid Dracula                                                    | Konami                       | Game Boy | 1993 | North America
|       | Kid Icarus: Of Myths and Monsters                              | Nintendo                     | Game Boy | 1991 | North America
|       | Killer Instinct                                                | Nintendo                     | Game Boy | 1995 | North America
|       | King James Bible                                               | Wisdom Tree                  | Game Boy | 1994 | North America
|       | King of Fighters '95, The                                      | Nintendo                     | Game Boy | 1997 | North America
|       | Kingdom Crusade                                                | Electro Brain                | Game Boy | 1992 | North America
|       | Kirby's Block Ball                                             | Nintendo                     | Game Boy | 1996 | North America
|       | Kirby's Dream Land                                             | Nintendo                     | Game Boy | 1992 | North America
|       | Kirby's Dream Land 2                                           | Nintendo                     | Game Boy | 1995 | North America
|       | Kirby's Pinball Land                                           | Nintendo                     | Game Boy | 1993 | North America
|       | Kirby's Star Stacker                                           | Nintendo                     | Game Boy | 1997 | North America
|       | Klax                                                           | Mindscape Inc.               | Game Boy | 1991 | North America
|       | Knight Quest                                                   | Taito Corporation            | Game Boy | 1992 | North America
|       | Krusty's Fun House                                             | Acclaim                      | Game Boy | 1993 | North America
|       | Kung Fu Master                                                 | Irem                         | Game Boy | 1991 | North America
|       | Kwirk                                                          | Acclaim                      | Game Boy | 1990 | North America
|       | Lamborghini: American Challenge                                | Titus Software               | Game Boy | 1994 | North America
|       | Last Action Hero                                               | Sony Imagesoft               | Game Boy | 1993 | North America
|       | Lazlos' Leap                                                   | DTMC                         | Game Boy | 1992 | North America
|       | Legend of the River King                                       | Natsume                      | Game Boy | 1998 | North America
|       | Legend of Zelda: Link's Awakening, The                         | Nintendo                     | Game Boy | 1993 | North America
|       | Lemmings                                                       | Ocean                        | Game Boy | 1994 | North America
|       | Lethal Weapon                                                  | Ocean                        | Game Boy | 1993 | North America
|       | Lion King, The                                                 | Virgin Interactive           | Game Boy | 1995 | North America
|       | Lock n' Chase                                                  | Data East                    | Game Boy | 1990 | North America
|       | Looney Tunes                                                   | SunSoft                      | Game Boy | 1992 | North America
|       | LoopZ                                                          | Mindscape Inc.               | Game Boy | 1991 | North America
|       | Lost World: Jurassic Park, The                                 | THQ                          | Game Boy | 1997 | North America
|       | Madden 95                                                      | Malibu                       | Game Boy | 1994 | North America
|       | Madden 96                                                      | Black Pearl                  | Game Boy | 1995 | North America
|       | Madden 97                                                      | Black Pearl                  | Game Boy | 1996 | North America
|       | Malibu Beach Volleyball                                        | Activision                   | Game Boy | 1990 | North America
|       | Marble Madness                                                 | Mindscape Inc.               | Game Boy | 1991 | North America
|       | Mario's Picross                                                | Nintendo                     | Game Boy | 1995 | North America
|       | Maru's Mission                                                 | Jaleco Entertainment         | Game Boy | 1991 | North America
|       | Maui Mallard in Cold Shadow                                    | SunSoft                      | Game Boy | 1998 | North America
|       | Mega Man II                                                    | Capcom                       | Game Boy | 1992 | North America
|       | Mega Man III                                                   | Capcom                       | Game Boy | 1992 | North America
|       | Mega Man IV                                                    | Capcom                       | Game Boy | 1993 | North America
|       | Mega Man V                                                     | Capcom                       | Game Boy | 1994 | North America
|       | Mega Man: Dr. Wily's Revenge                                   | Capcom                       | Game Boy | 1991 | North America
|       | Megalit                                                        | Takara                       | Game Boy | 1992 | North America
|       | Mercenary Force                                                | Meldac                       | Game Boy | 1990 | North America
|       | Metal Masters                                                  | Electro Brain                | Game Boy | 1993 | North America
|       | Metroid II: Return of Samus                                    | Nintendo                     | Game Boy | 1991 | North America
|       | Mickey Mouse: Magic Wands!                                     | Nintendo                     | Game Boy | 1998 | North America
|       | Mickey's Dangerous Chase                                       | Capcom                       | Game Boy | 1991 | North America
|       | Mickey's Ultimate Challenge                                    | Hi Tech Expressions          | Game Boy | 1994 | North America
|       | Micro Machines                                                 | Ocean                        | Game Boy | 1995 | North America
|       | Mighty Morphin Power Rangers                                   | Bandai                       | Game Boy | 1994 | North America
|       | Mighty Morphin Power Rangers: The Movie                        | Bandai                       | Game Boy | 1995 | North America
|       | Milon's Secret Castle                                          | Hudson                       | Game Boy | 1993 | North America
|       | Miner 2049er                                                   | Mindscape Inc.               | Game Boy | 1992 | North America
|       | Missile Command                                                | Accolade                     | Game Boy | 1992 | North America
|       | Mole Mania                                                     | Nintendo                     | Game Boy | 1996 | North America
|       | Monopoly                                                       | Parker Bros                  | Game Boy | 1991 | North America
|       | Monster Truck Wars                                             | Acclaim                      | Game Boy | 1994 | North America
|       | Mortal Kombat                                                  | Acclaim                      | Game Boy | 1993 | North America
|       | Mortal Kombat & Mortal Kombat II                               | Acclaim                      | Game Boy | 1997 | North America
|       | Mortal Kombat 3                                                | Acclaim                      | Game Boy | 1995 | North America
|       | Mortal Kombat II                                               | Acclaim                      | Game Boy | 1994 | North America
|       | Motocross Maniacs                                              | Ultra                        | Game Boy | 1990 | North America
|       | Mouse Trap Hotel                                               | Electro Brain                | Game Boy | 1992 | North America
|       | Mr. Chin's Gourmet Paradise                                    | Romstar                      | Game Boy | 1990 | North America
|       | Mr. Do!                                                        | Ocean                        | Game Boy | 1992 | North America
|       | Ms. Pac-Man                                                    | Namco                        | Game Boy | 1993 | North America
|       | Muhammad Ali: Heavyweight Boxing                               | Virgin Interactive           | Game Boy | 1993 | North America
|       | Mysterium                                                      | Asmik Corporation of America | Game Boy | 1991 | North America
|       | Mystical Ninja Starring Goemon                                 | Konami                       | Game Boy | 1998 | North America
|       | Nail 'N Scale                                                  | Data East                    | Game Boy | 1992 | North America
|       | Navy Seals                                                     | Ocean                        | Game Boy | 1991 | North America
|       | NBA All-Star Challenge                                         | LJN Ltd.                     | Game Boy | 1991 | North America
|       | NBA All-Star Challenge 2                                       | Acclaim Japan                | Game Boy | 1992 | North America
|       | NBA Jam                                                        | Acclaim                      | Game Boy | 1994 | North America
|       | NBA Jam: Tournament Edition                                    | Acclaim                      | Game Boy | 1995 | North America
|       | NBA Live 96                                                    | Black Pearl                  | Game Boy | 1996 | North America
|       | Nemesis                                                        | Ultra                        | Game Boy | 1990 | North America
|       | New Chessmaster, The                                           | Hi Tech Expressions          | Game Boy | 1993 | North America
|       | NFL Football                                                   | Konami                       | Game Boy | 1990 | North America
|       | NFL Quarterback Club                                           | LJN Ltd.                     | Game Boy | 1993 | North America
|       | NFL Quarterback Club 96                                        | Acclaim                      | Game Boy | 1995 | North America
|       | NFL Quarterback Club II                                        | LJN Ltd.                     | Game Boy | 1995 | North America
|       | NHL 96                                                         | Black Pearl                  | Game Boy | 1996 | North America
|       | NHL Hockey '95                                                 | Malibu                       | Game Boy | 1995 | North America
|       | Nigel Mansell's World Championship Racing                      | GameTek                      | Game Boy | 1993 | North America
|       | Ninja Boy                                                      | Culture Brain                | Game Boy | 1990 | North America
|       | Ninja Boy 2                                                    | Culture Brain                | Game Boy | 1993 | North America
|       | Ninja Gaiden Shadow                                            | Tecmo                        | Game Boy | 1991 | North America
|       | Ninja Taro                                                     | American Sammy               | Game Boy | 1992 | North America
|       | Nintendo World Cup                                             | Nintendo                     | Game Boy | 1991 | North America
|       | NIV Bible & the 20 Lost Levels of Joshua                       | Wisdom Tree                  | Game Boy | 1996 | North America
|       | Nobunaga's Ambition                                            | Koei                         | Game Boy | 1991 | North America
|       | Oddworld Adventures                                            | GT Interactive               | Game Boy | 1998 | North America
|       | Olympic Summer Games: Atlanta 1996                             | Black Pearl                  | Game Boy | 1996 | North America
|       | Operation C                                                    | Ultra                        | Game Boy | 1991 | North America
|       | Out of Gas                                                     | FCI, Inc.                    | Game Boy | 1992 | North America
|       | Pac-Attack                                                     | Namco                        | Game Boy | 1994 | North America
|       | Pac-in-Time                                                    | Namco                        | Game Boy | 1995 | North America
|       | Pac-Man                                                        | Namco                        | Game Boy | 1991 | North America
|       | Pagemaster, The                                                | Fox Interactive              | Game Boy | 1994 | North America
|       | Panel Action Bingo                                             | FCI, Inc.                    | Game Boy | 1993 | North America
|       | Paperboy                                                       | Mindscape Inc.               | Game Boy | 1990 | North America
|       | Paperboy 2                                                     | Mindscape Inc.               | Game Boy | 1992 | North America
|       | Penguin Wars                                                   | Nexoft                       | Game Boy | 1990 | North America
|       | PGA European Tour                                              | Malibu                       | Game Boy | 1995 | North America
|       | PGA Tour 96                                                    | Black Pearl                  | Game Boy | 1995 | North America
|       | Pinball Dreams                                                 | GameTek                      | Game Boy | 1993 | North America
|       | Pinball Fantasies                                              | GameTek                      | Game Boy | 1995 | North America
|       | Pipe Dream                                                     | Bullet Proof Software        | Game Boy | 1990 | North America
|       | Pit-Fighter                                                    | THQ                          | Game Boy | 1992 | North America
|       | Play Action Football                                           | Nintendo                     | Game Boy | 1990 | North America
|       | Pokemon Blue Version                                           | Nintendo                     | Game Boy | 1998 | North America
|       | Pokemon Red Version                                            | Nintendo                     | Game Boy | 1998 | North America
|       | Pokemon Yellow Version: Special Pikachu Edition                | Nintendo                     | Game Boy | 1999 | North America
|       | Popeye 2                                                       | Activision                   | Game Boy | 1993 | North America
|       | Power Mission                                                  | NTVIC                        | Game Boy | 1991 | North America
|       | Power Racer                                                    | Tecmo                        | Game Boy | 1990 | North America
|       | Prehistorik Man                                                | Titus Software               | Game Boy | 1996 | North America
|       | Primal Rage                                                    | Time Warner Interactive      | Game Boy | 1995 | North America
|       | Prince of Persia                                               | Virgin Interactive           | Game Boy | 1992 | North America
|       | Prophecy: The Viking Child                                     | GameTek                      | Game Boy | 1992 | North America
|       | Punisher: The Ultimate Payback, The                            | Acclaim                      | Game Boy | 1991 | North America
|       | Pyramids of Ra                                                 | Matchbox                     | Game Boy | 1993 | North America
|       | Q Billion                                                      | Seta Corporation             | Game Boy | 1990 | North America
|       | Q*bert                                                         | Jaleco Entertainment         | Game Boy | 1992 | North America
