|       | Eikan wa Kimi ni: Koukou Yakyuu Zenkoku Taikai            | Artdink                               | TurboGrafx-16 CD | 1994 | Japan
|       | Eiyuu San Goku Shi                                        | Irem                                  | TurboGrafx-16 CD | 1993 | Japan
|       | Emerald Dragon                                            | NEC Interchannel                      | TurboGrafx-16 CD | 1994 | Japan
|       | Exile II: Janen no Jishou                                 | Nippon Telenet                        | TurboGrafx-16 CD | 1992 | Japan
|       | Exile: Toki no Hazama e                                   | Nippon Telenet                        | TurboGrafx-16 CD | 1991 | Japan
|       | F1 Circus Special: Pole To Win                            | Nichibutsu                            | TurboGrafx-16 CD | 1992 | Japan
|       | F1 Team Simulation: Project F                             | Nippon Telenet                        | TurboGrafx-16 CD | 1992 | Japan
|       | Faceball                                                  | Riverhillsoft                         | TurboGrafx-16 CD | 1993 | Japan
|       | Farjius no Jakoutei: Neo Metal Fantasy                    | Human Entertainment                   | TurboGrafx-16 CD | 1992 | Japan
|       | Faussete Amour                                            | Naxat Soft                            | TurboGrafx-16 CD | 1993 | Japan
|       | Fiend Hunter                                              | Right Stuff                           | TurboGrafx-16 CD | 1993 | Japan
|       | Fighting Street                                           | Hudson                                | TurboGrafx-16 CD | 1988 | Japan
|       | Final Zone II                                             | Nippon Telenet                        | TurboGrafx-16 CD | 1990 | Japan
|       | Flash Hiders                                              | Right Stuff                           | TurboGrafx-16 CD | 1993 | Japan
|       | Forgotten Worlds                                          | NEC Interchannel                      | TurboGrafx-16 CD | 1992 | Japan
|       | Formation Soccer '95: Della Serie A                       | Human Entertainment                   | TurboGrafx-16 CD | 1995 | Japan
|       | Fray CD:  Xak Gaiden                                      | Micro Cabin                           | TurboGrafx-16 CD | 1994 | Japan
|       | Fushigi no Umi Nadia: The Secret of Blue Water            | Hudson                                | TurboGrafx-16 CD | 1993 | Japan
|       | Gain Ground SX                                            | NEC Interchannel                      | TurboGrafx-16 CD | 1992 | Japan
|       | Galaxy Keiji Gayvan                                       | Intec                                 | TurboGrafx-16 CD | 1993 | Japan
|       | Gambler Jiko Chuushinha                                   | Hudson                                | TurboGrafx-16 CD | 1989 | Japan
|       | Gambler Jiko Chuushinha: Mahjong Puzzle Collection        | Taito Corporation                     | TurboGrafx-16 CD | 1992 | Japan
|       | Garou Densetsu 2: Aratanaru Tatakai                       | Hudson                                | TurboGrafx-16 CD | 1994 | Japan
|       | Garou Densetsu Special                                    | Hudson                                | TurboGrafx-16 CD | 1994 | Japan
|       | Gate of Thunder                                           | Hudson Soft                           | TurboGrafx-16 CD | 1992 | Japan
|       | Genocide                                                  | Brain Grey                            | TurboGrafx-16 CD | 1992 | Japan
|       | Gensou Tairiku Auleria                                    | Taito Corporation                     | TurboGrafx-16 CD | 1993 | Japan
|       | Ginga Fukei Densetsu Sapphire                             | Hudson                                | TurboGrafx-16 CD | 1995 | Japan
|       | Ginga Ojousama Densetsu Yuna                              | Hudson                                | TurboGrafx-16 CD | 1992 | Japan
|       | Ginga Ojousama Densetsu Yuna 2: Eien no Princess          | Hudson                                | TurboGrafx-16 CD | 1995 | Japan
|       | Go! Go! Birdie Chance                                     | NEC Interchannel                      | TurboGrafx-16 CD | 1996 | Japan
|       | God Panic: Shijou Saikyou Gundan                          | Teichiku Records                      | TurboGrafx-16 CD | 1992 | Japan
|       | Godzilla: Bakutou Retsuden                                | Toho                                  | TurboGrafx-16 CD | 1994 | Japan
|       | Golden Axe                                                | Telenet Japan                         | TurboGrafx-16 CD | 1990 | Japan
|       | Gotzendiener                                              | NEC Interchannel                      | TurboGrafx-16 CD | 1994 | Japan
|       | Gradius II: Gofer no Yabou                                | Konami                                | TurboGrafx-16 CD | 1992 | Japan
|       | GS Mikami                                                 | Banpresto                             | TurboGrafx-16 CD | 1994 | Japan
|       | Gulclight TDF 2                                           | Pack-In-Video                         | TurboGrafx-16 CD | 1991 | Japan
|       | Hatsukoi Monogatari                                       | Tokuma Shoten                         | TurboGrafx-16 CD | 1994 | Japan
|       | Hawk F-123                                                | Pack-In-Video                         | TurboGrafx-16 CD | 1992 | Japan
|       | Hellfire S                                                | NEC Interchannel                      | TurboGrafx-16 CD | 1991 | Japan
|       | Hi-Leg Fantasy                                            | Games Express                         | TurboGrafx-16 CD | 1994 | Japan
|       | High Grenadier                                            | Nippon Telenet                        | TurboGrafx-16 CD | 1991 | Japan
|       | Hihou Densetsu Chris no Bouken                            | Pack-In-Video                         | TurboGrafx-16 CD | 1991 | Japan
|       | Himitsu no Hanazono                                       | Tokuma Shoten                         | TurboGrafx-16 CD | 1993 | Japan
|       | Horror Story                                              | NEC Interchannel                      | TurboGrafx-16 CD | 1993 | Japan
|       | Human Sports Festival                                     | Human Entertainment                   | TurboGrafx-16 CD | 1992 | Japan
|       | Hyaku Monogatari: Hontoni Atta Kowai Hanashi              | Hudson                                | TurboGrafx-16 CD | 1995 | Japan
|       | Hyper Catalog Demo Disc                                   | Shogakukan                            | TurboGrafx-16 CD | 1992 | Japan
|       | Hyper Catalog Demo Disc 2                                 | Shogakukan                            | TurboGrafx-16 CD | 1993 | Japan
|       | Hyper Catalog Demo Disc 3                                 | Shogakukan                            | TurboGrafx-16 CD | 1993 | Japan
|       | Hyper Catalog Demo Disc 4                                 | Shogakukan                            | TurboGrafx-16 CD | 1993 | Japan
|       | Hyper Dyne Side Arms Special                              | NEC Interchannel                      | TurboGrafx-16 CD | 1989 | Japan
|       | Hyper Wars                                                | Hudson                                | TurboGrafx-16 CD | 1994 | Japan
|       | Iga Ninden Gaou                                           | Nichibutsu                            | TurboGrafx-16 CD | 1993 | Japan
|       | Image Fight II                                            | Irem                                  | TurboGrafx-16 CD | 1992 | Japan
|       | Inoue Mami: Kono Hoshi ni Tatta Hitori no Kimi            | Hudson                                | TurboGrafx-16 CD | 1992 | Japan
|       | Insanity                                                  | Aetherbyte                            | TurboGrafx-16 CD | 2009 | Japan
|       | IQ Panic                                                  | IGS (Japan)                           | TurboGrafx-16 CD | 1992 | Japan
|       | J.B. Harold Satsujin Club                                 | Hudson                                | TurboGrafx-16 CD | 1990 | Japan
|       | J.League Tremendous Soccer '94                            | NEC Interchannel                      | TurboGrafx-16 CD | 1994 | Japan
|       | Jack Nicklaus' World Golf Tour                            | Victor Interactive Software           | TurboGrafx-16 CD | 1990 | Japan
|       | Janshin Densetsu: Quest of Jongmaster                     | NEC Interchannel                      | TurboGrafx-16 CD | 1995 | Japan
|       | Jantei Monogatari                                         | Nippon Telenet                        | TurboGrafx-16 CD | 1990 | Japan
|       | Jantei Monogatari 2: Uchuu Tantei Deiban                  | ATLUS                                 | TurboGrafx-16 CD | 1992 | Japan
|       | Jantei Monogatari 2: Uchuu Tantei Deiban                  | ATLUS                                 | TurboGrafx-16 CD | 1992 | Japan
|       | Jantei Monogatari 3: Saver Angel                          | ATLUS                                 | TurboGrafx-16 CD | 1993 | Japan
|       | Jim Power                                                 | Micro World                           | TurboGrafx-16 CD | 1993 | Japan
|       | Juuouki                                                   | NEC Interchannel                      | TurboGrafx-16 CD | 1989 | Japan
|       | Kabuki Ittou Ryoudan                                      | Hudson                                | TurboGrafx-16 CD | 1995 | Japan
|       | Kagami no Kuni no Legend                                  | Victor Interactive Software           | TurboGrafx-16 CD | 1989 | Japan
|       | Kaizou Chounin Shubibinman 3: Ikai no Princess            | NCS                                   | TurboGrafx-16 CD | 1992 | Japan
|       | Kakutou Haou Densetsu Algunos                             | Intec                                 | TurboGrafx-16 CD | 1994 | Japan
|       | Kawa no Nushi Tsuri: Shizenha                             | Pack-In-Video                         | TurboGrafx-16 CD | 1992 | Japan
|       | Kazekiri                                                  | Naxat Soft                            | TurboGrafx-16 CD | 1994 | Japan
|       | Kiaidan 00                                                | Nippon Telenet                        | TurboGrafx-16 CD | 1992 | Japan
|       | Kick Boxing, The                                          | Micro World                           | TurboGrafx-16 CD | 1992 | Japan
|       | Kisou Louga                                               | Kogado Studio                         | TurboGrafx-16 CD | 1993 | Japan
|       | Kisou Louga II: The Ends of Shangrila                     | NEC Interchannel                      | TurboGrafx-16 CD | 1995 | Japan
|       | KO Seiki Beast Sanjuushi: Gaia Fukkatsu Kanketsuhen       | Pack-In-Video                         | TurboGrafx-16 CD | 1994 | Japan
|       | Kuusou Kagaku Sekai Gulliver Boy                          | Hudson                                | TurboGrafx-16 CD | 1995 | Japan
|       | L-Dis                                                     | NCS                                   | TurboGrafx-16 CD | 1991 | Japan
|       | Lady Phantom                                              | Laser Soft                            | TurboGrafx-16 CD | 1991 | Japan
|       | Langrisser: Hikari no Matsuei                             | NCS                                   | TurboGrafx-16 CD | 1993 | Japan
|       | Laplace no Ma                                             | Human Entertainment                   | TurboGrafx-16 CD | 1993 | Japan
|       | Last Armageddon                                           | Brain Grey                            | TurboGrafx-16 CD | 1990 | Japan
|       | Legend of Xanadu: Kaze no Densetsu Xanadu                 | Falcom                                | TurboGrafx-16 CD | 1994 | Japan
|       | Legend of Xanadu: Kaze no Densetsu Xanadu II              | Falcom                                | TurboGrafx-16 CD | 1995 | Japan
|       | Legion                                                    | Nippon Telenet                        | TurboGrafx-16 CD | 1990 | Japan
|       | Lemmings                                                  | SunSoft                               | TurboGrafx-16 CD | 1992 | Japan
|       | Linda Cube                                                | NEC Interchannel                      | TurboGrafx-16 CD | 1995 | Japan
|       | Lodoss Tou Senki                                          | Hudson                                | TurboGrafx-16 CD | 1992 | Japan
|       | Lodoss Tou Senki II                                       | Hudson                                | TurboGrafx-16 CD | 1994 | Japan
|       | Loom                                                      | Victor Interactive Software           | TurboGrafx-16 CD | 1992 | Japan
|       | Lord of Wars                                              | SystemSoft                            | TurboGrafx-16 CD | 1991 | Japan
|       | Mad Stalker: Full Metal Force                             | NEC Interchannel                      | TurboGrafx-16 CD | 1994 | Japan
|       | Madou Monogatari I: Honoo no Sotsuenko                    | NEC Interchannel                      | TurboGrafx-16 CD | 1996 | Japan
|       | Magical Saurs Tour                                        | Victor Interactive Software           | TurboGrafx-16 CD | 1990 | Japan
|       | Magicoal                                                  | NEC Interchannel                      | TurboGrafx-16 CD | 1993 | Japan
|       | Mahjong Clinic Special                                    | Naxat Soft                            | TurboGrafx-16 CD | 1993 | Japan
|       | Mahjong Lemon Angel                                       | Naxat Soft                            | TurboGrafx-16 CD | 1994 | Japan
|       | Mahjong on the Beach                                      | NEC Interchannel                      | TurboGrafx-16 CD | 1993 | Japan
|       | Mahjong Sword: Princess Quest Gaiden                      | Naxat Soft                            | TurboGrafx-16 CD | 1995 | Japan
|       | Mahjong Vanilla Syndrome                                  | Nichibutsu                            | TurboGrafx-16 CD | 1991 | Japan
|       | Mamono Hunter Youko: Makai Kara no Tenkousei              | NCS                                   | TurboGrafx-16 CD | 1992 | Japan
|       | Mamono Hunter Youko: Tooki Yobigoe                        | NCS                                   | TurboGrafx-16 CD | 1993 | Japan
|       | Manhole, The                                              | SunSoft                               | TurboGrafx-16 CD | 1991 | Japan
|       | Martial Champion                                          | Konami                                | TurboGrafx-16 CD | 1993 | Japan
|       | Mashou Denki La Valeur                                    | Kogado Studio                         | TurboGrafx-16 CD | 1991 | Japan
|       | Master of Monsters                                        | Micro Cabin                           | TurboGrafx-16 CD | 1991 | Japan
|       | Mateki Densetsu Astralius                                 | IGS (Japan)                           | TurboGrafx-16 CD | 1991 | Japan
|       | Megami Tengoku: Megami Paradise                           | NEC Interchannel                      | TurboGrafx-16 CD | 1994 | Japan
