|       | NBA Jam 2000                                | Acclaim                 | Nintendo 64 | 2000 | Europe
|       | NBA Jam 99                                  | Acclaim                 | Nintendo 64 | 1998 | Europe
|       | NBA Live 2000                               | EA Sports               | Nintendo 64 | 1999 | Europe
|       | NBA Live 99                                 | EA Sports               | Nintendo 64 | 1998 | Europe
|       | NBA Pro 98                                  | Konami                  | Nintendo 64 | 1998 | Europe
|       | NBA Pro 99                                  | Konami                  | Nintendo 64 | 1999 | Europe
|       | New Tetris, The                             | Nintendo                | Nintendo 64 | 1999 | Europe
|       | NFL Quarterback Club 2000                   | Acclaim                 | Nintendo 64 | 1999 | Europe
|       | NFL Quarterback Club 98                     | Acclaim                 | Nintendo 64 | 1997 | Europe
|       | NFL Quarterback Club 99                     | Acclaim                 | Nintendo 64 | 1998 | Europe
|       | NHL 99                                      | EA Sports               | Nintendo 64 | 1998 | Europe
|       | NHL Breakaway 98                            | Acclaim                 | Nintendo 64 | 1998 | Europe
|       | NHL Breakaway 99                            | Acclaim                 | Nintendo 64 | 1998 | Europe
|       | NHL Pro 99                                  | Konami                  | Nintendo 64 | 1999 | Europe
|       | Nuclear Strike 64                           | THQ                     | Nintendo 64 | 2000 | Europe
|       | Off Road Challenge                          | GT Interactive          | Nintendo 64 | 1998 | Europe
|       | Olympic Hockey Nagano 98                    | GT Interactive          | Nintendo 64 | 1998 | Europe
|       | Operation WinBack                           | Virgin Interactive      | Nintendo 64 | 2000 | Europe
|       | Paper Mario                                 | Nintendo                | Nintendo 64 | 2001 | Europe
|       | Paperboy                                    | Midway                  | Nintendo 64 | 2000 | Europe
|       | Penny Racers                                | THQ                     | Nintendo 64 | 1999 | Europe
|       | Perfect Dark                                | Nintendo                | Nintendo 64 | 2000 | Europe
|       | PGA European Tour Golf                      | Infogrames              | Nintendo 64 | 2000 | Europe
|       | Pilotwings 64                               | Nintendo                | Nintendo 64 | 1997 | Europe
|       | Pokemon Puzzle League                       | Nintendo                | Nintendo 64 | 2001 | Europe
|       | Pokemon Snap                                | Nintendo                | Nintendo 64 | 2000 | Europe
|       | Pokemon Stadium                             | Nintendo                | Nintendo 64 | 2000 | Europe
|       | Pokemon Stadium 2                           | Nintendo                | Nintendo 64 | 2001 | Europe
|       | Power Rangers: Lightspeed Rescue            | THQ                     | Nintendo 64 | 2000 | Europe
|       | Premier Manager 64                          | Gremlin Interactive     | Nintendo 64 | 1999 | Europe
|       | Quake                                       | GT Interactive          | Nintendo 64 | 1998 | Europe
|       | Quake II                                    | Activision              | Nintendo 64 | 1999 | Europe
|       | Rakugakids                                  | Konami                  | Nintendo 64 | 1998 | Europe
|       | Rampage 2: Universal Tour                   | GT Interactive          | Nintendo 64 | 1999 | Europe
|       | Rampage World Tour                          | GT Interactive          | Nintendo 64 | 1998 | Europe
|       | Rat Attack                                  | Mindscape Inc.          | Nintendo 64 | 2000 | Europe
|       | Rayman 2: The Great Escape                  | Ubisoft                 | Nintendo 64 | 1999 | Europe
|       | Re-Volt                                     | Acclaim                 | Nintendo 64 | 1999 | Europe
|       | Ready 2 Rumble Boxing                       | Midway                  | Nintendo 64 | 1999 | Europe
|       | Resident Evil 2                             | Virgin Interactive      | Nintendo 64 | 2000 | Europe
|       | Ridge Racer 64                              | Nintendo                | Nintendo 64 | 2000 | Europe
|       | Road Rash 64                                | THQ                     | Nintendo 64 | 1999 | Europe
|       | Roadsters                                   | Titus Software          | Nintendo 64 | 1999 | Europe
|       | Robotron 64                                 | GT Interactive          | Nintendo 64 | 1998 | Europe
|       | Rocket: Robot on Wheels                     | Ubisoft                 | Nintendo 64 | 1999 | Europe
|       | Rugrats in Paris: The Movie                 | THQ                     | Nintendo 64 | 2001 | Europe
|       | Rugrats: Treasure Hunt                      | THQ                     | Nintendo 64 | 1999 | Europe
|       | Rush 2: Extreme Racing                      | Midway                  | Nintendo 64 | 1999 | Europe
|       | S.C.A.R.S.                                  | Ubisoft                 | Nintendo 64 | 1999 | Europe
|       | San Francisco Rush 2049                     | Midway                  | Nintendo 64 | 2000 | Europe
|       | San Francisco Rush: Extreme Racing          | GT Interactive          | Nintendo 64 | 1997 | Europe
|       | Scooby-Doo! Classic Creep Capers            | THQ                     | Nintendo 64 | 2001 | Europe
|       | Shadow Man                                  | Acclaim                 | Nintendo 64 | 1999 | Europe
|       | Shadowgate 64: Trials of the Four Towers    | Kemco                   | Nintendo 64 | 1999 | Europe
|       | Snowboard Kids                              | ATLUS                   | Nintendo 64 | 1998 | Europe
|       | South Park                                  | Acclaim                 | Nintendo 64 | 1999 | Europe
|       | South Park Rally                            | Acclaim                 | Nintendo 64 | 2000 | Europe
|       | South Park: Chef's Luv Shack                | Acclaim                 | Nintendo 64 | 1999 | Europe
|       | Space Station Silicon Valley                | Take-Two Interactive    | Nintendo 64 | 1998 | Europe
|       | Star Wars Episode I: Racer                  | Nintendo                | Nintendo 64 | 1999 | Europe
|       | Star Wars: Episode I Battle for Naboo       | THQ                     | Nintendo 64 | 2001 | Europe
|       | Star Wars: Rogue Squadron                   | Nintendo                | Nintendo 64 | 1999 | Europe
|       | Star Wars: Shadows of the Empire            | Nintendo                | Nintendo 64 | 1997 | Europe
|       | Starshot: Space Circus Fever                | Infogrames              | Nintendo 64 | 1998 | Europe
|       | Super Mario 64                              | Nintendo                | Nintendo 64 | 1997 | Europe
|       | Super Smash Bros.                           | Nintendo                | Nintendo 64 | 1999 | Europe
|       | Supercross 2000                             | Electronic Arts         | Nintendo 64 | 2000 | Europe
|       | Superman                                    | Titus Software          | Nintendo 64 | 1999 | Europe
|       | Tetrisphere                                 | Nintendo                | Nintendo 64 | 1998 | Europe
|       | Tigger's Honey Hunt                         | Ubisoft                 | Nintendo 64 | 2001 | Europe
|       | Tom and Jerry in Fists of Furry             | Ubisoft                 | Nintendo 64 | 2000 | Europe
|       | Tom Clancy's Rainbow Six                    | Red Storm Entertainment | Nintendo 64 | 1999 | Europe
|       | Tonic Trouble                               | Ubisoft                 | Nintendo 64 | 1999 | Europe
|       | Tony Hawk's Pro Skater 2                    | Activision              | Nintendo 64 | 2001 | Europe
|       | Tony Hawk's Skateboarding                   | Activision              | Nintendo 64 | 2001 | Europe
|       | Top Gear Hyper Bike                         | Kemco                   | Nintendo 64 | 2000 | Europe
|       | Top Gear Overdrive                          | Kemco                   | Nintendo 64 | 1998 | Europe
|       | Top Gear Rally                              | Kemco                   | Nintendo 64 | 1997 | Europe
|       | Top Gear Rally 2                            | Kemco                   | Nintendo 64 | 2000 | Europe
|       | Toy Story 2: Buzz Lightyear to the Rescue!  | Activision              | Nintendo 64 | 2000 | Europe
|       | Turok 2: Seeds of Evil                      | Acclaim                 | Nintendo 64 | 1998 | Europe
|       | Turok 3: Shadow of Oblivion                 | Acclaim                 | Nintendo 64 | 2000 | Europe
|       | Turok: Dinosaur Hunter                      | Acclaim                 | Nintendo 64 | 1997 | Europe
|       | Turok: Rage Wars                            | Acclaim                 | Nintendo 64 | 1999 | Europe
|       | Twisted Edge Snowboarding                   | Kemco                   | Nintendo 64 | 1999 | Europe
|       | V-Rally Edition '99                         | Infogrames              | Nintendo 64 | 1998 | Europe
|       | Vigilante 8                                 | Activision              | Nintendo 64 | 1999 | Europe
|       | Vigilante 8: 2nd Offense                    | Activision              | Nintendo 64 | 2000 | Europe
|       | Virtual Chess 64                            | Titus Software          | Nintendo 64 | 1998 | Europe
|       | Virtual Pool 64                             | Crave                   | Nintendo 64 | 1999 | Europe
|       | Waialae Country Club: True Golf Classics    | Nintendo                | Nintendo 64 | 1998 | Europe
|       | War Gods                                    | Midway                  | Nintendo 64 | 1997 | Europe
