|       | Happy Lesson: First Lesson                                             | Datam Polystar                | Sega Dreamcast | 2000 | Japan
|       | Harusame Youbi                                                         | NEC Interchannel              | Sega Dreamcast | 2001 | Japan
|       | Heavy Metal: Geomatrix                                                 | Capcom                        | Sega Dreamcast | 2001 | Japan
|       | Hello Kitty no Magical Block                                           | Sega                          | Sega Dreamcast | 2000 | Japan
|       | Hello Kitty no Onnaru Mail                                             | Sega                          | Sega Dreamcast | 2000 | Japan
|       | Hello Kitty no Waku Waku Quiz                                          | Sega                          | Sega Dreamcast | 2000 | Japan
|       | Hello Kitty: Lovely Fruit Park                                         | Sega                          | Sega Dreamcast | 1999 | Japan
|       | Himitsu: Tadagaita Natsu                                               | Starfish                      | Sega Dreamcast | 2001 | Japan
|       | Hitachi SH-4 Demo Disc                                                 | Hitachi                       | Sega Dreamcast | 1999 | Japan
|       | House of the Dead 2, The                                               | Sega                          | Sega Dreamcast | 1999 | Japan
|       | Hundred Swords                                                         | Sega                          | Sega Dreamcast | 2001 | Japan
|       | Idol Janshi o Tsukucchaou                                              | Jaleco Entertainment          | Sega Dreamcast | 1999 | Japan
|       | Ikaruga                                                                | ESP Software                  | Sega Dreamcast | 2002 | Japan
|       | Illbleed                                                               | Sega                          | Sega Dreamcast | 2001 | Japan
|       | Imperial no Taka: Fighter of Zero                                      | Global A                      | Sega Dreamcast | 2000 | Japan
|       | Incoming: Ginrui Saishuu Kessen                                        | Imagineer                     | Sega Dreamcast | 1998 | Japan
|       | Inoue Ryoko: Last Scene                                                | Datam Polystar                | Sega Dreamcast | 2001 | Japan
|       | Inoue Ryoko: Roommate                                                  | Datam Polystar                | Sega Dreamcast | 2001 | Japan
|       | Interlude                                                              | NEC Interchannel              | Sega Dreamcast | 2003 | Japan
|       | Iris                                                                   | Kid                           | Sega Dreamcast | 2003 | Japan
|       | Izumo                                                                  | Shinbyou Planning             | Sega Dreamcast | 2004 | Japan
|       | J.League Pro Soccer Club o Tsukurou!                                   | Sega                          | Sega Dreamcast | 1999 | Japan
|       | J.League Spectacle Soccer                                              | Sega                          | Sega Dreamcast | 2002 | Japan
|       | Jet Coaster Dream                                                      | Bottom Up                     | Sega Dreamcast | 1999 | Japan
|       | Jet Coaster Dream 2                                                    | Bimboosoft                    | Sega Dreamcast | 2000 | Japan
|       | Jet Set Radio                                                          | Sega                          | Sega Dreamcast | 2000 | Japan
|       | Jikkyou Powerful Pro Yakyuu Dreamcast Edition                          | Konami                        | Sega Dreamcast | 2000 | Japan
|       | Jinsei Game for Dreamcast                                              | Takara                        | Sega Dreamcast | 2000 | Japan
|       | Jissen Pachi-Slot Hisshouhou!@VPACHI Kingdom                           | MaxBet                        | Sega Dreamcast | 2000 | Japan
|       | Jojo no Kimyouna Bouken: Miraihe no Isan                               | Capcom                        | Sega Dreamcast | 1999 | Japan
|       | JRA PAT for Dreamcast                                                  | Sega                          | Sega Dreamcast | 2000 | Japan
|       | July                                                                   | Fortyfive                     | Sega Dreamcast | 1998 | Japan
|       | Kaen Seibo: The Virgin on Megiddo                                      | Hiromi                        | Sega Dreamcast | 2001 | Japan
|       | Kaitou Apricot                                                         | Takuyo                        | Sega Dreamcast | 2003 | Japan
|       | Kanon                                                                  | NEC Interchannel              | Sega Dreamcast | 2000 | Japan
|       | Karous                                                                 | MileStone Inc.                | Sega Dreamcast | 2007 | Japan
|       | Kaze no Uta                                                            | Kyarara                       | Sega Dreamcast | 2004 | Japan
|       | Kidou Senkan Nadesico: Nadesico the Mission                            | ESP Software                  | Sega Dreamcast | 1999 | Japan
|       | Kidou Senshi Gundam Gaiden: Colony no Ochichita Chide...               | Bandai                        | Sega Dreamcast | 1999 | Japan
|       | Kidou Senshi Gundam: Ghiren no Yabou - Zeon no Keifu                   | Bandai                        | Sega Dreamcast | 2000 | Japan
|       | Kidou Senshi Gundam: Giren no Yabou- Zeon no Keifu                     | Bandai                        | Sega Dreamcast | 2000 | Japan
|       | Kidou Senshi Gundam: Renpou vs. Zeon DX                                | Bandai                        | Sega Dreamcast | 2002 | Japan
|       | Kimi ga Nozomu Eien                                                    | Atypical Alchemists Associate | Sega Dreamcast | 2002 | Japan
|       | King of Fighters '99 Evolution, The                                    | SNK                           | Sega Dreamcast | 2000 | Japan
|       | King of Fighters 2000, The                                             | Playmore                      | Sega Dreamcast | 2002 | Japan
|       | King of Fighters 2001, The                                             | Playmore                      | Sega Dreamcast | 2002 | Japan
|       | King of Fighters 2002, The                                             | Playmore                      | Sega Dreamcast | 2003 | Japan
|       | King of Fighters Dream Match 1999, The                                 | SNK                           | Sega Dreamcast | 1999 | Japan
|       | Kita e. Photo Memories                                                 | Hudson                        | Sega Dreamcast | 1999 | Japan
|       | Kita e. White Illumination                                             | Hudson                        | Sega Dreamcast | 1999 | Japan
|       | Kitaihei Gold                                                          | NetVillage                    | Sega Dreamcast | 1999 | Japan
|       | Kiteretsu Shounen's Gangagan                                           | Sega                          | Sega Dreamcast | 2000 | Japan
|       | Konohana 2: Todoke Kanai Requiem                                       | Success                       | Sega Dreamcast | 2002 | Japan
|       | Konohana: True Report                                                  | Success                       | Sega Dreamcast | 2001 | Japan
|       | Kuon no Kizuna: Sairinsho                                              | Fog                           | Sega Dreamcast | 2000 | Japan
|       | KYOTEI for Dreamcast                                                   | KYOTEI                        | Sega Dreamcast | 2000 | Japan
|       | L.O.L.: Lack of Love                                                   | ASCII Entertainment           | Sega Dreamcast | 2000 | Japan
|       | Lake Masters PRO for Dreamcast Plus!                                   | Dazz                          | Sega Dreamcast | 2000 | Japan
|       | Langrisser Millennium                                                  | Nippon Computer System        | Sega Dreamcast | 1999 | Japan
|       | Le Mans 24 Hours                                                       | Sega                          | Sega Dreamcast | 2001 | Japan
|       | Love Hina: Smile Again                                                 | Sega                          | Sega Dreamcast | 2001 | Japan
|       | Love Hina: Totsuzen no Engeji Happening                                | Sega                          | Sega Dreamcast | 2000 | Japan
|       | Ma-Gi: Marginal                                                        | Princess Soft                 | Sega Dreamcast | 2003 | Japan
|       | Maboroshi Tsukiyo                                                      | Sims                          | Sega Dreamcast | 1999 | Japan
|       | Macross M3                                                             | Shoeisha                      | Sega Dreamcast | 2001 | Japan
|       | Magic: The Gathering                                                   | Sega                          | Sega Dreamcast | 2001 | Japan
|       | Mahjong Taikai II Special                                              | Koei                          | Sega Dreamcast | 1999 | Japan
|       | Majo no Ochakai                                                        | NEC Interchannel              | Sega Dreamcast | 2003 | Japan
|       | Maken X                                                                | ATLUS                         | Sega Dreamcast | 1999 | Japan
|       | Marie to Elie Atelier                                                  | Kool Kizz                     | Sega Dreamcast | 2001 | Japan
|       | Marionette Company                                                     | Micro Cabin                   | Sega Dreamcast | 1999 | Japan
|       | Marionette Company 2 Chu!                                              | Micro Cabin                   | Sega Dreamcast | 2000 | Japan
|       | Marionette Handler                                                     | Micronet                      | Sega Dreamcast | 1999 | Japan
|       | Marionette Handler 2                                                   | Micronet                      | Sega Dreamcast | 2000 | Japan
|       | Mars Matrix                                                            | Capcom                        | Sega Dreamcast | 2000 | Japan
|       | Marvel vs. Capcom 2: New Age of Heroes                                 | Capcom                        | Sega Dreamcast | 2000 | Japan
|       | Marvel vs. Capcom: Clash of Super Heroes                               | Capcom                        | Sega Dreamcast | 1999 | Japan
|       | Mei * Puru                                                             | Princess Soft                 | Sega Dreamcast | 2002 | Japan
|       | Memories Off 2nd                                                       | Kid                           | Sega Dreamcast | 2001 | Japan
|       | Memories Off Complete                                                  | Kid                           | Sega Dreamcast | 2000 | Japan
|       | Mercurius Pretty: End of the Century                                   | NEC Interchannel              | Sega Dreamcast | 2000 | Japan
|       | Metal Wolf                                                             | Princess Soft                 | Sega Dreamcast | 2002 | Japan
|       | Milk-DC                                                                | APC-Project                   | Sega Dreamcast | 2002 | Japan
|       | Milky Season                                                           | Kid                           | Sega Dreamcast | 2002 | Japan
|       | Miss Moonlight                                                         | Naxat Soft                    | Sega Dreamcast | 2001 | Japan
|       | Missing Parts 2: The Tantei Stories                                    | Fog                           | Sega Dreamcast | 2002 | Japan
|       | Missing Parts 3                                                        | Fog                           | Sega Dreamcast | 2003 | Japan
|       | Missing Parts: The Tantei Stories                                      | Fog                           | Sega Dreamcast | 2002 | Japan
|       | Mizuiro                                                                | NEC Interchannel              | Sega Dreamcast | 2002 | Japan
|       | Moekan: Moekko Company                                                 | Princess Soft                 | Sega Dreamcast | 2003 | Japan
|       | Moekan: Moekko Company                                                 | Princess Soft                 | Sega Dreamcast | 2003 | Japan
|       | Moero! Justice Gakuen                                                  | Capcom                        | Sega Dreamcast | 2000 | Japan
|       | Monaco Grand Prix Racing Simulation 2                                  | Ubisoft                       | Sega Dreamcast | 1999 | Japan
|       | Morita no Saikyou Reversi                                              | Random House                  | Sega Dreamcast | 1999 | Japan
|       | Morita no Saikyou Shogi                                                | Random House                  | Sega Dreamcast | 1999 | Japan
|       | Motto Pro Yakyuu Team o Tsukurou!                                      | Sega                          | Sega Dreamcast | 2000 | Japan
|       | Mr. Driller                                                            | Namco                         | Sega Dreamcast | 2000 | Japan
|       | Musapey's Choco Marker                                                 | Ecole                         | Sega Dreamcast | 2002 | Japan
|       | My Merry May                                                           | Kid                           | Sega Dreamcast | 2002 | Japan
|       | My Merry Maybe                                                         | Kid                           | Sega Dreamcast | 2003 | Japan
|       | Nakoruru: Anohito Kara no Okurimono                                    | Kool Kizz                     | Sega Dreamcast | 2002 | Japan
|       | Nanatsu no Hikan: Senritsu no Bishou                                   | Koei                          | Sega Dreamcast | 2000 | Japan
|       | Napple Tale: Arsia in Daydream                                         | Sega                          | Sega Dreamcast | 2000 | Japan
|       | Neo Golden Logres                                                      | Success                       | Sega Dreamcast | 2000 | Japan
|       | NEO XYX                                                                | NG:DEV.TEAM                   | Sega Dreamcast | 2014 | Japan
|       | Neppachi II@VPACHI: CR Harenchi Gauken                                 | Daikoku                       | Sega Dreamcast | 2000 | Japan
|       | Neppachi III@VPACHI: CR do Konjou Gale 2 - CR do Konjou Gale H         | Daikoku                       | Sega Dreamcast | 2000 | Japan
|       | Neppachi IV@VPACHI: CR Aa! Hana no Ouendan 3                           | Falcon                        | Sega Dreamcast | 2000 | Japan
|       | Neppachi V@VPACHI: CR Monster House                                    | Daikoku                       | Sega Dreamcast | 2000 | Japan
|       | Neppachi VI@VPACHI                                                     | Daikoku                       | Sega Dreamcast | 2001 | Japan
|       | Neppachi: 10 Ren Chande Las Vegas Ryokou                               | Daikoku                       | Sega Dreamcast | 1999 | Japan
|       | Net Versus Chess                                                       | Atmark                        | Sega Dreamcast | 2001 | Japan
|       | Net Versus Hanafuda                                                    | Atmark                        | Sega Dreamcast | 2001 | Japan
|       | Net Versus Igo                                                         | Atmark                        | Sega Dreamcast | 2001 | Japan
|       | Net Versus Mahjong                                                     | Atmark                        | Sega Dreamcast | 2001 | Japan
|       | Net Versus Renju Gomoku Narabe                                         | Atmark                        | Sega Dreamcast | 2001 | Japan
