|       | Break Time: The National Pool Tour                          | FCI, Inc.                      | Nintendo Entertainment System | 1993 | North America
|       | BreakThru                                                   | Data East                      | Nintendo Entertainment System | 1987 | North America
|       | Bubble Bath Babes                                           | Panesian                       | Nintendo Entertainment System | 1991 | North America
|       | Bubble Bobble                                               | Taito Corporation              | Nintendo Entertainment System | 1988 | North America
|       | Bubble Bobble Part 2                                        | Taito Corporation              | Nintendo Entertainment System | 1993 | North America
|       | Bucky O'Hare                                                | Konami                         | Nintendo Entertainment System | 1992 | North America
|       | Bugs Bunny Birthday Blowout, The                            | Kemco                          | Nintendo Entertainment System | 1990 | North America
|       | Bugs Bunny Crazy Castle, The                                | Kemco                          | Nintendo Entertainment System | 1989 | North America
|       | Bump 'n' Jump                                               | Vic Tokai                      | Nintendo Entertainment System | 1988 | North America
|       | Burai Fighter                                               | Taxan                          | Nintendo Entertainment System | 1990 | North America
|       | BurgerTime                                                  | Data East                      | Nintendo Entertainment System | 1987 | North America
|       | Cabal                                                       | Milton Bradley                 | Nintendo Entertainment System | 1990 | North America
|       | Caesars Palace                                              | Virgin Games                   | Nintendo Entertainment System | 1992 | North America
|       | California Games                                            | Milton Bradley                 | Nintendo Entertainment System | 1989 | North America
|       | Capcom's Gold Medal Challenge '92                           | Capcom                         | Nintendo Entertainment System | 1992 | North America
|       | Captain America and the Avengers                            | Data East                      | Nintendo Entertainment System | 1991 | North America
|       | Captain Comic: The Adventure                                | Color Dreams                   | Nintendo Entertainment System | 1989 | North America
|       | Captain Planet and the Planeteers                           | Mindscape Inc.                 | Nintendo Entertainment System | 1991 | North America
|       | Captain Skyhawk                                             | Milton Bradley                 | Nintendo Entertainment System | 1990 | North America
|       | Casino Kid                                                  | Sofel                          | Nintendo Entertainment System | 1989 | North America
|       | Casino Kid II                                               | Sofel                          | Nintendo Entertainment System | 1993 | North America
|       | Castelian                                                   | Triffix                        | Nintendo Entertainment System | 1991 | North America
|       | Castle of Deceit                                            | Bunch Games, Inc.              | Nintendo Entertainment System | 1990 | North America
|       | Castle of Dragon                                            | Seta Corporation               | Nintendo Entertainment System | 1990 | North America
|       | Castlequest                                                 | Nexoft                         | Nintendo Entertainment System | 1989 | North America
|       | Castlevania                                                 | Konami                         | Nintendo Entertainment System | 1987 | North America
|       | Castlevania II: Simon's Quest                               | Konami                         | Nintendo Entertainment System | 1988 | North America
|       | Castlevania III: Dracula's Curse                            | Konami                         | Nintendo Entertainment System | 1990 | North America
|       | Caveman Games                                               | Data East                      | Nintendo Entertainment System | 1990 | North America
|       | Challenge of the Dragon                                     | Color Dreams                   | Nintendo Entertainment System | 1990 | North America
|       | Championship Bowling                                        | Romstar                        | Nintendo Entertainment System | 1989 | North America
|       | Championship Pool                                           | Mindscape Inc.                 | Nintendo Entertainment System | 1993 | North America
|       | Cheetahmen II                                               | Active Enterprises             | Nintendo Entertainment System | 1993 | North America
|       | Chessmaster, The                                            | Software Toolworks             | Nintendo Entertainment System | 1990 | North America
|       | Chiller                                                     | American Game Cartridges, Inc. | Nintendo Entertainment System | 1990 | North America
|       | Chubby Cherub                                               | Bandai                         | Nintendo Entertainment System | 1986 | North America
|       | Circus Caper                                                | Toho                           | Nintendo Entertainment System | 1990 | North America
|       | City Connection                                             | Jaleco Entertainment           | Nintendo Entertainment System | 1988 | North America
|       | Clash at Demonhead                                          | Vic Tokai                      | Nintendo Entertainment System | 1990 | North America
|       | Classic Concentration                                       | GameTek                        | Nintendo Entertainment System | 1990 | North America
