|       | Ecco the Dolphin                                          | Sega                         | Sega Genesis | 1993 | North America
|       | Ecco: The Tides of Time                                   | Sega                         | Sega Genesis | 1994 | North America
|       | El Viento                                                 | Renovation                   | Sega Genesis | 1991 | North America
|       | Elemental Master                                          | Renovation                   | Sega Genesis | 1993 | North America
|       | ESPN Baseball Tonight                                     | Sony Imagesoft               | Sega Genesis | 1995 | North America
|       | ESPN National Hockey Night                                | Sony Imagesoft               | Sega Genesis | 1994 | North America
|       | ESPN Speed World                                          | Sony Imagesoft               | Sega Genesis | 1994 | North America
|       | ESPN Sunday Night NFL                                     | Sony Imagesoft               | Sega Genesis | 1994 | North America
|       | ESWAT: City Under Siege                                   | Sega                         | Sega Genesis | 1990 | North America
|       | Eternal Champions                                         | Sega                         | Sega Genesis | 1993 | North America
|       | Evander 'Real Deal' Holyfield's Boxing                    | Sega                         | Sega Genesis | 1992 | North America
|       | Ex-Mutants                                                | Sega                         | Sega Genesis | 1992 | North America
|       | Exile                                                     | Renovation                   | Sega Genesis | 1991 | North America
|       | Exodus: Journey to the Promised Land                      | Wisdom Tree                  | Sega Genesis | 1993 | North America
|       | ExoSquad                                                  | Playmates                    | Sega Genesis | 1995 | North America
|       | F-117 Night Storm                                         | EA Games                     | Sega Genesis | 1993 | North America
|       | F-15 Strike Eagle II                                      | MicroProse                   | Sega Genesis | 1993 | North America
|       | F-22 Interceptor                                          | Electronic Arts              | Sega Genesis | 1991 | North America
|       | Faery Tale Adventure, The                                 | Electronic Arts              | Sega Genesis | 1991 | North America
|       | Family Feud                                               | GameTek                      | Sega Genesis | 1993 | North America
|       | Fantasia                                                  | Sega                         | Sega Genesis | 1991 | North America
|       | Fantastic Dizzy                                           | Codemasters                  | Sega Genesis | 1993 | North America
|       | Fatal Fury                                                | Takara                       | Sega Genesis | 1993 | North America
|       | Fatal Fury 2                                              | Takara                       | Sega Genesis | 1994 | North America
|       | Fatal Labyrinth                                           | Sega                         | Sega Genesis | 1991 | North America
|       | Fatal Rewind                                              | Electronic Arts              | Sega Genesis | 1991 | North America
|       | Ferrari Grand Prix Challenge                              | Flying Edge                  | Sega Genesis | 1992 | North America
|       | Fido Dido                                                 | Kaneko                       | Sega Genesis | 1994 | North America
|       | FIFA International Soccer                                 | Electronic Arts              | Sega Genesis | 1993 | North America
|       | FIFA Soccer '95                                           | Electronic Arts              | Sega Genesis | 1994 | North America
|       | FIFA Soccer 96                                            | EA Sports                    | Sega Genesis | 1995 | North America
|       | FIFA Soccer 97                                            | EA Sports                    | Sega Genesis | 1996 | North America
|       | Fighting Masters                                          | Treco                        | Sega Genesis | 1992 | North America
|       | Final Zone                                                | Renovation                   | Sega Genesis | 1990 | North America
|       | Fire Shark                                                | Dreamworks Games             | Sega Genesis | 1990 | North America
|       | Flashback: The Quest for Identity                         | U.S. Gold                    | Sega Genesis | 1993 | North America
|       | Flicky                                                    | Sega                         | Sega Genesis | 1991 | North America
|       | Flintstones, The                                          | Taito Corporation            | Sega Genesis | 1993 | North America
|       | Foreman For Real                                          | Acclaim                      | Sega Genesis | 1995 | North America
|       | Forgotten Worlds                                          | Sega                         | Sega Genesis | 1989 | North America
|       | Formula One                                               | Tengen                       | Sega Genesis | 1993 | North America
|       | Frank Thomas Big Hurt Baseball                            | Acclaim                      | Sega Genesis | 1995 | North America
|       | Frogger                                                   | Majesco Games                | Sega Genesis | 1998 | North America
|       | Fun 'n' Games                                             | Tradewest                    | Sega Genesis | 1993 | North America
|       | Funny World & Balloon Boy                                 | Realtec                      | Sega Genesis | 1993 | North America
|       | G-LOC Air Battle                                          | Sega                         | Sega Genesis | 1993 | North America
|       | Gadget Twins                                              | GameTek                      | Sega Genesis | 1992 | North America
|       | Gaiares                                                   | Renovation                   | Sega Genesis | 1990 | North America
|       | Gain Ground                                               | Renovation                   | Sega Genesis | 1991 | North America
|       | Galahad                                                   | Electronic Arts              | Sega Genesis | 1992 | North America
|       | Galaxy Force II                                           | Sega                         | Sega Genesis | 1991 | North America
|       | Garfield: Caught in the Act                               | Sega                         | Sega Genesis | 1995 | North America
|       | Gargoyles                                                 | Disney Interactive Studios   | Sega Genesis | 1995 | North America
|       | Garry Kitchen's Super Battletank: War in the Gulf         | Absolute Entertainment       | Sega Genesis | 1992 | North America
|       | Gauntlet IV                                               | Tengen                       | Sega Genesis | 1993 | North America
|       | Gemfire                                                   | Koei                         | Sega Genesis | 1992 | North America
|       | General Chaos                                             | Electronic Arts              | Sega Genesis | 1994 | North America
|       | Generations Lost                                          | Time Warner Interactive      | Sega Genesis | 1994 | North America
|       | Genghis Khan II: Clan of the Gray Wolf                    | Koei                         | Sega Genesis | 1993 | North America
|       | George Foreman's KO Boxing                                | Flying Edge                  | Sega Genesis | 1992 | North America
