Platform	Name	Region	Code	Game	Box	Manual	Comment
NES/FC	Castlevania III - Dracula's Curse	NTSC (NA)		No	No	No	
NES/FC	Caveman Games	NTSC (NA)		No	No	No	
NES/FC	Challenge of the Dragon	NTSC (NA)		No	No	No	
NES/FC	Championship Bowling	NTSC (NA)		No	No	No	
NES/FC	Championship Pool - The Billiard Congress of America Presents	NTSC (NA)		No	No	No	
NES/FC	Cheetahmen II, The	NTSC (NA)		No	No	No	
NES/FC	Chessmaster, The	NTSC (NA)		No	No	No	
NES/FC	Chiller	NTSC (NA)		No	No	No	
NES/FC	Chip 'n Dale Rescue Rangers 2, Disney's	NTSC (NA)		No	No	No	
NES/FC	Chip 'n Dale Rescue Rangers, Disney's	NTSC (NA)		No	No	No	
NES/FC	Chubby Cherub	NTSC (NA)		No	No	No	
NES/FC	Circus Caper	NTSC (NA)		No	No	No	
NES/FC	City Connection	NTSC (NA)		No	No	No	
NES/FC	Clash at Demonhead	NTSC (NA)		No	No	No	
NES/FC	Classic Concentration	NTSC (NA)		No	No	No	
NES/FC	Cliffhanger	NTSC (NA)		No	No	No	
NES/FC	Clu Clu Land	NTSC (NA)		No	No	No	
NES/FC	Cobra Command	NTSC (NA)		No	No	No	
NES/FC	Cobra Triangle	NTSC (NA)		No	No	No	
NES/FC	Code Name: Viper	NTSC (NA)		No	No	No	
NES/FC	Color a Dinosaur	NTSC (NA)		No	No	No	
NES/FC	Commando	NTSC (NA)		No	No	No	
NES/FC	Conan: The Mysteries of Time	NTSC (NA)		No	No	No	
NES/FC	Conflict	NTSC (NA)		No	No	No	
NES/FC	Conquest of the Crystal Palace	NTSC (NA)		No	No	No	
NES/FC	Contra	NTSC (NA)		No	No	No	
NES/FC	Contra Force	NTSC (NA)		No	No	No	
NES/FC	Cool World	NTSC (NA)		No	No	No	
NES/FC	Cowboy Kid	NTSC (NA)		No	No	No	
NES/FC	Crash 'n' the Boys: Street Challenge	NTSC (NA)		No	No	No	
NES/FC	Crystal Mines	NTSC (NA)		No	No	No	
NES/FC	Crystalis	NTSC (NA)		No	No	No	
NES/FC	Cyberball	NTSC (NA)		No	No	No	
NES/FC	Cybernoid, The Fighting Machine	NTSC (NA)		No	No	No	
NES/FC	Dance Aerobics	NTSC (NA)		No	No	No	
NES/FC	Darkman	NTSC (NA)		No	No	No	
NES/FC	Darkwing Duck, Disney's	NTSC (NA)		No	No	No	
