|       | BioHazard: Revival Selection                                                                         | Capcom                                 | PlayStation 3 | 2011 | Japan
|       | Bionic Commando                                                                                      | Capcom                                 | PlayStation 3 | 2009 | Japan
|       | BioShock                                                                                             | Spike                                  | PlayStation 3 | 2008 | Japan
|       | BioShock 2                                                                                           | D3Publisher                            | PlayStation 3 | 2010 | Japan
|       | BioShock Infinite                                                                                    | 2K Games                               | PlayStation 3 | 2013 | Japan
|       | BioShock Infinite: Complete Edition                                                                  | 2K Games                               | PlayStation 3 | 2015 | Japan
|       | Blade Arcus from Shining EX                                                                          | Sega                                   | PlayStation 3 | 2015 | Japan
|       | Blades of Time                                                                                       | Konami                                 | PlayStation 3 | 2012 | Japan
|       | Bladestorm: Hyakunen Sensou                                                                          | Koei                                   | PlayStation 3 | 2007 | Japan
|       | Bladestorm: Hyakunen Sensou & Nightmare                                                              | Koei Tecmo Games                       | PlayStation 3 | 2015 | Japan
|       | BlazBlue: Calamity Trigger                                                                           | Arc System Works                       | PlayStation 3 | 2009 | Japan
|       | BlazBlue: Central Fiction                                                                            | Arc System Works                       | PlayStation 3 | 2016 | Japan
|       | BlazBlue: Chrono Phantasma                                                                           | Arc System Works                       | PlayStation 3 | 2013 | Japan
|       | BlazBlue: Chrono Phantasma Extend                                                                    | Arc System Works                       | PlayStation 3 | 2015 | Japan
|       | BlazBlue: Continuum Shift                                                                            | Arc System Works                       | PlayStation 3 | 2010 | Japan
|       | BlazBlue: Continuum Shift Extend                                                                     | Arc System Works                       | PlayStation 3 | 2011 | Japan
|       | Blazing Angels 2: Secret Missions of WWII                                                            | Ubisoft                                | PlayStation 3 | 2008 | Japan
|       | Blazing Angels: Squadrons of WWII                                                                    | D3Publisher                            | PlayStation 3 | 2007 | Japan
|       | Bleach: Soul Ignition                                                                                | SCEI                                   | PlayStation 3 | 2011 | Japan
|       | Blur Racerz                                                                                          | Square Enix                            | PlayStation 3 | 2010 | Japan
|       | Boku no Natsuyasumi 3                                                                                | SCEI                                   | PlayStation 3 | 2007 | Japan
|       | Borderlands 2                                                                                        | 2K Games                               | PlayStation 3 | 2012 | Japan
|       | Borderlands 2: Game of the Year Edition                                                              | 2K Games                               | PlayStation 3 | 2014 | Japan
|       | Borderlands: Game of the Year Edition                                                                | Take-Two Interactive                   | PlayStation 3 | 2010 | Japan
|       | Borderlands: The Pre-Sequel!                                                                         | 2K Games                               | PlayStation 3 | 2014 | Japan
|       | Brink                                                                                                | Bethesda Softworks                     | PlayStation 3 | 2011 | Japan
|       | Brothers In Arms: Hell's Highway                                                                     | Ubisoft                                | PlayStation 3 | 2008 | Japan
|       | Bulletstorm                                                                                          | Electronic Arts                        | PlayStation 3 | 2011 | Japan
|       | Burnout Paradise                                                                                     | Electronic Arts                        | PlayStation 3 | 2008 | Japan
|       | Caladrius Blaze                                                                                      | Moss                                   | PlayStation 3 | 2014 | Japan
|       | Call of Duty 3                                                                                       | Spike                                  | PlayStation 3 | 2007 | Japan
|       | Call of Duty 4: Modern Warfare                                                                       | Activision                             | PlayStation 3 | 2007 | Japan
|       | Call of Duty: Advanced Warfare                                                                       | Square Enix                            | PlayStation 3 | 2014 | Japan
|       | Call of Duty: Black Ops                                                                              | Square Enix                            | PlayStation 3 | 2010 | Japan
|       | Call of Duty: Black Ops II                                                                           | Square Enix                            | PlayStation 3 | 2012 | Japan
|       | Call of Duty: Black Ops III                                                                          | SCEI                                   | PlayStation 3 | 2015 | Japan
|       | Call of Duty: Ghosts                                                                                 | Square Enix                            | PlayStation 3 | 2013 | Japan
|       | Call of Duty: Modern Warfare 2                                                                       | Square Enix                            | PlayStation 3 | 2009 | Japan
|       | Call of Duty: Modern Warfare 3                                                                       | Square Enix                            | PlayStation 3 | 2011 | Japan
|       | Call of Juarez: Chi no Kizuna                                                                        | Ubisoft                                | PlayStation 3 | 2009 | Japan
|       | Call of Juarez: The Cartel                                                                           | Ubisoft                                | PlayStation 3 | 2011 | Japan
|       | Castlevania: Lords of Shadow                                                                         | Konami                                 | PlayStation 3 | 2010 | Japan
|       | Catherine                                                                                            | ATLUS                                  | PlayStation 3 | 2011 | Japan
|       | Champion Jockey: G1 Jockey & Gallop Racer                                                            | Koei Tecmo Games                       | PlayStation 3 | 2011 | Japan
|       | Chaos;Child                                                                                          | 5pb                                    | PlayStation 3 | 2015 | Japan
|       | Chaos;Head Double Pack                                                                               | 5pb                                    | PlayStation 3 | 2012 | Japan
|       | Chaos;Head Love Chu*Chu!                                                                             | 5pb                                    | PlayStation 3 | 2012 | Japan
|       | Chaos;Head Noah                                                                                      | 5pb                                    | PlayStation 3 | 2012 | Japan
|       | Chikyuu Boueigun 4                                                                                   | D3Publisher                            | PlayStation 3 | 2013 | Japan
|       | Child of Eden                                                                                        | Ubisoft                                | PlayStation 3 | 2011 | Japan
|       | Child of Light                                                                                       | Ubisoft                                | PlayStation 3 | 2014 | Japan
|       | Chou Jigen Game Neptune                                                                              | Idea Factory                           | PlayStation 3 | 2010 | Japan
|       | Chou Jigen Game Neptune mk2                                                                          | Compile Heart                          | PlayStation 3 | 2011 | Japan
|       | Choujikuu Yousai Macross: Ai Oboete Imasu ka - Hybrid Pack                                           | Bandai Namco Games                     | PlayStation 3 | 2012 | Japan
|       | Clannad                                                                                              | Prototype                              | PlayStation 3 | 2011 | Japan
|       | Clash of the Titans                                                                                  | Bandai Namco Games                     | PlayStation 3 | 2010 | Japan
|       | Colin McRae: DiRT 2                                                                                  | Codemasters                            | PlayStation 3 | 2009 | Japan
|       | Combat Wings: The Great Battles of WWII                                                              | CyberFront                             | PlayStation 3 | 2013 | Japan
|       | Conan                                                                                                | THQ                                    | PlayStation 3 | 2007 | Japan
|       | Cross Channel: For All People                                                                        | 5pb                                    | PlayStation 3 | 2014 | Japan
|       | Cross Edge                                                                                           | Compile Heart                          | PlayStation 3 | 2008 | Japan
|       | Crysis 2                                                                                             | EA Games                               | PlayStation 3 | 2011 | Japan
|       | Crysis 3                                                                                             | EA Games                               | PlayStation 3 | 2013 | Japan
|       | Cursed Crusade, The                                                                                  | Ubisoft                                | PlayStation 3 | 2012 | Japan
|       | CV: Casting Voice                                                                                    | Bandai Namco Games                     | PlayStation 3 | 2014 | Japan
|       | Dai-2-Ji Super Robot Taisen OG                                                                       | Bandai Namco Games                     | PlayStation 3 | 2012 | Japan
|       | Dai-3-Ji Super Robot Taisen Z Jigoku-hen                                                             | Bandai Namco Games                     | PlayStation 3 | 2014 | Japan
|       | Dai-3-Ji Super Robot Taisen Z Tengoku-hen                                                            | Bandai Namco Games                     | PlayStation 3 | 2015 | Japan
|       | Daikoukai Jidai Online: 2nd Age                                                                      | Koei Tecmo Games                       | PlayStation 3 | 2012 | Japan
|       | Daikoukai Jidai Online: Cruz del Sur                                                                 | Koei                                   | PlayStation 3 | 2009 | Japan
|       | Daikoukai Jidai Online: El Oriente                                                                   | Koei                                   | PlayStation 3 | 2009 | Japan
|       | Daikoukai Jidai Online: GranAtlas                                                                    | Koei Tecmo Games                       | PlayStation 3 | 2013 | Japan
|       | Daikoukai Jidai Online: Tierra Americana                                                             | Koei Tecmo Games                       | PlayStation 3 | 2011 | Japan
|       | Daisenryaku Exceed II                                                                                | SystemSoft Alpha                       | PlayStation 3 | 2015 | Japan
|       | Daisenryaku Perfect: Senjou no Hasha                                                                 | SystemSoft                             | PlayStation 3 | 2014 | Japan
|       | Daisenryaku: Dai Toua Kouboushi - Dainijisekaitaisen Boppatsu - Suujiku Sentai Rengougun Zensekaisen | SystemSoft Alpha                       | PlayStation 3 | 2015 | Japan
