|       | Earthworm Jim                                                    | Virgin Interactive           | Super Nintendo | 1995 | Europe
|       | Earthworm Jim 2                                                  | Virgin Interactive           | Super Nintendo | 1996 | Europe
|       | Eek! The Cat                                                     | Ocean                        | Super Nintendo | 1994 | Europe
|       | Equinox                                                          | Sony Imagesoft               | Super Nintendo | 1994 | Europe
|       | ESPN Baseball Tonight                                            | Sony Imagesoft               | Super Nintendo | 1994 | Europe
|       | Euro Football Champ                                              | Taito Corporation            | Super Nintendo | 1992 | Europe
|       | Exhaust Heat                                                     | Ocean                        | Super Nintendo | 1993 | Europe
|       | F-Zero                                                           | Nintendo                     | Super Nintendo | 1992 | Europe
|       | F1 Pole Position                                                 | Ubisoft                      | Super Nintendo | 1993 | Europe
|       | F1 Pole Position 2                                               | Ubisoft                      | Super Nintendo | 1994 | Europe
|       | F1 World Championship Edition                                    | Acclaim                      | Super Nintendo | 1995 | Europe
|       | Family Dog                                                       | Malibu                       | Super Nintendo | 1993 | Europe
|       | Fatal Fury                                                       | Takara                       | Super Nintendo | 1993 | Europe
|       | Fatal Fury 2                                                     | Takara                       | Super Nintendo | 1994 | Europe
|       | Fatal Fury Special                                               | Takara                       | Super Nintendo | 1995 | Europe
|       | FIFA 97                                                          | Electronic Arts              | Super Nintendo | 1996 | Europe
|       | FIFA International Soccer                                        | Electronic Arts              | Super Nintendo | 1994 | Europe
|       | FIFA Soccer 96                                                   | Electronic Arts              | Super Nintendo | 1995 | Europe
|       | FIFA: Road to World Cup 98                                       | EA Sports                    | Super Nintendo | 1998 | Europe
|       | Final Fight                                                      | Capcom                       | Super Nintendo | 1992 | Europe
|       | Final Fight 2                                                    | Capcom                       | Super Nintendo | 1993 | Europe
|       | Final Fight 3                                                    | Capcom                       | Super Nintendo | 1996 | Europe
|       | Firemen, The                                                     | Human Entertainment          | Super Nintendo | 1995 | Europe
|       | First Samurai                                                    | Kemco                        | Super Nintendo | 1993 | Europe
|       | Flashback                                                        | U.S. Gold                    | Super Nintendo | 1993 | Europe
|       | Flintstones, The                                                 | Ocean                        | Super Nintendo | 1995 | Europe
|       | Flintstones: The Treasure of Sierra Madrock, The                 | Taito Corporation            | Super Nintendo | 1994 | Europe
|       | Foreman For Real                                                 | Acclaim                      | Super Nintendo | 1995 | Europe
|       | Frank Thomas Big Hurt Baseball                                   | Acclaim                      | Super Nintendo | 1995 | Europe
|       | Frantic Flea                                                     | GameTek                      | Super Nintendo | 1996 | Europe
|       | Full Throttle All-America Racing                                 | GameTek                      | Super Nintendo | 1994 | Europe
|       | Fun 'N' Games                                                    | Tradewest                    | Super Nintendo | 1994 | Europe
|       | George Foreman's KO Boxing                                       | Acclaim                      | Super Nintendo | 1992 | Europe
|       | Ghoul Patrol                                                     | JVC Musical Industries, Inc. | Super Nintendo | 1994 | Europe
|       | Gods                                                             | Interplay                    | Super Nintendo | 1993 | Europe
|       | GP-1                                                             | ATLUS                        | Super Nintendo | 1993 | Europe
|       | Great Circus Mystery starring Mickey & Minnie, The               | Capcom                       | Super Nintendo | 1995 | Europe
|       | Hagane                                                           | Hudson                       | Super Nintendo | 1995 | Europe
|       | HAL's Hole in One Golf                                           | HAL Labs                     | Super Nintendo | 1992 | Europe
|       | Hanna Barbera's Turbo Toons                                      | Empire Interactive           | Super Nintendo | 1994 | Europe
|       | Harley's Humongous Adventure                                     | Hi Tech Expressions          | Super Nintendo | 1993 | Europe
|       | Harvest Moon                                                     | Nintendo                     | Super Nintendo | 1998 | Europe
|       | Hebereke's Popoitto                                              | SunSoft                      | Super Nintendo | 1995 | Europe
|       | Hebereke's Popoon                                                | SunSoft                      | Super Nintendo | 1994 | Europe
|       | Home Alone                                                       | Altron                       | Super Nintendo | 1992 | Europe
|       | Home Alone 2: Lost in New York                                   | THQ                          | Super Nintendo | 1993 | Europe
|       | Hook                                                             | Sony Imagesoft               | Super Nintendo | 1993 | Europe
|       | Humans, The                                                      | GameTek                      | Super Nintendo | 1993 | Europe
|       | Hungry Dinosaurs                                                 | SunSoft                      | Super Nintendo | 1995 | Europe
|       | Hunt for Red October, The                                        | Hi Tech Expressions          | Super Nintendo | 1993 | Europe
|       | Hurricanes                                                       | U.S. Gold                    | Super Nintendo | 1994 | Europe
|       | Hyper V-Ball                                                     | Ubisoft                      | Super Nintendo | 1993 | Europe
|       | HyperZone                                                        | HAL Labs                     | Super Nintendo | 1991 | Europe
|       | Illusion of Time                                                 | Nintendo                     | Super Nintendo | 1995 | Europe
|       | Incantation                                                      | Titus Software               | Super Nintendo | 1996 | Europe
|       | Incredible Crash Dummies, The                                    | LJN Ltd.                     | Super Nintendo | 1993 | Europe
|       | Incredible Hulk, The                                             | U.S. Gold                    | Super Nintendo | 1994 | Europe
|       | Indiana Jones' Greatest Adventures                               | JVC Digital Studios          | Super Nintendo | 1995 | Europe
|       | International Sensible Soccer - World Champions: Limited Edition | Sony Imagesoft               | Super Nintendo | 1994 | Europe
|       | International Superstar Soccer                                   | Konami                       | Super Nintendo | 1995 | Europe
|       | International Superstar Soccer Deluxe                            | Konami                       | Super Nintendo | 1996 | Europe
|       | International Tennis Tour                                        | Loriciels                    | Super Nintendo | 1993 | Europe
|       | Itchy & Scratchy Game, The                                       | Acclaim                      | Super Nintendo | 1995 | Europe
|       | Izzy's Quest for the Olympic Rings                               | U.S. Gold                    | Super Nintendo | 1995 | Europe
|       | J.R.R. Tolkien's The Lord of the Rings: Volume 1                 | Interplay                    | Super Nintendo | 1995 | Europe
|       | Jack Nicklaus Golf                                               | Tradewest                    | Super Nintendo | 1992 | Europe
|       | James Bond Jr.                                                   | THQ                          | Super Nintendo | 1992 | Europe
|       | James Pond 3: Operation Starfish                                 | U.S. Gold                    | Super Nintendo | 1994 | Europe
|       | James Pond's Crazy Sports                                        | Sales Curve Interactive      | Super Nintendo | 1994 | Europe
|       | Jelly Boy                                                        | Ocean                        | Super Nintendo | 1995 | Europe
|       | Jimmy Connors Pro Tennis Tour                                    | Ubisoft                      | Super Nintendo | 1994 | Europe
|       | Joe & Mac 3: Lost in the Tropics                                 | Elite                        | Super Nintendo | 1995 | Europe
|       | Joe & Mac: Caveman Ninja                                         | Elite                        | Super Nintendo | 1992 | Europe
|       | John Madden Football '93                                         | Electronic Arts              | Super Nintendo | 1993 | Europe
|       | Judge Dredd                                                      | Acclaim                      | Super Nintendo | 1995 | Europe
|       | Jungle Strike                                                    | Electronic Arts              | Super Nintendo | 1995 | Europe
|       | Jurassic Park                                                    | Ocean                        | Super Nintendo | 1993 | Europe
|       | Jurassic Park Part 2: The Chaos Continues                        | Ocean                        | Super Nintendo | 1994 | Europe
|       | Justice League Task Force                                        | Acclaim                      | Super Nintendo | 1995 | Europe
|       | Kawasaki Superbikes                                              | Time Warner Interactive      | Super Nintendo | 1995 | Europe
|       | Kevin Keegan's Player Manager                                    | Imagineer                    | Super Nintendo | 1993 | Europe
|       | Kick Off                                                         | Imagineer                    | Super Nintendo | 1993 | Europe
|       | Kick Off 3: European Challenge                                   | Vic Tokai                    | Super Nintendo | 1994 | Europe
|       | Kid Klown in Crazy Chase                                         | Kemco                        | Super Nintendo | 1995 | Europe
|       | Killer Instinct                                                  | Nintendo                     | Super Nintendo | 1995 | Europe
|       | King Arthur's World                                              | Jaleco Entertainment         | Super Nintendo | 1993 | Europe
|       | King of Dragons                                                  | Capcom                       | Super Nintendo | 1994 | Europe
|       | King of the Monsters                                             | Takara                       | Super Nintendo | 1992 | Europe
|       | Kirby's Dream Course                                             | Nintendo                     | Super Nintendo | 1995 | Europe
|       | Kirby's Fun Pak                                                  | Nintendo                     | Super Nintendo | 1997 | Europe
|       | Kirby's Ghost Trap                                               | Nintendo                     | Super Nintendo | 1995 | Europe
|       | Knights of the Round                                             | Capcom                       | Super Nintendo | 1994 | Europe
|       | Krusty's Super Fun House                                         | Acclaim                      | Super Nintendo | 1992 | Europe
|       | Lagoon                                                           | Kemco                        | Super Nintendo | 1993 | Europe
|       | Lamborghini: American Challenge                                  | Titus Software               | Super Nintendo | 1994 | Europe
|       | Last Action Hero                                                 | Sony Imagesoft               | Super Nintendo | 1993 | Europe
|       | Lawnmower Man, The                                               | Storm                        | Super Nintendo | 1994 | Europe
|       | Legend                                                           | Sony Imagesoft               | Super Nintendo | 1994 | Europe
|       | Legend of the Mystical Ninja, The                                | Konami                       | Super Nintendo | 1994 | Europe
|       | Legend of Zelda: A Link to the Past, The                         | Nintendo                     | Super Nintendo | 1992 | Europe
|       | Lemmings                                                         | SunSoft                      | Super Nintendo | 1992 | Europe
|       | Lemmings 2: The Tribes                                           | Psygnosis                    | Super Nintendo | 1994 | Europe
|       | Lethal Enforcers                                                 | Konami                       | Super Nintendo | 1994 | Europe
|       | Lethal Weapon                                                    | Ocean                        | Super Nintendo | 1992 | Europe
|       | Lion King, The                                                   | Virgin Interactive           | Super Nintendo | 1994 | Europe
|       | Looney Tunes Basketball                                          | SunSoft                      | Super Nintendo | 1995 | Europe
|       | Looney Tunes: Road Runner                                        | SunSoft                      | Super Nintendo | 1993 | Europe
|       | Lost Vikings II, The                                             | Interplay                    | Super Nintendo | 1997 | Europe
|       | Lost Vikings, The                                                | Interplay                    | Super Nintendo | 1993 | Europe
|       | Lothar Matthaus Super Soccer                                     | Ocean                        | Super Nintendo | 1995 | Europe
|       | Lucky Luke                                                       | Infogrames                   | Super Nintendo | 1997 | Europe
|       | Lufia                                                            | Nintendo                     | Super Nintendo | 1995 | Europe
|       | Madden NFL '94                                                   | Electronic Arts              | Super Nintendo | 1994 | Europe
|       | Madden NFL 95                                                    | EA Sports                    | Super Nintendo | 1994 | Europe
|       | Magic Boy                                                        | JVC Digital Studios          | Super Nintendo | 1994 | Europe
|       | Magic Sword                                                      | Capcom                       | Super Nintendo | 1993 | Europe
|       | Magical Quest starring Mickey Mouse, The                         | Capcom                       | Super Nintendo | 1993 | Europe
|       | Major Title                                                      | Irem                         | Super Nintendo | 1993 | Europe
|       | Mario Basler: Jetzt geht's Los!                                  | U.S. Gold                    | Super Nintendo | 1995 | Europe
|       | Mario is Missing!                                                | Mindscape                    | Super Nintendo | 1993 | Europe
|       | Mario Paint                                                      | Nintendo                     | Super Nintendo | 1992 | Europe
|       | Mario's Time Machine                                             | Mindscape                    | Super Nintendo | 1994 | Europe
|       | Marko's Magic Football                                           | Acclaim                      | Super Nintendo | 1995 | Europe
|       | Marvel Super Heroes in War of the Gems                           | Capcom                       | Super Nintendo | 1997 | Europe
|       | Mask, The                                                        | Black Pearl                  | Super Nintendo | 1995 | Europe
|       | MechWarrior                                                      | Activision                   | Super Nintendo | 1993 | Europe
|       | MechWarrior 3050                                                 | Activision                   | Super Nintendo | 1995 | Europe
|       | Mega Man 7                                                       | Laguna                       | Super Nintendo | 1995 | Europe
|       | Mega Man X                                                       | Nintendo                     | Super Nintendo | 1994 | Europe
|       | Mega Man X2                                                      | Laguna                       | Super Nintendo | 1995 | Europe
|       | Mega Man X3                                                      | Laguna                       | Super Nintendo | 1996 | Europe
|       | Mega-Lo-Mania                                                    | Imagineer                    | Super Nintendo | 1993 | Europe
|       | Metal Combat: Falcon's Revenge                                   | Nintendo                     | Super Nintendo | 1993 | Europe
|       | Metal Marines                                                    | Mindscape                    | Super Nintendo | 1994 | Europe
|       | Michael Jordan: Chaos in the Windy City                          | Ocean                        | Super Nintendo | 1995 | Europe
|       | Mickey Mania                                                     | Sony Imagesoft               | Super Nintendo | 1994 | Europe
|       | Micro Machines                                                   | Ocean                        | Super Nintendo | 1994 | Europe
|       | Micro Machines 2: Turbo Tournament                               | Ocean                        | Super Nintendo | 1996 | Europe
