|       | Bibi Blocksberg: Das grosse Hexenbesen-Rennen!                        | Kiddinx                                | Nintendo Wii | 2010 | Europe
|       | Bienvenue chez les Ch'tis                                             | Mindscape                              | Nintendo Wii | 2008 | Europe
|       | Big Beach Sports                                                      | THQ                                    | Nintendo Wii | 2008 | Europe
|       | Big Beach Sports 2                                                    | THQ                                    | Nintendo Wii | 2010 | Europe
|       | Big Brain Academy for Wii                                             | Nintendo                               | Nintendo Wii | 2007 | Europe
|       | Big Family Games                                                      | THQ                                    | Nintendo Wii | 2009 | Europe
|       | Big Time Rush: Dance Party                                            | Funbox Media                           | Nintendo Wii | 2013 | Europe
|       | Bigfoot: Collision Course                                             | Zoo Digital Publishing                 | Nintendo Wii | 2009 | Europe
|       | Biggest Loser Challenge, The                                          | THQ                                    | Nintendo Wii | 2010 | Europe
|       | Biggest Loser USA, The                                                | THQ                                    | Nintendo Wii | 2009 | Europe
|       | Bigs 2, The                                                           | 2K Sports                              | Nintendo Wii | 2009 | Europe
|       | Bigs, The                                                             | 2K Sports                              | Nintendo Wii | 2007 | Europe
|       | Billy the Wizard: Rocket Broomstick Racing                            | Popcorn Arcade                         | Nintendo Wii | 2007 | Europe
|       | Bionicle Heroes                                                       | Eidos Interactive                      | Nintendo Wii | 2007 | Europe
|       | Black Eyed Peas Experience, The                                       | Ubisoft                                | Nintendo Wii | 2011 | Europe
|       | Blast Works: Build, Fuse & Destroy                                    | Majesco                                | Nintendo Wii | 2009 | Europe
|       | Blazing Angels: Squadrons of WWII                                     | Ubisoft                                | Nintendo Wii | 2007 | Europe
|       | Bleach: Shattered Blade                                               | Sega                                   | Nintendo Wii | 2008 | Europe
|       | Bob the Builder: Festival of Fun                                      | Blast! Entertainment Ltd               | Nintendo Wii | 2009 | Europe
|       | Bolt                                                                  | Disney Interactive Studios             | Nintendo Wii | 2009 | Europe
|       | Bomberman Land                                                        | Rising Star Games                      | Nintendo Wii | 2008 | Europe
|       | Boogie                                                                | Electronic Arts                        | Nintendo Wii | 2007 | Europe
|       | Boogie SuperStar                                                      | Electronic Arts                        | Nintendo Wii | 2008 | Europe
|       | Boom Blox                                                             | Electronic Arts                        | Nintendo Wii | 2008 | Europe
