|       | Marksman Shooting / Trap Shooting / Safari Hunt           | Sega                | Sega Master System | 1986 | Europe
|       | Master Games 1                                            | Sega                | Sega Master System | 1993 | Europe
|       | Master of Darkness                                        | Sega                | Sega Master System | 1992 | Europe
|       | Masters of Combat                                         | Sega                | Sega Master System | 1993 | Europe
|       | Maze Hunter 3-D                                           | Sega                | Sega Master System | 1989 | Europe
|       | Mercs                                                     | Sega                | Sega Master System | 1991 | Europe
|       | Michael Jackson's Moonwalker                              | Sega                | Sega Master System | 1989 | Europe
|       | Micro Machines                                            | Codemasters         | Sega Master System | 1993 | Europe
|       | Miracle Warriors: Seal of the Dark Lord                   | Sega                | Sega Master System | 1988 | Europe
|       | Missile Defense 3-D                                       | Sega                | Sega Master System | 1987 | Europe
|       | Monopoly                                                  | Sega                | Sega Master System | 1988 | Europe
|       | Mortal Kombat                                             | Acclaim             | Sega Master System | 1993 | Europe
|       | Mortal Kombat II                                          | Acclaim             | Sega Master System | 1994 | Europe
|       | Ms. Pac-Man                                               | Tengen              | Sega Master System | 1991 | Europe
|       | My Hero                                                   | Sega                | Sega Master System | 1986 | Europe
|       | New Zealand Story, The                                    | TecMagik            | Sega Master System | 1992 | Europe
|       | Ninja Gaiden                                              | Sega                | Sega Master System | 1992 | Europe
|       | Ninja, The                                                | Sega                | Sega Master System | 1987 | Europe
|       | Olympic Gold: Barcelona '92                               | Sega                | Sega Master System | 1992 | Europe
|       | Operation Wolf                                            | Sega                | Sega Master System | 1988 | Europe
|       | Ottifants, The                                            | Sega                | Sega Master System | 1993 | Europe
|       | OutRun                                                    | Sega                | Sega Master System | 1987 | Europe
|       | OutRun 3-D                                                | Sega                | Sega Master System | 1991 | Europe
|       | OutRun Europa                                             | U.S. Gold           | Sega Master System | 1991 | Europe
|       | Pac-Mania                                                 | Namco               | Sega Master System | 1991 | Europe
|       | Paperboy                                                  | U.S. Gold           | Sega Master System | 1990 | Europe
|       | Parlour Games                                             | Sega                | Sega Master System | 1988 | Europe
|       | Penguin Land                                              | Sega                | Sega Master System | 1988 | Europe
|       | PGA Tour Golf                                             | Tengen              | Sega Master System | 1993 | Europe
|       | Phantasy Star                                             | Sega                | Sega Master System | 1988 | Europe
|       | Pit-Fighter                                               | Domark              | Sega Master System | 1991 | Europe
|       | Populous                                                  | TecMagik            | Sega Master System | 1991 | Europe
|       | Poseidon Wars 3-D                                         | Sega                | Sega Master System | 1989 | Europe
|       | Power Strike                                              | Sega                | Sega Master System | 1988 | Europe
|       | Power Strike II                                           | Sega                | Sega Master System | 1993 | Europe
|       | Predator 2                                                | Arena               | Sega Master System | 1991 | Europe
|       | Prince of Persia                                          | Sega                | Sega Master System | 1990 | Europe
|       | Pro Wrestling                                             | Sega                | Sega Master System | 1987 | Europe
|       | Psychic World                                             | Sega                | Sega Master System | 1991 | Europe
|       | Psycho Fox                                                | Sega                | Sega Master System | 1989 | Europe
|       | Putt & Putter                                             | Sega                | Sega Master System | 1992 | Europe
|       | Quartet                                                   | Sega                | Sega Master System | 1987 | Europe
|       | R-Type                                                    | Sega                | Sega Master System | 1988 | Europe
|       | R.C. Grand Prix                                           | Sega                | Sega Master System | 1989 | Europe
|       | Rainbow Islands: Story of the Bubble Bobble 2             | Sega                | Sega Master System | 1993 | Europe
|       | Rambo III                                                 | Sega                | Sega Master System | 1988 | Europe
|       | Rampage                                                   | Sega                | Sega Master System | 1988 | Europe
|       | Rampart                                                   | Tengen              | Sega Master System | 1991 | Europe
|       | Rastan                                                    | Sega                | Sega Master System | 1988 | Europe
|       | Renegade                                                  | Sega                | Sega Master System | 1993 | Europe
|       | Rescue Mission                                            | Sega                | Sega Master System | 1988 | Europe
|       | Road Rash                                                 | U.S. Gold           | Sega Master System | 1994 | Europe
|       | RoboCop 3                                                 | Flying Edge         | Sega Master System | 1993 | Europe
|       | RoboCop Versus The Terminator                             | Virgin Interactive  | Sega Master System | 1991 | Europe
|       | Rocky                                                     | Sega                | Sega Master System | 1987 | Europe
|       | Running Battle                                            | Sega                | Sega Master System | 1991 | Europe
|       | Sagaia                                                    | Sega                | Sega Master System | 1992 | Europe
|       | Scramble Spirits                                          | Sega                | Sega Master System | 1988 | Europe
|       | Secret Command                                            | Sega                | Sega Master System | 1987 | Europe
|       | Sega Chess                                                | Sega                | Sega Master System | 1991 | Europe
|       | Sega World Tournament Golf                                | Sega                | Sega Master System | 1993 | Europe
|       | Sensible Soccer: European Champions                       | Sega                | Sega Master System | 1988 | Europe
|       | Shadow Dancer: The Secret of Shinobi                      | Sega                | Sega Master System | 1991 | Europe
|       | Shadow of the Beast                                       | TecMagik            | Sega Master System | 1992 | Europe
|       | Shanghai                                                  | Sega                | Sega Master System | 1988 | Europe
|       | Shinobi                                                   | Sega                | Sega Master System | 1988 | Europe
|       | Shooting Gallery                                          | Sega                | Sega Master System | 1987 | Europe
|       | Simpsons: Bart vs. the Space Mutants, The                 | Flying Edge         | Sega Master System | 1991 | Europe
|       | Simpsons: Bart vs. the World, The                         | Flying Edge         | Sega Master System | 1993 | Europe
|       | Slap Shot                                                 | Sega                | Sega Master System | 1990 | Europe
|       | Smurfs Travel the World, The                              | Infogrames          | Sega Master System | 1996 | Europe
|       | Smurfs, The                                               | Infogrames          | Sega Master System | 1994 | Europe
|       | Sonic the Hedgehog                                        | Sega                | Sega Master System | 1991 | North America, Europe
|       | Sonic the Hedgehog 2                                      | Sega                | Sega Master System | 1992 | Europe
|       | Sonic the Hedgehog Chaos                                  | Sega                | Sega Master System | 1993 | Europe
|       | Sonic the Hedgehog Spinball                               | Sega                | Sega Master System | 1993 | Europe
|       | Space Gun                                                 | Sega                | Sega Master System | 1992 | Europe
|       | Space Harrier                                             | Sega                | Sega Master System | 1987 | Europe
|       | Space Harrier 3-D                                         | Sega                | Sega Master System | 1988 | Europe
|       | Special Criminal Investigation                            | Sega                | Sega Master System | 1992 | Europe
|       | Speedball                                                 | Imageworks          | Sega Master System | 1990 | Europe
|       | Speedball 2                                               | Virgin Games        | Sega Master System | 1992 | Europe
|       | SpellCaster                                               | Sega                | Sega Master System | 1989 | Europe
|       | Spider-Man                                                | Sega                | Sega Master System | 1991 | Europe
|       | Spider-Man: Return of the Sinister Six                    | Flying Edge         | Sega Master System | 1992 | Europe
|       | Spy vs. Spy                                               | Sega                | Sega Master System | 1988 | Europe
|       | Star Wars                                                 | Kixx                | Sega Master System | 1993 | Europe
|       | Streets of Rage                                           | Sega                | Sega Master System | 1993 | Europe
|       | Streets of Rage II                                        | Sega                | Sega Master System | 1993 | Europe
|       | Strider                                                   | Sega                | Sega Master System | 1991 | Europe
|       | Strider II                                                | U.S. Gold           | Sega Master System | 1991 | Europe
|       | Submarine Attack                                          | Sega                | Sega Master System | 1993 | Europe
|       | Summer Games                                              | Sega                | Sega Master System | 1991 | Europe
|       | Super Kick Off                                            | U.S. Gold           | Sega Master System | 1991 | Europe
|       | Super Monaco GP                                           | Sega                | Sega Master System | 1990 | Europe
|       | Super Off Road                                            | Virgin Mastertronic | Sega Master System | 1992 | Europe
|       | Super Smash T.V.                                          | Flying Edge         | Sega Master System | 1992 | Europe
|       | Super Space Invaders                                      | Domark              | Sega Master System | 1991 | Europe
|       | Super Tennis                                              | Sega                | Sega Master System | 1985 | Europe
|       | Superman: The Man of Steel                                | Virgin Interactive  | Sega Master System | 1993 | Europe
|       | T2: The Arcade Game                                       | Midway              | Sega Master System | 1991 | Europe
|       | Taz-Mania                                                 | Sega                | Sega Master System | 1992 | Europe
|       | Tecmo World Cup '93                                       | Tecmo               | Sega Master System | 1993 | Europe
|       | Teddy Boy                                                 | Sega                | Sega Master System | 1986 | Europe
|       | Tennis Ace                                                | Sega                | Sega Master System | 1989 | Europe
|       | Terminator 2: Judgment Day                                | Flying Edge         | Sega Master System | 1993 | Europe
|       | Terminator, The                                           | Virgin Interactive  | Sega Master System | 1992 | Europe
|       | Thunder Blade                                             | Sega                | Sega Master System | 1988 | Europe
|       | Time Soldiers                                             | Sega                | Sega Master System | 1989 | Europe
|       | Tom and Jerry: The Movie                                  | Sega                | Sega Master System | 1992 | Europe
|       | Transbot                                                  | Sega                | Sega Master System | 1986 | Europe
|       | Trivial Pursuit                                           | Domark              | Sega Master System | 1992 | Europe
|       | Ultima IV                                                 | Sega                | Sega Master System | 1990 | Europe
|       | Ultimate Soccer                                           | Sega                | Sega Master System | 1993 | Europe
|       | Vigilante                                                 | Sega                | Sega Master System | 1988 | Europe
|       | Wanted                                                    | Sega                | Sega Master System | 1989 | Europe
|       | Wimbledon                                                 | Sega                | Sega Master System | 1992 | Europe
|       | Wimbledon II                                              | Sega                | Sega Master System | 1993 | Europe
|       | Winter Olympics: Lillehammer '94                          | U.S. Gold           | Sega Master System | 1994 | Europe
|       | Wolfchild                                                 | Virgin Interactive  | Sega Master System | 1993 | Europe
|       | Wonder Boy                                                | Sega                | Sega Master System | 1987 | Europe
|       | Wonder Boy III: The Dragon's Trap                         | Sega                | Sega Master System | 1989 | Europe
|       | Wonder Boy in Monster Land                                | Sega                | Sega Master System | 1988 | Europe
|       | Wonder Boy in Monster World                               | Sega                | Sega Master System | 1993 | Europe
|       | World Class Leaderboard Golf                              | U.S. Gold           | Sega Master System | 1991 | Europe
|       | World Cup Italia '90                                      | Sega                | Sega Master System | 1990 | Europe
|       | World Cup USA 94                                          | U.S. Gold           | Sega Master System | 1992 | Europe
|       | World Games                                               | Sega                | Sega Master System | 1989 | Europe
|       | World Grand Prix                                          | Sega                | Sega Master System | 1986 | Europe
|       | World Soccer                                              | Sega                | Sega Master System | 1987 | Europe
|       | WWF Wrestlemania: Steel Cage Challenge                    | Flying Edge         | Sega Master System | 1992 | Europe
|       | Xenon 2: Megablast                                        | Virgin Interactive  | Sega Master System | 1991 | Europe
|       | Ys: The Vanished Omens                                    | Sega                | Sega Master System | 1988 | Europe
|       | Zaxxon 3-D                                                | Sega                | Sega Master System | 1987 | Europe
|       | Zillion                                                   | Sega                | Sega Master System | 1987 | Europe
|       | Zillion II: The Tri Formation                             | Sega                | Sega Master System | 1988 | Europe
|       | Zool: Ninja of the "Nth" Dimension                        | Gremlin Graphics    | Sega Master System | 1993 | Europe
