|       | Pinball Graffiti                                               | JVC Digital Studios           | Sega Saturn | 1996 | Europe
|       | Primal Rage                                                    | Time Warner Interactive       | Sega Saturn | 1998 | Europe
|       | Pro Pinball: The Web                                           | Empire Interactive            | Sega Saturn | 1996 | Europe
|       | Quake                                                          | Sega                          | Sega Saturn | 1997 | Europe
|       | Rampage World Tour                                             | GT Interactive                | Sega Saturn | 1997 | Europe
|       | Rayman                                                         | Ubisoft                       | Sega Saturn | 1995 | Europe
|       | Resident Evil                                                  | Capcom                        | Sega Saturn | 1997 | Europe
|       | Resurrection: Rise 2                                           | Acclaim                       | Sega Saturn | 1996 | Europe
|       | Revolution X                                                   | Acclaim                       | Sega Saturn | 1996 | Europe
|       | Riven: The Sequel to Myst                                      | Sega                          | Sega Saturn | 1998 | Europe
|       | Road & Track Presents: The Need for Speed                      | Electronic Arts               | Sega Saturn | 1996 | Europe
|       | Road Rash                                                      | Electronic Arts               | Sega Saturn | 1996 | Europe
|       | Robo Pit                                                       | Kokopeli Digital Studios      | Sega Saturn | 1996 | Europe
|       | Robotica: Cybernation Revolt                                   | Sega                          | Sega Saturn | 1995 | Europe
|       | Saturn Bomberman                                               | Sega                          | Sega Saturn | 1997 | Europe
|       | Scorcher                                                       | Sega                          | Sega Saturn | 1997 | Europe
|       | SeaBass Fishing                                                | JVC Digital Studios           | Sega Saturn | 1996 | Europe
|       | Sega Ages Volume 1                                             | Sega                          | Sega Saturn | 1996 | Europe
|       | Sega Rally Championship                                        | Sega                          | Sega Saturn | 1996 | Europe
|       | Sega Touring Car Championship                                  | Sega                          | Sega Saturn | 1997 | Europe
|       | Sega Worldwide Soccer '98 Club Edition                         | Sega                          | Sega Saturn | 1998 | Europe
|       | Sega Worldwide Soccer 97                                       | Sega                          | Sega Saturn | 1996 | Europe
|       | Shellshock                                                     | U.S. Gold                     | Sega Saturn | 1995 | Europe
|       | Shining Force III                                              | Sega                          | Sega Saturn | 1998 | Europe
|       | Shining the Holy Ark                                           | Sega                          | Sega Saturn | 1997 | Europe
|       | Shining Wisdom                                                 | Sega                          | Sega Saturn | 1996 | Europe
|       | Shinobi X                                                      | Sega                          | Sega Saturn | 1996 | Europe
|       | Shockwave Assault                                              | Electronic Arts               | Sega Saturn | 1996 | Europe
|       | SimCity 2000                                                   | Sega                          | Sega Saturn | 1995 | Europe
|       | Skeleton Warriors                                              | Virgin Interactive            | Sega Saturn | 1997 | Europe
|       | Sky Target                                                     | Sega                          | Sega Saturn | 1997 | Europe
|       | Slam 'n Jam '96 featuring Magic & Kareem                       | Virgin Interactive            | Sega Saturn | 1996 | Europe
|       | Sonic 3D: Flickies' Island                                     | Sega                          | Sega Saturn | 1997 | Europe
|       | Sonic Jam                                                      | Sega                          | Sega Saturn | 1997 | Europe
|       | Sonic R                                                        | Sega                          | Sega Saturn | 1997 | Europe
|       | Soviet Strike                                                  | Electronic Arts               | Sega Saturn | 1996 | Europe
|       | Space Hulk: Vengeance of the Blood Angels                      | Electronic Arts               | Sega Saturn | 1996 | Europe
|       | Space Jam                                                      | Acclaim                       | Sega Saturn | 1996 | Europe
|       | Spot Goes to Hollywood                                         | Virgin Interactive            | Sega Saturn | 1997 | Europe
|       | Starfighter 3000                                               | Telstar                       | Sega Saturn | 1996 | Europe
|       | Steep Slope Sliders                                            | Sega                          | Sega Saturn | 1997 | Europe
|       | Story of Thor 2, The                                           | Sega                          | Sega Saturn | 1996 | Europe
|       | Street Fighter Alpha 2                                         | Virgin Interactive            | Sega Saturn | 1996 | Europe
|       | Street Fighter Alpha: Warriors' Dreams                         | Capcom                        | Sega Saturn | 1996 | Europe
|       | Street Fighter Collection                                      | Capcom                        | Sega Saturn | 1997 | Europe
|       | Street Fighter: The Movie                                      | Acclaim                       | Sega Saturn | 1995 | Europe
|       | Street Racer                                                   | Ubisoft                       | Sega Saturn | 1996 | Europe
|       | Striker '96                                                    | Acclaim                       | Sega Saturn | 1996 | Europe
|       | Super Puzzle Fighter II Turbo                                  | Virgin Interactive            | Sega Saturn | 1997 | Europe
|       | Swagman                                                        | Eidos Interactive             | Sega Saturn | 1997 | Europe
|       | Tempest 2000                                                   | Interplay                     | Sega Saturn | 1996 | Europe
|       | Tetris Plus                                                    | Jaleco Entertainment          | Sega Saturn | 1996 | Europe
|       | Theme Park                                                     | Electronic Arts               | Sega Saturn | 1995 | Europe
|       | Three Dirty Dwarves                                            | SegaSoft                      | Sega Saturn | 1997 | Europe
|       | Tilt!                                                          | Virgin Interactive            | Sega Saturn | 1997 | Europe
