|       | Dance Dance Revolution Ultramix                                           | Konami                                 | Xbox   | 2003 | North America
|       | Dance Dance Revolution Ultramix 2                                         | Konami                                 | Xbox   | 2004 | North America
|       | Dance Dance Revolution Ultramix 3                                         | Konami                                 | Xbox   | 2005 | North America
|       | Dance Dance Revolution Ultramix 4                                         | Konami                                 | Xbox   | 2006 | North America
|       | Dark Summit                                                               | Radical Entertainment                  | Xbox   | 2001 | North America
|       | Darkwatch                                                                 | Capcom                                 | Xbox   | 2005 | North America
|       | Dave Mirra Freestyle BMX 2                                                | Acclaim                                | Xbox   | 2001 | North America
|       | Dead Man's Hand                                                           | Atari                                  | Xbox   | 2004 | North America
|       | Dead or Alive 3                                                           | Tecmo                                  | Xbox   | 2001 | North America
|       | Dead or Alive Ultimate                                                    | Tecmo                                  | Xbox   | 2004 | North America
|       | Dead or Alive: Xtreme Beach Volleyball                                    | Tecmo                                  | Xbox   | 2003 | North America
|       | Dead to Rights                                                            | Namco                                  | Xbox   | 2002 | North America
|       | Dead to Rights II                                                         | Namco                                  | Xbox   | 2005 | North America
|       | Deathrow                                                                  | Ubisoft                                | Xbox   | 2002 | North America
|       | Def Jam: Fight for NY                                                     | EA Games                               | Xbox   | 2004 | North America
|       | Defender                                                                  | Midway                                 | Xbox   | 2002 | North America
|       | Delta Force: Black Hawk Down                                              | NovaLogic                              | Xbox   | 2005 | North America
|       | Destroy All Humans!                                                       | THQ                                    | Xbox   | 2005 | North America
|       | Destroy All Humans! 2                                                     | THQ                                    | Xbox   | 2006 | North America
|       | Deus Ex: Invisible War                                                    | Eidos Interactive                      | Xbox   | 2003 | North America
|       | Digimon Rumble Arena 2                                                    | Bandai                                 | Xbox   | 2004 | North America
|       | Digimon World 4                                                           | Bandai                                 | Xbox   | 2005 | North America
|       | Dino Crisis 3                                                             | Capcom                                 | Xbox   | 2003 | North America
|       | Dinotopia: The Sunstone Odyssey                                           | TDK Mediactive                         | Xbox   | 2003 | North America
|       | Disney's Extreme Skate Adventure                                          | Activision                             | Xbox   | 2003 | North America
|       | Doom 3                                                                    | Activision                             | Xbox   | 2005 | North America
|       | Doom 3: Resurrection of Evil                                              | Activision                             | Xbox   | 2005 | North America
|       | Dr. Muto                                                                  | Midway                                 | Xbox   | 2002 | North America
|       | Dr. Seuss' The Cat in the Hat                                             | VU Games                               | Xbox   | 2003 | North America
|       | Dragon Ball Z: Sagas                                                      | Atari                                  | Xbox   | 2005 | North America
|       | Dragon's Lair 3D                                                          | Ubisoft                                | Xbox   | 2002 | North America
