|       | LEGO Batman 3: Beyond Gotham                                           | Warner Bros. Interactive Entertainment | PlayStation Vita | 2014 | North America
|       | LEGO Harry Potter: Years 5-7                                           | Warner Bros. Interactive Entertainment | PlayStation Vita | 2012 | North America
|       | LEGO Jurassic World                                                    | Warner Bros. Interactive Entertainment | PlayStation Vita | 2015 | North America
|       | LEGO Legends of Chima: Laval's Journey                                 | Warner Bros. Interactive Entertainment | PlayStation Vita | 2013 | North America
|       | LEGO Marvel Super Heroes: Universe in Peril                            | Warner Bros. Interactive Entertainment | PlayStation Vita | 2013 | North America
|       | LEGO Marvel's Avengers                                                 | Warner Bros. Interactive Entertainment | PlayStation Vita | 2016 | North America
|       | LEGO Movie Videogame, The                                              | Warner Bros. Interactive Entertainment | PlayStation Vita | 2014 | North America
|       | LEGO Ninjago: Nindroids                                                | Warner Bros. Interactive Entertainment | PlayStation Vita | 2014 | North America
|       | LEGO Ninjago: Shadow of Ronin                                          | Warner Bros. Interactive Entertainment | PlayStation Vita | 2015 | North America
|       | LEGO Star Wars: The Force Awakens                                      | Warner Bros. Interactive Entertainment | PlayStation Vita | 2016 | North America
|       | LEGO The Hobbit                                                        | Warner Bros. Interactive Entertainment | PlayStation Vita | 2014 | North America
|       | LEGO The Lord of the Rings                                             | Warner Bros. Interactive Entertainment | PlayStation Vita | 2012 | North America
|       | Little Deviants                                                        | SCEA                                   | PlayStation Vita | 2012 | North America
|       | LittleBigPlanet PS Vita                                                | SCEA                                   | PlayStation Vita | 2012 | North America
|       | Lone Survivor: The Director's Cut                                      | Limited Run Games                      | PlayStation Vita | 2016 | North America
|       | Longest Five Minutes, The                                              | NIS America                            | PlayStation Vita | 2017 | North America
|       | Lost Dimension                                                         | ATLUS                                  | PlayStation Vita | 2015 | North America
|       | Lumines: Electronic Symphony                                           | Ubisoft                                | PlayStation Vita | 2012 | North America
|       | Madden NFL 13                                                          | EA Sports                              | PlayStation Vita | 2012 | North America
|       | Mary Skelter: Nightmares                                               | Idea Factory                           | PlayStation Vita | 2017 | North America
|       | MegaTagmension Blanc + Neptune VS Zombies                              | Idea Factory                           | PlayStation Vita | 2016 | North America
|       | MeiQ: Labyrinth of Death                                               | Idea Factory                           | PlayStation Vita | 2016 | North America
|       | Metal Gear Solid HD Collection                                         | Konami                                 | PlayStation Vita | 2012 | North America
