|       | Dokodemo Taikyoku: Yakuman Advance                                                                | Nintendo                     | Game Boy Advance | 2001 | Japan
|       | Domo-Kun no Fushigi Terebi                                                                        | Nintendo                     | Game Boy Advance | 2002 | Japan
|       | Don-Chan Puzzle: Hanabi de Don! Advance                                                           | Aruze Corp                   | Game Boy Advance | 2004 | Japan
|       | Doraemon Dokodemo Walker                                                                          | Epoch                        | Game Boy Advance | 2002 | Japan
|       | Doraemon: Midori no Wakusei Doki Doki Daikyuushuutsu!                                             | Epoch                        | Game Boy Advance | 2001 | Japan
|       | Double Dragon Advance                                                                             | ATLUS                        | Game Boy Advance | 2004 | Japan
|       | Double Pack: Sonic Battle & Sonic Advance                                                         | Sega                         | Game Boy Advance | 2006 | Japan
|       | Double Pack: Sonic Pinball Party & Sonic Battle                                                   | Sega                         | Game Boy Advance | 2006 | Japan
|       | Doubutsu no Shima no Chobi Gurumi                                                                 | Rocket Science Games         | Game Boy Advance | 2003 | Japan
|       | Doubutsujima no Chubi Gurumi 2: Tama-chan Monogatari                                              | Rocket Company               | Game Boy Advance | 2004 | Japan
|       | Downtown Nekketsu Monogatari EX                                                                   | ATLUS                        | Game Boy Advance | 2004 | Japan
|       | Dr. Mario & Panel de Pon                                                                          | Nintendo                     | Game Boy Advance | 2005 | Japan
|       | Dragon Ball Z: Bukuu Tougeki                                                                      | Bandai                       | Game Boy Advance | 2004 | Japan
|       | Dragon Ball Z: The Legacy of Goku II                                                              | Banpresto                    | Game Boy Advance | 2004 | Japan
|       | Dragon Ball: Advance Adventure                                                                    | Banpresto                    | Game Boy Advance | 2004 | Japan
|       | Dragon Drive: World D Break                                                                       | Banpresto                    | Game Boy Advance | 2003 | Japan
|       | Dragon Quest Characters: Torneko no Daibouken 2 Advance                                           | Enix Corporation             | Game Boy Advance | 2001 | Japan
|       | Dragon Quest Characters: Torneko no Daibouken 3 Advance - Fushigi no Dungeon                      | Square Enix                  | Game Boy Advance | 2004 | Japan
|       | Dragon Quest Monsters: Caravan Heart                                                              | Enix Corporation             | Game Boy Advance | 2003 | Japan
|       | DreamWorks Shark Tale                                                                             | Taito Corporation            | Game Boy Advance | 2005 | Japan
|       | Dual Blades                                                                                       | Metro3D                      | Game Boy Advance | 2002 | Japan
|       | Duel Masters                                                                                      | Takara                       | Game Boy Advance | 2003 | Japan
|       | Duel Masters 2: Invincible Advance                                                                | ATLUS                        | Game Boy Advance | 2004 | Japan
|       | Duel Masters 2: Kirifuda Shoubu Version                                                           | Takara                       | Game Boy Advance | 2004 | Japan
|       | Duel Masters 3                                                                                    | ATLUS                        | Game Boy Advance | 2004 | Japan
|       | Elemix!                                                                                           | Sims                         | Game Boy Advance | 2003 | Japan
|       | Elevator Action: Old & New                                                                        | Media Kite                   | Game Boy Advance | 2002 | Japan
|       | Erementar Gerad: Huuin Sarashi Kyou                                                               | Tomy Corporation             | Game Boy Advance | 2005 | Japan
|       | ESPN Winter X-Games Snowboarding 2002                                                             | Konami                       | Game Boy Advance | 2001 | Japan
|       | ESPN X-Games Skateboarding                                                                        | Konami                       | Game Boy Advance | 2001 | Japan
|       | Estpolis Gaiden: Chinmoku no Iseki                                                                | Taito Corporation            | Game Boy Advance | 2002 | Japan
|       | EX Monopoly                                                                                       | Takara                       | Game Boy Advance | 2001 | Japan
