|       | Mad Magazine's Official Spy vs. Spy                            | First Star Software          | Game Boy | 1992 | Europe
|       | Madden 95                                                      | Malibu                       | Game Boy | 1994 | Europe
|       | Madden 96                                                      | Black Pearl                  | Game Boy | 1995 | Europe
|       | Magnetic Soccer                                                | Nintendo                     | Game Boy | 1992 | Europe
|       | Marble Madness                                                 | Mindscape                    | Game Boy | 1992 | Europe
|       | Mario & Yoshi                                                  | Nintendo                     | Game Boy | 1992 | Europe
|       | Mario's Picross                                                | Nintendo                     | Game Boy | 1995 | Europe
|       | Matthias Sammer Soccer                                         | Laguna                       | Game Boy | 1997 | Europe
|       | Max                                                            | Infogrames                   | Game Boy | 1992 | Europe
|       | McDonaldland                                                   | Ocean                        | Game Boy | 1992 | Europe
|       | Mega Man II                                                    | Nintendo                     | Game Boy | 1992 | Europe
|       | Mega Man III                                                   | Capcom                       | Game Boy | 1993 | Europe
|       | Mega Man IV                                                    | Laguna                       | Game Boy | 1994 | Europe
|       | Mega Man V                                                     | Capcom                       | Game Boy | 1994 | Europe
|       | Mega Man: Dr. Wily's Revenge                                   | Nintendo                     | Game Boy | 1992 | Europe
|       | Megalit                                                        | Takara                       | Game Boy | 1992 | Europe
|       | Mercenary Force                                                | Nintendo                     | Game Boy | 1990 | Europe
|       | Metroid II: Return of Samus                                    | Nintendo                     | Game Boy | 1992 | Europe
|       | Mickey Mouse                                                   | Kemco                        | Game Boy | 1992 | Europe
|       | Mickey Mouse V: Zauberstaebe!                                  | Nintendo                     | Game Boy | 1998 | Europe
|       | Mickey's Dangerous Chase                                       | Capcom                       | Game Boy | 1992 | Europe
|       | Mickey's Ultimate Challenge                                    | Hi Tech Expressions          | Game Boy | 1994 | Europe
|       | Micro Machines                                                 | Ocean                        | Game Boy | 1995 | Europe
|       | Micro Machines 2: Turbo Tournament                             | Ocean                        | Game Boy | 1996 | Europe
|       | Mighty Morphin Power Rangers                                   | Bandai                       | Game Boy | 1994 | Europe
|       | Mighty Morphin Power Rangers: The Movie                        | Bandai                       | Game Boy | 1995 | Europe
|       | Milon's Secret Castle                                          | Hudson                       | Game Boy | 1993 | Europe
|       | Missile Command                                                | Accolade                     | Game Boy | 1992 | Europe
|       | Mole Mania                                                     | Nintendo                     | Game Boy | 1997 | Europe
|       | Monopoly                                                       | Konami                       | Game Boy | 1992 | Europe
|       | Monster Max                                                    | Titus Software               | Game Boy | 1994 | Europe
|       | Monster Truck Wars                                             | Acclaim                      | Game Boy | 1994 | Europe
|       | Montezuma's Return                                             | Take-Two Interactive         | Game Boy | 1998 | Europe
|       | Mortal Kombat                                                  | Acclaim                      | Game Boy | 1994 | Europe
|       | Mortal Kombat 3                                                | Acclaim                      | Game Boy | 1995 | Europe
|       | Mortal Kombat I & II                                           | Acclaim                      | Game Boy | 1997 | Europe
|       | Mortal Kombat II                                               | Acclaim                      | Game Boy | 1994 | Europe
|       | Motocross Maniacs                                              | Konami                       | Game Boy | 1990 | Europe
|       | Mr. Do!                                                        | Ocean                        | Game Boy | 1992 | Europe
|       | Mr. Nutz                                                       | Ocean                        | Game Boy | 1994 | Europe
|       | Ms. Pac-Man                                                    | Nintendo                     | Game Boy | 1993 | Europe
|       | Muhammad Ali: Heavyweight Boxing                               | Virgin Interactive           | Game Boy | 1993 | Europe
|       | Mystic Quest                                                   | SquareSoft                   | Game Boy | 1993 | Europe
|       | Mystical Ninja Starring Goemon                                 | Konami                       | Game Boy | 1998 | Europe
|       | Nail 'N Scale                                                  | Data East                    | Game Boy | 1992 | Europe
|       | Navy Seals                                                     | Ocean                        | Game Boy | 1991 | Europe
|       | NBA All-Star Challenge                                         | LJN Ltd.                     | Game Boy | 1991 | Europe
|       | NBA All-Star Challenge 2                                       | LJN Ltd.                     | Game Boy | 1992 | Europe
|       | NBA Jam                                                        | Acclaim                      | Game Boy | 1994 | Europe
|       | NBA Jam: Tournament Edition                                    | Acclaim                      | Game Boy | 1995 | Europe
|       | NBA Live 96                                                    | THQ                          | Game Boy | 1996 | Europe
|       | Nemesis                                                        | Konami                       | Game Boy | 1991 | Europe
|       | Nemesis II: The Return of the Hero                             | Konami                       | Game Boy | 1992 | Europe
|       | NFL Quarterback Club                                           | LJN Ltd.                     | Game Boy | 1993 | Europe
|       | NFL Quarterback Club 96                                        | Acclaim                      | Game Boy | 1995 | Europe
|       | NFL Quarterback Club II                                        | LJN Ltd.                     | Game Boy | 1995 | Europe
|       | NHL 96                                                         | Black Pearl                  | Game Boy | 1996 | Europe
|       | NHL Hockey '95                                                 | EA Sports                    | Game Boy | 1995 | Europe
|       | Nigel Mansell's World Championship Racing                      | Nintendo                     | Game Boy | 1992 | Europe
|       | Ninja Boy                                                      | Culture Brain                | Game Boy | 1990 | Europe
|       | Ninja Boy 2                                                    | Culture Brain                | Game Boy | 1993 | Europe
|       | Nintendo World Cup                                             | Nintendo                     | Game Boy | 1991 | Europe
|       | Oddworld Adventures                                            | GT Interactive               | Game Boy | 1998 | Europe
|       | Olympic Summer Games: Atlanta 1996                             | Black Pearl                  | Game Boy | 1996 | Europe
|       | Othello                                                        | Nintendo                     | Game Boy | 1990 | Europe
|       | Ottos Ottifanten: Baby Brunos Alptraum                         | Infogrames                   | Game Boy | 1998 | Europe
|       | Pac-In-Time                                                    | Namco                        | Game Boy | 1995 | Europe
|       | Pac-Man                                                        | Namco                        | Game Boy | 1991 | Europe
|       | Pac-Panic                                                      | Namco                        | Game Boy | 1995 | Europe
|       | Pagemaster, The                                                | Virgin Interactive           | Game Boy | 1994 | Europe
|       | Palamedes                                                      | Takara                       | Game Boy | 1991 | Europe
|       | Pang                                                           | Hudson                       | Game Boy | 1993 | Europe
|       | Paperboy                                                       | Mindscape                    | Game Boy | 1990 | Europe
|       | Paperboy 2                                                     | Mindscape                    | Game Boy | 1992 | Europe
|       | Parasol Stars: Rainbow Islands II                              | Ocean                        | Game Boy | 1991 | Europe
|       | Parodius                                                       | Palcom                       | Game Boy | 1992 | Europe
|       | PGA European Tour                                              | Malibu                       | Game Boy | 1995 | Europe
|       | PGA Tour 96                                                    | Electronic Arts              | Game Boy | 1995 | Europe
|       | Phantom Air Mission                                            | Activision                   | Game Boy | 1992 | Europe
|       | Pierre le Chef is... Out to Lunch                              | Mindscape                    | Game Boy | 1993 | Europe
|       | Pinball Deluxe                                                 | GameTek                      | Game Boy | 1995 | Europe
|       | Pinball Dreams                                                 | GameTek                      | Game Boy | 1993 | Europe
|       | Pinball Fantasies                                              | GameTek                      | Game Boy | 1995 | Europe
|       | Pinball Mania                                                  | GameTek                      | Game Boy | 1995 | Europe
|       | Pinball: Revenge of the Gator                                  | HAL Labs                     | Game Boy | 1990 | Europe
|       | Pit-Fighter                                                    | THQ                          | Game Boy | 1992 | Europe
|       | Pocket Bomberman                                               | Hudson                       | Game Boy | 1998 | Europe
