|       | Asteroids                                                                                              | Activision                          | PlayStation | 1998 | Europe
|       | Atari Anniversary Edition Redux                                                                        | Infogrames                          | PlayStation | 2002 | Europe
|       | Atlantis: The Lost Continent                                                                           | Phoenix Games                       | PlayStation | 2003 | Europe
|       | Atlantis: The Lost Tales                                                                               | Cryo Interactive                    | PlayStation | 1998 | Europe
|       | Attack of the Saucerman!                                                                               | SCEE                                | PlayStation | 1999 | Europe
|       | ATV Mania                                                                                              | Gotham Games                        | PlayStation | 2003 | Europe
|       | ATV Racers                                                                                             | Midas Interactive Entertainment     | PlayStation | 2003 | Europe
|       | ATV: Quad Power Racing                                                                                 | Acclaim                             | PlayStation | 2000 | Europe
|       | Austin Powers Pinball                                                                                  | Take-Two Interactive                | PlayStation | 2002 | Europe
|       | Auto Destruct                                                                                          | Electronic Arts                     | PlayStation | 1997 | Europe
|       | Autobahn Raser II                                                                                      | Davilex                             | PlayStation | 1998 | Europe
|       | Ayrton Senna Kart Duel                                                                                 | SunSoft                             | PlayStation | 1996 | Europe
|       | Ayrton Senna Kart Duel 2                                                                               | SunSoft                             | PlayStation | 1997 | Europe
|       | Aztec: The Curse in the Heart of the City of Gold                                                      | Cryo Interactive                    | PlayStation | 2000 | Europe
|       | Azure Dreams                                                                                           | Konami                              | PlayStation | 1998 | Europe
|       | B-Movie                                                                                                | GT Interactive                      | PlayStation | 1998 | Europe
|       | Baby Felix Tennis                                                                                      | LSP                                 | PlayStation | 2002 | Europe
|       | Baby Universe                                                                                          | SCEE                                | PlayStation | 1998 | Europe
|       | Baldies                                                                                                | Phoenix Games                       | PlayStation | 2003 | Europe
|       | BallBlazer Champions                                                                                   | CTO SpA                             | PlayStation | 1997 | Europe
|       | Ballerburg                                                                                             | Phoenix Games                       | PlayStation | 2003 | Europe
|       | Ballistic                                                                                              | THQ                                 | PlayStation | 2000 | Europe
|       | Baphomets Fluch II - Die Spiegel der Finsternis                                                        | SCEE                                | PlayStation | 1997 | Europe
|       | Barbie Aventure Equestre                                                                               | Mattel                              | PlayStation | 1999 | Europe
|       | Barbie Aventuriere                                                                                     | Mattel                              | PlayStation | 2001 | Europe
|       | Barbie Sports Extreme                                                                                  | Mattel                              | PlayStation | 2000 | Europe
|       | Batman & Robin                                                                                         | Acclaim                             | PlayStation | 1998 | Europe
|       | Batman Forever: The Arcade Game                                                                        | Acclaim                             | PlayStation | 1996 | Europe
|       | Batman of the Future: Return of the Joker                                                              | Ubisoft                             | PlayStation | 2000 | Europe
|       | Batman: Gotham City Racer                                                                              | Ubisoft                             | PlayStation | 2001 | Europe
|       | Battle Arena Toshinden                                                                                 | SCEE                                | PlayStation | 1995 | Europe
|       | Battle Arena Toshinden 2                                                                               | SCEE                                | PlayStation | 1996 | Europe
|       | Battle Arena Toshinden 3                                                                               | SCEE                                | PlayStation | 1998 | Europe
|       | Battle Stations                                                                                        | Electronic Arts                     | PlayStation | 1997 | Europe
|       | BattleSport                                                                                            | Acclaim                             | PlayStation | 1997 | Europe
|       | BattleTanx: Global Assault                                                                             | 3DO                                 | PlayStation | 2000 | Europe
|       | Beach Volleyball                                                                                       | Infogrames                          | PlayStation | 2000 | Europe
|       | Beast Wars: Transformers                                                                               | Hasbro Interactive                  | PlayStation | 1998 | Europe
|       | BeatMania                                                                                              | Konami                              | PlayStation | 2000 | Europe
|       | Bedlam                                                                                                 | GT Interactive                      | PlayStation | 1997 | Europe
|       | Beyblade: Let it Rip!                                                                                  | Atari SA                            | PlayStation | 2003 | Europe
|       | Big Air                                                                                                | Accolade                            | PlayStation | 1999 | Europe
|       | Big Bass Fishing                                                                                       | Take-Two Interactive                | PlayStation | 2002 | Europe
|       | Big Strike Bowling                                                                                     | Gotham Games                        | PlayStation | 2003 | Europe
|       | Bio FREAKS                                                                                             | GT Interactive                      | PlayStation | 1998 | Europe
|       | Bishi Bashi Special                                                                                    | Konami                              | PlayStation | 2000 | Europe
|       | Black Dawn                                                                                             | Virgin Interactive                  | PlayStation | 1997 | Europe
|       | Blade                                                                                                  | Activision                          | PlayStation | 2000 | Europe
|       | Blam! Machinehead                                                                                      | Core Design Ltd.                    | PlayStation | 1996 | Europe
|       | Blast Chamber                                                                                          | Activision                          | PlayStation | 1996 | Europe
|       | Blast Radius                                                                                           | Psygnosis                           | PlayStation | 1998 | Europe
|       | Blasto                                                                                                 | SCEE                                | PlayStation | 1998 | Europe
|       | Blaze & Blade: Eternal Quest                                                                           | Funsoft                             | PlayStation | 1999 | Europe
|       | Blazing Dragons                                                                                        | Crystal Dynamics                    | PlayStation | 1996 | Europe
|       | Block Buster                                                                                           | Phoenix Games                       | PlayStation | 2003 | Europe
|       | Blockids                                                                                               | Zoo Digital Publishing              | PlayStation | 2004 | Europe
|       | Blood Lines                                                                                            | SCEE                                | PlayStation | 1999 | Europe
|       | Blood Omen: Legacy of Kain                                                                             | Crystal Dynamics                    | PlayStation | 1997 | Europe
|       | Bloody Roar 2: Bringer of the New Age                                                                  | Virgin Interactive                  | PlayStation | 1999 | Europe
|       | Bloody Roar: Hyper Beast Duel                                                                          | Virgin Interactive                  | PlayStation | 1998 | Europe
|       | Bob the Builder: Can We Fix It?                                                                        | THQ                                 | PlayStation | 2000 | Europe
|       | Bob the Builder: Can We Fix It? / Tweenies: Game Time                                                  | BBC Multimedia                      | PlayStation | 2003 | Europe
|       | Bomba:98                                                                                               | BMG Interactive Entertainment       | PlayStation | 1998 | Europe
|       | Bomberman                                                                                              | Virgin Interactive                  | PlayStation | 1999 | Europe
|       | Bomberman Fantasy Race                                                                                 | Virgin Interactive                  | PlayStation | 2000 | Europe
|       | Bomberman World                                                                                        | SCEE                                | PlayStation | 1998 | Europe
|       | Bombing Islands, The                                                                                   | Kemco                               | PlayStation | 1998 | Europe
|       | Boombots                                                                                               | SouthPeak Games                     | PlayStation | 1999 | Europe
|       | BRAHMA Force                                                                                           | JVC Digital Studios                 | PlayStation | 1998 | Europe
|       | Bratz                                                                                                  | Ubisoft                             | PlayStation | 2003 | Europe
|       | Break Point                                                                                            | Ocean                               | PlayStation | 1996 | Europe
|       | Breakout                                                                                               | Hasbro Interactive                  | PlayStation | 2000 | Europe
|       | Breath of Fire III                                                                                     | Infogrames                          | PlayStation | 1998 | Europe
|       | Breath of Fire IV                                                                                      | Capcom                              | PlayStation | 2001 | Europe
|       | Brian Lara Cricket                                                                                     | Codemasters                         | PlayStation | 1998 | Europe
|       | Brian Lara Cricket / Jonah Lomu Rugby                                                                  | Codemasters                         | PlayStation | 2002 | Europe
|       | Broken Helix                                                                                           | Konami                              | PlayStation | 1998 | Europe
|       | Broken Sword: The Shadow of the Templars                                                               | SCEE                                | PlayStation | 1996 | Europe
|       | Brunswick Circuit Pro Bowling                                                                          | THQ                                 | PlayStation | 1998 | Europe
|       | Brunswick Circuit Pro Bowling 2                                                                        | THQ                                 | PlayStation | 2000 | Europe
|       | Bubble Bobble also featuring Rainbow Islands                                                           | Acclaim                             | PlayStation | 1996 | Europe
|       | Bubsy 3D                                                                                               | Telstar                             | PlayStation | 1997 | Europe
|       | Buggy                                                                                                  | Gremlin Interactive                 | PlayStation | 1998 | Europe
|       | Bugriders: The Race of Kings                                                                           | GT Interactive                      | PlayStation | 1998 | Europe
|       | Bugs Bunny & Taz: Time Busters                                                                         | Infogrames                          | PlayStation | 2000 | Europe
|       | Bugs Bunny: Lost in Time                                                                               | Infogrames                          | PlayStation | 1999 | Europe
|       | Bundesliga Stars 2001                                                                                  | Electronic Arts                     | PlayStation | 2000 | Europe
|       | Burning Road                                                                                           | Softgold                            | PlayStation | 1996 | Europe
|       | Burstrick: Wake Boarding!!                                                                             | JVC Digital Studios                 | PlayStation | 2001 | Europe
|       | Bushido Blade                                                                                          | SCEE                                | PlayStation | 1998 | Europe
|       | Bust A Groove                                                                                          | SCEE                                | PlayStation | 1998 | Europe
|       | Bust-A-Move 2 Arcade Edition                                                                           | Acclaim                             | PlayStation | 1996 | Europe
