|       | Pro Mahjong Kiwame 64                                             | Athena                       | Nintendo 64 | 1997 | Japan
|       | Pro Mahjong Tsuwamono 64: Jansou Battle ni Chousen                | Culture Brain                | Nintendo 64 | 1999 | Japan
|       | Puyo Puyo Sun 64                                                  | Compile                      | Nintendo 64 | 1997 | Japan
|       | Puyo Puyo~n Party                                                 | Compile                      | Nintendo 64 | 1999 | Japan
|       | Puzzle Bobble 64                                                  | Taito Corporation            | Nintendo 64 | 1999 | Japan
|       | Rakugakids                                                        | Konami                       | Nintendo 64 | 1998 | Japan
|       | Rally '99                                                         | Imagineer                    | Nintendo 64 | 1999 | Japan
|       | Robot Ponkottsu 64: Nanatsu no Umi no Caramel                     | Hudson                       | Nintendo 64 | 1999 | Japan
|       | RockMan Dash: Hagane no Boukenshin                                | Capcom                       | Nintendo 64 | 2000 | Japan
|       | Saikyou Habu Shogi                                                | Seta Corporation             | Nintendo 64 | 1996 | Japan
|       | SD Hiryu no Ken Densetsu                                          | Culture Brain                | Nintendo 64 | 1999 | Japan
|       | Shadowgate 64: Trials of the Four Towers                          | Kotobuki Systems             | Nintendo 64 | 1999 | Japan
|       | Shin Nippon Pro Wrestling: Toukon Road - Brave Spirits            | Hudson                       | Nintendo 64 | 1998 | Japan
|       | Shin Nippon Pro Wrestling: Toukon Road 2 - The Next Generation    | Hudson                       | Nintendo 64 | 1998 | Japan
|       | SimCity 2000                                                      | Imagineer                    | Nintendo 64 | 1998 | Japan
|       | Snobow Kids                                                       | ATLUS                        | Nintendo 64 | 1997 | Japan
|       | Snow Speeder                                                      | Imagineer                    | Nintendo 64 | 1998 | Japan
|       | Sonic Wings Assault                                               | Video System                 | Nintendo 64 | 1998 | Japan
|       | Space Dynamites                                                   | Vic Tokai                    | Nintendo 64 | 1998 | Japan
|       | Star Fox 64                                                       | Nintendo                     | Nintendo 64 | 1997 | Japan
|       | Star Soldier: Vanishing Earth                                     | Hudson                       | Nintendo 64 | 1998 | Japan
|       | Star Twins                                                        | Nintendo                     | Nintendo 64 | 1999 | Japan
|       | Star Wars Episode I: Racer                                        | Nintendo                     | Nintendo 64 | 1999 | Japan
|       | Star Wars: Shutsugeki! Rogue Chuutai                              | Nintendo                     | Nintendo 64 | 1999 | Japan
|       | Star Wars: Teikoku no Kage                                        | Nintendo                     | Nintendo 64 | 1997 | Japan
|       | Super B-Daman Battle Phoenix 64                                   | Hudson                       | Nintendo 64 | 1998 | Japan
|       | Super Bowling                                                     | Athena                       | Nintendo 64 | 1999 | Japan
|       | Super Mario 64                                                    | Nintendo                     | Nintendo 64 | 1996 | Japan
|       | Super Robot Spirits                                               | Banpresto                    | Nintendo 64 | 1998 | Japan
|       | Super Robot Taisen 64                                             | Banpresto                    | Nintendo 64 | 1999 | Japan
|       | Susume! Taisen Puzzle Dama: Toukon! Marutama Chou                 | Konami                       | Nintendo 64 | 1998 | Japan
|       | Tetris 64                                                         | Seta Corporation             | Nintendo 64 | 1998 | Japan
|       | Top Gear Hyper Bike                                               | Kotobuki Systems             | Nintendo 64 | 2000 | Japan
|       | Top Gear Overdrive                                                | Kotobuki Systems             | Nintendo 64 | 1999 | Japan
|       | Top Gear Rally                                                    | Kotobuki Systems             | Nintendo 64 | 1997 | Japan
|       | Top Gear Rally 2                                                  | Kemco                        | Nintendo 64 | 2000 | Japan
|       | Transformers: Beast Wars Metals 64                                | Takara                       | Nintendo 64 | 1999 | Japan
|       | Tsumi to Batsu: Hoshi no Keishousha                               | Nintendo                     | Nintendo 64 | 2000 | Japan
|       | Uchhannanchan no Honoo no Challenger: Denryuu IraIra Bou          | Hudson                       | Nintendo 64 | 1997 | Japan
|       | V-Rally Edition '99                                               | Spike                        | Nintendo 64 | 1999 | Japan
|       | Violence Killer: Turok New Generation                             | Gen Soft                     | Nintendo 64 | 1999 | Japan
|       | Virtual Pro Wrestling 2: Oudou Keishou                            | Asmik Ace Entertainment, Inc | Nintendo 64 | 2000 | Japan
|       | Virtual Pro Wrestling 64                                          | Asmik Ace Entertainment, Inc | Nintendo 64 | 1997 | Japan
|       | Wave Race 64                                                      | Nintendo                     | Nintendo 64 | 1996 | Japan
|       | Wayne Gretzky's 3D Hockey                                         | GameBank                     | Nintendo 64 | 1998 | Japan
|       | Wetrix                                                            | Imagineer                    | Nintendo 64 | 1998 | Japan
|       | Wild Choppers                                                     | Seta Corporation             | Nintendo 64 | 1997 | Japan
|       | WinBack                                                           | Koei                         | Nintendo 64 | 1999 | Japan
|       | Wonder Project J2: Koruro no Mori no Josette                      | Enix Corporation             | Nintendo 64 | 1996 | Japan
|       | WWF Wrestlemania 2000                                             | Asmik Ace Entertainment, Inc | Nintendo 64 | 2000 | Japan
|       | Yakouchuu II: Satsujin Kouro                                      | Athena                       | Nintendo 64 | 1999 | Japan
|       | Yoshi's Story                                                     | Nintendo                     | Nintendo 64 | 1997 | Japan
|       | Yuke Yuke!! Trouble Makers                                        | Enix Corporation             | Nintendo 64 | 1997 | Japan
|       | Zelda no Densetsu: Majora no Kamen                                | Nintendo                     | Nintendo 64 | 2000 | Japan
|       | Zelda no Densetsu: Toki no Ocarina                                | Nintendo                     | Nintendo 64 | 1998 | Japan
|       | Zool: Majuu Tsukai Densetsu                                       | Imagineer                    | Nintendo 64 | 1999 | Japan
