|       | Family Ski: World Ski & Snowboard                                                        | Bandai Namco Games         | Nintendo Wii | 2008 | Japan
|       | Family Trainer                                                                           | Bandai Namco Games         | Nintendo Wii | 2008 | Japan
|       | Family Trainer 1 & 2                                                                     | Bandai Namco Games         | Nintendo Wii | 2009 | Japan
|       | Family Trainer 2                                                                         | Bandai Namco Games         | Nintendo Wii | 2009 | Japan
|       | FIFA 08: World Class Soccer                                                              | EA Sports                  | Nintendo Wii | 2007 | Japan
|       | FIFA 09: All-Play                                                                        | EA Sports                  | Nintendo Wii | 2008 | Japan
|       | FIFA 10: World Class Soccer                                                              | Electronic Arts            | Nintendo Wii | 2009 | Japan
|       | Final Fantasy Crystal Chronicles: Echoes of Time                                         | Square Enix                | Nintendo Wii | 2009 | Japan
|       | Final Fantasy Crystal Chronicles: The Crystal Bearers                                    | Square Enix                | Nintendo Wii | 2009 | Japan
|       | Fire Emblem: Akatsuki no Megami                                                          | Nintendo                   | Nintendo Wii | 2007 | Japan
|       | Fish Eyes Wii                                                                            | Marvelous Entertainment    | Nintendo Wii | 2009 | Japan
|       | Fit in Six: Carada o Kitaeru 6-tsu no Youso                                              | Ubisoft                    | Nintendo Wii | 2011 | Japan
|       | Fitness Party                                                                            | Bandai Namco Games         | Nintendo Wii | 2010 | Japan
|       | Forever Blue                                                                             | Nintendo                   | Nintendo Wii | 2007 | Japan
|       | Forever Blue 2: Umi no Yobigoe                                                           | Nintendo                   | Nintendo Wii | 2009 | Japan
|       | Fragile: Sayonara Tsuki no Haikyo                                                        | Bandai Namco Games         | Nintendo Wii | 2009 | Japan
|       | Fullmetal Alchemist: Tasogare no Shoujo                                                  | Square Enix                | Nintendo Wii | 2009 | Japan
|       | Furu Furu Park                                                                           | Taito Corporation          | Nintendo Wii | 2007 | Japan
|       | Fushigi no Dungeon - Furai no Shiren 3: Karakuri Yashiki no Nemuri Hime                  | Sega                       | Nintendo Wii | 2008 | Japan
|       | G1 Jockey Wii                                                                            | Koei                       | Nintendo Wii | 2007 | Japan
|       | G1 Jockey Wii 2008                                                                       | Koei                       | Nintendo Wii | 2008 | Japan
|       | Gegege no Kitarou: Youkai Daiundoukai                                                    | Bandai Namco Games         | Nintendo Wii | 2007 | Japan
|       | Ghost Squad                                                                              | Sega                       | Nintendo Wii | 2007 | Japan
|       | Ginsei Table Games Wii                                                                   | Electronic Arts            | Nintendo Wii | 2008 | Japan
|       | Gintama: Yorozuya Chuubu                                                                 | Bandai Namco Games         | Nintendo Wii | 2007 | Japan
|       | Go Vacation                                                                              | Bandai Namco Games         | Nintendo Wii | 2011 | Japan
|       | Go! Go! Minon                                                                            | Success                    | Nintendo Wii | 2007 | Japan
|       | GoldenEye 007                                                                            | Nintendo                   | Nintendo Wii | 2011 | Japan
|       | Grand Slam Tennis                                                                        | Electronic Arts            | Nintendo Wii | 2009 | Japan
|       | GT Pro Series                                                                            | MTO                        | Nintendo Wii | 2007 | Japan
