|       | Blend-it                                                                           | 505 Games                              | Nintendo DS | 2010 | Europe
|       | Blood Bowl                                                                         | Focus Home Interactive                 | Nintendo DS | 2009 | Europe
|       | Blue Dragon Plus                                                                   | Ignition Entertainment                 | Nintendo DS | 2009 | Europe
|       | Blue Dragon: Awakened Shadow                                                       | D3Publisher                            | Nintendo DS | 2010 | Europe
|       | Bob the Builder: Festival of Fun                                                   | Blast! Entertainment Ltd               | Nintendo DS | 2008 | Europe
|       | Boing! Docomodake DS                                                               | Ignition Entertainment                 | Nintendo DS | 2009 | Europe
|       | Bomberman                                                                          | Ubisoft                                | Nintendo DS | 2005 | Europe
|       | Bomberman 2                                                                        | Hudson                                 | Nintendo DS | 2009 | Europe
|       | Bomberman Land Touch!                                                              | Rising Star Games                      | Nintendo DS | 2007 | Europe
|       | Bomberman Land Touch! 2                                                            | Rising Star Games                      | Nintendo DS | 2008 | Europe
|       | Bomberman Story DS                                                                 | Rising Star Games                      | Nintendo DS | 2008 | Europe
|       | Boogie                                                                             | Electronic Arts                        | Nintendo DS | 2007 | Europe
|       | Bookworm                                                                           | PopCap                                 | Nintendo DS | 2011 | Europe
|       | Boulder Dash: ROCKS!                                                               | 10tacle Studios                        | Nintendo DS | 2007 | Europe
|       | Brain Assist                                                                       | Sega Europe                            | Nintendo DS | 2008 | Europe
|       | Brain Buster: Puzzle Pak                                                           | 505 Game Street                        | Nintendo DS | 2007 | Europe
|       | Brain Challenge                                                                    | Ubisoft                                | Nintendo DS | 2008 | Europe
|       | Bratz 4 Real                                                                       | THQ                                    | Nintendo DS | 2007 | Europe
|       | Bratz Kidz                                                                         | The Game Factory                       | Nintendo DS | 2008 | Europe
|       | Bratz Ponyz                                                                        | The Game Factory                       | Nintendo DS | 2007 | Europe
|       | Bratz Ponyz 2                                                                      | The Game Factory                       | Nintendo DS | 2008 | Europe
|       | Bratz: Forever Diamondz                                                            | THQ                                    | Nintendo DS | 2006 | Europe
|       | Bratz: Girlz Really Rock                                                           | THQ                                    | Nintendo DS | 2008 | Europe
|       | Bratz: Super Babyz                                                                 | THQ                                    | Nintendo DS | 2008 | Europe
|       | Brave: Shaman's Challenge                                                          | Evolved Games                          | Nintendo DS | 2009 | Europe
|       | Break 'Em All DS                                                                   | 505 Game Street                        | Nintendo DS | 2006 | Europe
|       | Bridge Training                                                                    | Atari SA                               | Nintendo DS | 2009 | Europe
|       | Broken Sword: Shadow of the Templars                                               | Ubisoft                                | Nintendo DS | 2009 | Europe
|       | Brothers In Arms DS                                                                | Ubisoft                                | Nintendo DS | 2007 | Europe
|       | Bubble Bobble Double Shot                                                          | Rising Star Games                      | Nintendo DS | 2007 | Europe
|       | Bubble Bobble Revolution                                                           | Atari SA                               | Nintendo DS | 2005 | Europe
|       | Bubble Guppies                                                                     | 2K Play                                | Nintendo DS | 2013 | Europe
|       | Buffy the Vampire Slayer: Sacrifice                                                | 505 Games                              | Nintendo DS | 2009 | Europe
|       | Build-A-Bear Workshop                                                              | The Game Factory                       | Nintendo DS | 2008 | Europe
|       | Bunnyz                                                                             | Ubisoft                                | Nintendo DS | 2008 | Europe
|       | Burnout Legends                                                                    | EA Games                               | Nintendo DS | 2005 | Europe
|       | Bust-A-Move DS                                                                     | 505 Game Street                        | Nintendo DS | 2006 | Europe
|       | Busy Scissors                                                                      | Little Orbit                           | Nintendo DS | 2010 | Europe
|       | C.O.P.: The Recruit                                                                | Ubisoft                                | Nintendo DS | 2009 | Europe
