|       | Hyper Olympic Track & Field GB                                       | Konami                       | Game Boy Color | 1999 | Japan
|       | Hyper Olympic Winter 2000                                            | Konami                       | Game Boy Color | 2000 | Japan
|       | Ide Yosuke no Mahjong Kyoushitsu GB                                  | Athena                       | Game Boy Color | 2000 | Japan
|       | It's a World Rally                                                   | Konami                       | Game Boy Color | 1999 | Japan
|       | Itsudemo Pachinko GB: CR Monster House                               | Tamsoft                      | Game Boy Color | 2000 | Japan
|       | J.League Excite Stage GB                                             | Epoch                        | Game Boy Color | 1999 | Japan
|       | J.League Excite Stage Tactics                                        | Epoch                        | Game Boy Color | 2001 | Japan
|       | Jagainu-kun                                                          | Pack-In-Video                | Game Boy Color | 2000 | Japan
|       | Jaguar Mishin Sashi Senyou Soft: Mario Family                        | Jaguar                       | Game Boy Color | 2001 | Japan
|       | Jankyuusei: Cosplay * Paradise                                       | Elf                          | Game Boy Color | 2001 | Japan
|       | Jet de Go!: Let's Go By Airliner                                     | Altron                       | Game Boy Color | 2000 | Japan
|       | Jinsei Game Tomodachi Takusan Tsukurou yo!                           | Takara                       | Game Boy Color | 1999 | Japan
|       | Jisedai Beegoma Battle Beyblade                                      | Hudson                       | Game Boy Color | 1999 | Japan
|       | Jissen Yakudatsu Tsumego                                             | Pony Canyon                  | Game Boy Color | 2000 | Japan
|       | Joryuu Janshi ni Chousen GB: Watashitachi ni Chousen Shitene         | Culture Brain                | Game Boy Color | 1999 | Japan
|       | Juukou Senki Bullet Battlers                                         | Konami                       | Game Boy Color | 1999 | Japan
|       | K.O.: The Pro Boxing                                                 | Altron                       | Game Boy Color | 2000 | Japan
|       | Kaijin Zona                                                          | Nintendo                     | Game Boy Color | 2000 | Japan
|       | Kaitei Taisensou!! Treasure World                                    | Dazz                         | Game Boy Color | 2000 | Japan
|       | Kakurenbo Battle Monster Tactics                                     | Nintendo                     | Game Boy Color | 2000 | Japan
|       | Kakutou Ryouri Densetsu Bistro Recipe: Foodon Battle-Hen             | Banpresto                    | Game Boy Color | 1999 | Japan
|       | Kakutou Ryouri Densetsu Bistro Recipe: Kettou Bistgarm Version       | Banpresto                    | Game Boy Color | 1999 | Japan
|       | Kandume Monsters Parfait                                             | Starfish                     | Game Boy Color | 1999 | Japan
|       | Kanji Boy                                                            | J-Wing                       | Game Boy Color | 1999 | Japan
|       | Kanji Boy 2                                                          | J-Wing                       | Game Boy Color | 2000 | Japan
|       | Kanji Boy 3                                                          | J-Wing                       | Game Boy Color | 2003 | Japan
|       | Kanji de Puzzle                                                      | MTO                          | Game Boy Color | 2000 | Japan
|       | Karamuchou wa Oosawagi! Porinkiis to Okashina Nakamatachi            | Starfish                     | Game Boy Color | 1998 | Japan
|       | Karan Koron Gakuen: Hanafuda - Mahjong                               | J-Wing                       | Game Boy Color | 2000 | Japan
|       | Kaseki Sousei Reborn II: Monster Digger                              | Starfish                     | Game Boy Color | 1999 | Japan
|       | Katou Hifumi Kudan no Shogi Kyoushitsu                               | Culture Brain                | Game Boy Color | 1999 | Japan
|       | Kawa no Nushi Tsuri 4                                                | Victor Interactive Software  | Game Boy Color | 1999 | Japan
|       | Kawaii Hamster                                                       | MTO                          | Game Boy Color | 2000 | Japan
|       | Kawaii Pet Shop Monogatari                                           | Taito Corporation            | Game Boy Color | 1999 | Japan
|       | Kawaii Pet Shop Monogatari 2                                         | Taito Corporation            | Game Boy Color | 2000 | Japan
|       | Kawaii Usagi                                                         | MTO                          | Game Boy Color | 2000 | Japan
|       | Keibajou he Gyoukou! Wide                                            | Hect                         | Game Boy Color | 2000 | Japan
|       | Keitai Denjuu Telefang: Power Version                                | Smilesoft                    | Game Boy Color | 2000 | Japan
|       | Keitai Denjuu Telefang: Speed Version                                | Smilesoft                    | Game Boy Color | 2000 | Japan
|       | Kettou Beast Wars: Beast Senshi Saikyou Ketteisen                    | Takara                       | Game Boy Color | 1999 | Japan
|       | Kidou Senkan Nadesico: Ruriruri Mahjong                              | King Records                 | Game Boy Color | 1999 | Japan
|       | Kikansha Thomas                                                      | Tamsoft                      | Game Boy Color | 2001 | Japan
|       | Kindaichi Shounen no Jikenbo: 10-nenme no Shoutaijou                 | Banpresto                    | Game Boy Color | 2000 | Japan
|       | Kinniku Banzuke GB 2: Mokushi Semassuru Champion                     | Konami                       | Game Boy Color | 2000 | Japan
|       | Kinniku Banzuke GB 3: Shinseiki Survival Retsuden!                   | Konami                       | Game Boy Color | 2001 | Japan
