|       | Desire: Remaster Ver.                                                                                | RED FLAGSHIP co.,Ltd.                  | PlayStation Vita | 2017 | Japan
|       | Desire: Remaster Ver.                                                                                | RED FLAGSHIP co.,Ltd.                  | PlayStation Vita | 2017 | Japan
|       | Diabolik Lovers: Dark Fate                                                                           | Idea Factory                           | PlayStation Vita | 2015 | Japan
|       | Diabolik Lovers: Limited V Edition                                                                   | Idea Factory                           | PlayStation Vita | 2013 | Japan
|       | Diabolik Lovers: Lost Eden                                                                           | Idea Factory                           | PlayStation Vita | 2017 | Japan
|       | Diabolik Lovers: Lunatic Parade                                                                      | Idea Factory                           | PlayStation Vita | 2016 | Japan
|       | Diabolik Lovers: more.Blood - Limited V Edition                                                      | Idea Factory                           | PlayStation Vita | 2015 | Japan
|       | Diabolik Lovers: Vandead Carnival                                                                    | Idea Factory                           | PlayStation Vita | 2014 | Japan
|       | Digimon Story Cyber Sleuth                                                                           | Bandai Namco Games                     | PlayStation Vita | 2015 | Japan
|       | Digimon World: Next Order                                                                            | Bandai Namco Games                     | PlayStation Vita | 2016 | Japan
|       | DJMax Technika Tune                                                                                  | CyberFront                             | PlayStation Vita | 2012 | Japan
|       | Dokuro                                                                                               | GungHo                                 | PlayStation Vita | 2012 | Japan
|       | Double Focus: Aya to Momiji no Dangan Shuzai Kikou - PS Vita Edition                                 | Mediascape                             | PlayStation Vita | 2016 | Japan
|       | Double Focus: Aya to Momiji no Dangan Shuzai Kikou - PS Vita Edition                                 | Mediascape                             | PlayStation Vita | 2016 | Japan
|       | Dragon Ball Z: Battle of Z                                                                           | Bandai Namco Games                     | PlayStation Vita | 2014 | Japan
|       | Dragon Quest Builders: Alefgard o Fukkatsu Niseyo                                                    | Square Enix                            | PlayStation Vita | 2016 | Japan
|       | Dragon Quest Heroes II: Futago no Ou to Yogen no Owari                                               | Square Enix                            | PlayStation Vita | 2016 | Japan
|       | Dragon's Crown                                                                                       | ATLUS                                  | PlayStation Vita | 2013 | Japan
|       | DRAMAtical Murder re:code                                                                            | Digiturbo                              | PlayStation Vita | 2014 | Japan
|       | Dream C Club Zero Portable                                                                           | D3Publisher                            | PlayStation Vita | 2011 | Japan
|       | Dungeon Travelers 2-2: Yamiochi no Otome to Hajimari no Sho                                          | Aqua Plus                              | PlayStation Vita | 2017 | Japan
|       | Dungeon Travelers 2: Ouritsu Toshokan to Mamono no Fuuin                                             | Aqua Plus                              | PlayStation Vita | 2014 | Japan
|       | Durarara!! 3way Standoff -alley- V                                                                   | Kadokawa                               | PlayStation Vita | 2014 | Japan
|       | Durarara!! Relay                                                                                     | Kadokawa                               | PlayStation Vita | 2015 | Japan
|       | Dynamic Chord feat.[reve parfait] V edition                                                          | Asgard                                 | PlayStation Vita | 2016 | Japan
|       | Dynamic Chord feat.Kyohso V edition                                                                  | Asgard                                 | PlayStation Vita | 2017 | Japan
|       | Dynamic Chord feat.Liar-S V edition                                                                  | Asgard                                 | PlayStation Vita | 2016 | Japan
|       | Eikoku Tantei Mysteria: The Crown                                                                    | Karin Entertainment                    | PlayStation Vita | 2016 | Japan
|       | Eiyuu * Senki                                                                                        | 5pb                                    | PlayStation Vita | 2014 | Japan
|       | Eiyuu Densetsu: Ao no Kiseki Evolution                                                               | Kadokawa                               | PlayStation Vita | 2014 | Japan
|       | Eiyuu Densetsu: Sen no Kiseki                                                                        | Falcom                                 | PlayStation Vita | 2013 | Japan
|       | Eiyuu Densetsu: Sen no Kiseki II                                                                     | Falcom                                 | PlayStation Vita | 2014 | Japan
|       | Eiyuu Densetsu: Sora no Kiseki FC Evolution                                                          | Kadokawa                               | PlayStation Vita | 2015 | Japan
|       | Eiyuu Densetsu: Sora no Kiseki SC Evolution                                                          | Kadokawa                               | PlayStation Vita | 2015 | Japan
|       | Eiyuu Densetsu: Sora no Kiseki the 3rd Evolution                                                     | Kadokawa                               | PlayStation Vita | 2016 | Japan
|       | Eiyuu Densetsu: Zero no Kiseki Evolution                                                             | Falcom                                 | PlayStation Vita | 2012 | Japan
|       | end sleep                                                                                            | Lilac Soft                             | PlayStation Vita | 2017 | Japan
|       | Escha & Logy no Atelier Plus: Tasogare no Sora no Renkinjutsushi                                     | Koei Tecmo Games                       | PlayStation Vita | 2015 | Japan
|       | EVE Burst Error R                                                                                    | RED FLAGSHIP co.,Ltd.                  | PlayStation Vita | 2016 | Japan
|       | Exist Archive: The Other Side of the Sky                                                             | Spike Chunsoft                         | PlayStation Vita | 2015 | Japan
|       | Exstetra                                                                                             | FuRyu                                  | PlayStation Vita | 2013 | Japan
|       | F1 2011                                                                                              | Codemasters                            | PlayStation Vita | 2011 | Japan
