|       | Blades of Thunder II                                                    | Summitsoft Entertainment               | Nintendo DS | 2006 | North America
|       | Bleach: Dark Souls                                                      | Sega                                   | Nintendo DS | 2008 | North America
|       | Bleach: The 3rd Phantom                                                 | Sega                                   | Nintendo DS | 2009 | North America
|       | Bleach: The Blade of Fate                                               | Sega                                   | Nintendo DS | 2007 | North America
|       | Blue Dragon Plus                                                        | Ignition Entertainment                 | Nintendo DS | 2009 | North America
|       | Blue Dragon: Awakened Shadow                                            | D3Publisher                            | Nintendo DS | 2010 | North America
|       | Boing! Docomodake DS                                                    | Ignition Entertainment                 | Nintendo DS | 2009 | North America
|       | Bolt                                                                    | Disney Interactive Studios             | Nintendo DS | 2008 | North America
|       | Bomberman                                                               | Ubisoft                                | Nintendo DS | 2005 | North America
|       | Bomberman Land Touch!                                                   | ATLUS                                  | Nintendo DS | 2006 | North America
|       | Bomberman Land Touch! 2                                                 | Hudson Entertainment                   | Nintendo DS | 2008 | North America
|       | Boogie                                                                  | Electronic Arts                        | Nintendo DS | 2007 | North America
|       | Bookworm                                                                | PopCap                                 | Nintendo DS | 2009 | North America
|       | Brain Age 2: More Training in Minutes a Day                             | Nintendo                               | Nintendo DS | 2007 | North America
|       | Brain Age: Train Your Brain in Minutes a Day!                           | Nintendo                               | Nintendo DS | 2006 | North America
|       | Brain Assist                                                            | Sega                                   | Nintendo DS | 2008 | North America
|       | Brain Boost: Beta Wave                                                  | Majesco Games                          | Nintendo DS | 2006 | North America
|       | Brain Boost: Gamma Wave                                                 | Majesco Games                          | Nintendo DS | 2006 | North America
|       | Brain Buster: Puzzle Pak                                                | Agetec Inc.                            | Nintendo DS | 2007 | North America
|       | Brain Challenge                                                         | Ubisoft                                | Nintendo DS | 2008 | North America
|       | Brain Quest Grades 3 & 4                                                | Electronic Arts                        | Nintendo DS | 2008 | North America
|       | Brain Quest Grades 5 & 6                                                | Electronic Arts                        | Nintendo DS | 2008 | North America
|       | Brain Voyage                                                            | Eidos Interactive                      | Nintendo DS | 2008 | North America
|       | Brainstorm Series: Treasure Chase                                       | Storm City Games                       | Nintendo DS | 2011 | North America
|       | Bratz 4 Real                                                            | THQ                                    | Nintendo DS | 2007 | North America
|       | Bratz Kidz                                                              | The Game Factory                       | Nintendo DS | 2008 | North America
|       | Bratz Ponyz                                                             | The Game Factory                       | Nintendo DS | 2007 | North America
|       | Bratz Ponyz 2                                                           | The Game Factory                       | Nintendo DS | 2008 | North America
|       | Bratz: Fashion Boutique                                                 | Activision                             | Nintendo DS | 2012 | North America
|       | Bratz: Forever Diamondz                                                 | THQ                                    | Nintendo DS | 2006 | North America
|       | Bratz: Girlz Really Rock                                                | THQ                                    | Nintendo DS | 2008 | North America
|       | Bratz: Super Babyz                                                      | THQ                                    | Nintendo DS | 2008 | North America
|       | Brave: Shaman's Challenge                                               | SouthPeak Games                        | Nintendo DS | 2017 | North America
|       | Brave: The Video Game                                                   | Disney Interactive Studios             | Nintendo DS | 2012 | North America
|       | Break 'Em All                                                           | D3Publisher                            | Nintendo DS | 2006 | North America
|       | Broken Sword: Shadow of the Templars                                    | Ubisoft                                | Nintendo DS | 2009 | North America
|       | Brothers In Arms DS                                                     | Ubisoft                                | Nintendo DS | 2007 | North America
|       | Bubble Bobble Double Shot                                               | Ignition Entertainment                 | Nintendo DS | 2008 | North America
|       | Bubble Bobble Revolution                                                | Codemasters                            | Nintendo DS | 2006 | North America
|       | Bubble Guppies                                                          | 2K Play                                | Nintendo DS | 2012 | North America
|       | Build-A-Bear Workshop                                                   | The Game Factory                       | Nintendo DS | 2007 | North America
|       | Build-A-Bear Workshop: Welcome to Hugsville                             | The Game Factory                       | Nintendo DS | 2010 | North America
|       | Build-a-lot                                                             | MumboJumbo                             | Nintendo DS | 2008 | North America
|       | Burger Bot                                                              | Virtual Play Inc.                      | Nintendo DS | 2010 | North America
|       | Burger Island                                                           | Destineer                              | Nintendo DS | 2007 | North America
|       | Burnout Legends                                                         | EA Games                               | Nintendo DS | 2005 | North America
|       | Bust-A-Move DS                                                          | Majesco Games                          | Nintendo DS | 2005 | North America
|       | Busy Scissors                                                           | Little Orbit                           | Nintendo DS | 2011 | North America
|       | C.O.P. The Recruit                                                      | Ubisoft                                | Nintendo DS | 2009 | North America
|       | C.O.R.E.                                                                | Graffiti Entertainment                 | Nintendo DS | 2009 | North America
|       | Cabela's Dangerous Hunts 2011                                           | Activision                             | Nintendo DS | 2010 | North America
|       | Cake Mania                                                              | Majesco Games                          | Nintendo DS | 2007 | North America
|       | Cake Mania 2                                                            | Majesco Games                          | Nintendo DS | 2008 | North America
|       | Cake Mania 3                                                            | Majesco Games                          | Nintendo DS | 2009 | North America
|       | Cake Mania: Main Street                                                 | Majesco Games                          | Nintendo DS | 2011 | North America
|       | Call of Duty 4: Modern Warfare                                          | Activision                             | Nintendo DS | 2007 | North America
|       | Call of Duty: Black Ops                                                 | Activision                             | Nintendo DS | 2010 | North America
|       | Call of Duty: Modern Warfare - Mobilized                                | Activision                             | Nintendo DS | 2009 | North America
|       | Call of Duty: Modern Warfare 3 - Defiance                               | Activision                             | Nintendo DS | 2011 | North America
|       | Call of Duty: World at War                                              | Activision Blizzard                    | Nintendo DS | 2008 | North America
|       | Calvin Tucker's Redneck: Farm Animals Racing Tournament                 | Zoo Games                              | Nintendo DS | 2010 | North America
|       | Camping Mama: Outdoor Adventures                                        | Majesco Games                          | Nintendo DS | 2011 | North America
|       | Candace Kane's Candy Factory                                            | Destineer                              | Nintendo DS | 2008 | North America
