|       | FIFA Street                                                         | EA Sports Big                          | Nintendo GameCube | 2005 | North America
|       | FIFA Street 2                                                       | EA Sports Big                          | Nintendo GameCube | 2006 | North America
|       | FIFA World Cup: Germany 2006                                        | Electronic Arts                        | Nintendo GameCube | 2006 | North America
|       | Fight Night Round 2                                                 | EA Sports                              | Nintendo GameCube | 2005 | North America
|       | Final Fantasy Crystal Chronicles                                    | Nintendo                               | Nintendo GameCube | 2004 | North America
|       | Finding Nemo                                                        | THQ                                    | Nintendo GameCube | 2003 | North America
|       | Fire Blade                                                          | Midway                                 | Nintendo GameCube | 2002 | North America
|       | Fire Emblem: Path of Radiance                                       | Nintendo                               | Nintendo GameCube | 2005 | North America
|       | Flushed Away                                                        | D3Publisher                            | Nintendo GameCube | 2006 | North America
|       | Freaky Flyers                                                       | Midway                                 | Nintendo GameCube | 2003 | North America
|       | Freedom Fighters                                                    | EA Games                               | Nintendo GameCube | 2003 | North America
|       | Freekstyle                                                          | EA Sports                              | Nintendo GameCube | 2002 | North America
|       | Freestyle Metal X                                                   | Midway                                 | Nintendo GameCube | 2003 | North America
|       | Freestyle Street Soccer                                             | Acclaim                                | Nintendo GameCube | 2004 | North America
|       | Frogger Beyond                                                      | Konami                                 | Nintendo GameCube | 2002 | North America
|       | Frogger: Ancient Shadow                                             | Konami                                 | Nintendo GameCube | 2005 | North America
|       | Frogger's Adventures: The Rescue                                    | Konami                                 | Nintendo GameCube | 2003 | North America
|       | From Russia With Love                                               | Electronic Arts                        | Nintendo GameCube | 2005 | North America
|       | Future Tactics: The Uprising                                        | Crave                                  | Nintendo GameCube | 2004 | North America
|       | Gauntlet: Dark Legacy                                               | Midway                                 | Nintendo GameCube | 2002 | North America
|       | Geist                                                               | Nintendo                               | Nintendo GameCube | 2005 | North America
|       | Gladius                                                             | LucasArts                              | Nintendo GameCube | 2003 | North America
|       | Go! Go! Hypergrind                                                  | ATLUS                                  | Nintendo GameCube | 2003 | North America
|       | Goblin Commander: Unleash the Horde                                 | Jaleco Entertainment                   | Nintendo GameCube | 2003 | North America
|       | Godzilla: Destroy All Monsters Melee                                | Atari                                  | Nintendo GameCube | 2002 | North America
|       | GoldenEye: Rogue Agent                                              | EA Games                               | Nintendo GameCube | 2004 | North America
|       | Gotcha Force                                                        | Capcom                                 | Nintendo GameCube | 2003 | North America
|       | Grim Adventures of Billy & Mandy, The                               | Midway                                 | Nintendo GameCube | 2006 | North America
|       | Grooverider Slot Car Thunder                                        | Encore Software, Inc.                  | Nintendo GameCube | 2003 | North America
|       | Gun                                                                 | Activision                             | Nintendo GameCube | 2005 | North America
|       | Happy Feet                                                          | Warner Bros. Interactive Entertainment | Nintendo GameCube | 2006 | North America
|       | Harry Potter and the Chamber of Secrets                             | EA Games                               | Nintendo GameCube | 2002 | North America
|       | Harry Potter and the Goblet of Fire                                 | Electronic Arts                        | Nintendo GameCube | 2005 | North America
|       | Harry Potter and the Prisoner of Azkaban                            | EA Games                               | Nintendo GameCube | 2004 | North America
|       | Harry Potter and the Sorcerer's Stone                               | EA Games                               | Nintendo GameCube | 2003 | North America
|       | Harry Potter: Quidditch World Cup                                   | Electronic Arts                        | Nintendo GameCube | 2003 | North America
|       | Harvest Moon: A Wonderful Life                                      | Natsume                                | Nintendo GameCube | 2004 | North America
|       | Harvest Moon: Another Wonderful Life                                | Natsume                                | Nintendo GameCube | 2005 | North America
|       | Harvest Moon: Magical Melody                                        | Natsume                                | Nintendo GameCube | 2006 | North America
|       | Haunted Mansion, The                                                | TDK Mediactive                         | Nintendo GameCube | 2003 | North America
|       | Hello Kitty: Roller Rescue                                          | Namco                                  | Nintendo GameCube | 2005 | North America
|       | Hitman 2: Silent Assassin                                           | Eidos Interactive                      | Nintendo GameCube | 2003 | North America
|       | Hobbit, The                                                         | Sierra Entertainment                   | Nintendo GameCube | 2003 | North America
|       | Home Run King                                                       | Sega                                   | Nintendo GameCube | 2002 | North America
|       | Hot Wheels: Velocity X                                              | THQ                                    | Nintendo GameCube | 2002 | North America
|       | Hot Wheels: World Race                                              | THQ                                    | Nintendo GameCube | 2003 | North America
|       | Hulk                                                                | Universal Interactive                  | Nintendo GameCube | 2003 | North America
|       | Hunter: The Reckoning                                               | Interplay                              | Nintendo GameCube | 2002 | North America
