|       | Chronicles of Narnia: The Lion, The Witch and The Wardrobe, The                                                                                                                        | Buena Vista Games                      | Game Boy Advance | 2005 | North America
|       | ChuChu Rocket!                                                                                                                                                                         | Sega                                   | Game Boy Advance | 2001 | North America
|       | CIMA: The Enemy                                                                                                                                                                        | Natsume                                | Game Boy Advance | 2003 | North America
|       | Classic NES Series: Bomberman                                                                                                                                                          | Nintendo                               | Game Boy Advance | 2004 | North America
|       | Classic NES Series: Castlevania                                                                                                                                                        | Nintendo                               | Game Boy Advance | 2004 | North America
|       | Classic NES Series: Donkey Kong                                                                                                                                                        | Nintendo                               | Game Boy Advance | 2004 | North America
|       | Classic NES Series: Dr. Mario                                                                                                                                                          | Nintendo                               | Game Boy Advance | 2004 | North America
|       | Classic NES Series: Excitebike                                                                                                                                                         | Nintendo                               | Game Boy Advance | 2004 | North America
|       | Classic NES Series: Ice Climber                                                                                                                                                        | Nintendo                               | Game Boy Advance | 2004 | North America
|       | Classic NES Series: Metroid                                                                                                                                                            | Nintendo                               | Game Boy Advance | 2004 | North America
