|       | Christmas NiGHTS into Dreams...                                                                       | Sega                          | Sega Saturn | 1996 | Japan
|       | Cleopatra Fortune                                                                                     | Taito Corporation             | Sega Saturn | 1997 | Japan
|       | ClockWerx                                                                                             | Tokuma Shoten                 | Sega Saturn | 1996 | Japan
|       | Clockwork Knight: Pepperouchau no Fukubukuro                                                          | Sega                          | Sega Saturn | 1995 | Japan
|       | Clockwork Knight: Pepperouchou no Daibouken                                                           | Sega                          | Sega Saturn | 1994 | Japan
|       | Clockwork Knight: Pepperouchou no Daibouken Gekkan                                                    | Sega                          | Sega Saturn | 1995 | Japan
|       | Code R                                                                                                | Quintet                       | Sega Saturn | 1998 | Japan
|       | Command & Conquer                                                                                     | Sega                          | Sega Saturn | 1997 | Japan
|       | Conveni 2: Zenkoku Chain Tenkai da!, The                                                              | Human Entertainment           | Sega Saturn | 1998 | Japan
|       | Conveni: Ano Machi wo Dokusen Seyo, The                                                               | Human Entertainment           | Sega Saturn | 1997 | Japan
|       | Cotton 2                                                                                              | Success                       | Sega Saturn | 1997 | Japan
|       | Cotton Boomerang                                                                                      | Success                       | Sega Saturn | 1998 | Japan
|       | Courier Crisis                                                                                        | BMG Interactive Entertainment | Sega Saturn | 1998 | Japan
|       | Creature Shock                                                                                        | Data East                     | Sega Saturn | 1996 | Japan
|       | CrimeWave                                                                                             | Virgin Interactive            | Sega Saturn | 1997 | Japan
|       | Criticom                                                                                              | Vic Tokai                     | Sega Saturn | 1997 | Japan
|       | Croc! Pau Pau Island                                                                                  | MediaQuest                    | Sega Saturn | 1998 | Japan
|       | Cross Romance: Koi to Mahjong to Hanafuda to                                                          | Nihon Bussan                  | Sega Saturn | 1997 | Japan
|       | Cross Tantei Monogatari: Motsureta 7Tsu no Labyrinth                                                  | Digital Tokyo                 | Sega Saturn | 1998 | Japan
|       | Crow: City of Angels, The                                                                             | Acclaim Japan                 | Sega Saturn | 1997 | Japan
|       | Crows: The Battle Action For Sega Saturn                                                              | Athena                        | Sega Saturn | 1997 | Japan
|       | Cube Battler: Anna Miraiden                                                                           | Yanoman                       | Sega Saturn | 1997 | Japan
|       | Cube Battler: Debugger Shouhen                                                                        | Yanoman                       | Sega Saturn | 1997 | Japan
|       | Cubic Gallery                                                                                         | W.I.Z.                        | Sega Saturn | 1996 | Japan
|       | Culdcept                                                                                              | Sega                          | Sega Saturn | 1997 | Japan
|       | Cyber Doll                                                                                            | I'Max                         | Sega Saturn | 1996 | Japan
|       | Cyberbots: Fullmetal Madness                                                                          | Capcom                        | Sega Saturn | 1997 | Japan
|       | Cyberia                                                                                               | Electronic Arts Victor        | Sega Saturn | 1996 | Japan
|       | D no Shokutaku                                                                                        | Acclaim Japan                 | Sega Saturn | 1995 | Japan
|       | D-Xhird                                                                                               | Takara                        | Sega Saturn | 1997 | Japan
|       | Daibouken: St. Elmo's no Kiseki                                                                       | Pai                           | Sega Saturn | 1996 | Japan
|       | Daikoukai Jidai Gaiden                                                                                | Koei                          | Sega Saturn | 1998 | Japan
|       | Daikoukai Jidai II                                                                                    | Koei                          | Sega Saturn | 1997 | Japan
|       | Daina Airan                                                                                           | Game Arts                     | Sega Saturn | 1996 | Japan
|       | Daisenryaku Strong Style                                                                              | Oz Club                       | Sega Saturn | 1997 | Japan
|       | Daisuki *                                                                                             | Gaga                          | Sega Saturn | 1997 | Japan
|       | Daitoride                                                                                             | Metro                         | Sega Saturn | 1996 | Japan
|       | Darius Gaiden                                                                                         | Taito Corporation             | Sega Saturn | 1995 | Japan
|       | Darius II                                                                                             | Taito Corporation             | Sega Saturn | 1996 | Japan
|       | Dark Hunter: Shita Youma no Mori                                                                      | Koei                          | Sega Saturn | 1997 | Japan
|       | Dark Hunter: Shou Kotojigen Gakuen                                                                    | Koei                          | Sega Saturn | 1997 | Japan
|       | Dark Savior                                                                                           | Climax Entertainment          | Sega Saturn | 1996 | Japan
|       | Dark Seed                                                                                             | Gaga                          | Sega Saturn | 1995 | Japan
|       | Dark Seed II                                                                                          | Bandai Visual                 | Sega Saturn | 1997 | Japan
|       | Daytona USA                                                                                           | Sega                          | Sega Saturn | 1995 | Japan
|       | Daytona USA Circuit Edition                                                                           | Sega                          | Sega Saturn | 1997 | Japan
|       | Dead or Alive                                                                                         | Tecmo                         | Sega Saturn | 1997 | Japan
|       | Deadalus                                                                                              | Sega                          | Sega Saturn | 1995 | Japan
|       | Death Crimson                                                                                         | Ecole                         | Sega Saturn | 1996 | Japan
|       | Death Throttle: Kakuzetsu Toshi Kara no Dasshutsu                                                     | MediaQuest                    | Sega Saturn | 1996 | Japan
|       | DeathMask                                                                                             | Vantan International          | Sega Saturn | 1996 | Japan
|       | DecAthlete                                                                                            | Sega                          | Sega Saturn | 1996 | Japan
|       | Deep Fear                                                                                             | Sega                          | Sega Saturn | 1998 | Japan
|       | DefCon 5                                                                                              | Multisoft                     | Sega Saturn | 1996 | Japan
|       | Dejig: AquaWorld                                                                                      | Mashita                       | Sega Saturn | 1997 | Japan
|       | Dejig: Lassen Art Collection                                                                          | Mashita                       | Sega Saturn | 1997 | Japan
|       | Dejig: Thomas McKnight Art Collection                                                                 | Mashita                       | Sega Saturn | 1997 | Japan
|       | Dejig: Tin Toy                                                                                        | Mashita                       | Sega Saturn | 1997 | Japan
|       | Deka Yonku: Tough the Truck                                                                           | Human Entertainment           | Sega Saturn | 1997 | Japan
|       | Dennou Senki: Virtual On                                                                              | Sega                          | Sega Saturn | 1996 | Japan
|       | Denpa Shounenteki Game                                                                                | Hudson                        | Sega Saturn | 1998 | Japan
|       | Densetsu no Ogre Battle: The March of the Black Queen                                                 | Riverhillsoft                 | Sega Saturn | 1996 | Japan
