|       | Disney's DuckTales 2                                                 | Capcom                       | Game Boy | 1993 | Japan
|       | Dodge Boy                                                            | Tonkin House                 | Game Boy | 1991 | Japan
|       | Donkey Kong                                                          | Nintendo                     | Game Boy | 1994 | Japan
|       | Donkey Kong Land                                                     | Nintendo                     | Game Boy | 1996 | Japan
|       | Doraemon 2: Animal Wakusei Densetsu                                  | Epoch                        | Game Boy | 1992 | Japan
|       | Doraemon Kart                                                        | Epoch                        | Game Boy | 1998 | Japan
|       | Doraemon no Game Boy de Asobouyo: Deluxe 10                          | Epoch                        | Game Boy | 1998 | Japan
|       | Doraemon: Taiketsu Himitsu Dogu!!                                    | Epoch                        | Game Boy | 1991 | Japan
|       | Double Dragon                                                        | Technos                      | Game Boy | 1990 | Japan
|       | Double Yakuman                                                       | Vap                          | Game Boy | 1993 | Japan
|       | Double Yakuman II                                                    | Vap                          | Game Boy | 1993 | Japan
|       | Double Yakuman Jr.                                                   | Vap                          | Game Boy | 1993 | Japan
|       | Downtown Nekketsu Koushinkyoku: Dokodemo Daiundoukai                 | Technos                      | Game Boy | 1992 | Japan
|       | Downtown Special: Kunio-Kun no Jidaigeki Dayo Zenin Shuugou!         | Technos                      | Game Boy | 1993 | Japan
|       | Dr. Franken                                                          | Kotobuki Systems             | Game Boy | 1992 | Japan
|       | Dr. Mario                                                            | Nintendo                     | Game Boy | 1990 | Japan
|       | Dracula Densetsu                                                     | Konami                       | Game Boy | 1989 | Japan
|       | Dracula Densetsu II                                                  | Konami                       | Game Boy | 1991 | Japan
|       | Dragon Ball Z: Goku Gekitouden                                       | Bandai                       | Game Boy | 1995 | Japan
|       | Dragon Ball Z: Goku Hishouden                                        | Bandai                       | Game Boy | 1994 | Japan
|       | Dragon Slayer Gaiden: Nemuri no Oukan                                | Epoch                        | Game Boy | 1992 | Japan
|       | Dragon Slayer I                                                      | Epoch                        | Game Boy | 1990 | Japan
|       | Dragon Tail                                                          | I'Max                        | Game Boy | 1990 | Japan
|       | Dragon's Lair                                                        | Epic/Sony Records            | Game Boy | 1991 | Japan
|       | Druaga no Tou                                                        | Angel (Bandai)               | Game Boy | 1990 | Japan
|       | Dungeon Land                                                         | Enix Corporation             | Game Boy | 1992 | Japan
|       | DX Bakenou Z                                                         | Asmik Ace Entertainment, Inc | Game Boy | 1992 | Japan
