|       | Dead Rising                                                 | Capcom                                 | Xbox 360 | 2006 | Japan
|       | Dead Rising 2                                               | Capcom                                 | Xbox 360 | 2010 | Japan
|       | Dead Rising 2: Off the Record                               | Capcom                                 | Xbox 360 | 2011 | Japan
|       | Dead Rising/Gears of War                                    | Capcom                                 | Xbox 360 | 2007 | Japan
|       | Dead to Rights: Retribution                                 | Bandai Namco Games                     | Xbox 360 | 2010 | Japan
|       | Deadfall Adventures                                         | Intergrow                              | Xbox 360 | 2013 | Japan
|       | Deathsmiles                                                 | Cave                                   | Xbox 360 | 2009 | Japan
|       | Deathsmiles II X: Makai no Merry Christmas                  | Cave                                   | Xbox 360 | 2010 | Japan
|       | Deca Sporta Freedom                                         | Hudson Entertainment                   | Xbox 360 | 2010 | Japan
|       | Def Jam: Icon                                               | EA Games                               | Xbox 360 | 2007 | Japan
|       | Dennou Senki Virtual-On Force                               | Sega                                   | Xbox 360 | 2010 | Japan
|       | Deus Ex: Human Revolution                                   | Square Enix                            | Xbox 360 | 2011 | Japan
|       | Devil May Cry 4                                             | Capcom                                 | Xbox 360 | 2008 | Japan
|       | Devil May Cry HD Collection                                 | Capcom                                 | Xbox 360 | 2012 | Japan
|       | Diario: Rebirth Moon Legend                                 | Idea Factory                           | Xbox 360 | 2007 | Japan
|       | DiRT 3                                                      | Codemasters                            | Xbox 360 | 2011 | Japan
|       | DiRT Showdown                                               | Codemasters                            | Xbox 360 | 2012 | Japan
|       | Dishonored                                                  | Bethesda Softworks                     | Xbox 360 | 2012 | Japan
|       | Disney Fantasia: Ongaku no Mahou                            | Microsoft Game Studios                 | Xbox 360 | 2015 | Japan
|       | Disorder 6                                                  | 5pb                                    | Xbox 360 | 2013 | Japan
|       | Divinity II: The Dragon Knight Saga                         | CyberFront                             | Xbox 360 | 2011 | Japan
|       | DmC: Devil May Cry                                          | Capcom                                 | Xbox 360 | 2013 | Japan
|       | DoDonPachi Dai-Ou-Jou Black Label Extra                     | 5pb                                    | Xbox 360 | 2009 | Japan
|       | DoDonPachi Daifukkatsu Black Label                          | Cave                                   | Xbox 360 | 2011 | Japan
|       | DoDonPachi Daifukkatsu Double Pack                          | Cave                                   | Xbox 360 | 2012 | Japan
|       | DoDonPachi Daifukkatsu Ver 1.5                              | Cave                                   | Xbox 360 | 2010 | Japan
|       | DoDonPachi Saidaioujou                                      | Cave                                   | Xbox 360 | 2013 | Japan
|       | Doom 3 BFG Edition                                          | Bethesda Softworks                     | Xbox 360 | 2012 | Japan
|       | Double Clutch                                               | Spike                                  | Xbox 360 | 2008 | Japan
|       | Dragon Age II                                               | Spike                                  | Xbox 360 | 2012 | Japan
|       | Dragon Age: Inquisition                                     | Electronic Arts                        | Xbox 360 | 2014 | Japan
|       | Dragon Age: Origins                                         | Spike                                  | Xbox 360 | 2011 | Japan
|       | Dragon Age: Origins - Awakening                             | Electronic Arts                        | Xbox 360 | 2011 | Japan
|       | Dragon Ball Z: Battle of Z                                  | Bandai Namco Games                     | Xbox 360 | 2014 | Japan
|       | Dragon Ball Z: Burst Limit                                  | Bandai Namco Games                     | Xbox 360 | 2008 | Japan
|       | Dragon Ball: Raging Blast                                   | Bandai Namco Games                     | Xbox 360 | 2009 | Japan
|       | Dragon Ball: Raging Blast 2                                 | Bandai Namco Games                     | Xbox 360 | 2010 | Japan
|       | Dragon Ball: Ultimate Blast                                 | Bandai Namco Games                     | Xbox 360 | 2011 | Japan
|       | Dragon Ball: Xenoverse                                      | Bandai Namco Games                     | Xbox 360 | 2015 | Japan
|       | Dragon's Dogma                                              | Capcom                                 | Xbox 360 | 2012 | Japan
|       | Dragon's Dogma: Dark Arisen                                 | Capcom                                 | Xbox 360 | 2013 | Japan
|       | Dream C Club                                                | D3Publisher                            | Xbox 360 | 2009 | Japan
|       | Dream C Club Zero                                           | D3Publisher                            | Xbox 360 | 2011 | Japan
|       | Drift Nights: Juiced 2                                      | THQ                                    | Xbox 360 | 2008 | Japan
|       | Driver: San Francisco                                       | Ubisoft                                | Xbox 360 | 2011 | Japan
|       | Duke Nukem Forever                                          | 2K Games                               | Xbox 360 | 2012 | Japan
|       | Dunamis 15                                                  | 5pb                                    | Xbox 360 | 2011 | Japan
|       | Dungeon Siege III                                           | Square Enix                            | Xbox 360 | 2011 | Japan
|       | EA Sports Sougoukakutougi                                   | EA Sports                              | Xbox 360 | 2010 | Japan
|       | Earth Defense Force: Insect Armageddon                      | D3Publisher                            | Xbox 360 | 2011 | Japan
|       | Eat Lead: Matt Hazard no Gyakushuu                          | D3Publisher                            | Xbox 360 | 2010 | Japan
|       | El Shaddai: Ascension of the Metatron                       | Ignition Entertainment                 | Xbox 360 | 2011 | Japan
|       | Elder Scrolls IV: Oblivion - Game of the Year Edition, The  | Bethesda Softworks                     | Xbox 360 | 2010 | Japan
|       | Elder Scrolls IV: Oblivion, The                             | Spike                                  | Xbox 360 | 2007 | Japan
|       | Elder Scrolls V: Skyrim, The                                | Bethesda Softworks                     | Xbox 360 | 2011 | Japan
|       | End of Eternity                                             | Sega                                   | Xbox 360 | 2010 | Japan
|       | Enslaved: Odyssey to the West                               | Bandai Namco Games                     | Xbox 360 | 2010 | Japan
|       | Entaku no Seito: Students of Round                          | ChunSoft                               | Xbox 360 | 2011 | Japan
|       | Eschatos                                                    | Qute                                   | Xbox 360 | 2011 | Japan
|       | Espgaluda II Black Label                                    | Cave                                   | Xbox 360 | 2010 | Japan
|       | Ever17: The Out of Infinity                                 | 5pb                                    | Xbox 360 | 2011 | Japan
|       | Every Party                                                 | Microsoft Game Studios                 | Xbox 360 | 2005 | Japan
|       | Extreme Racing: Pure                                        | Disney Interactive Studios             | Xbox 360 | 2009 | Japan
|       | F.E.A.R. 2: Project Origin                                  | CyberFront                             | Xbox 360 | 2009 | Japan
|       | F.E.A.R. 3                                                  | Warner Bros. Interactive Entertainment | Xbox 360 | 2011 | Japan
|       | F1 2010                                                     | Codemasters                            | Xbox 360 | 2010 | Japan
|       | F1 2011                                                     | Codemasters                            | Xbox 360 | 2011 | Japan
|       | F1 2012                                                     | Codemasters                            | Xbox 360 | 2012 | Japan
|       | F1 2013                                                     | Codemasters                            | Xbox 360 | 2013 | Japan
|       | F1 2014                                                     | Codemasters                            | Xbox 360 | 2014 | Japan
|       | F1 Race Stars                                               | Codemasters                            | Xbox 360 | 2013 | Japan
|       | Fable Anniversary                                           | Microsoft Game Studios                 | Xbox 360 | 2014 | Japan
|       | Fable II                                                    | Microsoft Game Studios                 | Xbox 360 | 2008 | Japan
|       | Fable III                                                   | Microsoft Game Studios                 | Xbox 360 | 2010 | Japan
|       | Fable: The Journey                                          | Microsoft Game Studios                 | Xbox 360 | 2012 | Japan
