|       | Crash                                                                | Rage Software                | Xbox   | 2002 | Europe
|       | Crash 'N' Burn                                                       | Eidos Interactive            | Xbox   | 2004 | Europe
|       | Crash Bandicoot: The Wrath of Cortex                                 | Konami                       | Xbox   | 2002 | Europe
|       | Crash Nitro Kart                                                     | VU Games                     | Xbox   | 2003 | Europe
|       | Crash Tag Team Racing                                                | VU Games                     | Xbox   | 2005 | Europe
|       | Crash Twinsanity                                                     | VU Games                     | Xbox   | 2004 | Europe
|       | Crazy Taxi 3                                                         | Sega                         | Xbox   | 2002 | Europe
|       | Cricket 2005                                                         | EA Sports                    | Xbox   | 2005 | Europe
|       | Crime Life: Gang Wars                                                | Konami                       | Xbox   | 2005 | Europe
|       | Crimson Sea                                                          | Koei                         | Xbox   | 2003 | Europe
|       | Crimson Skies: High Road to Revenge                                  | Microsoft Game Studios       | Xbox   | 2003 | Europe
|       | Crouching Tiger, Hidden Dragon                                       | Ubisoft                      | Xbox   | 2004 | Europe
|       | CSI: Crime Scene Investigation                                       | Ubisoft                      | Xbox   | 2005 | Europe
|       | Curse: The Eye of Isis                                               | Wanadoo                      | Xbox   | 2004 | Europe
|       | Da Vinci Code, The                                                   | 2K Games                     | Xbox   | 2006 | Europe
|       | Dakar 2                                                              | Acclaim                      | Xbox   | 2003 | Europe
|       | Dance: UK                                                            | BigBen Interactive           | Xbox   | 2004 | Europe
|       | Dancing Stage Unleashed                                              | Konami                       | Xbox   | 2004 | Europe
|       | Dancing Stage Unleashed 2                                            | Konami                       | Xbox   | 2005 | Europe
|       | Dancing Stage Unleashed 3                                            | Konami                       | Xbox   | 2006 | Europe
|       | Dark Summit                                                          | THQ                          | Xbox   | 2002 | Europe
|       | Darkwatch                                                            | Ubisoft                      | Xbox   | 2005 | Europe
|       | Dave Mirra Freestyle BMX 2                                           | Acclaim                      | Xbox   | 2002 | Europe
|       | David Beckham Soccer                                                 | Rage Software                | Xbox   | 2002 | Europe
|       | Dead Man's Hand                                                      | Atari SA                     | Xbox   | 2004 | Europe
|       | Dead or Alive 3                                                      | Microsoft Game Studios       | Xbox   | 2002 | Europe
