|       | Blitz: The League II                                                             | Midway                                 | Xbox 360 | 2008 | Europe
|       | Blood Bowl                                                                       | Focus Home Interactive                 | Xbox 360 | 2009 | Europe
|       | Blood Drive                                                                      | Activision                             | Xbox 360 | 2010 | Europe
|       | Bloodbath                                                                        | Freedom Factory Studios                | Xbox 360 | 2014 | Europe
|       | Blue Dragon                                                                      | Microsoft Game Studios                 | Xbox 360 | 2007 | Europe
|       | Blur                                                                             | Activision                             | Xbox 360 | 2010 | Europe
|       | Bodycount                                                                        | Codemasters                            | Xbox 360 | 2011 | Europe
|       | Bolt                                                                             | Disney Interactive Studios             | Xbox 360 | 2009 | Europe
|       | Bomberman: Act Zero                                                              | Konami                                 | Xbox 360 | 2006 | Europe
|       | Borderlands                                                                      | 2K Games                               | Xbox 360 | 2009 | Europe
|       | Borderlands 2                                                                    | 2K Games                               | Xbox 360 | 2012 | Europe
|       | Borderlands 2: Add-On Content Pack                                               | 2K Games                               | Xbox 360 | 2013 | Europe
|       | Borderlands 2: Game of the Year Edition                                          | 2K Games                               | Xbox 360 | 2013 | Europe
|       | Borderlands: Double Game Add-On Pack                                             | Take-Two Interactive                   | Xbox 360 | 2010 | Europe
|       | Borderlands: Game of the Year Edition                                            | Take-Two Interactive                   | Xbox 360 | 2010 | Europe
|       | Borderlands: The Pre-Sequel!                                                     | 2K Games                               | Xbox 360 | 2014 | Europe
|       | Bound by Flame                                                                   | Focus Home Interactive                 | Xbox 360 | 2014 | Europe
|       | Brave: A Warrior's Tale                                                          | SouthPeak Games                        | Xbox 360 | 2009 | Europe
|       | Brave: The Video Game                                                            | Disney Interactive Studios             | Xbox 360 | 2012 | Europe
|       | Brian Lara International Cricket 2007                                            | Codemasters                            | Xbox 360 | 2007 | Europe
|       | Brink                                                                            | Bethesda Softworks                     | Xbox 360 | 2011 | Europe
|       | Brothers In Arms: Hell's Highway                                                 | Ubisoft                                | Xbox 360 | 2008 | Europe
|       | Brunswick Pro Bowling                                                            | 505 Games                              | Xbox 360 | 2011 | Europe
|       | Brutal Legend                                                                    | EA Games                               | Xbox 360 | 2009 | Europe
|       | Bullet Witch                                                                     | Atari SA                               | Xbox 360 | 2007 | Europe
|       | Bulletstorm                                                                      | Electronic Arts                        | Xbox 360 | 2011 | Europe
|       | Bully: Scholarship Edition                                                       | Rockstar Games                         | Xbox 360 | 2008 | Europe
|       | Bureau: XCOM Declassified, The                                                   | 2K Games                               | Xbox 360 | 2013 | Europe
|       | Burnout Paradise                                                                 | EA Games                               | Xbox 360 | 2008 | Europe
|       | Burnout Revenge                                                                  | Electronic Arts                        | Xbox 360 | 2006 | Europe
|       | Cabela's Adventure Camp                                                          | Activision                             | Xbox 360 | 2011 | Europe
