|       | Revenge of the Ninja                                  | Renovation                   | Sega CD | 1993 | NTSC (NA)
|       | Revengers of Vengeance                                | Extreme Entertainment Group  | Sega CD | 1994 | NTSC (NA)
|       | Rise of the Dragon                                    | Dynamix                      | Sega CD | 1993 | NTSC (NA)
|       | Road Avenger                                          | Renovation                   | Sega CD | 1993 | NTSC (NA)
|       | Road Rash                                             | Electronic Arts              | Sega CD | 1993 | NTSC (NA)
|       | Robo Aleste                                           | Tengen                       | Sega CD | 1993 | NTSC (NA)
|       | Rock Paintings                                        | Sega                         | Sega CD | 1992 | NTSC (NA)
|       | Samurai Shodown                                       | JVC Musical Industries, Inc. | Sega CD | 1993 | NTSC (NA)
|       | San Diego Zoo Presents: The Animals!, The             | Software Toolworks           | Sega CD | 1994 | NTSC (NA)
|       | Sega Classics Arcade Collection 4-in-1                | Sega                         | Sega CD | 1992 | NTSC (NA)
|       | Sewer Shark                                           | Sony Imagesoft               | Sega CD | 1992 | NTSC (NA)
|       | Shadow of the Beast II                                | Psygnosis                    | Sega CD | 1994 | NTSC (NA)
|       | Sherlock Holmes: Consulting Detective                 | Sega                         | Sega CD | 1992 | NTSC (NA)
|       | Sherlock Holmes: Consulting Detective Vol. II         | Sega                         | Sega CD | 1993 | NTSC (NA)
|       | Shining Force CD                                      | Sega                         | Sega CD | 1994 | NTSC (NA)
|       | Silpheed                                              | Sega                         | Sega CD | 1993 | NTSC (NA)
|       | Slam City with Scottie Pippen                         | Digital Pictures             | Sega CD | 1994 | NTSC (NA)
|       | Snatcher                                              | Konami                       | Sega CD | 1994 | NTSC (NA)
|       | Sol-Feace                                             | Sega                         | Sega CD | 1992 | NTSC (NA)
|       | Sonic CD                                              | Sega                         | Sega CD | 1993 | NTSC (NA)
|       | SoulStar                                              | Victor Interactive Software  | Sega CD | 1994 | NTSC (NA)
|       | Space Ace                                             | ReadySoft                    | Sega CD | 1994 | NTSC (NA)
|       | Space Adventure, The                                  | Hudson Soft                  | Sega CD | 1994 | NTSC (NA)
|       | Star Wars Chess                                       | Software Toolworks           | Sega CD | 1993 | NTSC (NA)
|       | Star Wars: Rebel Assault                              | LucasArts                    | Sega CD | 1993 | NTSC (NA)
|       | Starblade                                             | Namco                        | Sega CD | 1994 | NTSC (NA)
|       | Stellar-Fire                                          | Dynamix                      | Sega CD | 1993 | NTSC (NA)
|       | Supreme Warrior                                       | Digital Pictures             | Sega CD | 1994 | NTSC (NA)
|       | Surgical Strike                                       | Sega                         | Sega CD | 1993 | NTSC (NA)
|       | Terminator, The                                       | Virgin Interactive           | Sega CD | 1993 | NTSC (NA)
|       | Third World War                                       | Extreme Entertainment Group  | Sega CD | 1994 | NTSC (NA)
|       | Time Gal                                              | Renovation                   | Sega CD | 1993 | NTSC (NA)
|       | Tomcat Alley                                          | Sega                         | Sega CD | 1994 | NTSC (NA)
|       | Trivial Pursuit                                       | Virgin Interactive           | Sega CD | 1993 | NTSC (NA)
|       | Ultraverse Prime / Microcosm                          | Sony Imagesoft               | Sega CD | 1994 | NTSC (NA)
|       | Vay                                                   | Working Designs              | Sega CD | 1994 | NTSC (NA)
|       | Wheel of Fortune                                      | Sony Imagesoft               | Sega CD | 1994 | NTSC (NA)
|       | Who Shot Johnny Rock?                                 | American Laser Games         | Sega CD | 1994 | NTSC (NA)
|       | Wild Woody                                            | Sega                         | Sega CD | 1995 | NTSC (NA)
|       | Wing Commander                                        | Electronic Arts              | Sega CD | 1994 | NTSC (NA)
|       | Wirehead                                              | Sega                         | Sega CD | 1995 | NTSC (NA)
|       | Wolfchild                                             | JVC Musical Industries, Inc. | Sega CD | 1993 | NTSC (NA)
|       | Wonder Dog                                            | JVC Musical Industries, Inc. | Sega CD | 1992 | NTSC (NA)
|       | World Cup USA 94                                      | U.S. Gold                    | Sega CD | 1993 | NTSC (NA)
|       | WWF Rage in the Cage                                  | Arena                        | Sega CD | 1994 | NTSC (NA)
|       | Advanced Dungeons & Dragons: Eye of the Beholder | Sega                    | Sega CD | 1994 | PAL
|       | Adventures of Batman & Robin, The                | Sega                    | Sega CD | 1995 | PAL
|       | After Burner III                                 | Sega                    | Sega CD | 1993 | PAL
|       | Amazing Spider-Man vs. the Kingpin, The          | Sega                    | Sega CD | 1993 | PAL
|       | Batman Returns                                   | Sega                    | Sega CD | 1993 | PAL
|       | Battle Frenzy                                    | Domark                  | Sega CD | 2004 | PAL
|       | Battlecorps                                      | Core Design Ltd.        | Sega CD | 1994 | PAL
|       | BC Racers                                        | Core Design Ltd.        | Sega CD | 1994 | PAL
|       | Beast II                                         | Psygnosis               | Sega CD | 1994 | PAL
|       | Bill Walsh College Football                      | EA Sports               | Sega CD | 1993 | PAL
|       | Black Hole Assault                               | Sega                    | Sega CD | 1993 | PAL
|       | Brutal: Paws of Fury                             | GameTek                 | Sega CD | 1994 | PAL
|       | Chuck Rock                                       | Sony Imagesoft          | Sega CD | 1993 | PAL
|       | Chuck Rock II: Son of Chuck                      | Virgin Interactive      | Sega CD | 1993 | PAL
|       | Cobra Command                                    | Sega                    | Sega CD | 1992 | PAL
|       | Corpse Killer                                    | Digital Pictures        | Sega CD | 1994 | PAL
|       | Double Switch                                    | Sega                    | Sega CD | 1993 | PAL
|       | Dracula Unleashed                                | Sega                    | Sega CD | 1994 | PAL
|       | Dragon's Lair                                    | Sega                    | Sega CD | 1994 | PAL
|       | Dune                                             | Virgin Interactive      | Sega CD | 1993 | PAL
|       | Dungeon Explorer                                 | Sega                    | Sega CD | 1994 | PAL
|       | Dungeon Master II: Skullkeep                     | JVC Digital Studios     | Sega CD | 1994 | PAL
|       | Earthworm Jim: Special Edition                   | Virgin Interactive      | Sega CD | 1995 | PAL
|       | Ecco the Dolphin                                 | Sega                    | Sega CD | 1993 | PAL
|       | Ecco: The Tides of Time                          | Sega                    | Sega CD | 1994 | PAL
|       | ESPN Baseball Tonight                            | Sony Imagesoft          | Sega CD | 1994 | PAL
|       | Eternal Champions: Challenge from the Dark Side  | Sega                    | Sega CD | 1995 | PAL
|       | Fatal Fury Special                               | JVC Digital Studios     | Sega CD | 1995 | PAL
|       | FIFA International Soccer: Championship Edition  | Electronic Arts         | Sega CD | 1994 | PAL
|       | Final Fight CD                                   | Sega                    | Sega CD | 1993 | PAL
|       | Flink                                            | Psygnosis               | Sega CD | 1994 | PAL
|       | Flux: Audio Visual Experience                    | Virgin Interactive      | Sega CD | 1995 | PAL
|       | Formula One World Championship: Beyond the Limit | Sega                    | Sega CD | 1994 | PAL
|       | Ground Zero Texas                                | Sony Imagesoft          | Sega CD | 1993 | PAL
|       | Hook                                             | Sony Imagesoft          | Sega CD | 1993 | PAL
|       | INXS: Make My Video                              | Sega                    | Sega CD | 1993 | PAL
|       | Jaguar XJ220                                     | Sega                    | Sega CD | 1993 | PAL
|       | Jurassic Park                                    | Sega                    | Sega CD | 1993 | PAL
|       | Keio Flying Squadron                             | JVC Digital Studios     | Sega CD | 1994 | PAL
|       | Kids On Site                                     | Digital Pictures        | Sega CD | 1994 | PAL
|       | Kris Kross: Make My Video                        | Sony Imagesoft          | Sega CD | 1992 | PAL
|       | Lawnmower Man, The                               | Time Warner Interactive | Sega CD | 1994 | PAL
|       | Lethal Enforcers                                 | Konami                  | Sega CD | 1993 | PAL
|       | Lethal Enforcers II: Gun Fighters                | Konami                  | Sega CD | 1994 | PAL
|       | Lords of Thunder                                 | Virgin Interactive      | Sega CD | 1995 | PAL
|       | Marko's Magic Football                           | Domark                  | Sega CD | 1994 | PAL
|       | Mickey Mania                                     | Sony Imagesoft          | Sega CD | 1994 | PAL
|       | Microcosm                                        | Psygnosis               | Sega CD | 1993 | PAL
|       | Midnight Raiders                                 | Sega                    | Sega CD | 1994 | PAL
|       | Mighty Morphin Power Rangers                     | Sega                    | Sega CD | 1995 | PAL
|       | Mortal Kombat                                    | Arena                   | Sega CD | 1994 | PAL
|       | NBA Jam                                          | Acclaim                 | Sega CD | 1994 | PAL
|       | NHL Hockey '94                                   | EA Sports               | Sega CD | 1993 | PAL
|       | Night Trap                                       | Sega                    | Sega CD | 1993 | PAL
|       | Novastorm                                        | Psygnosis               | Sega CD | 1994 | PAL
|       | Pitfall: The Mayan Adventure                     | Activision              | Sega CD | 1994 | PAL
|       | Power Factory Featuring C+C Music Factory        | Sony Imagesoft          | Sega CD | 1992 | PAL
|       | Power Monger                                     | Electronic Arts         | Sega CD | 1994 | PAL
|       | Prince of Persia                                 | Sega                    | Sega CD | 1993 | PAL
|       | Prize Fighter                                    | Sega                    | Sega CD | 1994 | PAL
|       | Puggsy                                           | Psygnosis               | Sega CD | 1993 | PAL
|       | Road Avenger                                     | Wolf Team               | Sega CD | 1993 | PAL
|       | Robo Aleste                                      | Sega                    | Sega CD | 1993 | PAL
|       | Samurai Shodown                                  | JVC Digital Studios     | Sega CD | 1995 | PAL
|       | San Diego Zoo Presents: The Animals!, The        | Software Toolworks      | Sega CD | 1994 | PAL
|       | Sega Classics Arcade Collection: Limited Edition | Sega                    | Sega CD | 1992 | PAL
|       | Sensible Soccer                                  | Sony Imagesoft          | Sega CD | 1993 | PAL
|       | Sewer Shark                                      | Sony Imagesoft          | Sega CD | 1993 | PAL
|       | Sherlock Holmes Consulting Detective Vol. II     | Sega                    | Sega CD | 1994 | PAL
|       | Sherlock Holmes: Consulting Detective            | Sega                    | Sega CD | 1992 | PAL
|       | Shining Force CD                                 | Sega                    | Sega CD | 1995 | PAL
|       | Silpheed                                         | Sega                    | Sega CD | 1993 | PAL
|       | Slam City with Scottie Pippen                    | Digital Pictures        | Sega CD | 1994 | PAL
|       | Smurfs, The                                      | Infogrames              | Sega CD | 1994 | PAL
|       | Snatcher                                         | Konami                  | Sega CD | 1994 | PAL
|       | Software Toolworks' Star Wars Chess, The         | Mindscape               | Sega CD | 1994 | PAL
|       | Sol-Feace                                        | Sega                    | Sega CD | 1992 | PAL
|       | Sonic CD                                         | Sega                    | Sega CD | 1993 | PAL
|       | SoulStar                                         | Core Design Ltd.        | Sega CD | 1994 | PAL
|       | Space Adventure, The                             | Virgin Interactive      | Sega CD | 1995 | PAL
|       | Star Wars: Rebel Assault                         | JVC Digital Studios     | Sega CD | 1994 | PAL
|       | Starblade                                        | Sega                    | Sega CD | 1994 | PAL
|       | Supreme Warrior                                  | Digital Pictures        | Sega CD | 1994 | PAL
|       | Surgical Strike                                  | Sega                    | Sega CD | 1995 | PAL
|       | Syndicate                                        | Domark                  | Sega CD | 1994 | PAL
|       | Terminator, The                                  | Virgin Interactive      | Sega CD | 1993 | PAL
|       | Theme Park                                       | Domark                  | Sega CD | 1995 | PAL
|       | Thunderhawk                                      | Core Design Ltd.        | Sega CD | 1993 | PAL
|       | Time Gal                                         | Sega                    | Sega CD | 1993 | PAL
|       | Tomcat Alley                                     | Sega                    | Sega CD | 1994 | PAL
|       | Wolfchild                                        | Sega                    | Sega CD | 1993 | PAL
|       | Wonder Dog                                       | Sega                    | Sega CD | 1993 | PAL
|       | World Cup USA 94                                 | U.S. Gold               | Sega CD | 1993 | PAL
|       | WWF Rage in the Cage                             | Arena                   | Sega CD | 1994 | PAL
|       | Yumemi Mystery Mansion                           | Sega                    | Sega CD | 1993 | PAL
|       | A-Rank Thunder Tanjouhen                                  | Riot                                  | Sega CD | 1993 | NTSC (JP)
|       | Advanced Dungeons & Dragons: Eye of the Beholder          | Pony Canyon                           | Sega CD | 1994 | NTSC (JP)
|       | After Armageddon Gaiden: Majuu Toushouden Eclipse         | Sega                                  | Sega CD | 1994 | NTSC (JP)
|       | After Burner III                                          | CRI                                   | Sega CD | 1992 | NTSC (JP)
|       | Aisle Lord                                                | Wolf Team                             | Sega CD | 1992 | NTSC (JP)
|       | Alshark                                                   | Polydor                               | Sega CD | 1993 | NTSC (JP)
|       | Annet Futatabi                                            | Wolf Team                             | Sega CD | 1993 | NTSC (JP)
|       | Aoki Ookami to Shiroki Mejika: Genchou Hishi              | Koei                                  | Sega CD | 1993 | NTSC (JP)
|       | Arcus 1-2-3                                               | Wolf Team                             | Sega CD | 1993 | NTSC (JP)
|       | Arslan Senki                                              | Sega                                  | Sega CD | 1993 | NTSC (JP)
|       | AX-101                                                    | Sega                                  | Sega CD | 1994 | NTSC (JP)
|       | Bakuden Unbalance Zone                                    | Sony Music Entertainment Incorporated | Sega CD | 1994 | NTSC (JP)
|       | Bari-Arm                                                  | Human Entertainment                   | Sega CD | 1993 | NTSC (JP)
|       | Battle Fantasy                                            | Micronet                              | Sega CD | 1994 | NTSC (JP)
|       | Battlecorps                                               | Victor Interactive Software           | Sega CD | 1994 | NTSC (JP)
|       | Black Hole Assault                                        | Micronet                              | Sega CD | 1992 | NTSC (JP)
|       | Burai: Hachigyoku no Yuushi Densetsu                      | Sega                                  | Sega CD | 1992 | NTSC (JP)
|       | Capcom no Quiz: Tonosama no Yabou                         | Capcom                                | Sega CD | 1992 | NTSC (JP)
|       | Captain Tsubasa                                           | Tecmo                                 | Sega CD | 1994 | NTSC (JP)
|       | Cosmic Fantasy Stories                                    | Riot                                  | Sega CD | 1992 | NTSC (JP)
|       | Cyborg 009                                                | Telenet Japan                         | Sega CD | 1993 | NTSC (JP)
|       | Dai Fushinden                                             | Victor Interactive Software           | Sega CD | 1995 | NTSC (JP)
|       | Dark Wizard: Yomigaerishi Yami no Madoushi                | Sega                                  | Sega CD | 1993 | NTSC (JP)
|       | Death Bringer: The Knight of Darkness                     | Riot                                  | Sega CD | 1992 | NTSC (JP)
|       | Dennin Aleste                                             | Compile                               | Sega CD | 1992 | NTSC (JP)
|       | Detonator Organ                                           | Hot-B                                 | Sega CD | 1992 | NTSC (JP)
|       | Devastator                                                | Wolf Team                             | Sega CD | 1993 | NTSC (JP)
|       | Double Switch                                             | Sega                                  | Sega CD | 1995 | NTSC (JP)
|       | Dragon's Lair                                             | Sega                                  | Sega CD | 1994 | NTSC (JP)
|       | Dungeon Master II: Skullkeep                              | Victor Interactive Software           | Sega CD | 1994 | NTSC (JP)
|       | Dynamic Country Club                                      | Sega                                  | Sega CD | 1993 | NTSC (JP)
|       | Earnest Evans                                             | Wolf Team                             | Sega CD | 1991 | NTSC (JP)
|       | Ecco the Dolphin CD                                       | Sega                                  | Sega CD | 1995 | NTSC (JP)
|       | Egawa Suguro no Super League CD                           | Sega                                  | Sega CD | 1993 | NTSC (JP)
|       | F1 Circus CD                                              | Nichibutsu                            | Sega CD | 1994 | NTSC (JP)
|       | Final Fight CD                                            | Sega                                  | Sega CD | 1993 | NTSC (JP)
|       | Gambler Jiko Chuushinha 2: Gekitou Tokyo Mahjong Land Hen | Game Arts                             | Sega CD | 1992 | NTSC (JP)
|       | Gambler Jiko Chuushinha 2: Gekitou Tokyo Mahjong Land Hen | Game Arts                             | Sega CD | 1992 | NTSC (JP)
|       | Game no Kanzume Vol. 1                                    | Sega                                  | Sega CD | 1994 | NTSC (JP)
|       | Game no Kanzume Vol. 2                                    | Sega                                  | Sega CD | 1994 | NTSC (JP)
|       | Garou Densetsu Special                                    | Victor Interactive Software           | Sega CD | 1995 | NTSC (JP)
|       | Genei Toshi: Illusion City                                | Micro Cabin                           | Sega CD | 1993 | NTSC (JP)
|       | Heavenly Symphony: Formula One World Championship 1993    | Sega                                  | Sega CD | 1994 | NTSC (JP)
|       | Heavy Nova                                                | Micronet                              | Sega CD | 1991 | NTSC (JP)
|       | Heimdall                                                  | Victor Interactive Software           | Sega CD | 1994 | NTSC (JP)
|       | Ishii Hisaichi no Daisekai                                | Sega                                  | Sega CD | 1994 | NTSC (JP)
|       | Jaguar XJ220                                              | Victor Interactive Software           | Sega CD | 1993 | NTSC (JP)
|       | Jangou World Cup                                          | Victor Interactive Software           | Sega CD | 1993 | NTSC (JP)
|       | Jurassic Park                                             | Sega                                  | Sega CD | 1994 | NTSC (JP)
|       | Kamen Rider ZO                                            | Toei Animation                        | Sega CD | 1994 | NTSC (JP)
|       | Keio Yugekitai                                            | Victor Interactive Software           | Sega CD | 1993 | NTSC (JP)
|       | Lethal Enforcers                                          | Konami                                | Sega CD | 1993 | NTSC (JP)
|       | Lethal Enforcers II: The Western                          | Konami                                | Sega CD | 1994 | NTSC (JP)
|       | Lodoss Tou Senki: Eiyuu Sensou                            | Sega                                  | Sega CD | 1994 | NTSC (JP)
|       | Lunar: Eternal Blue                                       | Game Arts                             | Sega CD | 1994 | NTSC (JP)
|       | Lunar: Silver Star                                        | Game Arts                             | Sega CD | 1992 | NTSC (JP)
|       | Mahou no Shoujo: Silky Lip                                | Riot                                  | Sega CD | 1992 | NTSC (JP)
|       | Mega Schwarzschild                                        | Sega                                  | Sega CD | 1993 | NTSC (JP)
|       | Microcosm                                                 | Victor Interactive Software           | Sega CD | 1994 | NTSC (JP)
|       | Might and Magic III: Isles of Terra                       | CRI                                   | Sega CD | 1993 | NTSC (JP)
|       | Monkey Island: Yourei Kaizoku Daisoudou!                  | Victor Interactive Software           | Sega CD | 1993 | NTSC (JP)
|       | Mortal Kombat Kanzen-han                                  | Arena                                 | Sega CD | 1994 | NTSC (JP)
|       | NBA Jam                                                   | Acclaim                               | Sega CD | 1994 | NTSC (JP)
|       | Night Striker                                             | Taito Corporation                     | Sega CD | 1993 | NTSC (JP)
|       | Night Trap                                                | Sega                                  | Sega CD | 1993 | NTSC (JP)
|       | Ninja Warriors, The                                       | Taito Corporation                     | Sega CD | 1993 | NTSC (JP)
|       | Nobunaga no Yabou: Haouden                                | Koei                                  | Sega CD | 1994 | NTSC (JP)
|       | Nostalgia 1907                                            | Sur de Wave                           | Sega CD | 1991 | NTSC (JP)
|       | Popful Mail                                               | Sega                                  | Sega CD | 1994 | NTSC (JP)
|       | Prince of Persia                                          | Victor Interactive Software           | Sega CD | 1992 | NTSC (JP)
|       | Prize Fighter                                             | Sega                                  | Sega CD | 1995 | NTSC (JP)
|       | Pro Yakyuu Super League CD                                | Sega                                  | Sega CD | 1992 | NTSC (JP)
|       | Psychic Detective Series Vol. 3: Aya                      | DataWest                              | Sega CD | 1993 | NTSC (JP)
|       | Psychic Detective Series Vol. 4: Orgel                    | DataWest                              | Sega CD | 1993 | NTSC (JP)
|       | Quiz Scramble Special                                     | Sega                                  | Sega CD | 1992 | NTSC (JP)
|       | Ranma 1/2: Byakuran Aika                                  | NCS                                   | Sega CD | 1993 | NTSC (JP)
|       | Rise of the Dragon: A Blade Hunter Mystery                | Sega                                  | Sega CD | 1992 | NTSC (JP)
|       | Road Blaster FX                                           | Wolf Team                             | Sega CD | 1992 | NTSC (JP)
|       | San Goku Shi III                                          | Koei                                  | Sega CD | 1993 | NTSC (JP)
