|       | Chuck E. Cheese's Game Room                                             | UFO Interactive                        | Nintendo DS | 2010 | NTSC (NA)
|       | Chuck E. Cheese's Party Games                                           | UFO Interactive                        | Nintendo DS | 2010 | NTSC (NA)
|       | Chuck E. Cheese's Playhouse                                             | UFO Interactive                        | Nintendo DS | 2010 | NTSC (NA)
|       | Classic Action: Devilish                                                | UFO Interactive                        | Nintendo DS | 2007 | NTSC (NA)
|       | Classic Word Games                                                      | Ubisoft                                | Nintendo DS | 2009 | NTSC (NA)
|       | Cloudy With a Chance of Meatballs                                       | Ubisoft                                | Nintendo DS | 2009 | NTSC (NA)
|       | Cloudy With a Chance of Meatballs 2                                     | GameMill Publishing                    | Nintendo DS | 2013 | NTSC (NA)
|       | Club Penguin: Elite Penguin Force                                       | Disney Interactive Studios             | Nintendo DS | 2008 | NTSC (NA)
|       | Club Penguin: Elite Penguin Force: Herbert's Revenge                    | Disney Interactive Studios             | Nintendo DS | 2010 | NTSC (NA)
|       | Clubhouse Games                                                         | Nintendo                               | Nintendo DS | 2006 | NTSC (NA)
|       | Clue / Mouse Trap / Perfection / Aggravation                            | DSI Games                              | Nintendo DS | 2007 | NTSC (NA)
|       | Cocoto Kart Racer                                                       | Conspiracy Entertainment               | Nintendo DS | 2007 | NTSC (NA)
|       | Code Lyoko                                                              | The Game Factory                       | Nintendo DS | 2007 | NTSC (NA)
|       | Code Lyoko: Fall of X.A.N.A.                                            | The Game Factory                       | Nintendo DS | 2008 | NTSC (NA)
|       | Color Cross                                                             | Zoo Games                              | Nintendo DS | 2010 | NTSC (NA)
|       | Command And Destroy                                                     | Destination Software                   | Nintendo DS | 2008 | NTSC (NA)
|       | Commando: Steel Disaster                                                | XS Games                               | Nintendo DS | 2008 | NTSC (NA)
