|       | Galaxy Force                                              | Sega                | Sega Master System | 1989 | PAL
|       | Gangster Town                                             | Sega                | Sega Master System | 1987 | PAL
|       | Gauntlet                                                  | U.S. Gold           | Sega Master System | 1990 | PAL
|       | George Foreman's KO Boxing                                | Flying Edge         | Sega Master System | 1992 | PAL
|       | Ghost House                                               | Sega                | Sega Master System | 1986 | PAL
|       | Ghostbusters                                              | Sega                | Sega Master System | 1989 | PAL
|       | Ghouls 'N Ghosts                                          | Sega                | Sega Master System | 1990 | PAL
|       | Global Defense                                            | Sega                | Sega Master System | 1987 | PAL
|       | Global Gladiators                                         | Virgin Games        | Sega Master System | 1992 | PAL
|       | Golden Axe                                                | Sega                | Sega Master System | 1989 | PAL
|       | Golden Axe Warrior                                        | Sega                | Sega Master System | 1991 | PAL
|       | Golfamania                                                | Sega                | Sega Master System | 1990 | PAL
|       | Golvellius: Valley of Doom                                | Sega                | Sega Master System | 1988 | PAL
|       | GP Rider                                                  | Sega                | Sega Master System | 1993 | PAL
|       | Great Baseball                                            | Sega                | Sega Master System | 1987 | PAL
|       | Great Basketball                                          | Sega                | Sega Master System | 1987 | PAL
|       | Great Football                                            | Sega                | Sega Master System | 1987 | PAL
|       | Great Golf                                                | Sega                | Sega Master System | 1987 | PAL
|       | Great Soccer                                              | Sega                | Sega Master System | 1986 | PAL
|       | Great Volleyball                                          | Sega                | Sega Master System | 1987 | PAL
|       | Hang On                                                   | Sega                | Sega Master System | 1985 | PAL
|       | Heavyweight Champ                                         | Sega                | Sega Master System | 1991 | PAL
|       | Heroes of the Lance                                       | U.S. Gold           | Sega Master System | 1991 | PAL
|       | Home Alone                                                | Sega                | Sega Master System | 1993 | PAL
|       | Impossible Mission                                        | U.S. Gold           | Sega Master System | 1988 | PAL
|       | Incredible Crash Dummies, The                             | Flying Edge         | Sega Master System | 1993 | PAL
|       | Incredible Hulk, The                                      | U.S. Gold           | Sega Master System | 1994 | PAL
|       | Indiana Jones and the Last Crusade: The Action Game       | U.S. Gold           | Sega Master System | 1990 | PAL
|       | James Bond 007: The Duel                                  | Domark              | Sega Master System | 1993 | PAL
|       | James Pond 2: Codename RoboCod                            | U.S. Gold           | Sega Master System | 1991 | PAL
|       | Joe Montana Football                                      | Sega                | Sega Master System | 1990 | PAL
|       | Jurassic Park                                             | Sega                | Sega Master System | 1993 | PAL
|       | Kenseiden                                                 | Sega                | Sega Master System | 1988 | PAL
|       | Klax                                                      | Tengen              | Sega Master System | 1991 | PAL
