|       | FIFA Soccer 2003                                                    | EA Sports                              | Nintendo GameCube | 2002 | NTSC (NA)
|       | FIFA Soccer 2004                                                    | EA Sports                              | Nintendo GameCube | 2003 | NTSC (NA)
|       | FIFA Soccer 2005                                                    | EA Sports                              | Nintendo GameCube | 2004 | NTSC (NA)
|       | FIFA Street                                                         | EA Sports Big                          | Nintendo GameCube | 2005 | NTSC (NA)
|       | FIFA Street 2                                                       | EA Sports Big                          | Nintendo GameCube | 2006 | NTSC (NA)
|       | FIFA World Cup: Germany 2006                                        | Electronic Arts                        | Nintendo GameCube | 2006 | NTSC (NA)
|       | Fight Night Round 2                                                 | EA Sports                              | Nintendo GameCube | 2005 | NTSC (NA)
|       | Final Fantasy Crystal Chronicles                                    | Nintendo                               | Nintendo GameCube | 2004 | NTSC (NA)
|       | Finding Nemo                                                        | THQ                                    | Nintendo GameCube | 2003 | NTSC (NA)
|       | Fire Blade                                                          | Midway                                 | Nintendo GameCube | 2002 | NTSC (NA)
|       | Fire Emblem: Path of Radiance                                       | Nintendo                               | Nintendo GameCube | 2005 | NTSC (NA)
|       | Flushed Away                                                        | D3Publisher                            | Nintendo GameCube | 2006 | NTSC (NA)
|       | Freaky Flyers                                                       | Midway                                 | Nintendo GameCube | 2003 | NTSC (NA)
|       | Freedom Fighters                                                    | EA Games                               | Nintendo GameCube | 2003 | NTSC (NA)
|       | Freekstyle                                                          | EA Sports                              | Nintendo GameCube | 2002 | NTSC (NA)
|       | Freestyle Metal X                                                   | Midway                                 | Nintendo GameCube | 2003 | NTSC (NA)
|       | Freestyle Street Soccer                                             | Acclaim                                | Nintendo GameCube | 2004 | NTSC (NA)
|       | Frogger Beyond                                                      | Konami                                 | Nintendo GameCube | 2002 | NTSC (NA)
|       | Frogger: Ancient Shadow                                             | Konami                                 | Nintendo GameCube | 2005 | NTSC (NA)
|       | Frogger's Adventures: The Rescue                                    | Konami                                 | Nintendo GameCube | 2003 | NTSC (NA)
|       | From Russia With Love                                               | Electronic Arts                        | Nintendo GameCube | 2005 | NTSC (NA)
|       | Future Tactics: The Uprising                                        | Crave                                  | Nintendo GameCube | 2004 | NTSC (NA)
|       | Gauntlet: Dark Legacy                                               | Midway                                 | Nintendo GameCube | 2002 | NTSC (NA)
|       | Geist                                                               | Nintendo                               | Nintendo GameCube | 2005 | NTSC (NA)
|       | Gladius                                                             | LucasArts                              | Nintendo GameCube | 2003 | NTSC (NA)
|       | Go! Go! Hypergrind                                                  | ATLUS                                  | Nintendo GameCube | 2003 | NTSC (NA)
|       | Goblin Commander: Unleash the Horde                                 | Jaleco Entertainment                   | Nintendo GameCube | 2003 | NTSC (NA)
|       | Godzilla: Destroy All Monsters Melee                                | Atari                                  | Nintendo GameCube | 2002 | NTSC (NA)
|       | GoldenEye: Rogue Agent                                              | EA Games                               | Nintendo GameCube | 2004 | NTSC (NA)
|       | Gotcha Force                                                        | Capcom                                 | Nintendo GameCube | 2003 | NTSC (NA)
|       | Grim Adventures of Billy & Mandy, The                               | Midway                                 | Nintendo GameCube | 2006 | NTSC (NA)
|       | Grooverider Slot Car Thunder                                        | Encore Software, Inc.                  | Nintendo GameCube | 2003 | NTSC (NA)
|       | Gun                                                                 | Activision                             | Nintendo GameCube | 2005 | NTSC (NA)
|       | Happy Feet                                                          | Warner Bros. Interactive Entertainment | Nintendo GameCube | 2006 | NTSC (NA)
|       | Harry Potter and the Chamber of Secrets                             | EA Games                               | Nintendo GameCube | 2002 | NTSC (NA)
|       | Harry Potter and the Goblet of Fire                                 | Electronic Arts                        | Nintendo GameCube | 2005 | NTSC (NA)
|       | Harry Potter and the Prisoner of Azkaban                            | EA Games                               | Nintendo GameCube | 2004 | NTSC (NA)
|       | Harry Potter and the Sorcerer's Stone                               | EA Games                               | Nintendo GameCube | 2003 | NTSC (NA)
|       | Harry Potter: Quidditch World Cup                                   | Electronic Arts                        | Nintendo GameCube | 2003 | NTSC (NA)
|       | Harvest Moon: A Wonderful Life                                      | Natsume                                | Nintendo GameCube | 2004 | NTSC (NA)
|       | Harvest Moon: Another Wonderful Life                                | Natsume                                | Nintendo GameCube | 2005 | NTSC (NA)
|       | Harvest Moon: Magical Melody                                        | Natsume                                | Nintendo GameCube | 2006 | NTSC (NA)
|       | Haunted Mansion, The                                                | TDK Mediactive                         | Nintendo GameCube | 2003 | NTSC (NA)
|       | Hello Kitty: Roller Rescue                                          | Namco                                  | Nintendo GameCube | 2005 | NTSC (NA)
|       | Hitman 2: Silent Assassin                                           | Eidos Interactive                      | Nintendo GameCube | 2003 | NTSC (NA)
|       | Hobbit, The                                                         | Sierra Entertainment                   | Nintendo GameCube | 2003 | NTSC (NA)
|       | Home Run King                                                       | Sega                                   | Nintendo GameCube | 2002 | NTSC (NA)
|       | Hot Wheels: Velocity X                                              | THQ                                    | Nintendo GameCube | 2002 | NTSC (NA)
|       | Hot Wheels: World Race                                              | THQ                                    | Nintendo GameCube | 2003 | NTSC (NA)
|       | Hulk                                                                | Universal Interactive                  | Nintendo GameCube | 2003 | NTSC (NA)
|       | Hunter: The Reckoning                                               | Interplay                              | Nintendo GameCube | 2002 | NTSC (NA)
|       | I-Ninja                                                             | Namco                                  | Nintendo GameCube | 2003 | NTSC (NA)
|       | Ice Age 2: The Meltdown                                             | Vivendi Games                          | Nintendo GameCube | 2006 | NTSC (NA)
|       | Ikaruga                                                             | Atari                                  | Nintendo GameCube | 2003 | NTSC (NA)
|       | Incredible Hulk: Ultimate Destruction, The                          | VU Games                               | Nintendo GameCube | 2005 | NTSC (NA)
|       | Incredibles, The                                                    | THQ                                    | Nintendo GameCube | 2004 | NTSC (NA)
|       | Incredibles: Rise of the Underminer, The                            | THQ                                    | Nintendo GameCube | 2005 | NTSC (NA)
|       | Intellivision Lives!                                                | Crave                                  | Nintendo GameCube | 2004 | NTSC (NA)
|       | Interactive Multi-Game Demo Disc August 2002                        | Nintendo                               | Nintendo GameCube | 2002 | NTSC (NA)
|       | Interactive Multi-Game Demo Disc January 2002                       | Nintendo                               | Nintendo GameCube | 2002 | NTSC (NA)
|       | Interactive Multi-Game Demo Disc July 2002                          | Nintendo                               | Nintendo GameCube | 2002 | NTSC (NA)
|       | Interactive Multi-Game Demo Disc June 2002                          | Nintendo                               | Nintendo GameCube | 2002 | NTSC (NA)
|       | Interactive Multi-Game Demo Disc March 2002                         | Nintendo                               | Nintendo GameCube | 2002 | NTSC (NA)
|       | Interactive Multi-Game Demo Disc Version 10                         | Nintendo                               | Nintendo GameCube | 2003 | NTSC (NA)
|       | Interactive Multi-Game Demo Disc Version 11                         | Nintendo                               | Nintendo GameCube | 2003 | NTSC (NA)
|       | Interactive Multi-Game Demo Disc Version 12                         | Nintendo                               | Nintendo GameCube | 2003 | NTSC (NA)
|       | Interactive Multi-Game Demo Disc Version 13                         | Nintendo                               | Nintendo GameCube | 2003 | NTSC (NA)
|       | Interactive Multi-Game Demo Disc Version 14                         | Nintendo                               | Nintendo GameCube | 2004 | NTSC (NA)
|       | Interactive Multi-Game Demo Disc Version 15                         | Nintendo                               | Nintendo GameCube | 2004 | NTSC (NA)
|       | Interactive Multi-Game Demo Disc Version 16                         | Nintendo                               | Nintendo GameCube | 2004 | NTSC (NA)
|       | Interactive Multi-Game Demo Disc Version 17                         | Nintendo                               | Nintendo GameCube | 2004 | NTSC (NA)
|       | Interactive Multi-Game Demo Disc Version 18                         | Nintendo                               | Nintendo GameCube | 2004 | NTSC (NA)
|       | Interactive Multi-Game Demo Disc Version 19                         | Nintendo                               | Nintendo GameCube | 2004 | NTSC (NA)
|       | Interactive Multi-Game Demo Disc Version 20                         | Nintendo                               | Nintendo GameCube | 2004 | NTSC (NA)
|       | Interactive Multi-Game Demo Disc Version 21                         | Nintendo                               | Nintendo GameCube | 2004 | NTSC (NA)
|       | Interactive Multi-Game Demo Disc Version 22                         | Nintendo                               | Nintendo GameCube | 2004 | NTSC (NA)
|       | Interactive Multi-Game Demo Disc Version 23                         | Nintendo                               | Nintendo GameCube | 2005 | NTSC (NA)
|       | Interactive Multi-Game Demo Disc Version 24                         | Nintendo                               | Nintendo GameCube | 2005 | NTSC (NA)
|       | Interactive Multi-Game Demo Disc Version 25                         | Nintendo                               | Nintendo GameCube | 2005 | NTSC (NA)
|       | Interactive Multi-Game Demo Disc Version 26                         | Nintendo                               | Nintendo GameCube | 2005 | NTSC (NA)
|       | Interactive Multi-Game Demo Disc Version 27                         | Nintendo                               | Nintendo GameCube | 2005 | NTSC (NA)
|       | Interactive Multi-Game Demo Disc Version 28                         | Nintendo                               | Nintendo GameCube | 2005 | NTSC (NA)
|       | Interactive Multi-Game Demo Disc Version 29                         | Nintendo                               | Nintendo GameCube | 2005 | NTSC (NA)
|       | Interactive Multi-Game Demo Disc Version 30                         | Nintendo                               | Nintendo GameCube | 2005 | NTSC (NA)
|       | Interactive Multi-Game Demo Disc Version 31                         | Nintendo                               | Nintendo GameCube | 2006 | NTSC (NA)
|       | Interactive Multi-Game Demo Disc Version 32                         | Nintendo                               | Nintendo GameCube | 2006 | NTSC (NA)
|       | Interactive Multi-Game Demo Disc Version 33                         | Nintendo                               | Nintendo GameCube | 2006 | NTSC (NA)
|       | Interactive Multi-Game Demo Disc Version 34                         | Nintendo                               | Nintendo GameCube | 2006 | NTSC (NA)
|       | Interactive Multi-Game Demo Disc Version 35                         | Nintendo                               | Nintendo GameCube | 2006 | NTSC (NA)
|       | Interactive Multi-Game Demo Disc Version 7                          | Nintendo                               | Nintendo GameCube | 2002 | NTSC (NA)
|       | Interactive Multi-Game Demo Disc Version 8                          | Nintendo                               | Nintendo GameCube | 2002 | NTSC (NA)
|       | Interactive Multi-Game Demo Disc Version 9                          | Nintendo                               | Nintendo GameCube | 2003 | NTSC (NA)
|       | Italian Job, The                                                    | Eidos Interactive                      | Nintendo GameCube | 2003 | NTSC (NA)
|       | James Bond 007: Agent Under Fire                                    | Electronic Arts                        | Nintendo GameCube | 2002 | NTSC (NA)
|       | Jeremy McGrath Supercross World                                     | Acclaim                                | Nintendo GameCube | 2002 | NTSC (NA)
|       | Jimmy Neutron Boy Genius                                            | THQ                                    | Nintendo GameCube | 2002 | NTSC (NA)
|       | Jimmy Neutron: Jet Fusion                                           | THQ                                    | Nintendo GameCube | 2003 | NTSC (NA)
|       | Judge Dredd: Dredd VS Death                                         | Evolved Games                          | Nintendo GameCube | 2005 | NTSC (NA)
|       | Kao the Kangaroo Round 2                                            | Atari                                  | Nintendo GameCube | 2006 | NTSC (NA)
|       | Karaoke Revolution Party                                            | Konami                                 | Nintendo GameCube | 2005 | NTSC (NA)
|       | Kelly Slater's Pro Surfer                                           | Activision                             | Nintendo GameCube | 2002 | NTSC (NA)
|       | Killer7                                                             | Capcom                                 | Nintendo GameCube | 2005 | NTSC (NA)
|       | King Arthur                                                         | Konami                                 | Nintendo GameCube | 2004 | NTSC (NA)
|       | Kirby: Air Ride                                                     | Nintendo                               | Nintendo GameCube | 2003 | NTSC (NA)
|       | Knockout Kings 2003                                                 | Electronic Arts                        | Nintendo GameCube | 2002 | NTSC (NA)
|       | Legend of Spyro: A New Beginning, The                               | Sierra Entertainment                   | Nintendo GameCube | 2006 | NTSC (NA)
|       | Legend of Zelda: Collector's Edition, The                           | Nintendo                               | Nintendo GameCube | 2003 | NTSC (NA)
|       | Legend of Zelda: Four Swords Adventures, The                        | Nintendo                               | Nintendo GameCube | 2004 | NTSC (NA)
|       | Legend of Zelda: Ocarina of Time Master Quest, The                  | Nintendo                               | Nintendo GameCube | 2003 | NTSC (NA)
|       | Legend of Zelda: The Wind Waker / Metroid Prime, The                | Nintendo                               | Nintendo GameCube | 2005 | NTSC (NA)
|       | Legend of Zelda: The Wind Waker / Ocarina of Time Master Quest, The | Nintendo                               | Nintendo GameCube | 2005 | NTSC (NA)
|       | Legend of Zelda: The Wind Waker, The                                | Nintendo                               | Nintendo GameCube | 2003 | NTSC (NA)
|       | Legend of Zelda: Twilight Princess, The                             | Nintendo                               | Nintendo GameCube | 2006 | NTSC (NA)
|       | Legends of Wrestling                                                | Acclaim                                | Nintendo GameCube | 2002 | NTSC (NA)
|       | Legends of Wrestling II                                             | Acclaim                                | Nintendo GameCube | 2002 | NTSC (NA)
|       | LEGO Star Wars II: The Original Trilogy                             | LucasArts                              | Nintendo GameCube | 2006 | NTSC (NA)
|       | LEGO Star Wars: The Video Game                                      | Eidos Interactive                      | Nintendo GameCube | 2005 | NTSC (NA)
|       | Lemony Snicket's A Series of Unfortunate Events                     | Activision                             | Nintendo GameCube | 2004 | NTSC (NA)
|       | Looney Tunes: Back in Action                                        | Electronic Arts                        | Nintendo GameCube | 2003 | NTSC (NA)
|       | Lord of the Rings: The Return of the King, The                      | EA Games                               | Nintendo GameCube | 2003 | NTSC (NA)
|       | Lord of the Rings: The Third Age, The                               | EA Games                               | Nintendo GameCube | 2004 | NTSC (NA)
|       | Lord of the Rings: The Two Towers, The                              | EA Games                               | Nintendo GameCube | 2002 | NTSC (NA)
|       | Lost Kingdoms                                                       | Activision                             | Nintendo GameCube | 2002 | NTSC (NA)
