| | 007 Racing | | PlayStation | | NTSC (NA) | SLUS-01300
| | Bloody Roar | | PlayStation | | NTSC (NA) | SCUS-94199
| | Bloody Roar 2 | | PlayStation | | NTSC (NA) | SCUS-94424
| | Blue's Clues - Blue's Big Musical | | PlayStation | | NTSC (NA) | SLUS-01198
| | Bob the Builder - Can We Fix It | | PlayStation | | NTSC (NA) | SLUS-01407
| | Bogey - Dead 6 | | PlayStation | | NTSC (NA) | SCUS-94307
| | Bomberman Fantasy Race | | PlayStation | | NTSC (NA) | SLUS-00823
| | Bomberman Party Edition | | PlayStation | | NTSC (NA) | SLUS-01189
| | Bomberman World | | PlayStation | | NTSC (NA) | SLUS-00680
| | Bombing Islands | | PlayStation | | NTSC (NA) | SLUS-01292
| | Boombots | | PlayStation | | NTSC (NA) | SLUS-00968
| | Bottom of the Ninth | | PlayStation | | NTSC (NA) | SLUS-00049
| | Bottom of the Ninth '97 | | PlayStation | | NTSC (NA) | SLUS-00296
| | Bottom of the Ninth '99 | | PlayStation | | NTSC (NA) | SLUS-00678
| | Bowling | | PlayStation | | NTSC (NA) | SLUS-01288
| | Boxing | | PlayStation | | NTSC (NA) | SLUS-01309
| | Brahma Force | | PlayStation | | NTSC (NA) | SLUS-00444
| | Brain Dead 13 [Disc1of2] | | PlayStation | | NTSC (NA) | SLUS-00083
| | Brain Dead 13 [Disc2of2] | | PlayStation | | NTSC (NA) | SLUS-00171
| | Bratz | | PlayStation | | NTSC (NA) | SLUS-01508
| | Brave Fencer Musashi | | PlayStation | | NTSC (NA) | SLUS-00726
| | Bravo Air Race | | PlayStation | | NTSC (NA) | SLUS-00488
| | Breakout | | PlayStation | | NTSC (NA) | SLUS-01170
| | Breath of Fire III | | PlayStation | | NTSC (NA) | SLUS-00422
| | Breath of Fire IV | | PlayStation | | NTSC (NA) | SLUS-01324
| | Brigandine - Legend of Forsena | | PlayStation | | NTSC (NA) | SLUS-00687
| | Broken Helix | | PlayStation | | NTSC (NA) | SLUS-00289
| | Broken Sword - The Shadow of the Templars | | PlayStation | | NTSC (NA) | SLUS-00484
| | Broken Sword 2 - The Smoking Mirror | | PlayStation | | NTSC (NA) | SLUS-00812
| | Brunswick Circuit Pro Bowling | | PlayStation | | NTSC (NA) | SLUS-00571
| | Brunswick Circuit Pro Bowling 2 | | PlayStation | | NTSC (NA) | SLUS-00856
| | Bubble Bobble - featuring Rainbow Islands | | PlayStation | | NTSC (NA) | SLUS-00370
| | Bubsy 3D | | PlayStation | | NTSC (NA) | SLUS-00110
| | Bugriders - The Race of Kings | | PlayStation | | NTSC (NA) | SLUS-00354
| | Bugs Bunny - Lost in Time | | PlayStation | | NTSC (NA) | SLUS-00838
| | Bugs Bunny - Lost in Time [Demo] | | PlayStation | | NTSC (NA) | SLUS-90058
| | Bugs Bunny & Taz - Time Busters | | PlayStation | | NTSC (NA) | SLUS-01144
| | Builder's Block | | PlayStation | | NTSC (NA) | SLUS-01086
| | Burning Road | | PlayStation | | NTSC (NA) | SLUS-00324
| | Burning Road [Demo] | | PlayStation | | NTSC (NA) | SLUS-90002
| | Burstrick Wake Boarding!! | | PlayStation | | NTSC (NA) | SLUS-01317
| | Bushido Blade | | PlayStation | | NTSC (NA) | SCUS-94180
| | Bushido Blade 2 | | PlayStation | | NTSC (NA) | SLUS-00663
| | Bust-A-Groove | | PlayStation | | NTSC (NA) | SCUS-94263
| | Bust-A-Groove [Demo] | | PlayStation | | NTSC (NA) | SCUS-94376
| | Bust-A-Groove 2 | | PlayStation | | NTSC (NA) | SLUS-01159
| | Bust-A-Move 2 - Arcade Edition | | PlayStation | | NTSC (NA) | SLUS-00233
| | Bust-A-Move 4 | | PlayStation | | NTSC (NA) | SLUS-00754
| | Bust-A-Move '99 | | PlayStation | | NTSC (NA) | SLUS-00725
| | Buster Bros. Collection | | PlayStation | | NTSC (NA) | SLUS-00208
| | C - The Contra Adventure | | PlayStation | | NTSC (NA) | SLUS-00499
| | C-12 - The Final Resistance | | PlayStation | | NTSC (NA) | SCUS-94666
| | Cabela's Big Game Hunter - Ultimate Challenge | | PlayStation | | NTSC (NA) | SLUS-01391
| | Cabela's Ultimate Deer Hunt | | PlayStation | | NTSC (NA) | SLUS-01474
| | Caesar's Palace | | PlayStation | | NTSC (NA) | SLUS-00285
| | Caesar's Palace 2000 | | PlayStation | | NTSC (NA) | SLUS-01089
| | Caesar's Palace II | | PlayStation | | NTSC (NA) | SLUS-00780
| | Capcom Generations 1 | | PlayStation | | NTSC (NA) | SLUS-01432
| | Capcom Generations 2 | | PlayStation | | NTSC (NA) | SLUS-01433
| | Capcom Generations 4 | | PlayStation | | NTSC (NA) | SLUS-01434
| | Capcom vs. SNK - Millennium Fight 2000 Pro | | PlayStation | | NTSC (NA) | SLUS-01476
| | Card Games | | PlayStation | | NTSC (NA) | SLUS-01379
| | Cardinal Syn | | PlayStation | | NTSC (NA) | SCUS-94156
| | Cardinal Syn [Demo] | | PlayStation | | NTSC (NA) | SCUS-94265
| | Carnage Heart [Disc1of2] | | PlayStation | | NTSC (NA) | SCUS-94604
| | Carnage Heart [Disc2of2] | | PlayStation | | NTSC (NA) | SCUS-94964
| | Cart World Series | | PlayStation | | NTSC (NA) | SCUS-94416
| | Casper | | PlayStation | | NTSC (NA) | SLUS-00162
| | Casper - Friends Around the World | | PlayStation | | NTSC (NA) | SLUS-01245
| | Castlevania - Symphony of the Night | | PlayStation | | NTSC (NA) | SLUS-00067
| | Castlevania Chronicles | | PlayStation | | NTSC (NA) | SLUS-01384
| | Castrol Honda Superbike Racing | | PlayStation | | NTSC (NA) | SLUS-00882
| | Cat in the Hat, The | | PlayStation | | NTSC (NA) | SLUS-01579
| | Centipede | | PlayStation | | NTSC (NA) | SLUS-00807
| | Championship Bass | | PlayStation | | NTSC (NA) | SLUS-01084
| | Championship Motocross - featuring Ricky Carmichael | | PlayStation | | NTSC (NA) | SLUS-00790
| | Championship Motocross 2001 - Ricky Carmichael | | PlayStation | | NTSC (NA) | SLUS-01230
| | Championship Surfer | | PlayStation | | NTSC (NA) | SLUS-01216
| | Chess | | PlayStation | | NTSC (NA) | SLUS-01400
| | Chessmaster 3D | | PlayStation | | NTSC (NA) | SLUS-00052
| | Chessmaster II | | PlayStation | | NTSC (NA) | SLUS-00886
| | Chicken Run | | PlayStation | | NTSC (NA) | SLUS-01304
| | Chocobo Racing | | PlayStation | | NTSC (NA) | SLUS-00844
| | Chocobo's Dungeon 2 | | PlayStation | | NTSC (NA) | SLUS-00814
| | Chronicles of the Sword [Disc1of2] | | PlayStation | | NTSC (NA) | SCUS-94700
| | Chronicles of the Sword [Disc2of2] | | PlayStation | | NTSC (NA) | SCUS-94701
| | Chrono Cross [Disc1of2] | | PlayStation | | NTSC (NA) | SLUS-01041
| | Chrono Cross [Disc2of2] | | PlayStation | | NTSC (NA) | SLUS-01080
| | Circuit Breakers | | PlayStation | | NTSC (NA) | SLUS-00697
| | City of Lost Children, The | | PlayStation | | NTSC (NA) | SCUS-94150
| | Civilization II | | PlayStation | | NTSC (NA) | SLUS-00792
| | Clay Fighter Extreme | | PlayStation | | NTSC (NA) | SLUS-00286
| | Cleopatra's Fortune | | PlayStation | | NTSC (NA) | SLUS-01491
| | Clock Tower | | PlayStation | | NTSC (NA) | SLUS-00539
| | Clock Tower II - The Struggle Within | | PlayStation | | NTSC (NA) | SLUS-00695
| | Codemasters Demo Disc | | PlayStation | | NTSC (NA) | SLUS-90091
| | Codename - Tenka | | PlayStation | | NTSC (NA) | SCUS-94409
| | Colin McRae Rally | | PlayStation | | NTSC (NA) | SCUS-94474
| | Colin McRae Rally 2.0 | | PlayStation | | NTSC (NA) | SLUS-01222
| | College Slam | | PlayStation | | NTSC (NA) | SLUS-00196
| | Colony Wars [Disc1of2] | | PlayStation | | NTSC (NA) | SLUS-00543
| | Colony Wars [Disc2of2] | | PlayStation | | NTSC (NA) | SLUS-00554
| | Colony Wars - Vengeance | | PlayStation | | NTSC (NA) | SLUS-00722
| | Colony Wars III - Red Sun | | PlayStation | | NTSC (NA) | SLUS-00866
| | Command & Conquer [GDI Disc] | | PlayStation | | NTSC (NA) | SLUS-00379
| | Command & Conquer [NOD Disc] | | PlayStation | | NTSC (NA) | SLUS-00410
| | Command & Conquer - Red Alert [Allies Disc] | | PlayStation | | NTSC (NA) | SLUS-00431
| | Command & Conquer - Red Alert [Soviets Disc] | | PlayStation | | NTSC (NA) | SLUS-00485
| | Command & Conquer - Red Alert - Retaliation [Allies Disc] | | PlayStation | | NTSC (NA) | SLUS-00665
| | Command & Conquer - Red Alert - Retaliation [Soviets Disc] | | PlayStation | | NTSC (NA) | SLUS-00667
| | Contender | | PlayStation | | NTSC (NA) | SCUS-94294
| | Contender [Demo] | | PlayStation | | NTSC (NA) | SCUS-94380
| | Contender 2 | | PlayStation | | NTSC (NA) | SCUS-94494
| | Contender 2 | | PlayStation | | NTSC (NA) | SLUS-01305
| | Contra - Legacy of War | | PlayStation | | NTSC (NA) | SLUS-00288
| | Cool Boarders - Extreme Snowboarding | | PlayStation | | NTSC (NA) | SCUS-94356
| | Cool Boarders 2 | | PlayStation | | NTSC (NA) | SCUS-94358
| | Cool Boarders 2001 | | PlayStation | | NTSC (NA) | SCUS-94597
| | Cool Boarders 2001 [Demo] | | PlayStation | | NTSC (NA) | SCUS-94625
| | Cool Boarders 3 | | PlayStation | | NTSC (NA) | SCUS-94251
| | Cool Boarders 3 [Demo] | | PlayStation | | NTSC (NA) | SCUS-94374
| | Cool Boarders 4 | | PlayStation | | NTSC (NA) | SCUS-94559
| | Cool Boarders 4 [Demo] | | PlayStation | | NTSC (NA) | SCUS-94388
| | Countdown Vampires [Disc1of2] | | PlayStation | | NTSC (NA) | SLUS-00898
| | Countdown Vampires [Disc2of2] | | PlayStation | | NTSC (NA) | SLUS-01199
| | Courier Crisis | | PlayStation | | NTSC (NA) | SLUS-00442
| | Covert Ops - Nuclear Dawn [Disc1of2] | | PlayStation | | NTSC (NA) | SLUS-01151
| | Covert Ops - Nuclear Dawn [Disc2of2] | | PlayStation | | NTSC (NA) | SLUS-01157
| | Crash Bandicoot | | PlayStation | | NTSC (NA) | SCUS-94900
| | Crash Bandicoot 2 - Cortex Strikes Back | | PlayStation | | NTSC (NA) | SCUS-94154
