| | 007 Racing | | PlayStation | | NTSC (NA) | SLUS-01300
| | Juggernaut [Disc2of3] | | PlayStation | | NTSC (NA) | SLUS-00988
| | Juggernaut [Disc3of3] | | PlayStation | | NTSC (NA) | SLUS-00989
| | Jumping Flash! | | PlayStation | | NTSC (NA) | SCUS-94103
| | Jumping Flash! 2 - Big Trouble in Little Muu | | PlayStation | | NTSC (NA) | SCUS-94108
| | Jumpstart - Wildlife Safari | | PlayStation | | NTSC (NA) | SLUS-01383
| | Jupiter Strike | | PlayStation | | NTSC (NA) | SLUS-00177
| | K-1 - The Arena Fighters - In the Red Corner | | PlayStation | | NTSC (NA) | SLUS-00414
| | K-1 Grand Prix | | PlayStation | | NTSC (NA) | SLUS-00941
| | K-1 Revenge | | PlayStation | | NTSC (NA) | SLUS-00766
| | Kagero - Deception II | | PlayStation | | NTSC (NA) | SLUS-00677
| | Kagero - Deception II [Demo] | | PlayStation | | NTSC (NA) | SLUS-90041
| | Kartia - The Word of Fate | | PlayStation | | NTSC (NA) | SLUS-00631
| | Kengo - Master of Bushido ~~CANCELLED (PS2)~~ | | PlayStation | | NTSC (NA) | SLUS-01205
| | Kensei - Sacred Fist | | PlayStation | | NTSC (NA) | SLUS-00600
| | Kickboxing | | PlayStation | | NTSC (NA) | SLUS-01412
| | Kileak - The DNA Imperative | | PlayStation | | NTSC (NA) | SCUS-94102
| | Killer Loop | | PlayStation | | NTSC (NA) | SLUS-00938
| | Killing Zone | | PlayStation | | NTSC (NA) | SLUS-00369
| | King of Fighters - Evolution ~~CANCELLED~~ | | PlayStation | | NTSC (NA) | SLUS-01154
| | King of Fighters '95 | | PlayStation | | NTSC (NA) | SCUS-94205
| | King of Fighters '99 | | PlayStation | | NTSC (NA) | SLUS-01332
| | King's Field | | PlayStation | | NTSC (NA) | SLUS-00158
| | King's Field II | | PlayStation | | NTSC (NA) | SLUS-00255
| | Kingsley's Adventure | | PlayStation | | NTSC (NA) | SLUS-00801
| | Kiosk Demo Disc - Ver.1.16 | | PlayStation | | NTSC (NA) | SCUS-94651
| | Kiosk Demo Disc - Ver.1.17 | | PlayStation | | NTSC (NA) | SCUS-94663
| | Kiosk Demo Disc - Ver.1.18 | | PlayStation | | NTSC (NA) | SCUS-94667
| | Kiosk Demo Disc - Ver.1.19 | | PlayStation | | NTSC (NA) | SCUS-94675
| | Kiosk Demo Disc - Ver.1.20 | | PlayStation | | NTSC (NA) | SCUS-94678
| | Kiosk Demo Disc 1.21 - PSone Winter '03 | | PlayStation | | NTSC (NA) | SCUS-94696
| | Kiosk Demo Disc 2004-2005 | | PlayStation | | NTSC (NA) | SCUS-94705
| | KISS Pinball | | PlayStation | | NTSC (NA) | SLUS-01366
| | Klonoa - Door to Phantomile | | PlayStation | | NTSC (NA) | SLUS-00585
| | Knockout Kings | | PlayStation | | NTSC (NA) | SLUS-00737
| | Knockout Kings 2000 | | PlayStation | | NTSC (NA) | SLUS-00993
| | Knockout Kings 2001 | | PlayStation | | NTSC (NA) | SLUS-01269
| | Konami Arcade Classics | | PlayStation | | NTSC (NA) | SLUS-00945
| | Koudelka [Disc1of4] | | PlayStation | | NTSC (NA) | SLUS-01051
| | Koudelka [Disc2of4] | | PlayStation | | NTSC (NA) | SLUS-01100
| | Koudelka [Disc3of4] | | PlayStation | | NTSC (NA) | SLUS-01101
| | Koudelka [Disc4of4] | | PlayStation | | NTSC (NA) | SLUS-01102
| | Krazy Ivan | | PlayStation | | NTSC (NA) | SCUS-94303
| | Kurt Warner's Arena Football Unleashed | | PlayStation | | NTSC (NA) | SLUS-01125
| | Land Before Time - Big Water Adventure | | PlayStation | | NTSC (NA) | SLUS-01481
| | Land Before Time - Great Valley Racing Adventure | | PlayStation | | NTSC (NA) | SLUS-01213
| | Land Before Time - Return to Great Valley | | PlayStation | | NTSC (NA) | SLUS-01043
| | Largo Winch - Commando Sar | | PlayStation | | NTSC (NA) | SLUS-01441
| | League of Pain - Professional Underground | | PlayStation | | NTSC (NA) | SCUS-94551
| | Legacy of Kain - Soul Reaver | | PlayStation | | NTSC (NA) | SLUS-00708
| | Legend of Dragoon, The [Disc1of4] | | PlayStation | | NTSC (NA) | SCUS-94491
| | Legend of Dragoon, The [Disc2of4] | | PlayStation | | NTSC (NA) | SCUS-94584
| | Legend of Dragoon, The [Disc3of4] | | PlayStation | | NTSC (NA) | SCUS-94585
| | Legend of Dragoon, The [Disc4of4] | | PlayStation | | NTSC (NA) | SCUS-94586
| | Legend of Legaia | | PlayStation | | NTSC (NA) | SCUS-94254
| | Legend of Legaia [Demo] | | PlayStation | | NTSC (NA) | SCUS-94366
| | Legend of Mana | | PlayStation | | NTSC (NA) | SLUS-01013
| | Lego Island 2 - The Brickster's Revenge | | PlayStation | | NTSC (NA) | SLUS-01246
| | Lego Racers | | PlayStation | | NTSC (NA) | SLUS-00581
| | Lego Rock Raiders | | PlayStation | | NTSC (NA) | SLUS-00937
| | Lego Stunt Rally | | PlayStation | | NTSC (NA) | SLUS-01390
| | Lemmings & Oh No! More Lemmings | | PlayStation | | NTSC (NA) | SLUS-00760
| | Lemmings 3D | | PlayStation | | NTSC (NA) | SCUS-94601
| | Lethal Enforcers I & II | | PlayStation | | NTSC (NA) | SLUS-00293
| | Lightspan Educational Disc  - 16 Tales 1 | | PlayStation | | NTSC (NA) | LSP-990121
| | Lightspan Educational Disc  - 16 Tales 2 | | PlayStation | | NTSC (NA) | LSP-990122
| | Lightspan Educational Disc  - 16 Tales 3 | | PlayStation | | NTSC (NA) | LSP-990123
| | Lightspan Educational Disc  - 16 Tales 4 | | PlayStation | | NTSC (NA) | LSP-990124
| | Lightspan Educational Disc  - A Mars Moose Adventure - Walkabout 1 - The Natural History Museum | | PlayStation | | NTSC (NA) | LSP-010180
| | Lightspan Educational Disc  - A Mars Moose Adventure - Walkabout 2 - The Shakespeare Festival | | PlayStation | | NTSC (NA) | LSP-010280
| | Lightspan Educational Disc  - A Mars Moose Adventure - Walkabout 3 - World Sports Day | | PlayStation | | NTSC (NA) | LSP-010380
| | Lightspan Educational Disc  - Calamity 1 - The Natural World | | PlayStation | | NTSC (NA) | LSP-905031
| | Lightspan Educational Disc  - Calamity 2 - People and Traditions | | PlayStation | | NTSC (NA) | LSP-905048
| | Lightspan Educational Disc  - Calamity 3 - Around the World | | PlayStation | | NTSC (NA) | LSP-905055
| | Lightspan Educational Disc  - Cali's Geo Tools 1 | | PlayStation | | NTSC (NA) | LSP-020190
| | Lightspan Educational Disc  - Cosmic Cookoff - Language Arts | | PlayStation | | NTSC (NA) | LSP-080230
| | Lightspan Educational Disc  - Cosmic Cookoff - Mathematics | | PlayStation | | NTSC (NA) | LSP-080240
| | Lightspan Educational Disc  - Creative Camp | | PlayStation | | NTSC (NA) | LSP-130110
| | Lightspan Educational Disc  - Creative Isle 1 | | PlayStation | | NTSC (NA) | LSP-130120
| | Lightspan Educational Disc  - Creative Journey 1 | | PlayStation | | NTSC (NA) | LSP-905109
| | Lightspan Educational Disc  - Creative Voyage 1 | | PlayStation | | NTSC (NA) | LSP-907097
| | Lightspan Educational Disc  - Every Child Can Succeed 1 | | PlayStation | | NTSC (NA) | LSP-990191
| | Lightspan Educational Disc  - Every Child Can Succeed 2 | | PlayStation | | NTSC (NA) | LSP-990192
| | Lightspan Educational Disc  - Every Child Can Succeed 3 | | PlayStation | | NTSC (NA) | LSP-990193
| | Lightspan Educational Disc  - Every Child Can Succeed 4 | | PlayStation | | NTSC (NA) | LSP-990194
| | Lightspan Educational Disc  - Every Child Can Succeed 5 | | PlayStation | | NTSC (NA) | LSP-990195
| | Lightspan Educational Disc  - Every Child Can Succeed 6 | | PlayStation | | NTSC (NA) | LSP-990196
| | Lightspan Educational Disc  - Every Child Can Succeed 7 | | PlayStation | | NTSC (NA) | LSP-990197
| | Lightspan Educational Disc  - Faire Games - Language Arts | | PlayStation | | NTSC (NA) | LSP-080130
| | Lightspan Educational Disc  - Faire Games - Mathematics | | PlayStation | | NTSC (NA) | LSP-080140
| | Lightspan Educational Disc  - Family Connection Demonstration Disc | | PlayStation | | NTSC (NA) | LSP-150200
| | Lightspan Educational Disc  - Head to Toe 1 | | PlayStation | | NTSC (NA) | LSP-990131
| | Lightspan Educational Disc  - Head to Toe 2 | | PlayStation | | NTSC (NA) | LSP-990132
| | Lightspan Educational Disc  - Head to Toe 3 | | PlayStation | | NTSC (NA) | LSP-990133
| | Lightspan Educational Disc  - Head to Toe 4 | | PlayStation | | NTSC (NA) | LSP-990134
| | Lightspan Educational Disc  - K9.5 1 - Live in Airedale | | PlayStation | | NTSC (NA) | LSP-090110
| | Lightspan Educational Disc  - K9.5 2 - We are the Dogs | | PlayStation | | NTSC (NA) | LSP-090220
| | Lightspan Educational Disc  - K9.5 3 - Webtunes | | PlayStation | | NTSC (NA) | LSP-090330
| | Lightspan Educational Disc  - K9.5 4 - The Tail-Wag Tour | | PlayStation | | NTSC (NA) | LSP-090440
| | Lightspan Educational Disc  - K9.5 5 - The Howlywood Premiere | | PlayStation | | NTSC (NA) | LSP-907103
| | Lightspan Educational Disc  - Kazmania 1 - Trail of Gems | | PlayStation | | NTSC (NA) | LSP-905123
| | Lightspan Educational Disc  - Kazmania 2 - Chaos in Kazmania | | PlayStation | | NTSC (NA) | LSP-905130
| | Lightspan Educational Disc  - Liquid Books 1 - Lety's Favorite Stories | | PlayStation | | NTSC (NA) | LSP-010150
| | Lightspan Educational Disc  - Liquid Books 2 - Amrita's Trees - Credito and the Coyote | | PlayStation | | NTSC (NA) | LSP-010250
| | Lightspan Educational Disc  - Liquid Books 3 - Far-Fetched Frontier Tales | | PlayStation | | NTSC (NA) | LSP-010350
| | Lightspan Educational Disc  - Liquid Books 4 - The Adventures of Adelita and Bo | | PlayStation | | NTSC (NA) | LSP-010355
| | Lightspan Educational Disc  - Liquid Books 5 - Pop-out Prose | | PlayStation | | NTSC (NA) | LSP-903143
| | Lightspan Educational Disc  - Liquid Books 6 - The Wandering Path | | PlayStation | | NTSC (NA) | LSP-905147
| | Lightspan Educational Disc  - Mars Moose - Cosmic Quest 1 - City Sights | | PlayStation | | NTSC (NA) | LSP-010170
| | Lightspan Educational Disc  - Mars Moose - Cosmic Quest 2 - Fairy Tale Island | | PlayStation | | NTSC (NA) | LSP-010270
| | Lightspan Educational Disc  - Mars Moose - Cosmic Quest 3 - Race Through France | | PlayStation | | NTSC (NA) | LSP-010370
| | Lightspan Educational Disc  - Mars Moose - Stay and Play 1 - In the Clubhouse | | PlayStation | | NTSC (NA) | LSP-010160
| | Lightspan Educational Disc  - Mars Moose - Stay and Play 2 - In Mars' Bedroom | | PlayStation | | NTSC (NA) | LSP-010260
| | Lightspan Educational Disc  - Mars Moose - Stay and Play 3 - In Lonnie's Classroom | | PlayStation | | NTSC (NA) | LSP-010360
| | Lightspan Educational Disc  - Math Gallery Collection 1 | | PlayStation | | NTSC (NA) | LSP-903433
| | Lightspan Educational Disc  - Math Gallery Collection 2 | | PlayStation | | NTSC (NA) | LSP-903440
| | Lightspan Educational Disc  - Math on the Move! 1 - Addition - Subtraction - Advanced | | PlayStation | | NTSC (NA) | LSP-100110
| | Lightspan Educational Disc  - Math on the Move! 1 - Addition - Subtraction - Intermediate | | PlayStation | | NTSC (NA) | LSP-100111
| | Lightspan Educational Disc  - Math on the Move! 2 - Multiplication - Division - Advanced | | PlayStation | | NTSC (NA) | LSP-100112
| | Lightspan Educational Disc  - Math on the Move! 2 - Multiplication - Division - Intermediate | | PlayStation | | NTSC (NA) | LSP-100113
| | Lightspan Educational Disc  - Mona & Moki 1 - Drive Me Wild! | | PlayStation | | NTSC (NA) | LSP-050101
| | Lightspan Educational Disc  - Mona & Moki 2 - Drive Me Wilder! | | PlayStation | | NTSC (NA) | LSP-050102
| | Lightspan Educational Disc  - P.K.'s Math Studio 1 | | PlayStation | | NTSC (NA) | LSP-060190
| | Lightspan Educational Disc  - P.K.'s Place 1 - Party on the Patio! | | PlayStation | | NTSC (NA) | LSP-060310
| | Lightspan Educational Disc  - P.K.'s Place 2 - Hoopo at Sea | | PlayStation | | NTSC (NA) | LSP-180210
| | Lightspan Educational Disc  - P.K.'s Place 3 - Carlos at the Races! | | PlayStation | | NTSC (NA) | LSP-180310
| | Lightspan Educational Disc  - P.K.'s Place 4 - Daphne and the Seventh Wonder | | PlayStation | | NTSC (NA) | LSP-180410
| | Lightspan Educational Disc  - Road Writer | | PlayStation | | NTSC (NA) | LSP-907127
| | Lightspan Educational Disc  - Science is Elementary 1 | | PlayStation | | NTSC (NA) | LSP-990161
| | Lightspan Educational Disc  - Science is Elementary 2 | | PlayStation | | NTSC (NA) | LSP-990162
| | Lightspan Educational Disc  - Science is Elementary 3 | | PlayStation | | NTSC (NA) | LSP-990163
| | Lightspan Educational Disc  - str.at.e.s. 1 - Match-a-batch | | PlayStation | | NTSC (NA) | LSP-030101
| | Lightspan Educational Disc  - str.at.e.s. 2 - Matchamania! | | PlayStation | | NTSC (NA) | LSP-030102
| | Lightspan Educational Disc  - str.at.e.s. 3 - Title This! Title That! | | PlayStation | | NTSC (NA) | LSP-030103
| | Lightspan Educational Disc  - str.at.e.s. 4 - Titlerama! | | PlayStation | | NTSC (NA) | LSP-030104
| | Lightspan Educational Disc  - str.at.e.s. 5 - Parallel Lives! | | PlayStation | | NTSC (NA) | LSP-030105
| | Lightspan Educational Disc  - str.at.e.s. 6 - Analogy-ology! | | PlayStation | | NTSC (NA) | LSP-030106
| | Lightspan Educational Disc  - str.at.e.s. 7 - Riddle Roundup! | | PlayStation | | NTSC (NA) | LSP-030107
| | Lightspan Educational Disc  - str.at.e.s. 8 - Riddle Wrangler! | | PlayStation | | NTSC (NA) | LSP-030108
| | Lightspan Educational Disc  - The Quaddle Family Mysteries 1 - The Case of the Scarce Scarab - Lobby - Kitchen | | PlayStation | | NTSC (NA) | LSP-060101
| | Lightspan Educational Disc  - The Quaddle Family Mysteries 2 - The Case of the Scarce Scarab - Garden | | PlayStation | | NTSC (NA) | LSP-060102
| | Lightspan Educational Disc  - The Quaddle Family Mysteries 3 - The Case of the Scarce Scarab - Parlor - Family Room | | PlayStation | | NTSC (NA) | LSP-060103
| | Lightspan Educational Disc  - The Secret of Googol 1a - Reshaping Googol - The Submarine | | PlayStation | | NTSC (NA) | LSP-020160
| | Lightspan Educational Disc  - The Secret of Googol 1b - Reshaping Googol - The Tower | | PlayStation | | NTSC (NA) | LSP-020150
| | Lightspan Educational Disc  - The Secret of Googol 2a - Reshaping Googol - (The) Castle | | PlayStation | | NTSC (NA) | LSP-020180
| | Lightspan Educational Disc  - The Secret of Googol 2b - Reshaping Googol - Under the Ocean | | PlayStation | | NTSC (NA) | LSP-020170
| | Lightspan Educational Disc  - The Secret of Googol 3 - The Googol Counting Fair - Midways | | PlayStation | | NTSC (NA) | LSP-020260
| | Lightspan Educational Disc  - The Secret of Googol 4 - The Googol Counting Fair - Corral - Fun House | | PlayStation | | NTSC (NA) | LSP-020280
| | Lightspan Educational Disc  - The Secret of Googol 5 - Googolfest - Party Isle - Toy Isle | | PlayStation | | NTSC (NA) | LSP-020450
| | Lightspan Educational Disc  - The Secret of Googol 6 - Googolfest - Arcade Isle - Moon Feast Isle | | PlayStation | | NTSC (NA) | LSP-020570
| | Lightspan Educational Disc  - The Secret of Googol 7 - Eggs All Around - Egg Trek - Balloon Pinic | | PlayStation | | NTSC (NA) | LSP-020650
| | Lightspan Educational Disc  - The Secret of Googol 8 - Googol Gulch - General Store - Math Arcade | | PlayStation | | NTSC (NA) | LSP-020780
| | Lightspan Educational Disc  - The Three Decoders 1 - Riddle of the Ring | | PlayStation | | NTSC (NA) | LSP-903174
| | Lightspan Educational Disc  - The Three Decoders 2 - Key to the Carousel | | PlayStation | | NTSC (NA) | LSP-903181
| | Lightspan Educational Disc  - Timeless Jade Trade 1 | | PlayStation | | NTSC (NA) | LSP-907387
| | Lightspan Educational Disc  - Timeless Math 1 - Maya - Search and Rescue | | PlayStation | | NTSC (NA) | LSP-040110
| | Lightspan Educational Disc  - Timeless Math 2 - Maya - Observatory | | PlayStation | | NTSC (NA) | LSP-040130
| | Lightspan Educational Disc  - Timeless Math 3 - Maya - King Jaguar's Village | | PlayStation | | NTSC (NA) | LSP-040120
| | Lightspan Educational Disc  - Timeless Math 4 - Lunar Base | | PlayStation | | NTSC (NA) | LSP-040410
| | Lightspan Educational Disc  - Timeless Math 5 - Space Flight Rescue | | PlayStation | | NTSC (NA) | LSP-040510
| | Lightspan Educational Disc  - Timeless Math 6 - Brainswarm | | PlayStation | | NTSC (NA) | LSP-907363
| | Lightspan Educational Disc  - Timeless Math 7 - Rover Recovery | | PlayStation | | NTSC (NA) | LSP-907370
| | Lightspan Educational Disc  - Write Away 1 | | PlayStation | | NTSC (NA) | LSP-170110
| | Lightspan Educational Disc  - Write Away 10 | | PlayStation | | NTSC (NA) | LSP-990119
| | Lightspan Educational Disc  - Write Away 2 | | PlayStation | | NTSC (NA) | LSP-170111
| | Lightspan Educational Disc  - Write Away 3 | | PlayStation | | NTSC (NA) | LSP-170112
| | Lightspan Educational Disc  - Write Away 4 | | PlayStation | | NTSC (NA) | LSP-170113
| | Lightspan Educational Disc  - Write Away 5 | | PlayStation | | NTSC (NA) | LSP-990114
| | Lightspan Educational Disc  - Write Away 6 | | PlayStation | | NTSC (NA) | LSP-990115
| | Lightspan Educational Disc  - Write Away 7 | | PlayStation | | NTSC (NA) | LSP-990116
| | Lightspan Educational Disc  - Write Away 8 | | PlayStation | | NTSC (NA) | LSP-990117
| | Lightspan Educational Disc  - Write Away 9 | | PlayStation | | NTSC (NA) | LSP-990118
| | Loaded | | PlayStation | | NTSC (NA) | SLUS-00076
| | Lode Runner | | PlayStation | | NTSC (NA) | SLUS-00557
| | Lone Soldier | | PlayStation | | NTSC (NA) | SLUS-00322
| | Looney Toons Sheep Raider | | PlayStation | | NTSC (NA) | SLUS-01369
| | Looney Tunes Racing | | PlayStation | | NTSC (NA) | SLUS-01145
| | Lost World, The - Jurassic Park | | PlayStation | | NTSC (NA) | SLUS-00515
| | Lucky Luke | | PlayStation | | NTSC (NA) | SLUS-00719
| | Lunar - Silver Star Story Complete [Disc1of2] | | PlayStation | | NTSC (NA) | SLUS-00628
| | Lunar - Silver Star Story Complete [Disc2of2] | | PlayStation | | NTSC (NA) | SLUS-00899
| | Lunar - Silver Star Story Complete [Demo] | | PlayStation | | NTSC (NA) | SLUS-90055
| | Lunar - Silver Star Story Complete, The Making of | | PlayStation | | NTSC (NA) | SLUS-00921
| | Lunar 2 - Eternal Blue Complete [Disc1of3] | | PlayStation | | NTSC (NA) | SLUS-01071
| | Lunar 2 - Eternal Blue Complete [Disc2of3] | | PlayStation | | NTSC (NA) | SLUS-01239
| | Lunar 2 - Eternal Blue Complete [Disc3of3] | | PlayStation | | NTSC (NA) | SLUS-01240
| | Lunar 2 - Eternal Blue Complete [Demo] | | PlayStation | | NTSC (NA) | SLUS-90083
| | Lunar 2 - Eternal Blue Complete, The Making of | | PlayStation | | NTSC (NA) | SLUS-01257
| | M & M's Shell Shocked | | PlayStation | | NTSC (NA) | SLUS-01306
| | Machine Head | | PlayStation | | NTSC (NA) | SLUS-00383
| | Machine Hunter | | PlayStation | | NTSC (NA) | SLUS-00470
| | Madden NFL 2000 | | PlayStation | | NTSC (NA) | SLUS-00961
| | Madden NFL 2001 | | PlayStation | | NTSC (NA) | SLUS-01241
| | Madden NFL 2002 | | PlayStation | | NTSC (NA) | SLUS-01402
| | Madden NFL 2003 | | PlayStation | | NTSC (NA) | SLUS-01482
| | Madden NFL 2004 | | PlayStation | | NTSC (NA) | SLUS-01570
| | Madden NFL 2005 | | PlayStation | | NTSC (NA) | SLUS-01584
| | Madden NFL '97 | | PlayStation | | NTSC (NA) | SLUS-00018
| | Madden NFL '98 | | PlayStation | | NTSC (NA) | SLUS-00516
| | Madden NFL '99 | | PlayStation | | NTSC (NA) | SLUS-00729
| | Magic Carpet | | PlayStation | | NTSC (NA) | SLUS-00029
| | Magic the Gathering - Battlemage | | PlayStation | | NTSC (NA) | SLUS-00247
| | Marble Master | | PlayStation | | NTSC (NA) | SLUS-01471
| | Martian Gothic - Unification | | PlayStation | | NTSC (NA) | SLUS-01148
| | Marvel Super Heroes | | PlayStation | | NTSC (NA) | SLUS-00257
| | Marvel Super Heroes vs. Street Fighter | | PlayStation | | NTSC (NA) | SLUS-00793
| | Marvel vs. Capcom - Clash of the Super Heroes | | PlayStation | | NTSC (NA) | SLUS-01059
| | Mary-Kate & Ahsley - Crush Course | | PlayStation | | NTSC (NA) | SLUS-01386
| | Mary-Kate & Ashley - Magical Mystery Mall | | PlayStation | | NTSC (NA) | SLUS-01121
| | Mary-Kate & Ashley - Winners Circle | | PlayStation | | NTSC (NA) | SLUS-01362
| | Mass Destruction | | PlayStation | | NTSC (NA) | SLUS-00462
| | Master of Monsters - Disciples of Gaia | | PlayStation | | NTSC (NA) | SLUS-00595
| | Matt Hoffman's Pro BMX | | PlayStation | | NTSC (NA) | SLUS-01113
| | Maximum Force | | PlayStation | | NTSC (NA) | SLUS-00503
| | McGrath vs. Pastrana Freestyle Motocross | | PlayStation | | NTSC (NA) | SLUS-01122
| | MDK | | PlayStation | | NTSC (NA) | SLUS-00426
| | MechWarrior 2 | | PlayStation | | NTSC (NA) | SLUS-00401
| | Medal of Honor | | PlayStation | | NTSC (NA) | SLUS-00974
| | Medal of Honor - Underground | | PlayStation | | NTSC (NA) | SLUS-01270
| | Medievil | | PlayStation | | NTSC (NA) | SCUS-94227
| | MediEvil [Demo] | | PlayStation | | NTSC (NA) | SCUS-94291
| | MediEvil II | | PlayStation | | NTSC (NA) | SCUS-94564
| | MegaMan 8 | | PlayStation | | NTSC (NA) | SLUS-00453
| | MegaMan Legends | | PlayStation | | NTSC (NA) | SLUS-00603
| | MegaMan Legends 2 | | PlayStation | | NTSC (NA) | SLUS-01140
| | MegaMan Legends 2 [Demo] | | PlayStation | | NTSC (NA) | SLUS-90078
| | MegaMan X4 | | PlayStation | | NTSC (NA) | SLUS-00561
| | MegaMan X5 | | PlayStation | | NTSC (NA) | SLUS-01334
| | MegaMan X6 | | PlayStation | | NTSC (NA) | SLUS-01395
| | Men in Black - The Series - Crashdown | | PlayStation | | NTSC (NA) | SLUS-01387
| | Metal Gear Solid [Disc1of2] | | PlayStation | | NTSC (NA) | SLUS-00594
| | Metal Gear Solid [Disc2of2] | | PlayStation | | NTSC (NA) | SLUS-00776
| | Metal Gear Solid - VR Missions | | PlayStation | | NTSC (NA) | SLUS-00957
| | Metal Gear Solid - VR Missions [Demo] | | PlayStation | | NTSC (NA) | SLUS-90062
| | Metal Gear Solid [Regular Demo] | | PlayStation | | NTSC (NA) | SLUS-90035
| | Metal Gear Solid [Trade Demo] | | PlayStation | | NTSC (NA) | SLUS-80594
| | Metal Slug X | | PlayStation | | NTSC (NA) | SLUS-01212
| | Micro Machines V3 | | PlayStation | | NTSC (NA) | SLUS-00559
| | Micro Maniacs Racing | | PlayStation | | NTSC (NA) | SLUS-01129
| | Mike Tyson Boxing | | PlayStation | | NTSC (NA) | SLUS-01162
| | Miracle Space Race | | PlayStation | | NTSC (NA) | SLUS-01556
| | Misadventures of Tron Bonne, The | | PlayStation | | NTSC (NA) | SLUS-00896
| | Miss Spider's Tea Party | | PlayStation | | NTSC (NA) | SLUS-01123
| | Missile Command | | PlayStation | | NTSC (NA) | SLUS-00992
| | Mission Impossible | | PlayStation | | NTSC (NA) | SLUS-01016
| | MLB 2000 | | PlayStation | | NTSC (NA) | SCUS-94359
| | MLB 2000 [Demo] | | PlayStation | | NTSC (NA) | SCUS-94364
| | MLB 2001 | | PlayStation | | NTSC (NA) | SCUS-94478
| | MLB 2001 [Demo] | | PlayStation | | NTSC (NA) | SCUS-94479
| | MLB 2002 | | PlayStation | | NTSC (NA) | SCUS-94638
| | MLB 2002 [Demo] | | PlayStation | | NTSC (NA) | SCUS-94648
| | MLB 2003 | | PlayStation | | NTSC (NA) | SCUS-94653
| | MLB 2003 [Demo] | | PlayStation | | NTSC (NA) | SCUS-94672
| | MLB 2004 | | PlayStation | | NTSC (NA) | SCUS-94689
| | MLB 2005 | | PlayStation | | NTSC (NA) | SCUS-94692
| | MLB '98 | | PlayStation | | NTSC (NA) | SCUS-94170
| | MLB '99 | | PlayStation | | NTSC (NA) | SCUS-94233
| | MLB Pennant Race | | PlayStation | | NTSC (NA) | SCUS-94507
| | Mobil 1 Rally Championship | | PlayStation | | NTSC (NA) | SLUS-01103
| | Mobile Armor | | PlayStation | | NTSC (NA) | SLUS-01469
| | Mobile Light Force | | PlayStation | | NTSC (NA) | SLUS-01525
| | Monaco Grand Prix | | PlayStation | | NTSC (NA) | SLUS-00834
| | Monkey Hero | | PlayStation | | NTSC (NA) | SLUS-00765
| | Monkey Hero [Trade Demo] | | PlayStation | | NTSC (NA) | SLUS-80765
| | Monkey Magic | | PlayStation | | NTSC (NA) | SLUS-00930
| | Monopoly | | PlayStation | | NTSC (NA) | SLUS-00507
| | Monster Bass | | PlayStation | | NTSC (NA) | SLUS-01490
| | Monster Rancher | | PlayStation | | NTSC (NA) | SLUS-00568
| | Monster Rancher - Battle Card - Episode II | | PlayStation | | NTSC (NA) | SLUS-01178
| | Monster Rancher [Trade Demo] | | PlayStation | | NTSC (NA) | SLUS-80568
| | Monster Rancher 2 | | PlayStation | | NTSC (NA) | SLUS-00917
| | Monster Rancher 2 [Demo] | | PlayStation | | NTSC (NA) | SLUS-90071
| | Monster Rancher Hop-a-Bout | | PlayStation | | NTSC (NA) | SLUS-01325
| | Monsters Inc. - Scream Team | | PlayStation | | NTSC (NA) | SCUS-94635
| | Monsterseed | | PlayStation | | NTSC (NA) | SLUS-00743
| | Mort the Chicken | | PlayStation | | NTSC (NA) | SLUS-01021
| | Mortal Kombat - Special Forces | | PlayStation | | NTSC (NA) | SLUS-00824
| | Mortal Kombat 3 | | PlayStation | | NTSC (NA) | SCUS-94201
| | Mortal Kombat 3 | | PlayStation | | NTSC (NA) | SLUS-01126
| | Mortal Kombat 4 | | PlayStation | | NTSC (NA) | SLUS-00605
| | Mortal Kombat Mythologies - Sub-Zero | | PlayStation | | NTSC (NA) | SLUS-00476
| | Mortal Kombat Trilogy | | PlayStation | | NTSC (NA) | SLUS-00330
| | Moto Racer | | PlayStation | | NTSC (NA) | SLUS-00498
| | Moto Racer 2 | | PlayStation | | NTSC (NA) | SLUS-00738
| | Moto Racer World Tour | | PlayStation | | NTSC (NA) | SLUS-01321
| | Motocross Madness | | PlayStation | | NTSC (NA) | SLUS-00901
| | Motocross Mania | | PlayStation | | NTSC (NA) | SLUS-01357
| | Motocross Mania 2 | | PlayStation | | NTSC (NA) | SLUS-01531
| | Motor Toon Grand Prix | | PlayStation | | NTSC (NA) | SCUS-94355
| | Motorhead | | PlayStation | | NTSC (NA) | SLUS-00717
| | Mr. Domino, No One Can Stop | | PlayStation | | NTSC (NA) | SLUS-00804
| | Mr. Driller | | PlayStation | | NTSC (NA) | SLUS-01111
| | Ms. Pacman - Maze Madness | | PlayStation | | NTSC (NA) | SLUS-01018
| | Ms. Pac-Man Maze Madness [Demo] | | PlayStation | | NTSC (NA) | SLUS-90080
| | MTV Celebrity Deathmatch | | PlayStation | | NTSC (NA) | SLUS-01453
| | MTV Music Generator | | PlayStation | | NTSC (NA) | SLUS-01006
| | MTV Sports - Pure Ride | | PlayStation | | NTSC (NA) | SLUS-01231
| | MTV Sports - Pureride [Demo] | | PlayStation | | NTSC (NA) | SLUS-90089
| | MTV Sports - Skateboarding featuring Andy MacDonald | | PlayStation | | NTSC (NA) | SLUS-01232
| | MTV Sports - Snowboarding | | PlayStation | | NTSC (NA) | SLUS-00990
