|       | Hyperdimension Neptunia Re;Birth2: Sisters Generation                  | Idea Factory                           | PlayStation Vita | 2015 | NTSC (NA)
|       | Hyperdimension Neptunia Re;Birth2: Sisters Generation                  | Idea Factory                           | PlayStation Vita | 2015 | NTSC (NA)
|       | Hyperdimension Neptunia Re;Birth3: V Generation                        | Idea Factory                           | PlayStation Vita | 2015 | NTSC (NA)
|       | Hyperdimension Neptunia U: Action Unleashed                            | Idea Factory                           | PlayStation Vita | 2015 | NTSC (NA)
|       | Injustice: Gods Among Us - Ultimate Edition                            | Warner Bros. Interactive Entertainment | PlayStation Vita | 2013 | NTSC (NA)
|       | Jak and Daxter Collection                                              | SCEA                                   | PlayStation Vita | 2013 | NTSC (NA)
|       | Killzone: Mercenary                                                    | SCEA                                   | PlayStation Vita | 2013 | NTSC (NA)
|       | Legend of Heroes: Trails of Cold Steel II, The                         | Xseed Games                            | PlayStation Vita | 2016 | NTSC (NA)
|       | Legend of Heroes: Trails of Cold Steel, The                            | Xseed Games                            | PlayStation Vita | 2015 | NTSC (NA)
|       | LEGO Batman 2: DC Super Heroes                                         | Warner Bros. Interactive Entertainment | PlayStation Vita | 2012 | NTSC (NA)
|       | LEGO Batman 3: Beyond Gotham                                           | Warner Bros. Interactive Entertainment | PlayStation Vita | 2014 | NTSC (NA)
|       | LEGO Harry Potter: Years 5-7                                           | Warner Bros. Interactive Entertainment | PlayStation Vita | 2012 | NTSC (NA)
|       | LEGO Jurassic World                                                    | Warner Bros. Interactive Entertainment | PlayStation Vita | 2015 | NTSC (NA)
|       | LEGO Legends of Chima: Laval's Journey                                 | Warner Bros. Interactive Entertainment | PlayStation Vita | 2013 | NTSC (NA)
|       | LEGO Marvel Super Heroes: Universe in Peril                            | Warner Bros. Interactive Entertainment | PlayStation Vita | 2013 | NTSC (NA)
|       | LEGO Marvel's Avengers                                                 | Warner Bros. Interactive Entertainment | PlayStation Vita | 2016 | NTSC (NA)
|       | LEGO Movie Videogame, The                                              | Warner Bros. Interactive Entertainment | PlayStation Vita | 2014 | NTSC (NA)
|       | LEGO Ninjago: Nindroids                                                | Warner Bros. Interactive Entertainment | PlayStation Vita | 2014 | NTSC (NA)
|       | LEGO Ninjago: Shadow of Ronin                                          | Warner Bros. Interactive Entertainment | PlayStation Vita | 2015 | NTSC (NA)
|       | LEGO Star Wars: The Force Awakens                                      | Warner Bros. Interactive Entertainment | PlayStation Vita | 2016 | NTSC (NA)
|       | LEGO The Hobbit                                                        | Warner Bros. Interactive Entertainment | PlayStation Vita | 2014 | NTSC (NA)
|       | LEGO The Lord of the Rings                                             | Warner Bros. Interactive Entertainment | PlayStation Vita | 2012 | NTSC (NA)
|       | Little Deviants                                                        | SCEA                                   | PlayStation Vita | 2012 | NTSC (NA)
|       | LittleBigPlanet PS Vita                                                | SCEA                                   | PlayStation Vita | 2012 | NTSC (NA)
|       | Lone Survivor: The Director's Cut                                      | Limited Run Games                      | PlayStation Vita | 2016 | NTSC (NA)
|       | Longest Five Minutes, The                                              | NIS America                            | PlayStation Vita | 2017 | NTSC (NA)
|       | Lost Dimension                                                         | ATLUS                                  | PlayStation Vita | 2015 | NTSC (NA)
|       | Lumines: Electronic Symphony                                           | Ubisoft                                | PlayStation Vita | 2012 | NTSC (NA)
|       | Madden NFL 13                                                          | EA Sports                              | PlayStation Vita | 2012 | NTSC (NA)
|       | Mary Skelter: Nightmares                                               | Idea Factory                           | PlayStation Vita | 2017 | NTSC (NA)
|       | MegaTagmension Blanc + Neptune VS Zombies                              | Idea Factory                           | PlayStation Vita | 2016 | NTSC (NA)
|       | MeiQ: Labyrinth of Death                                               | Idea Factory                           | PlayStation Vita | 2016 | NTSC (NA)
|       | Metal Gear Solid HD Collection                                         | Konami                                 | PlayStation Vita | 2012 | NTSC (NA)
|       | Michael Jackson The Experience HD                                      | Ubisoft                                | PlayStation Vita | 2012 | NTSC (NA)
|       | Mind Zero                                                              | Aksys Games                            | PlayStation Vita | 2014 | NTSC (NA)
|       | Minecraft: PlayStation Vita Edition                                    | SCEA                                   | PlayStation Vita | 2014 | NTSC (NA)
|       | MLB 12: The Show                                                       | SCEA                                   | PlayStation Vita | 2012 | NTSC (NA)
|       | MLB 13: The Show                                                       | SCEA                                   | PlayStation Vita | 2013 | NTSC (NA)
|       | MLB 14: The Show                                                       | SCEA                                   | PlayStation Vita | 2014 | NTSC (NA)
|       | MLB 15: The Show                                                       | SCEA                                   | PlayStation Vita | 2015 | NTSC (NA)
|       | ModNation Racers: Road Trip                                            | SCEA                                   | PlayStation Vita | 2012 | NTSC (NA)
|       | Mortal Kombat                                                          | Warner Bros. Interactive Entertainment | PlayStation Vita | 2012 | NTSC (NA)
|       | Muramasa Rebirth                                                       | Aksys Games                            | PlayStation Vita | 2013 | NTSC (NA)
|       | Mutant Mudds Deluxe                                                    | Limited Run Games                      | PlayStation Vita | 2017 | NTSC (NA)
|       | Mutant Mudds: Super Challenge                                          | Limited Run Games                      | PlayStation Vita | 2017 | NTSC (NA)
|       | Mystery Chronicle: One Way Heroics                                     | Limited Run Games                      | PlayStation Vita | 2016 | NTSC (NA)
