|       | Commandos 2: Men of Courage                                               | Eidos Interactive                      | Xbox   | 2002 | NTSC (NA)
|       | Commandos Strike Force                                                    | Eidos Interactive                      | Xbox   | 2006 | NTSC (NA)
|       | Conflict: Desert Storm                                                    | Gotham Games                           | Xbox   | 2002 | NTSC (NA)
|       | Conflict: Desert Storm II - Back to Baghdad                               | Gotham Games                           | Xbox   | 2003 | NTSC (NA)
|       | Conflict: Global Terror                                                   | 2K Games                               | Xbox   | 2005 | NTSC (NA)
|       | Conflict: Vietnam                                                         | Global Star Software                   | Xbox   | 2004 | NTSC (NA)
|       | Conker: Live & Reloaded                                                   | Microsoft Game Studios                 | Xbox   | 2005 | NTSC (NA)
|       | Constantine                                                               | THQ                                    | Xbox   | 2005 | NTSC (NA)
|       | Corvette                                                                  | TDK Mediactive                         | Xbox   | 2003 | NTSC (NA)
|       | Counter-Strike                                                            | Microsoft Game Studios                 | Xbox   | 2003 | NTSC (NA)
|       | Crash 'N' Burn                                                            | Eidos Interactive                      | Xbox   | 2004 | NTSC (NA)
|       | Crash Bandicoot: The Wrath of Cortex                                      | VU Games                               | Xbox   | 2002 | NTSC (NA)
|       | Crash Nitro Kart                                                          | Universal Interactive                  | Xbox   | 2003 | NTSC (NA)
|       | Crash Superpack - Crash Nitro Kart / Crash Bandicoot: The Wrath of Cortex | VU Games                               | Xbox   | 2013 | NTSC (NA)
|       | Crash Tag Team Racing                                                     | VU Games                               | Xbox   | 2005 | NTSC (NA)
|       | Crash Twinsanity                                                          | VU Games                               | Xbox   | 2004 | NTSC (NA)
|       | Crazy Taxi 3: High Roller                                                 | Sega                                   | Xbox   | 2002 | NTSC (NA)
|       | Crime Life: Gang Wars                                                     | Konami                                 | Xbox   | 2005 | NTSC (NA)
|       | Crimson Sea                                                               | Koei                                   | Xbox   | 2002 | NTSC (NA)
|       | Crimson Skies: High Road to Revenge                                       | Microsoft Game Studios                 | Xbox   | 2003 | NTSC (NA)
|       | Crouching Tiger, Hidden Dragon                                            | Ubisoft                                | Xbox   | 2003 | NTSC (NA)
|       | Crusty Demons                                                             | Evolved Games                          | Xbox   | 2006 | NTSC (NA)
|       | CSI: Crime Scene Investigation                                            | Ubisoft                                | Xbox   | 2004 | NTSC (NA)
|       | Curious George                                                            | Namco                                  | Xbox   | 2006 | NTSC (NA)
|       | Curse: The Eye of Isis                                                    | DreamCatcher Interactive               | Xbox   | 2003 | NTSC (NA)
|       | Da Vinci Code, The                                                        | 2K Games                               | Xbox   | 2006 | NTSC (NA)
|       | Dai Senryaku VII: Modern Military Tactics                                 | Kemco                                  | Xbox   | 2005 | NTSC (NA)
|       | Dakar 2: The World's Ultimate Rally                                       | Acclaim                                | Xbox   | 2003 | NTSC (NA)
|       | Dance Dance Revolution Ultramix                                           | Konami                                 | Xbox   | 2003 | NTSC (NA)
|       | Dance Dance Revolution Ultramix 2                                         | Konami                                 | Xbox   | 2004 | NTSC (NA)
|       | Dance Dance Revolution Ultramix 3                                         | Konami                                 | Xbox   | 2005 | NTSC (NA)
|       | Dance Dance Revolution Ultramix 4                                         | Konami                                 | Xbox   | 2006 | NTSC (NA)
|       | Dark Summit                                                               | Radical Entertainment                  | Xbox   | 2001 | NTSC (NA)
|       | Darkwatch                                                                 | Capcom                                 | Xbox   | 2005 | NTSC (NA)
|       | Dave Mirra Freestyle BMX 2                                                | Acclaim                                | Xbox   | 2001 | NTSC (NA)
|       | Dead Man's Hand                                                           | Atari                                  | Xbox   | 2004 | NTSC (NA)
|       | Dead or Alive 3                                                           | Tecmo                                  | Xbox   | 2001 | NTSC (NA)
|       | Dead or Alive Ultimate                                                    | Tecmo                                  | Xbox   | 2004 | NTSC (NA)
|       | Dead or Alive: Xtreme Beach Volleyball                                    | Tecmo                                  | Xbox   | 2003 | NTSC (NA)
|       | Dead to Rights                                                            | Namco                                  | Xbox   | 2002 | NTSC (NA)
|       | Dead to Rights II                                                         | Namco                                  | Xbox   | 2005 | NTSC (NA)
|       | Deathrow                                                                  | Ubisoft                                | Xbox   | 2002 | NTSC (NA)
|       | Def Jam: Fight for NY                                                     | EA Games                               | Xbox   | 2004 | NTSC (NA)
|       | Defender                                                                  | Midway                                 | Xbox   | 2002 | NTSC (NA)
|       | Delta Force: Black Hawk Down                                              | NovaLogic                              | Xbox   | 2005 | NTSC (NA)
|       | Destroy All Humans!                                                       | THQ                                    | Xbox   | 2005 | NTSC (NA)
|       | Destroy All Humans! 2                                                     | THQ                                    | Xbox   | 2006 | NTSC (NA)
