|       | Poker Face Paul's Gin                                      | Adrenalin Interactive       | Game Gear | 1994 | NTSC (NA)
|       | Poker Face Paul's Poker                                    | Adrenalin Interactive       | Game Gear | 1994 | NTSC (NA)
|       | Poker Face Paul's Solitaire                                | Adrenalin Interactive       | Game Gear | 1994 | NTSC (NA)
|       | Popils                                                     | Tengen                      | Game Gear | 1992 | NTSC (NA)
|       | Predator 2                                                 | Arena                       | Game Gear | 1992 | NTSC (NA)
|       | Primal Rage                                                | Time Warner Interactive     | Game Gear | 1995 | NTSC (NA)
|       | Prince of Persia                                           | Tengen                      | Game Gear | 1992 | NTSC (NA)
|       | Psychic World                                              | Sega                        | Game Gear | 1991 | NTSC (NA)
|       | Putt & Putter                                              | Sega                        | Game Gear | 1991 | NTSC (NA)
|       | Quest for the Shaven Yak starring Ren & Stimpy             | Sega                        | Game Gear | 1994 | NTSC (NA)
|       | R.B.I. Baseball '94                                        | Tengen                      | Game Gear | 1994 | NTSC (NA)
|       | R.C. Grand Prix                                            | Absolute Entertainment      | Game Gear | 1992 | NTSC (NA)
|       | Revenge of Drancon                                         | Sega                        | Game Gear | 1991 | NTSC (NA)
|       | Riddick Bowe Boxing                                        | Extreme Entertainment Group | Game Gear | 1993 | NTSC (NA)
|       | Rise of the Robots                                         | Time Warner Interactive     | Game Gear | 1995 | NTSC (NA)
|       | Ristar                                                     | Sega                        | Game Gear | 1995 | NTSC (NA)
|       | Road Rash                                                  | U.S. Gold                   | Game Gear | 1994 | NTSC (NA)
|       | RoboCop 3                                                  | Flying Edge                 | Game Gear | 1994 | NTSC (NA)
|       | RoboCop Versus The Terminator                              | Virgin Interactive          | Game Gear | 1993 | NTSC (NA)
|       | Samurai Shodown                                            | Takara                      | Game Gear | 1994 | NTSC (NA)
|       | Scratch Golf                                               | Vic Tokai                   | Game Gear | 1994 | NTSC (NA)
|       | Shaq Fu                                                    | Electronic Arts             | Game Gear | 1995 | NTSC (NA)
|       | Shining Force: The Sword of Hajya                          | Sega                        | Game Gear | 1994 | NTSC (NA)
|       | Shinobi                                                    | Sega                        | Game Gear | 1991 | NTSC (NA)
|       | Shinobi II: The Silent Fury                                | Sega                        | Game Gear | 1992 | NTSC (NA)
|       | Side Pocket                                                | Data East USA               | Game Gear | 1994 | NTSC (NA)
|       | Simpsons: Bart vs. the Space Mutants, The                  | Flying Edge                 | Game Gear | 1992 | NTSC (NA)
|       | Simpsons: Bart vs. the World, The                          | Flying Edge                 | Game Gear | 1993 | NTSC (NA)
|       | Simpsons: Bartman Meets Radioactive Man, The               | Acclaim                     | Game Gear | 1992 | NTSC (NA)
|       | Slider                                                     | Sega                        | Game Gear | 1991 | NTSC (NA)
|       | Solitaire FunPak                                           | Interplay                   | Game Gear | 1994 | NTSC (NA)
|       | Solitaire Poker                                            | Sega                        | Game Gear | 1991 | NTSC (NA)
|       | Sonic Blast                                                | Sega                        | Game Gear | 1996 | NTSC (NA)
|       | Sonic Drift 2                                              | Sega                        | Game Gear | 1995 | NTSC (NA)
|       | Sonic Labyrinth                                            | Sega                        | Game Gear | 1995 | NTSC (NA)
|       | Sonic the Hedgehog                                         | Sega                        | Game Gear | 1991 | NTSC (NA)
|       | Sonic the Hedgehog 2                                       | Sega                        | Game Gear | 1992 | NTSC (NA)
|       | Sonic the Hedgehog Chaos                                   | Sega                        | Game Gear | 1993 | NTSC (NA)
|       | Sonic the Hedgehog Spinball                                | Sega                        | Game Gear | 1995 | NTSC (NA)
|       | Sonic the Hedgehog: Triple Trouble                         | Sega                        | Game Gear | 1994 | NTSC (NA)
|       | Space Harrier                                              | Sega                        | Game Gear | 1991 | NTSC (NA)
|       | Spider-Man                                                 | Flying Edge                 | Game Gear | 1992 | NTSC (NA)
|       | Spider-Man / X-Men: Arcade's Revenge                       | Flying Edge                 | Game Gear | 1994 | NTSC (NA)
|       | Spider-Man: Return of the Sinister Six                     | Flying Edge                 | Game Gear | 1993 | NTSC (NA)
|       | Sports Illustrated: Championship Football & Baseball       | Black Pearl                 | Game Gear | 1993 | NTSC (NA)
|       | Sports Trivia                                              | Sega                        | Game Gear | 1995 | NTSC (NA)
|       | Sports Trivia: Championship Edition                        | Sega                        | Game Gear | 1995 | NTSC (NA)
|       | Star Trek: Generations: Beyond the Nexus                   | Absolute Entertainment      | Game Gear | 1995 | NTSC (NA)
|       | Star Trek: The Next Generation: Advanced Holodeck Tutorial | Absolute Entertainment      | Game Gear | 1994 | NTSC (NA)
|       | Star Wars                                                  | U.S. Gold                   | Game Gear | 1993 | NTSC (NA)
|       | Stargate                                                   | Acclaim                     | Game Gear | 1994 | NTSC (NA)
|       | Streets of Rage                                            | Sega                        | Game Gear | 1992 | NTSC (NA)
|       | Streets of Rage 2                                          | Sega                        | Game Gear | 1993 | NTSC (NA)
|       | Strider Returns: Journey From Darkness                     | U.S. Gold                   | Game Gear | 1994 | NTSC (NA)
|       | Super Battletank                                           | Majesco Games               | Game Gear | 1994 | NTSC (NA)
|       | Super Columns                                              | Sega                        | Game Gear | 1995 | NTSC (NA)
|       | Super Golf                                                 | Sage's Creation             | Game Gear | 1991 | NTSC (NA)
|       | Super Monaco GP                                            | Sega                        | Game Gear | 1991 | NTSC (NA)
|       | Super Off Road                                             | Virgin Games                | Game Gear | 1992 | NTSC (NA)
|       | Super Smash T.V.                                           | Flying Edge                 | Game Gear | 1994 | NTSC (NA)
|       | Super Space Invaders                                       | Domark                      | Game Gear | 1993 | NTSC (NA)
