| | AI Shogi 2 Deluxe | | PlayStation | | NTSC (JP) | SLPS-02285
| | AI Shogi Selection [MajorWave 1500 Series] | | PlayStation | | NTSC (JP) | SLPM-87068
| | Air Assault | | PlayStation | | NTSC (JP) | SIPS-60005
| | Air Assault [Briefing Disc] | | PlayStation | | NTSC (JP) | PCPX-96041
| | Air Management [Koei Teiban Series] | | PlayStation | | NTSC (JP) | SLPM-86788
| | Air Management [Koei The Best] | | PlayStation | | NTSC (JP) | SLPM-86206
| | Air Management '96 | | PlayStation | | NTSC (JP) | SLPS-00269
| | Air Race Championship | | PlayStation | | NTSC (JP) | SLPS-01879
| | Air Race Championship [Maruan Series 8] | | PlayStation | | NTSC (JP) | SLPS-03074
| | Airgrave | | PlayStation | | NTSC (JP) | SLPS-00559
| | Airs, The | | PlayStation | | NTSC (JP) | SLPS-01916
| | Aishiau Kotoshika Dekinai [PlayStation the Best] | | PlayStation | | NTSC (JP) | SLPS-02824
| | Aitakute... Your Smiles in My Heart [Disc1of4] | | PlayStation | | NTSC (JP) | SLPM-86254
| | Aitakute... Your Smiles in My Heart [Disc2of4] | | PlayStation | | NTSC (JP) | SLPM-86255
| | Aitakute... Your Smiles in My Heart [Disc3of4] | | PlayStation | | NTSC (JP) | SLPM-86256
| | Aitakute... Your Smiles in My Heart [Disc4of4] | | PlayStation | | NTSC (JP) | SLPM-86257
| | Aitakute... Your Smiles in My Heart Diary [Preview] | | PlayStation | | NTSC (JP) | SLPM-80162
| | Aizouban Houshinengi | | PlayStation | | NTSC (JP) | SCPS-45302
| | Aizouban Houshinengi | | PlayStation | | NTSC (JP) | SLPM-86209
| | Aizouban Houshinengi [PlayStation the Best] | | PlayStation | | NTSC (JP) | SLPM-86377
| | Aizouban Houshinengi [Priced Down] | | PlayStation | | NTSC (JP) | SLPM-86290
| | Akazu no Ma | | PlayStation | | NTSC (JP) | SLPS-00619
| | Akazu no Ma [Reprint] | | PlayStation | | NTSC (JP) | SLPS-03263
| | Akumajo Dracula X - Gekka no Yasoukyoku | | PlayStation | | NTSC (JP) | SLPM-86023
