|       | Coryoon                                                     | Naxat Soft                   | TurboGrafx-16 | 1991 | NTSC (JP)
|       | Cross Wiber: Cyber Combat Police                            | Face                         | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Cyber Core                                                  | IGS (Japan)                  | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Cyber Cross                                                 | Face                         | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Cyber Dodge                                                 | Tonkin House                 | TurboGrafx-16 | 1992 | NTSC (JP)
|       | Cyber Knight                                                | Tonkin House                 | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Dai Makai-Mura                                              | NEC Interchannel             | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Daichikun Crisis: Do Natural                                | Salio                        | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Daisenpuu                                                   | NEC Interchannel             | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Darius Alpha                                                | NEC Interchannel             | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Darius Plus                                                 | NEC Interchannel             | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Dead Moon: Tsuki Sekai no Akumu                             | TSS                          | TurboGrafx-16 | 1991 | NTSC (JP)
|       | Deep Blue Kaitei Shinwa                                     | Pack-In-Video                | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Detana!! TwinBee                                            | Konami                       | TurboGrafx-16 | 1992 | NTSC (JP)
|       | Devil Crash                                                 | Naxat Soft                   | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Die Hard                                                    | NEC Interchannel             | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Digital Champ: Battle Boxing                                | Naxat Soft                   | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Don Doko Don                                                | Taito Corporation            | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Doraemon: Meikyuu Daisakusen                                | Hudson                       | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Doraemon: Nobita no Dorabian Night                          | Hudson                       | TurboGrafx-16 | 1991 | NTSC (JP)
|       | Double Dungeons                                             | NCS                          | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Download                                                    | NEC Interchannel             | TurboGrafx-16 | 1990 | NTSC (JP)
