|       | Cosmic Fantasy 2: Bouken Shounen Ban                      | Nippon Telenet                        | TurboGrafx-16 CD | 1991 | NTSC (JP)
|       | Cosmic Fantasy 3: Bouken Shounen Rei                      | Nippon Telenet                        | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Cosmic Fantasy 4: Ginga Shounen Densetsu                  | Nippon Telenet                        | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Cosmic Fantasy 4: Ginga Shounen Densetsu                  | Nippon Telenet                        | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Cosmic Fantasy Visual Shuu                                | Nippon Telenet                        | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Cosmic Fantasy: Bouken Shounen Yuu                        | Nippon Telenet                        | TurboGrafx-16 CD | 1990 | NTSC (JP)
|       | Cotton: Fantastic Night Dreams                            | Hudson                                | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Crest of Wolf                                             | Hudson                                | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Cyber City Oedo 808                                       | NCS                                   | TurboGrafx-16 CD | 1991 | NTSC (JP)
|       | Daisenpuu Custom                                          | NEC Interchannel                      | TurboGrafx-16 CD | 1991 | NTSC (JP)
|       | Daisenryaku II Campaign-Han                               | Micro Cabin                           | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Davis Cup Tennis, The                                     | Micro World                           | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | De-Ja                                                     | NEC Interchannel                      | TurboGrafx-16 CD | 1996 | NTSC (JP)
|       | Dead of the Brain 1 & 2                                   | NEC Interchannel                      | TurboGrafx-16 CD | 1999 | NTSC (JP)
|       | Death Bringer: The Knight of Darkness                     | Nippon Telenet                        | TurboGrafx-16 CD | 1990 | NTSC (JP)
|       | Dekoboko Densetsu: Hashiru Wagamanma                      | Nippon Telenet                        | TurboGrafx-16 CD | 1990 | NTSC (JP)
|       | Denno Tenshi: Digital Angel                               | Tokuma Shoten                         | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Digital Comic - Patlabor: Chapter of Griffon              | Riverhillsoft                         | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Doraemon: Nobita no Dorabian Night                        | Hudson                                | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Double Dragon II: The Revenge                             | Naxat Soft                            | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Doukyuusei                                                | NEC Interchannel                      | TurboGrafx-16 CD | 1995 | NTSC (JP)
|       | Download 2                                                | NEC Interchannel                      | TurboGrafx-16 CD | 1991 | NTSC (JP)
|       | Downtown Nekketsu Koushinkyoku: Soreyuke Daiundoukai      | Naxat Soft                            | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Downtown Nekketsu Monogatari                              | Naxat Soft                            | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Dragon Ball Z: Idainaru Goku Densetsu                     | Bandai                                | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Dragon Half                                               | Micro Cabin                           | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Dragon Knight & Graffiti                                  | NEC Interchannel                      | TurboGrafx-16 CD | 1995 | NTSC (JP)
|       | Dragon Knight II                                          | NEC Interchannel                      | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Dragon Knight III                                         | NEC Interchannel                      | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Dragon Slayer: Eiyuu Densetsu                             | Hudson                                | TurboGrafx-16 CD | 1991 | NTSC (JP)
|       | Dragon Slayer: Eiyuu Densetsu II                          | Hudson                                | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Dungeon Explorer II                                       | Hudson                                | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Dungeon Master: Theron's Quest                            | Victor Interactive Software           | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Efera & Jiliora: The Emblem From Darkness                 | Brain Grey                            | TurboGrafx-16 CD | 1991 | NTSC (JP)
|       | Eikan wa Kimi ni: Koukou Yakyuu Zenkoku Taikai            | Artdink                               | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Eiyuu San Goku Shi                                        | Irem                                  | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Emerald Dragon                                            | NEC Interchannel                      | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Exile II: Janen no Jishou                                 | Nippon Telenet                        | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Exile: Toki no Hazama e                                   | Nippon Telenet                        | TurboGrafx-16 CD | 1991 | NTSC (JP)
|       | F1 Circus Special: Pole To Win                            | Nichibutsu                            | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | F1 Team Simulation: Project F                             | Nippon Telenet                        | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Faceball                                                  | Riverhillsoft                         | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Farjius no Jakoutei: Neo Metal Fantasy                    | Human Entertainment                   | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Faussete Amour                                            | Naxat Soft                            | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Fiend Hunter                                              | Right Stuff                           | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Fighting Street                                           | Hudson                                | TurboGrafx-16 CD | 1988 | NTSC (JP)
|       | Final Zone II                                             | Nippon Telenet                        | TurboGrafx-16 CD | 1990 | NTSC (JP)
|       | Flash Hiders                                              | Right Stuff                           | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Forgotten Worlds                                          | NEC Interchannel                      | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Formation Soccer '95: Della Serie A                       | Human Entertainment                   | TurboGrafx-16 CD | 1995 | NTSC (JP)
|       | Fray CD:  Xak Gaiden                                      | Micro Cabin                           | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Fushigi no Umi Nadia: The Secret of Blue Water            | Hudson                                | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Gain Ground SX                                            | NEC Interchannel                      | TurboGrafx-16 CD | 1992 | NTSC (JP)
