|       | Dragon's Lair                                            | Capcom                   | Game Boy Color | 2001 | NTSC (NA)
|       | Driver: You are the Wheelman                             | Infogrames               | Game Boy Color | 2000 | NTSC (NA)
|       | Duke Nukem                                               | GT Interactive           | Game Boy Color | 1999 | NTSC (NA)
|       | Dukes of Hazzard: Racing for Home, The                   | SouthPeak Games          | Game Boy Color | 2000 | NTSC (NA)
|       | E.T. The Extra-Terrestrial and the Cosmic Garden         | NewKidCo                 | Game Boy Color | 2002 | NTSC (NA)
|       | E.T. The Extra-Terrestrial: Digital Companion            | NewKidCo                 | Game Boy Color | 2001 | NTSC (NA)
|       | E.T. The Extra-Terrestrial: Escape from Planet Earth     | NewKidCo                 | Game Boy Color | 2001 | NTSC (NA)
|       | Earthworm Jim: Menace 2 the Galaxy                       | Crave                    | Game Boy Color | 1999 | NTSC (NA)
|       | ECW Hardcore Revolution                                  | Acclaim                  | Game Boy Color | 2000 | NTSC (NA)
|       | ESPN International Track & Field                         | Konami                   | Game Boy Color | 2000 | NTSC (NA)
|       | ESPN National Hockey Night                               | Konami                   | Game Boy Color | 2001 | NTSC (NA)
|       | Evel Knievel                                             | Rockstar Games           | Game Boy Color | 1999 | NTSC (NA)
|       | Extreme Sports with the Berenstain Bears                 | Sound Source             | Game Boy Color | 2000 | NTSC (NA)
|       | F-18 Thunder Strike                                      | Majesco Games            | Game Boy Color | 2000 | NTSC (NA)
|       | F1 World Grand Prix II                                   | Konami                   | Game Boy Color | 2013 | NTSC (NA)
|       | FIFA 2000                                                | THQ                      | Game Boy Color | 1999 | NTSC (NA)
|       | Flintstones: BurgerTime in Bedrock, The                  | Electro Source           | Game Boy Color | 2001 | NTSC (NA)
|       | Force 21                                                 | Red Storm Entertainment  | Game Boy Color | 2000 | NTSC (NA)
|       | Formula One 2000                                         | Take-Two Interactive     | Game Boy Color | 2000 | NTSC (NA)
|       | Frogger                                                  | Majesco Games            | Game Boy Color | 1998 | NTSC (NA)
|       | Frogger 2: Swampy's Revenge                              | Hasbro Interactive       | Game Boy Color | 2000 | NTSC (NA)
|       | Galaga: Destination Earth                                | Hasbro Interactive       | Game Boy Color | 2000 | NTSC (NA)
|       | Game & Watch Gallery 2                                   | Nintendo                 | Game Boy Color | 1998 | NTSC (NA)
|       | Game & Watch Gallery 3                                   | Nintendo                 | Game Boy Color | 1999 | NTSC (NA)
|       | Game Boy Color Technical Demo                            | Nintendo                 | Game Boy Color | 1998 | NTSC (NA)
|       | Gex 3: Deep Pocket Gecko                                 | Eidos Interactive        | Game Boy Color | 1999 | NTSC (NA)
|       | Gex: Enter the Gecko                                     | Crave                    | Game Boy Color | 1998 | NTSC (NA)
|       | Ghosts 'n Goblins                                        | Capcom                   | Game Boy Color | 2000 | NTSC (NA)
|       | Gobs of Games                                            | 3DO                      | Game Boy Color | 2000 | NTSC (NA)
|       | Godzilla the Series                                      | Crave                    | Game Boy Color | 1999 | NTSC (NA)
|       | Godzilla the Series: Monster Wars                        | Crave                    | Game Boy Color | 2000 | NTSC (NA)
|       | Gold and Glory: The Road to El Dorado                    | Ubisoft                  | Game Boy Color | 2000 | NTSC (NA)
|       | Grand Theft Auto                                         | Rockstar Games           | Game Boy Color | 1999 | NTSC (NA)
|       | Grand Theft Auto 2                                       | Rockstar Games           | Game Boy Color | 2000 | NTSC (NA)
|       | Grinch, The                                              | Konami                   | Game Boy Color | 2000 | NTSC (NA)
|       | Hamtaro: Ham-Hams Unite!                                 | Nintendo                 | Game Boy Color | 2002 | NTSC (NA)
|       | Hands of Time                                            | Titus Software           | Game Boy Color | 2001 | NTSC (NA)
|       | Harley Davidson: Race Across America                     | WizardWorks              | Game Boy Color | 2000 | NTSC (NA)
|       | Harry Potter and the Chamber of Secrets                  | EA Games                 | Game Boy Color | 2002 | NTSC (NA)
|       | Harry Potter and the Sorcerer's Stone                    | Electronic Arts          | Game Boy Color | 2001 | NTSC (NA)
|       | Harvest Moon 2 GBC                                       | Natsume                  | Game Boy Color | 2000 | NTSC (NA)
|       | Harvest Moon 3 GBC                                       | Natsume                  | Game Boy Color | 2001 | NTSC (NA)
|       | Harvest Moon GBC                                         | Natsume                  | Game Boy Color | 1998 | NTSC (NA)
|       | Hello Kitty's Cube Frenzy                                | NewKidCo                 | Game Boy Color | 1999 | NTSC (NA)
|       | Heroes of Might and Magic                                | 3DO                      | Game Boy Color | 2000 | NTSC (NA)
|       | Heroes of Might and Magic II                             | 3DO                      | Game Boy Color | 2000 | NTSC (NA)
|       | Hexcite: The Shapes of Victory                           | Ubisoft                  | Game Boy Color | 1999 | NTSC (NA)
|       | Hole in One Golf                                         | Natsume                  | Game Boy Color | 1999 | NTSC (NA)
|       | Hot Wheels: Stunt Track Driver                           | Mattel                   | Game Boy Color | 2000 | NTSC (NA)
|       | Hoyle Card Games                                         | Sierra Entertainment     | Game Boy Color | 2000 | NTSC (NA)
|       | Hoyle Casino                                             | Sierra Entertainment     | Game Boy Color | 2000 | NTSC (NA)
|       | Indiana Jones and the Infernal Machine                   | THQ                      | Game Boy Color | 2001 | NTSC (NA)
|       | Inspector Gadget: Operation Madkactus                    | Ubisoft                  | Game Boy Color | 2001 | NTSC (NA)
|       | International Rally                                      | Konami                   | Game Boy Color | 2000 | NTSC (NA)
|       | International Superstar Soccer 2000                      | Konami                   | Game Boy Color | 2000 | NTSC (NA)
|       | International Superstar Soccer 99                        | Konami                   | Game Boy Color | 1999 | NTSC (NA)
|       | International Track & Field                              | Konami                   | Game Boy Color | 2000 | NTSC (NA)
|       | Jeff Gordon XS Racing                                    | ASC Games                | Game Boy Color | 1999 | NTSC (NA)
|       | Jeremy McGrath Supercross 2000                           | Acclaim                  | Game Boy Color | 2000 | NTSC (NA)
|       | Jim Henson's Bear in the Big Blue House                  | Ubisoft                  | Game Boy Color | 2002 | NTSC (NA)
|       | Jim Henson's The Muppets                                 | Take-Two Interactive     | Game Boy Color | 2000 | NTSC (NA)
|       | JumpStart: Dino Adventure Field Trip                     | Knowledge Adventure Inc. | Game Boy Color | 2001 | NTSC (NA)
|       | Kelly Club: Clubhouse Fun                                | Knowledge Adventure Inc. | Game Boy Color | 2001 | NTSC (NA)
|       | Ken Griffey Jr.'s Slugfest                               | Nintendo                 | Game Boy Color | 1999 | NTSC (NA)
|       | Kirby Tilt 'n' Tumble                                    | Nintendo                 | Game Boy Color | 2001 | NTSC (NA)
|       | Klax                                                     | Midway                   | Game Boy Color | 1999 | NTSC (NA)
|       | Klustar                                                  | Infogrames               | Game Boy Color | 1999 | NTSC (NA)
|       | Knockout Kings                                           | Electronic Arts          | Game Boy Color | 1999 | NTSC (NA)
|       | Land Before Time, The                                    | Conspiracy Entertainment | Game Boy Color | 2001 | NTSC (NA)
