|       | Monster High: New Ghoul in School                                        | Little Orbit                           | Nintendo Wii U | 2015 | NTSC (NA)
|       | Monster Hunter 3 Ultimate                                                | Capcom                                 | Nintendo Wii U | 2013 | NTSC (NA)
|       | NBA 2K13                                                                 | 2K Sports                              | Nintendo Wii U | 2012 | NTSC (NA)
|       | Need for Speed: Most Wanted U                                            | Electronic Arts                        | Nintendo Wii U | 2013 | NTSC (NA)
|       | NES Remix Pack                                                           | Nintendo                               | Nintendo Wii U | 2014 | NTSC (NA)
|       | New Super Luigi U                                                        | Nintendo                               | Nintendo Wii U | 2013 | NTSC (NA)
|       | New Super Mario Bros. U                                                  | Nintendo                               | Nintendo Wii U | 2012 | NTSC (NA)
|       | New Super Mario Bros. U + New Super Luigi U                              | Nintendo                               | Nintendo Wii U | 2013 | NTSC (NA)
|       | Ninja Gaiden 3: Razor's Edge                                             | Nintendo                               | Nintendo Wii U | 2012 | NTSC (NA)
|       | Nintendo Land                                                            | Nintendo                               | Nintendo Wii U | 2012 | NTSC (NA)
|       | Pac-Man and the Ghostly Adventures                                       | Namco Bandai Games America             | Nintendo Wii U | 2013 | NTSC (NA)
|       | Pac-Man and the Ghostly Adventures 2                                     | Bandai Namco Games                     | Nintendo Wii U | 2014 | NTSC (NA)
|       | Paper Mario: Color Splash                                                | Nintendo                               | Nintendo Wii U | 2016 | NTSC (NA)
|       | Penguins of Madagascar                                                   | Little Orbit                           | Nintendo Wii U | 2014 | NTSC (NA)
|       | Phineas and Ferb: Quest for Cool Stuff                                   | Majesco Games                          | Nintendo Wii U | 2013 | NTSC (NA)
|       | Pikmin 3                                                                 | Nintendo                               | Nintendo Wii U | 2013 | NTSC (NA)
|       | Pokken Tournament                                                        | Nintendo                               | Nintendo Wii U | 2016 | NTSC (NA)
|       | Rabbids Land                                                             | Ubisoft                                | Nintendo Wii U | 2012 | NTSC (NA)
|       | Rapala Pro Bass Fishing                                                  | Activision                             | Nintendo Wii U | 2012 | NTSC (NA)
|       | Rayman Legends                                                           | Ubisoft                                | Nintendo Wii U | 2013 | NTSC (NA)
|       | Resident Evil: Revelations                                               | Capcom                                 | Nintendo Wii U | 2013 | NTSC (NA)
|       | Rise of the Guardians                                                    | D3Publisher                            | Nintendo Wii U | 2012 | NTSC (NA)
|       | Rodea The Sky Soldier                                                    | NIS America                            | Nintendo Wii U | 2015 | NTSC (NA)
|       | Runbow                                                                   | Nighthawk Interactive                  | Nintendo Wii U | 2016 | NTSC (NA)
|       | Scribblenauts Unlimited                                                  | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2012 | NTSC (NA)
|       | Scribblenauts Unmasked: A DC Comics Adventure                            | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2013 | NTSC (NA)
|       | Shantae: Half-Genie Hero                                                 | Xseed Games                            | Nintendo Wii U | 2016 | NTSC (NA)
|       | Shovel Knight                                                            | Yacht Club Games                       | Nintendo Wii U | 2015 | NTSC (NA)
|       | SiNG Party                                                               | Nintendo                               | Nintendo Wii U | 2012 | NTSC (NA)
|       | Skylanders Giants                                                        | Activision                             | Nintendo Wii U | 2012 | NTSC (NA)
|       | Skylanders Imaginators                                                   | Activision                             | Nintendo Wii U | 2016 | NTSC (NA)
|       | Skylanders SuperChargers                                                 | Activision                             | Nintendo Wii U | 2015 | NTSC (NA)
|       | Skylanders Swap Force                                                    | Activision                             | Nintendo Wii U | 2013 | NTSC (NA)
|       | Skylanders Trap Team                                                     | Activision                             | Nintendo Wii U | 2014 | NTSC (NA)
|       | Smurfs 2, The                                                            | Ubisoft                                | Nintendo Wii U | 2013 | NTSC (NA)
|       | Sniper Elite V2                                                          | 505 Games                              | Nintendo Wii U | 2013 | NTSC (NA)
|       | Snoopy's Grand Adventure                                                 | Activision                             | Nintendo Wii U | 2015 | NTSC (NA)
|       | Sonic & All-Stars Racing Transformed                                     | Sega                                   | Nintendo Wii U | 2012 | NTSC (NA)
